tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,16863,30718,1.82,26213,1.55,1032905,61.25,498263,29.55,15355,0.91,58,0.00
2,11820,38600,3.27,40230,3.40,4869462,411.97,2239667,189.48,47677,4.03,56,0.00
3,11326,21420,1.89,18606,1.64,134281,11.86,3339,0.29,0,0.00,23,0.00
4,3518,14019,3.98,11987,3.41,89794,25.52,5656,1.61,285,0.08,31,0.01
5,2552,8051,3.15,7579,2.97,984420,385.74,821304,321.83,21746,8.52,11,0.00
6,15612,88965,5.70,91015,5.83,2739681,175.49,467043,29.92,19888,1.27,29,0.00
7,2154,10166,4.72,9474,4.40,1492009,692.67,1234664,573.20,32720,15.19,12,0.01
8,2282,12332,5.40,11447,5.02,171165,75.01,10735,4.70,1186,0.52,12,0.01
9,2028,9712,4.79,8243,4.06,90934,44.84,7987,3.94,307,0.15,8,0.00
10,862,4629,5.37,4183,4.85,56215,65.21,4960,5.75,88,0.10,75,0.09
11,477,2508,5.26,2228,4.67,34822,73.00,3356,7.04,63,0.13,40,0.08
12,1038,6938,6.68,5215,5.02,57300,55.20,5987,5.77,0,0.00,13,0.01
13,3373,69856,20.71,72788,21.58,11446227,3393.49,6652912,1972.40,183027,54.26,54,0.02
14,808,13462,16.66,12230,15.14,455634,563.90,81707,101.12,3250,4.02,8,0.01
15,7196,169928,23.61,185478,25.78,27233981,3784.60,9997489,1389.31,265155,36.85,152,0.02
16,539,8980,16.66,9143,16.96,35676,66.19,2057,3.82,0,0.00,4,0.01
17,262,3161,12.06,2736,10.44,28912,110.35,3937,15.03,0,0.00,12,0.05
18,7575,65994,8.71,58671,7.75,564606,74.54,17600,2.32,0,0.00,206,0.03
19,538,11016,20.48,11395,21.18,28241,52.49,2840,5.28,0,0.00,17,0.03
20,163,2264,13.89,2259,13.86,24691,151.48,2986,18.32,52,0.32,21,0.13
21,758,23790,31.39,24861,32.80,53639,70.76,8236,10.87,420,0.55,23,0.03
22,152,1947,12.81,2971,19.55,23316,153.39,2458,16.17,0,0.00,4,0.03
23,109,1508,13.83,1176,10.79,19434,178.29,5595,51.33,0,0.00,1,0.01
24,234,3668,15.68,2433,10.40,37970,162.26,2141,9.15,63,0.27,20,0.09
25,123,1788,14.54,1336,10.86,22300,181.30,5492,44.65,0,0.00,3,0.02
26,162,2976,18.37,2348,14.49,35629,219.93,5051,31.18,0,0.00,6,0.04
27,96,1459,15.20,1236,12.88,24228,252.38,4592,47.83,0,0.00,1,0.01
28,73,1159,15.88,1009,13.82,21695,297.19,2185,29.93,0,0.00,1,0.01
29,91,1458,16.02,824,9.05,60003,659.37,12159,133.62,0,0.00,1,0.01
30,773,12139,15.70,10414,13.47,143744,185.96,17216,22.27,0,0.00,8,0.01
31,47,1031,21.94,627,13.34,12357,262.91,8869,188.70,0,0.00,4,0.09
32,58,1082,18.66,953,16.43,15837,273.05,1882,32.45,0,0.00,4,0.07
33,226,5734,25.37,5741,25.40,30618,135.48,8715,38.56,0,0.00,8,0.04
34,53,1174,22.15,870,16.42,18750,353.77,4784,90.26,0,0.00,0,0.00
35,36,618,17.17,510,14.17,11907,330.75,3563,98.97,0,0.00,3,0.08
36,54,1126,20.85,965,17.87,11387,210.87,2708,50.15,0,0.00,6,0.11
37,58,1105,19.05,607,10.47,24245,418.02,6434,110.93,0,0.00,3,0.05
38,116,1828,15.76,1250,10.78,71773,618.73,13472,116.14,0,0.00,6,0.05
39,2282,42871,18.79,37973,16.64,367247,160.93,11222,4.92,0,0.00,10,0.00
40,261,5267,20.18,4576,17.53,63694,244.04,13296,50.94,0,0.00,14,0.05
41,566,13412,23.70,9912,17.51,104028,183.80,9818,17.35,0,0.00,18,0.03
42,644,12724,19.76,9494,14.74,146555,227.57,25723,39.94,0,0.00,11,0.02
43,100,2413,24.13,1599,15.99,31666,316.66,10802,108.02,0,0.00,0,0.00
44,55,1332,24.22,862,15.67,25521,464.02,7557,137.40,0,0.00,0,0.00
45,8026,172176,21.45,152868,19.05,1471517,183.34,46689,5.82,0,0.00,466,0.06
46,93,3101,33.34,2476,26.62,32610,350.65,11180,120.22,0,0.00,12,0.13
47,113,2744,24.28,1914,16.94,45256,400.50,9589,84.86,0,0.00,10,0.09
48,101,3691,36.54,2302,22.79,31736,314.22,4220,41.78,0,0.00,26,0.26
49,55,1390,25.27,934,16.98,17023,309.51,5878,106.87,0,0.00,3,0.05
50,37,785,21.22,524,14.16,22854,617.68,7592,205.19,0,0.00,33,0.89
51,338,12168,36.00,11208,33.16,8502133,25154.24,3572507,10569.55,86142,254.86,34,0.10
52,109,4263,39.11,2456,22.53,59212,543.23,8484,77.83,0,0.00,4,0.04
53,56,1429,25.52,697,12.45,30348,541.93,10091,180.20,0,0.00,0,0.00
54,215,5494,25.55,2938,13.67,86299,401.39,34681,161.31,0,0.00,6,0.03
55,37,1151,31.11,771,20.84,20457,552.89,12085,326.62,0,0.00,2,0.05
56,20,728,36.40,463,23.15,9657,482.85,7675,383.75,0,0.00,2,0.10
57,62,2906,46.87,1335,21.53,23470,378.55,7177,115.76,0,0.00,3,0.05
58,50,2041,40.82,954,19.08,111285,2225.70,22439,448.78,0,0.00,3,0.06
59,18,473,26.28,256,14.22,10237,568.72,2058,114.33,0,0.00,3,0.17
60,154,7158,46.48,3730,24.22,63964,415.35,8621,55.98,0,0.00,55,0.36
61,44,1115,25.34,490,11.14,67262,1528.68,11924,271.00,0,0.00,6,0.14
62,20,475,23.75,174,8.70,11416,570.80,6029,301.45,0,0.00,1,0.05
63,292,9135,31.28,8097,27.73,89752,307.37,10103,34.60,0,0.00,1,0.00
64,19,590,31.05,310,16.32,21796,1147.16,9844,518.11,0,0.00,0,0.00
65,121,2712,22.41,2734,22.60,52557,434.36,8395,69.38,0,0.00,1,0.01
66,176,3403,19.34,4133,23.48,138006,784.12,14116,80.20,0,0.00,0,0.00
67,59,1661,28.15,1437,24.36,43236,732.81,17174,291.08,0,0.00,1,0.02
68,27,726,26.89,491,18.19,21806,807.63,3705,137.22,0,0.00,0,0.00
69,61,2205,36.15,1704,27.93,29702,486.92,16658,273.08,0,0.00,15,0.25
70,35,936,26.74,596,17.03,32884,939.54,10950,312.86,0,0.00,1,0.03
71,25,627,25.08,495,19.80,17299,691.96,5305,212.20,0,0.00,1,0.04
72,28,1149,41.04,844,30.14,13523,482.96,7186,256.64,0,0.00,8,0.29
73,34,950,27.94,546,16.06,34061,1001.79,20501,602.97,0,0.00,0,0.00
74,30,1012,33.73,563,18.77,34200,1140.00,16189,539.63,0,0.00,0,0.00
75,650,22055,33.93,19483,29.97,307471,473.03,34693,53.37,0,0.00,0,0.00
76,10,383,38.30,192,19.20,9133,913.30,9323,932.30,0,0.00,0,0.00
77,23,859,37.35,428,18.61,30827,1340.30,18753,815.35,0,0.00,0,0.00
78,51,2359,46.25,1772,34.75,32944,645.96,14482,283.96,0,0.00,3,0.06
79,11,546,49.64,456,41.45,7495,681.36,8461,769.18,0,0.00,0,0.00
80,15,613,40.87,368,24.53,12669,844.60,7096,473.07,0,0.00,16,1.07
81,140,6277,44.84,5690,40.64,96398,688.56,8921,63.72,0,0.00,3,0.02
82,10,297,29.70,159,15.90,15673,1567.30,3905,390.50,0,0.00,0,0.00
83,5,104,20.80,59,11.80,7286,1457.20,2553,510.60,0,0.00,0,0.00
84,117,982,8.39,1116,9.54,46904,400.89,3970,33.93,0,0.00,44,0.38
85,17,158,9.29,180,10.59,10563,621.35,829,48.76,0,0.00,16,0.94
86,24,618,25.75,356,14.83,25878,1078.25,7857,327.38,0,0.00,3,0.12
87,57,3303,57.95,1484,26.04,36597,642.05,5599,98.23,0,0.00,20,0.35
88,17,589,34.65,287,16.88,20068,1180.47,3863,227.24,0,0.00,9,0.53
89,10,444,44.40,83,8.30,8852,885.20,11278,1127.80,0,0.00,4,0.40
90,63,3117,49.48,2065,32.78,49987,793.44,18435,292.62,0,0.00,32,0.51
91,82,8830,107.68,2295,27.99,65175,794.82,11116,135.56,0,0.00,0,0.00
92,12,1436,119.67,814,67.83,12261,1021.75,11110,925.83,0,0.00,0,0.00
93,68,3296,48.47,2523,37.10,51504,757.41,16901,248.54,0,0.00,0,0.00
94,19,679,35.74,353,18.58,33496,1762.95,6589,346.79,0,0.00,0,0.00
95,5,377,75.40,95,19.00,12242,2448.40,5194,1038.80,0,0.00,0,0.00
96,17,1445,85.00,1345,79.12,4881,287.12,1422,83.65,0,0.00,7,0.41
97,24,1488,62.00,889,37.04,20829,867.88,8545,356.04,0,0.00,6,0.25
98,13,456,35.08,260,20.00,30100,2315.38,6916,532.00,0,0.00,1,0.08
99,18,859,47.72,673,37.39,10318,573.22,1836,102.00,0,0.00,2,0.11
100,9,496,55.11,347,38.56,22085,2453.89,2436,270.67,0,0.00,0,0.00
101,10,373,37.30,91,9.10,13616,1361.60,10130,1013.00,128,12.80,0,0.00
102,53,1727,32.58,934,17.62,49243,929.11,17981,339.26,67,1.26,182,3.43
103,7,326,46.57,261,37.29,9520,1360.00,5544,792.00,0,0.00,1,0.14
104,14,694,49.57,556,39.71,15774,1126.71,13169,940.64,64,4.57,4,0.29
105,273,20670,75.71,8767,32.11,208411,763.41,58734,215.14,64,0.23,0,0.00
106,4,135,33.75,70,17.50,7386,1846.50,2197,549.25,0,0.00,1,0.25
107,10,433,43.30,259,25.90,18031,1803.10,9043,904.30,0,0.00,0,0.00
108,13,754,58.00,547,42.08,15894,1222.62,5877,452.08,0,0.00,1,0.08
