tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,40515,46040,1.14,50474,1.25,492201,12.15,402467,9.93,10827,0.27,8,0.00
2,4019,9676,2.41,10912,2.72,41541,10.34,5000,1.24,0,0.00,10,0.00
3,21289,65366,3.07,63710,2.99,3182672,149.50,794722,37.33,45882,2.16,160,0.01
4,4832,15429,3.19,15450,3.20,424228,87.80,91528,18.94,5098,1.06,362,0.07
5,5624,17883,3.18,17187,3.06,154580,27.49,12889,2.29,0,0.00,11,0.00
6,4929,19741,4.01,20766,4.21,120299,24.41,2794,0.57,0,0.00,11,0.00
7,5866,50430,8.60,53091,9.05,2458065,419.04,623563,106.30,35686,6.08,49,0.01
8,4106,42122,10.26,45117,10.99,2752257,670.30,701996,170.97,40784,9.93,34,0.01
9,7978,41115,5.15,36855,4.62,3178021,398.35,2444087,306.35,64962,8.14,14,0.00
10,3233,36052,11.15,33078,10.23,1198231,370.63,273507,84.60,15582,4.82,51,0.02
11,2014,18227,9.05,18306,9.09,166865,82.85,13454,6.68,0,0.00,41,0.02
12,2768,21010,7.59,19945,7.21,1587389,573.48,1209828,437.08,32481,11.73,18,0.01
13,1021,10209,10.00,9510,9.31,173558,169.99,13576,13.30,864,0.85,26,0.03
14,1281,17322,13.52,16905,13.20,133674,104.35,9678,7.56,576,0.45,615,0.48
15,1434,12497,8.71,11069,7.72,255526,178.19,19447,13.56,1152,0.80,48,0.03
16,1543,16228,10.52,13938,9.03,644005,417.37,412968,267.64,11115,7.20,645,0.42
17,1055,13798,13.08,13364,12.67,5540123,5251.30,4196340,3977.57,118466,112.29,54,0.05
18,977,12310,12.60,11255,11.52,91654,93.81,8670,8.87,0,0.00,32,0.03
19,1427,18165,12.73,16503,11.56,135197,94.74,7595,5.32,0,0.00,58,0.04
20,1062,16398,15.44,15854,14.93,112673,106.10,9394,8.85,0,0.00,24,0.02
21,2887,33166,11.49,26140,9.05,396988,137.51,37534,13.00,1152,0.40,46,0.02
22,796,8703,10.93,7467,9.38,143018,179.67,12389,15.56,288,0.36,30,0.04
23,1166,15581,13.36,13618,11.68,536502,460.12,115641,99.18,5098,4.37,28,0.02
24,2145,26337,12.28,23938,11.16,1680754,783.57,1222880,570.11,32481,15.14,23,0.01
25,418,5558,13.30,4768,11.41,71435,170.90,8294,19.84,0,0.00,29,0.07
26,1073,21030,19.60,20424,19.03,271119,252.67,16589,15.46,1440,1.34,36,0.03
27,1719,24569,14.29,22577,13.13,288439,167.79,17699,10.30,1051,0.61,46,0.03
28,456,10008,21.95,7357,16.13,97892,214.68,8998,19.73,0,0.00,10,0.02
29,319,6983,21.89,6233,19.54,91542,286.97,11016,34.53,0,0.00,25,0.08
30,2853,36091,12.65,32736,11.47,407599,142.87,16132,5.65,576,0.20,22,0.01
31,921,18886,20.51,16114,17.50,3582993,3890.33,2828665,3071.30,76941,83.54,48,0.05
32,350,6170,17.63,4603,13.15,138969,397.05,28504,81.44,0,0.00,21,0.06
33,1981,34872,17.60,23460,11.84,273052,137.84,17303,8.73,0,0.00,21,0.01
34,203,3861,19.02,3219,15.86,45951,226.36,6566,32.34,0,0.00,26,0.13
35,456,5679,12.45,5452,11.96,112459,246.62,10983,24.09,288,0.63,37,0.08
36,695,11785,16.96,9979,14.36,179323,258.02,17134,24.65,576,0.83,7,0.01
37,255,5146,20.18,3962,15.54,69363,272.01,12306,48.26,0,0.00,7,0.03
38,8360,570557,68.25,592041,70.82,65709071,7859.94,24899543,2978.41,740722,88.60,364,0.04
39,286,5313,18.58,4674,16.34,61039,213.42,5821,20.35,0,0.00,37,0.13
40,215,4191,19.49,3654,17.00,68851,320.24,9143,42.53,0,0.00,23,0.11
41,222,2062,9.29,1588,7.15,194142,874.51,7897,35.57,0,0.00,663,2.99
42,319,6466,20.27,4942,15.49,5768195,18082.12,3433462,10763.20,111475,349.45,31,0.10
43,156,3530,22.63,2754,17.65,62876,403.05,11448,73.38,0,0.00,6,0.04
44,82,1911,23.30,1588,19.37,26596,324.34,4598,56.07,0,0.00,13,0.16
45,175,4479,25.59,3784,21.62,56252,321.44,8770,50.11,0,0.00,21,0.12
46,97,2362,24.35,1875,19.33,46169,475.97,10526,108.52,0,0.00,37,0.38
47,144,3661,25.42,3004,20.86,63399,440.27,11271,78.27,0,0.00,21,0.15
48,150,3978,26.52,2786,18.57,50391,335.94,12350,82.33,0,0.00,15,0.10
49,308,8382,27.21,3073,9.98,204713,664.65,18211,59.13,0,0.00,22,0.07
50,101,2371,23.48,1784,17.66,56099,555.44,11262,111.50,0,0.00,31,0.31
51,104,2495,23.99,1761,16.93,42596,409.58,12148,116.81,0,0.00,12,0.12
52,107,3051,28.51,2612,24.41,50361,470.66,9725,90.89,0,0.00,14,0.13
53,63,1564,24.83,1225,19.44,35238,559.33,8308,131.87,0,0.00,8,0.13
54,82,1904,23.22,1078,13.15,39410,480.61,11881,144.89,0,0.00,17,0.21
55,78,2325,29.81,1929,24.73,39636,508.15,7655,98.14,0,0.00,17,0.22
56,72,1844,25.61,1474,20.47,52484,728.94,10167,141.21,0,0.00,12,0.17
57,76,1841,24.22,1224,16.11,44860,590.26,12921,170.01,0,0.00,26,0.34
58,77,1901,24.69,1174,15.25,73490,954.42,13543,175.88,0,0.00,17,0.22
59,58,1669,28.78,1180,20.34,45576,785.79,9266,159.76,0,0.00,6,0.10
60,214,2774,12.96,1253,5.86,171971,803.60,34605,161.71,0,0.00,19,0.09
61,66,1910,28.94,1478,22.39,55938,847.55,11307,171.32,0,0.00,29,0.44
62,32,796,24.88,455,14.22,21419,669.34,6266,195.81,0,0.00,10,0.31
63,94,3287,34.97,2153,22.90,46725,497.07,15268,162.43,0,0.00,17,0.18
64,51,1230,24.12,782,15.33,41956,822.67,10595,207.75,0,0.00,13,0.25
65,215,3209,14.93,2026,9.42,141933,660.15,24589,114.37,0,0.00,9,0.04
66,71,1989,28.01,1274,17.94,49374,695.41,14445,203.45,0,0.00,4,0.06
67,46,1177,25.59,792,17.22,45873,997.24,10302,223.96,0,0.00,24,0.52
68,41,1146,27.95,807,19.68,33224,810.34,5066,123.56,0,0.00,4,0.10
69,51,1616,31.69,953,18.69,36541,716.49,14512,284.55,0,0.00,11,0.22
70,68,2365,34.78,1422,20.91,47212,694.29,9879,145.28,0,0.00,5,0.07
71,47,1728,36.77,961,20.45,37668,801.45,15249,324.45,0,0.00,16,0.34
72,60,1968,32.80,1110,18.50,51616,860.27,12667,211.12,0,0.00,1,0.02
73,47,1558,33.15,986,20.98,43592,927.49,20394,433.91,0,0.00,6,0.13
74,27,778,28.81,559,20.70,29943,1109.00,5383,199.37,0,0.00,1,0.04
