tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,593400,596445,1.01,612517,1.03,442630,0.75,99895,0.17,5261,0.01,20,0.00
2,84897,138786,1.63,172847,2.04,217960,2.57,3682,0.04,0,0.00,5,0.00
3,112970,249268,2.21,484676,4.29,3639215,32.21,34673,0.31,126,0.00,13,0.00
4,69124,188045,2.72,193314,2.80,2838834,41.07,376980,5.45,20300,0.29,23,0.00
5,61269,165272,2.70,113269,1.85,1890284,30.85,81221,1.33,0,0.00,8,0.00
6,14991,73889,4.93,64667,4.31,431144,28.76,23717,1.58,0,0.00,8,0.00
7,39864,2970406,74.51,1913524,48.00,25323860,635.26,4885364,122.55,71050,1.78,42,0.00
8,7729,492499,63.72,318231,41.17,3459242,447.57,605243,78.31,0,0.00,7,0.00
9,2192,110949,50.62,73090,33.34,808386,368.79,138007,62.96,0,0.00,5,0.00
10,2620,161556,61.66,113946,43.49,1163733,444.17,190122,72.57,0,0.00,27,0.01
11,865,10347,11.96,9004,10.41,108923,125.92,11714,13.54,0,0.00,25,0.03
12,2587,25130,9.71,19954,7.71,255195,98.65,24752,9.57,0,0.00,13,0.01
13,5540,108870,19.65,120495,21.75,4541783,819.82,1149071,207.41,67221,12.13,76,0.01
14,830,13267,15.98,12329,14.85,57263,68.99,6368,7.67,0,0.00,29,0.03
15,41361,62032,1.50,46360,1.12,3038088,73.45,202305,4.89,1088,0.03,27,0.00
16,8275,26957,3.26,24765,2.99,551097,66.60,32684,3.95,0,0.00,28,0.00
17,4540,17468,3.85,20690,4.56,281487,62.00,11793,2.60,0,0.00,22,0.00
18,5411,32195,5.95,43676,8.07,621262,114.81,24632,4.55,0,0.00,34,0.01
19,1675,13877,8.28,11351,6.78,3717024,2219.12,3015516,1800.31,75789,45.25,48,0.03
20,4246,108966,25.66,111144,26.18,6855369,1614.55,1757203,413.85,101500,23.90,95,0.02
21,2919,31147,10.67,27597,9.45,260160,89.13,11409,3.91,0,0.00,18,0.01
22,2070,143708,69.42,92877,44.87,3119567,1507.04,1893901,914.93,43308,20.92,13,0.01
23,16774,480058,28.62,333636,19.89,30404644,1812.61,874761,52.15,3538,0.21,44,0.00
24,2149,56711,26.39,42175,19.63,2959486,1377.15,89260,41.54,0,0.00,41,0.02
25,2015,36915,18.32,36176,17.95,203761,101.12,11507,5.71,0,0.00,44,0.02
26,1172,42125,35.94,38804,33.11,746404,636.86,37776,32.23,1816,1.55,24,0.02
27,970,27474,28.32,23321,24.04,795206,819.80,30006,30.93,0,0.00,25,0.03
28,2473,60722,24.55,47217,19.09,2788722,1127.67,84795,34.29,0,0.00,29,0.01
29,398,8146,20.47,7204,18.10,233903,587.70,25717,64.62,576,1.45,36,0.09
30,913,20612,22.58,15225,16.68,414686,454.20,31433,34.43,0,0.00,39,0.04
31,1039,21365,20.56,20432,19.67,299912,288.65,21830,21.01,1728,1.66,27,0.03
32,709,21809,30.76,21323,30.07,347259,489.79,24745,34.90,2580,3.64,30,0.04
33,1594,69101,43.35,64065,40.19,191731,120.28,15770,9.89,0,0.00,30,0.02
34,439,13114,29.87,12290,28.00,105245,239.74,9472,21.58,0,0.00,30,0.07
35,434,7848,18.08,7424,17.11,127586,293.98,11279,25.99,0,0.00,48,0.11
36,313,8052,25.73,7030,22.46,89515,285.99,10488,33.51,0,0.00,21,0.07
37,248,6399,25.80,5221,21.05,69284,279.37,8706,35.10,0,0.00,46,0.19
38,565,22456,39.75,20890,36.97,288611,510.82,19412,34.36,1434,2.54,38,0.07
39,3992,65867,16.50,60620,15.19,633348,158.65,16034,4.02,0,0.00,53,0.01
40,429,9100,21.21,7894,18.40,594820,1386.53,441578,1029.32,10827,25.24,17,0.04
41,264,6485,24.56,5988,22.68,9844366,37289.27,8538757,32343.78,216540,820.23,91,0.34
42,973,19279,19.81,14667,15.07,303104,311.51,23305,23.95,1346,1.38,48,0.05
43,238,6619,27.81,5667,23.81,172489,724.74,17277,72.59,1072,4.50,59,0.25
44,404,17222,42.63,16785,41.55,120837,299.10,13960,34.55,288,0.71,23,0.06
45,898,19848,22.10,18619,20.73,181473,202.09,8884,9.89,0,0.00,18,0.02
46,461,16111,34.95,14461,31.37,3522035,7639.99,2993580,6493.67,75789,164.40,39,0.08
47,195,4865,24.95,3911,20.06,303756,1557.72,28550,146.41,2304,11.82,28,0.14
48,226,5802,25.67,5299,23.45,4439315,19642.99,1142987,5057.46,65975,291.92,47,0.21
49,326,11795,36.18,11202,34.36,97797,299.99,9235,28.33,0,0.00,12,0.04
50,186,5094,27.39,4609,24.78,70742,380.33,10098,54.29,0,0.00,28,0.15
51,678,19643,28.97,12590,18.57,6506397,9596.46,5555520,8193.98,140751,207.60,27,0.04
52,362,12442,34.37,12051,33.29,6478105,17895.32,5554855,15344.90,141327,390.41,40,0.11
53,154,4910,31.88,4320,28.05,59921,389.10,8729,56.68,0,0.00,16,0.10
54,153,4071,26.61,2790,18.24,66850,436.93,13732,89.75,0,0.00,21,0.14
55,170,4539,26.70,3973,23.37,70264,413.32,10145,59.68,0,0.00,31,0.18
56,97,2940,30.31,2348,24.21,144913,1493.95,14815,152.73,864,8.91,16,0.16
57,1216,34471,28.35,23445,19.28,293669,241.50,19285,15.86,0,0.00,38,0.03
58,94,2869,30.52,2276,24.21,51561,548.52,6119,65.10,192,2.04,18,0.19
59,142,5804,40.87,5175,36.44,57439,404.50,7918,55.76,0,0.00,9,0.06
60,2542,71447,28.11,54519,21.45,621827,244.62,26837,10.56,0,0.00,19,0.01
61,415,23365,56.30,21749,52.41,106637,256.96,9313,22.44,0,0.00,17,0.04
62,125,4923,39.38,4434,35.47,60421,483.37,8269,66.15,0,0.00,19,0.15
63,184,6429,34.94,4754,25.84,232035,1261.06,26502,144.03,1534,8.34,22,0.12
64,132,6384,48.36,5858,44.38,45921,347.89,6722,50.92,0,0.00,21,0.16
65,581,31380,54.01,31491,54.20,198055,340.89,17642,30.36,0,0.00,13,0.02
66,209,10381,49.67,9706,46.44,98223,469.97,11014,52.70,0,0.00,17,0.08
67,802,30883,38.51,30471,37.99,251593,313.71,16441,20.50,0,0.00,22,0.03
68,207,6493,31.37,6115,29.54,82794,399.97,9456,45.68,0,0.00,21,0.10
69,83,3511,42.30,3038,36.60,46268,557.45,11221,135.19,0,0.00,20,0.24
70,139,10698,76.96,5707,41.06,73916,531.77,17873,128.58,0,0.00,19,0.14
71,8152,1062503,130.34,1103486,135.36,122097073,14977.56,49026541,6014.05,1382387,169.58,653,0.08
72,135,5862,43.42,4630,34.30,74155,549.30,8807,65.24,57,0.42,14,0.10
73,234,13313,56.89,12904,55.15,97560,416.92,9085,38.82,0,0.00,9,0.04
74,78,2885,36.99,2133,27.35,48860,626.41,9921,127.19,0,0.00,21,0.27
75,98,3493,35.64,2267,23.13,64514,658.31,19986,203.94,0,0.00,8,0.08
76,84,3784,45.05,3317,39.49,53877,641.39,6962,82.88,57,0.68,27,0.32
77,84,3094,36.83,2289,27.25,57468,684.14,12792,152.29,0,0.00,17,0.20
78,93,3788,40.73,2993,32.18,43366,466.30,11828,127.18,57,0.61,2,0.02
79,53,2363,44.58,1578,29.77,42151,795.30,7708,145.43,0,0.00,36,0.68
80,138,9561,69.28,5083,36.83,81898,593.46,9194,66.62,0,0.00,8,0.06
81,554,19124,34.52,15078,27.22,192070,346.70,12159,21.95,0,0.00,19,0.03
82,76,3578,47.08,2741,36.07,50236,661.00,7837,103.12,0,0.00,8,0.11
83,80,3898,48.73,2961,37.01,72016,900.20,17914,223.93,0,0.00,17,0.21
84,194,7179,37.01,5988,30.87,90174,464.81,9203,47.44,0,0.00,49,0.25
85,61,2237,36.67,1739,28.51,51428,843.08,9586,157.15,0,0.00,52,0.85
86,93,3240,34.84,2190,23.55,81566,877.05,22560,242.58,0,0.00,32,0.34
87,51,1775,34.80,1254,24.59,49177,964.25,11448,224.47,0,0.00,36,0.71
88,69,2562,37.13,1943,28.16,55767,808.22,9581,138.86,0,0.00,14,0.20
89,71,2893,40.75,2581,36.35,59959,844.49,12126,170.79,0,0.00,31,0.44
90,72,3604,50.06,2928,40.67,55336,768.56,13498,187.47,0,0.00,36,0.50
91,102,5349,52.44,4745,46.52,55032,539.53,9867,96.74,0,0.00,21,0.21
92,49,2038,41.59,1436,29.31,43728,892.41,9738,198.73,0,0.00,25,0.51
93,36,1453,40.36,1013,28.14,36209,1005.81,8291,230.31,0,0.00,44,1.22
94,59,2125,36.02,1445,24.49,51274,869.05,11872,201.22,0,0.00,36,0.61
95,38,1376,36.21,999,26.29,35344,930.11,8873,233.50,0,0.00,15,0.39
96,46,1750,38.04,1489,32.37,48530,1055.00,7728,168.00,0,0.00,22,0.48
97,49,2281,46.55,1933,39.45,43188,881.39,11293,230.47,0,0.00,32,0.65
98,36,1810,50.28,1153,32.03,44823,1245.08,12810,355.83,70,1.94,5,0.14
99,831,28015,33.71,27451,33.03,325917,392.20,7735,9.31,0,0.00,42,0.05
100,157,5094,32.45,5660,36.05,121254,772.32,14692,93.58,0,0.00,21,0.13
101,40,1606,40.15,1201,30.02,63345,1583.62,19463,486.57,382,9.55,23,0.57
102,71,3042,42.85,1649,23.23,55860,786.76,21465,302.32,0,0.00,27,0.38
103,44,1648,37.45,1007,22.89,46972,1067.55,13379,304.07,0,0.00,26,0.59
104,103,6024,58.49,5536,53.75,62635,608.11,11024,107.03,0,0.00,19,0.18
105,39,1879,48.18,1654,42.41,45822,1174.92,7984,204.72,0,0.00,16,0.41
106,39,1960,50.26,1273,32.64,2048169,52517.15,535567,13732.49,30450,780.77,20,0.51
107,40,1658,41.45,1145,28.62,42561,1064.03,13850,346.25,0,0.00,17,0.42
108,19,567,29.84,470,24.74,22122,1164.32,4376,230.32,0,0.00,16,0.84
109,43,2437,56.67,2035,47.33,2965463,68964.26,2565351,59659.33,64962,1510.74,25,0.58
110,34,1243,36.56,848,24.94,46814,1376.88,12453,366.26,0,0.00,25,0.74
111,54,3587,66.43,2996,55.48,56043,1037.83,18734,346.93,0,0.00,18,0.33
112,33,1080,32.73,783,23.73,36512,1106.42,5639,170.88,0,0.00,41,1.24
113,29,830,28.62,470,16.21,61761,2129.69,19435,670.17,0,0.00,15,0.52
114,31,1153,37.19,810,26.13,34353,1108.16,8250,266.13,0,0.00,22,0.71
115,25,2037,81.48,1532,61.28,27290,1091.60,27428,1097.12,102,4.08,6,0.24
116,37,1929,52.14,1041,28.14,126047,3406.68,19517,527.49,0,0.00,10,0.27
117,65,3440,52.92,1954,30.06,58987,907.49,22380,344.31,0,0.00,12,0.18
118,59,3456,58.58,2819,47.78,70761,1199.34,16623,281.75,0,0.00,30,0.51
119,26,1763,67.81,965,37.12,31932,1228.15,11794,453.62,0,0.00,0,0.00
120,25,1027,41.08,777,31.08,37077,1483.08,6098,243.92,0,0.00,9,0.36
121,19,723,38.05,575,30.26,30596,1610.32,8295,436.58,0,0.00,30,1.58
122,19,843,44.37,603,31.74,28691,1510.05,5011,263.74,0,0.00,12,0.63
123,27,1378,51.04,997,36.93,47659,1765.15,12711,470.78,87,3.22,5,0.19
124,30,2960,98.67,2603,86.77,40911,1363.70,5499,183.30,0,0.00,6,0.20
125,37,2288,61.84,1993,53.86,53463,1444.95,8846,239.08,0,0.00,11,0.30
126,34,1797,52.85,883,25.97,62922,1850.65,22793,670.38,63,1.85,22,0.65
127,22,882,40.09,530,24.09,43853,1993.32,14787,672.14,149,6.77,6,0.27
128,42,2124,50.57,2175,51.79,55958,1332.33,12610,300.24,0,0.00,9,0.21
129,22,1026,46.64,723,32.86,41435,1883.41,15234,692.45,202,9.18,16,0.73
130,78,4081,52.32,3073,39.40,91719,1175.88,24298,311.51,0,0.00,7,0.09
131,32,1634,51.06,998,31.19,36917,1153.66,13088,409.00,0,0.00,15,0.47
132,18,794,44.11,575,31.94,37312,2072.89,11992,666.22,0,0.00,8,0.44
133,69,3571,51.75,1937,28.07,113469,1644.48,24198,350.70,132,1.91,33,0.48
134,28,1518,54.21,687,24.54,53660,1916.43,20426,729.50,174,6.21,4,0.14
135,28,1287,45.96,1200,42.86,50102,1789.36,5940,212.14,46,1.64,2,0.07
136,20,845,42.25,690,34.50,36477,1823.85,6077,303.85,0,0.00,5,0.25
137,26,1585,60.96,991,38.12,60879,2341.50,39198,1507.62,56,2.15,12,0.46
138,36,2386,66.28,1523,42.31,47443,1317.86,24104,669.56,0,0.00,44,1.22
139,17,986,58.00,550,32.35,43134,2537.29,16433,966.65,0,0.00,2,0.12
140,71,15159,213.51,2226,31.35,129950,1830.28,29673,417.93,0,0.00,19,0.27
141,20,2116,105.80,1223,61.15,40186,2009.30,12482,624.10,0,0.00,5,0.25
142,90,12544,139.38,11672,129.69,45792,508.80,16402,182.24,0,0.00,2,0.02
143,40,3169,79.22,2500,62.50,62850,1571.25,29418,735.45,46,1.15,8,0.20
144,40,3273,81.83,2533,63.33,50631,1265.78,17269,431.73,69,1.73,2,0.05
145,15,935,62.33,546,36.40,25779,1718.60,14455,963.67,86,5.73,13,0.87
146,20,957,47.85,637,31.85,49596,2479.80,19247,962.35,89,4.45,2,0.10
147,15,879,58.60,399,26.60,40118,2674.53,21097,1406.47,119,7.93,8,0.53
148,16,898,56.12,560,35.00,37132,2320.75,7654,478.38,0,0.00,13,0.81
149,14,745,53.21,509,36.36,36086,2577.57,14316,1022.57,0,0.00,0,0.00
150,20,1571,78.55,947,47.35,47920,2396.00,21382,1069.10,0,0.00,0,0.00
151,20,1682,84.10,1320,66.00,46686,2334.30,28517,1425.85,0,0.00,4,0.20
152,18,1069,59.39,695,38.61,45945,2552.50,18846,1047.00,0,0.00,10,0.56
