tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,7378,10947,1.48,12459,1.69,65378,8.86,6403,0.87,0,0.00,490,0.07
2,1192,2925,2.45,3004,2.52,86687,72.72,7433,6.24,576,0.48,19,0.02
3,12910,47062,3.65,47862,3.71,3759914,291.24,1790332,138.68,53331,4.13,38,0.00
4,11638,72292,6.21,77976,6.70,6451986,554.39,2725262,234.17,85205,7.32,57,0.00
5,3634,10333,2.84,8750,2.41,128562,35.38,13150,3.62,0,0.00,18,0.00
6,1033,4689,4.54,4554,4.41,27609,26.73,1928,1.87,0,0.00,11,0.01
7,2120,14600,6.89,13068,6.16,57092,26.93,14723,6.94,0,0.00,4,0.00
8,1472,14644,9.95,13226,8.99,83022,56.40,8966,6.09,0,0.00,14,0.01
9,5031,21004,4.17,18267,3.63,299013,59.43,22082,4.39,864,0.17,22,0.00
10,606,4383,7.23,3693,6.09,38341,63.27,4641,7.66,0,0.00,51,0.08
11,579,4593,7.93,4293,7.41,226046,390.41,18230,31.49,1728,2.98,22,0.04
12,7752,43849,5.66,37593,4.85,379847,49.00,14412,1.86,0,0.00,38,0.00
13,1242,10795,8.69,10352,8.33,3777237,3041.25,3412536,2747.61,87464,70.42,30,0.02
14,539,3615,6.71,2673,4.96,104706,194.26,8276,15.35,0,0.00,17,0.03
15,1700,17176,10.10,16671,9.81,1467770,863.39,1281823,754.01,32475,19.10,21,0.01
16,2028,27188,13.41,26061,12.85,129777,63.99,3130,1.54,0,0.00,26,0.01
17,249,2186,8.78,1763,7.08,29856,119.90,3128,12.56,0,0.00,16,0.06
18,8218,233474,28.41,249183,30.32,32188470,3916.83,11782446,1433.74,323046,39.31,183,0.02
19,396,6182,15.61,5874,14.83,71305,180.06,5132,12.96,288,0.73,16,0.04
20,530,4413,8.33,4637,8.75,71237,134.41,4434,8.37,0,0.00,3,0.01
21,1474,15500,10.52,10814,7.34,133059,90.27,7912,5.37,0,0.00,16,0.01
22,129,1291,10.01,982,7.61,22618,175.33,2136,16.56,0,0.00,8,0.06
23,118,1246,10.56,933,7.91,24429,207.03,3083,26.13,0,0.00,9,0.08
24,1659,17152,10.34,14083,8.49,165410,99.70,6091,3.67,0,0.00,14,0.01
25,132,1635,12.39,1227,9.30,34579,261.96,3322,25.17,0,0.00,12,0.09
26,79,844,10.68,590,7.47,21236,268.81,2486,31.47,0,0.00,22,0.28
27,179,2689,15.02,2062,11.52,35220,196.76,6147,34.34,0,0.00,3,0.02
28,202,5101,25.25,1956,9.68,48025,237.75,7951,39.36,0,0.00,1,0.00
29,73,999,13.68,599,8.21,17336,237.48,3861,52.89,0,0.00,4,0.05
30,74,1121,15.15,792,10.70,19863,268.42,3289,44.45,0,0.00,12,0.16
31,93,1835,19.73,1453,15.62,25914,278.65,3358,36.11,0,0.00,14,0.15
32,120,2272,18.93,2027,16.89,34044,283.70,3021,25.18,0,0.00,14,0.12
33,113,1754,15.52,1323,11.71,33036,292.35,4338,38.39,0,0.00,14,0.12
34,34,412,12.12,274,8.06,15860,466.47,2391,70.32,0,0.00,14,0.41
35,117,1356,11.59,1345,11.50,35317,301.85,3075,26.28,0,0.00,6,0.05
36,206,5576,27.07,4860,23.59,38633,187.54,6826,33.14,0,0.00,13,0.06
37,71,1035,14.58,569,8.01,20126,283.46,4856,68.39,0,0.00,2,0.03
38,43,798,18.56,589,13.70,17499,406.95,2508,58.33,0,0.00,16,0.37
39,74,1746,23.59,1345,18.18,19349,261.47,4268,57.68,0,0.00,7,0.09
40,72,1415,19.65,971,13.49,24583,341.43,3868,53.72,0,0.00,14,0.19
41,46,809,17.59,549,11.93,23676,514.70,2287,49.72,0,0.00,8,0.17
42,40,1145,28.62,1028,25.70,13150,328.75,2043,51.08,0,0.00,12,0.30
43,40,902,22.55,771,19.27,15975,399.38,2294,57.35,0,0.00,3,0.07
44,64,1279,19.98,1059,16.55,21324,333.19,2749,42.95,0,0.00,9,0.14
45,71,1491,21.00,825,11.62,25644,361.18,7334,103.30,0,0.00,4,0.06
46,37,687,18.57,429,11.59,22944,620.11,5058,136.70,0,0.00,5,0.14
47,36,698,19.39,605,16.81,15884,441.22,2578,71.61,0,0.00,18,0.50
48,67,1735,25.90,1429,21.33,23379,348.94,4446,66.36,0,0.00,12,0.18
49,32,744,23.25,398,12.44,16092,502.88,3258,101.81,0,0.00,9,0.28
50,17,220,12.94,156,9.18,12878,757.53,2658,156.35,0,0.00,7,0.41
51,45,1157,25.71,811,18.02,17487,388.60,5337,118.60,0,0.00,4,0.09
52,50,1465,29.30,1079,21.58,24010,480.20,7033,140.66,0,0.00,6,0.12
53,32,588,18.38,275,8.59,19307,603.34,4514,141.06,0,0.00,3,0.09
54,8019,207881,25.92,185632,23.15,1768230,220.51,47412,5.91,0,0.00,579,0.07
55,32,807,25.22,700,21.88,17660,551.88,3346,104.56,0,0.00,11,0.34
56,40,1496,37.40,1303,32.58,18054,451.35,2329,58.23,0,0.00,5,0.12
57,29,762,26.28,242,8.34,12537,432.31,7326,252.62,0,0.00,4,0.14
58,7,116,16.57,56,8.00,6275,896.43,1735,247.86,0,0.00,0,0.00
59,20,674,33.70,566,28.30,13031,651.55,2857,142.85,0,0.00,1,0.05
60,41,1356,33.07,960,23.41,22234,542.29,8661,211.24,0,0.00,2,0.05
61,79,1881,23.81,1132,14.33,57811,731.78,14033,177.63,0,0.00,0,0.00
62,17,255,15.00,152,8.94,12646,743.88,1998,117.53,0,0.00,5,0.29
63,32,850,26.56,442,13.81,14349,448.41,7017,219.28,0,0.00,15,0.47
64,24,945,39.38,794,33.08,11875,494.79,1771,73.79,0,0.00,16,0.67
65,18,312,17.33,240,13.33,10057,558.72,1591,88.39,0,0.00,10,0.56
66,16,268,16.75,182,11.38,14232,889.50,2096,131.00,0,0.00,0,0.00
67,13,473,36.38,410,31.54,13156,1012.00,2609,200.69,0,0.00,3,0.23
68,27,1072,39.70,684,25.33,16672,617.48,5638,208.81,0,0.00,0,0.00
69,44,1202,27.32,298,6.77,26189,595.20,14735,334.89,0,0.00,2,0.05
70,9,193,21.44,86,9.56,12065,1340.56,1312,145.78,0,0.00,1,0.11
71,6,283,47.17,268,44.67,5413,902.17,386,64.33,0,0.00,1,0.17
72,154,9170,59.55,5175,33.60,79251,514.62,4241,27.54,0,0.00,54,0.35
73,10,330,33.00,264,26.40,13056,1305.60,1329,132.90,0,0.00,0,0.00
74,6,95,15.83,53,8.83,8447,1407.83,638,106.33,0,0.00,0,0.00
75,22,983,44.68,508,23.09,17926,814.82,10192,463.27,0,0.00,0,0.00
76,62,1531,24.69,770,12.42,63327,1021.40,16175,260.89,0,0.00,0,0.00
77,11,345,31.36,100,9.09,7054,641.27,3655,332.27,0,0.00,0,0.00
78,13,341,26.23,170,13.08,23699,1823.00,3896,299.69,0,0.00,2,0.15
79,35,1137,32.49,589,16.83,36016,1029.03,6602,188.63,0,0.00,2,0.06
80,12,532,44.33,391,32.58,11740,978.33,4133,344.42,0,0.00,18,1.50
81,262,4470,17.06,1850,7.06,859363,3280.01,78314,298.91,594,2.27,8,0.03
82,6,103,17.17,49,8.17,11972,1995.33,1002,167.00,0,0.00,3,0.50
