tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,467772,1810867,3.87,1093933,2.34,3661441,7.83,1648856,3.52,46501,0.10,1128,0.00
2,3580,65694,18.35,40508,11.32,7757,2.17,1594,0.45,0,0.00,22,0.01
3,465572,820592,1.76,526574,1.13,10327232,22.18,2228359,4.79,63759,0.14,185,0.00
4,5912,79683,13.48,50444,8.53,111507,18.86,7033,1.19,0,0.00,32,0.01
5,32390,110325,3.41,62537,1.93,928656,28.67,125422,3.87,0,0.00,6,0.00
6,13847,86136,6.22,47107,3.40,1714358,123.81,1155529,83.45,32475,2.35,183,0.01
7,14836,69043,4.65,37314,2.52,615720,41.50,215148,14.50,552,0.04,18,0.00
8,1623,22794,14.04,11815,7.28,60733,37.42,13197,8.13,0,0.00,94,0.06
9,16425,81766,4.98,42673,2.60,754134,45.91,348380,21.21,0,0.00,1,0.00
10,2478,26407,10.66,14931,6.03,119578,48.26,30366,12.25,0,0.00,64,0.03
11,11901,65536,5.51,36728,3.09,1083747,91.06,355465,29.87,0,0.00,40,0.00
12,5566,77382,13.90,65796,11.82,11762370,2113.25,7047866,1266.24,204087,36.67,44,0.01
13,3923,68435,17.44,64126,16.35,5128258,1307.23,1157493,295.05,45188,11.52,726,0.19
14,955,19252,20.16,10463,10.96,52375,54.84,23344,24.44,0,0.00,15,0.02
15,1645,34209,20.80,24349,14.80,82518,50.16,41865,25.45,0,0.00,6,0.00
16,1440,29857,20.73,19174,13.32,164166,114.00,46743,32.46,0,0.00,171,0.12
17,453,16340,36.07,7391,16.32,32306,71.32,10857,23.97,0,0.00,37,0.08
18,724,18065,24.95,8494,11.73,52508,72.52,9840,13.59,0,0.00,48,0.07
19,655,16465,25.14,6560,10.02,90394,138.01,41196,62.89,0,0.00,39,0.06
20,306,11988,39.18,4771,15.59,37681,123.14,8115,26.52,0,0.00,16,0.05
21,1391,24800,17.83,12359,8.88,187088,134.50,63570,45.70,0,0.00,791,0.57
22,634,17959,28.33,9909,15.63,72719,114.70,36972,58.32,0,0.00,15,0.02
23,301,12119,40.26,5547,18.43,65509,217.64,10407,34.57,0,0.00,55,0.18
24,282,9728,34.50,4829,17.12,52001,184.40,9301,32.98,0,0.00,48,0.17
25,515,13348,25.92,8488,16.48,92114,178.86,51569,100.13,208,0.40,16,0.03
26,314,10187,32.44,5013,15.96,116906,372.31,39591,126.09,0,0.00,13,0.04
27,257,8206,31.93,4171,16.23,54671,212.73,14023,54.56,0,0.00,6,0.02
28,361,9639,26.70,5169,14.32,68214,188.96,54599,151.24,0,0.00,19,0.05
29,149,6124,41.10,2967,19.91,73753,494.99,11382,76.39,0,0.00,47,0.32
30,206,7714,37.45,4156,20.17,22862,110.98,4790,23.25,0,0.00,33,0.16
31,487,12249,25.15,5521,11.34,181502,372.69,123305,253.19,0,0.00,10,0.02
32,145,6623,45.68,3823,26.37,17444,120.30,3893,26.85,0,0.00,13,0.09
33,765,13489,17.63,7809,10.21,332251,434.32,108060,141.25,0,0.00,80,0.10
34,289,7654,26.48,3606,12.48,81726,282.79,72203,249.84,0,0.00,249,0.86
35,229,6204,27.09,3121,13.63,91148,398.03,13497,58.94,0,0.00,26,0.11
36,1177,26927,22.88,19401,16.48,267013,226.86,81575,69.31,0,0.00,10,0.01
37,359,9481,26.41,4883,13.60,89126,248.26,70176,195.48,0,0.00,19,0.05
38,162,5997,37.02,2466,15.22,71311,440.19,11757,72.57,0,0.00,9,0.06
39,2116,38685,18.28,24663,11.66,694806,328.36,56897,26.89,0,0.00,1,0.00
40,359,12715,35.42,6924,19.29,80244,223.52,69891,194.68,0,0.00,2,0.01
