tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,11530,18407,1.60,19472,1.69,1414431,122.67,579593,50.27,17617,1.53,23,0.00
2,4318,14510,3.36,15443,3.58,1766228,409.04,979732,226.89,28158,6.52,10,0.00
3,13173,19466,1.48,21422,1.63,182021,13.82,2038,0.15,0,0.00,4,0.00
4,9987,51587,5.17,55957,5.60,7775386,778.55,3071633,307.56,81537,8.16,40,0.00
5,3438,8411,2.45,8420,2.45,79703,23.18,1458,0.42,0,0.00,0,0.00
6,3214,7716,2.40,7086,2.20,171195,53.27,7631,2.37,864,0.27,5,0.00
7,1704,51937,30.48,33756,19.81,369497,216.84,61717,36.22,0,0.00,2,0.00
8,467,3660,7.84,3244,6.95,41215,88.25,3751,8.03,0,0.00,1,0.00
9,1553,7168,4.62,4733,3.05,62671,40.35,5394,3.47,0,0.00,6,0.00
10,338,1807,5.35,1481,4.38,25091,74.23,2334,6.91,0,0.00,30,0.09
11,133,610,4.59,441,3.32,11914,89.58,1388,10.44,0,0.00,2,0.02
12,7999,46399,5.80,41335,5.17,393343,49.17,12215,1.53,0,0.00,137,0.02
13,103,851,8.26,574,5.57,10717,104.05,1757,17.06,0,0.00,0,0.00
14,127,1079,8.50,888,6.99,10559,83.14,1449,11.41,0,0.00,1,0.01
15,79,710,8.99,581,7.35,8586,108.68,2080,26.33,0,0.00,0,0.00
16,258,2777,10.76,1781,6.90,30059,116.51,1501,5.82,0,0.00,13,0.05
17,40,381,9.53,240,6.00,8065,201.62,1526,38.15,0,0.00,0,0.00
18,579,1269,2.19,934,1.61,73311,126.62,6161,10.64,0,0.00,2,0.00
19,300,1632,5.44,1220,4.07,140767,469.22,10375,34.58,0,0.00,0,0.00
20,858,7743,9.02,6648,7.75,115098,134.15,11927,13.90,0,0.00,12,0.01
21,290,1817,6.27,1243,4.29,157993,544.80,9819,33.86,0,0.00,0,0.00
22,57,414,7.26,286,5.02,14306,250.98,1964,34.46,0,0.00,8,0.14
23,40,486,12.15,304,7.60,7976,199.40,3511,87.78,0,0.00,0,0.00
24,56,720,12.86,628,11.21,10907,194.77,1514,27.04,0,0.00,0,0.00
25,20,229,11.45,120,6.00,11967,598.35,2700,135.00,0,0.00,0,0.00
26,41,463,11.29,258,6.29,14211,346.61,3279,79.98,0,0.00,0,0.00
27,36,454,12.61,266,7.39,12953,359.81,4044,112.33,0,0.00,0,0.00
28,284,5806,20.44,2523,8.88,55453,195.26,15141,53.31,0,0.00,0,0.00
29,35,559,15.97,134,3.83,52712,1506.06,10577,302.20,0,0.00,0,0.00
30,35,595,17.00,290,8.29,9593,274.09,4585,131.00,0,0.00,8,0.23
31,14,279,19.93,86,6.14,4772,340.86,4705,336.07,0,0.00,4,0.29
32,43,751,17.47,639,14.86,7771,180.72,2353,54.72,0,0.00,16,0.37
33,18,296,16.44,173,9.61,8609,478.28,3109,172.72,0,0.00,0,0.00
34,20,311,15.55,125,6.25,5378,268.90,3890,194.50,0,0.00,0,0.00
35,17,241,14.18,164,9.65,9427,554.53,3114,183.18,0,0.00,4,0.24
36,206,3462,16.81,1852,8.99,47571,230.93,23391,113.55,0,0.00,6,0.03
37,15,277,18.47,174,11.60,8748,583.20,3604,240.27,0,0.00,0,0.00
38,30,333,11.10,158,5.27,14092,469.73,3572,119.07,0,0.00,2,0.07
39,6,170,28.33,100,16.67,4149,691.50,2812,468.67,0,0.00,1,0.17
40,26,468,18.00,263,10.12,11398,438.38,1535,59.04,0,0.00,2,0.08
41,13,282,21.69,94,7.23,9421,724.69,1272,97.85,0,0.00,8,0.62
42,79,246,3.11,215,2.72,13251,167.73,2161,27.35,0,0.00,0,0.00
