tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,12580,23783,1.89,22725,1.81,1646448,130.88,1009315,80.23,32120,2.55,10,0.00
2,7434,24285,3.27,26651,3.59,3489559,469.41,1355633,182.36,39068,5.26,18,0.00
3,9429,13520,1.43,11655,1.24,112182,11.90,2184,0.23,0,0.00,3,0.00
4,714,2464,3.45,1982,2.78,11823,16.56,404,0.57,0,0.00,4,0.01
5,542,1135,2.09,1130,2.08,17164,31.67,932,1.72,0,0.00,0,0.00
6,8225,23742,2.89,21246,2.58,201031,24.44,5126,0.62,0,0.00,64,0.01
7,274,2070,7.55,623,2.27,15659,57.15,2369,8.65,0,0.00,0,0.00
8,223,1306,5.86,860,3.86,10117,45.37,235,1.05,0,0.00,6,0.03
9,151,650,4.30,335,2.22,9571,63.38,2371,15.70,0,0.00,0,0.00
10,865,4047,4.68,3413,3.95,55347,63.98,5407,6.25,0,0.00,16,0.02
11,71,313,4.41,230,3.24,6332,89.18,907,12.77,0,0.00,0,0.00
12,68,561,8.25,439,6.46,4100,60.29,1136,16.71,0,0.00,0,0.00
13,55,368,6.69,226,4.11,6233,113.33,1671,30.38,0,0.00,0,0.00
14,276,2971,10.76,1333,4.83,26246,95.09,6629,24.02,0,0.00,1,0.00
15,58,513,8.84,321,5.53,4156,71.66,2703,46.60,0,0.00,0,0.00
16,67,531,7.93,508,7.58,8618,128.63,289,4.31,0,0.00,9,0.13
17,38,334,8.79,149,3.92,5959,156.82,2809,73.92,0,0.00,0,0.00
18,207,1702,8.22,893,4.31,25201,121.74,11110,53.67,0,0.00,1,0.00
19,55,411,7.47,178,3.24,13217,240.31,4679,85.07,0,0.00,0,0.00
20,37,311,8.41,213,5.76,6776,183.14,1072,28.97,0,0.00,8,0.22
21,12,150,12.50,74,6.17,2450,204.17,1674,139.50,0,0.00,0,0.00
22,190,923,4.86,1439,7.57,50474,265.65,3472,18.27,0,0.00,1,0.01
23,49,1088,22.20,813,16.59,8903,181.69,3324,67.84,0,0.00,2,0.04
24,25,303,12.12,228,9.12,6629,265.16,1121,44.84,0,0.00,0,0.00
25,18,246,13.67,68,3.78,10413,578.50,4484,249.11,0,0.00,0,0.00
26,38,518,13.63,275,7.24,14858,391.00,2847,74.92,0,0.00,1,0.03
27,30,359,11.97,107,3.57,11969,398.97,5638,187.93,0,0.00,0,0.00
28,16,279,17.44,249,15.56,4040,252.50,396,24.75,0,0.00,0,0.00
29,45,726,16.13,143,3.18,48645,1081.00,15444,343.20,0,0.00,0,0.00
30,34,646,19.00,424,12.47,5991,176.21,3570,105.00,0,0.00,8,0.24
31,11,165,15.00,25,2.27,3073,279.36,3830,348.18,0,0.00,0,0.00
32,18,417,23.17,285,15.83,18697,1038.72,1613,89.61,0,0.00,0,0.00
33,16,186,11.62,72,4.50,9344,584.00,2764,172.75,0,0.00,0,0.00
34,79,542,6.86,323,4.09,13085,165.63,3577,45.28,0,0.00,115,1.46
35,6,104,17.33,41,6.83,2867,477.83,3192,532.00,0,0.00,2,0.33
36,4,122,30.50,110,27.50,348,87.00,168,42.00,0,0.00,0,0.00
37,12,254,21.17,153,12.75,8126,677.17,3607,300.58,0,0.00,0,0.00
