tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,215190,341643,1.59,236028,1.10,4529717,21.05,1340103,6.23,39310,0.18,1536,0.01
2,9480,35880,3.78,31064,3.28,2638664,278.34,1784820,188.27,49852,5.26,102,0.01
3,23059,47412,2.06,37613,1.63,351921,15.26,14132,0.61,0,0.00,78,0.00
4,12534,68158,5.44,65301,5.21,5239110,417.99,2248541,179.40,70268,5.61,116,0.01
5,6250,26905,4.30,23297,3.73,159447,25.51,13906,2.22,0,0.00,27,0.00
6,8874,53557,6.04,50864,5.73,3498075,394.19,619587,69.82,26176,2.95,68,0.01
7,3384,23802,7.03,19707,5.82,1819095,537.56,322662,95.35,13145,3.88,31,0.01
8,5379,57251,10.64,56178,10.44,3434819,638.56,619869,115.24,26176,4.87,51,0.01
9,3221,22348,6.94,18032,5.60,133516,41.45,28634,8.89,0,0.00,29,0.01
10,2417,27051,11.19,24512,10.14,1849909,765.37,1637514,677.50,43308,17.92,80,0.03
11,1462,13812,9.45,11581,7.92,132506,90.63,10648,7.28,288,0.20,94,0.06
12,6206,42713,6.88,38333,6.18,436384,70.32,26456,4.26,1008,0.16,64,0.01
13,1279,12124,9.48,9723,7.60,94379,73.79,10479,8.19,0,0.00,36,0.03
14,1834,22789,12.43,20912,11.40,3662182,1996.83,3259151,1777.07,86896,47.38,70,0.04
15,1024,10446,10.20,8317,8.12,79394,77.53,9197,8.98,0,0.00,60,0.06
16,1425,17400,12.21,16310,11.45,1907390,1338.52,1639689,1150.66,44044,30.91,26,0.02
17,686,7033,10.25,5591,8.15,126919,185.01,12295,17.92,0,0.00,236,0.34
18,2465,26129,10.60,20099,8.15,2828336,1147.40,2452145,994.78,64962,26.35,64,0.03
19,747,8068,10.80,6355,8.51,84423,113.02,9997,13.38,0,0.00,47,0.06
20,1023,16135,15.77,14105,13.79,120143,117.44,7915,7.74,0,0.00,83,0.08
21,564,6774,12.01,5123,9.08,69051,122.43,8337,14.78,0,0.00,27,0.05
22,1655,25551,15.44,24440,14.77,145736,88.06,5846,3.53,0,0.00,16,0.01
23,439,6818,15.53,5579,12.71,73775,168.05,12137,27.65,0,0.00,14,0.03
24,2564,33039,12.89,25676,10.01,259323,101.14,11885,4.64,0,0.00,21,0.01
25,1037,13842,13.35,12702,12.25,162419,156.62,12438,11.99,288,0.28,10,0.01
26,525,9138,17.41,7470,14.23,71570,136.32,6472,12.33,0,0.00,6,0.01
27,901,11509,12.77,8951,9.93,232071,257.57,22263,24.71,1104,1.23,21,0.02
28,562,10254,18.25,9578,17.04,85707,152.50,7225,12.86,0,0.00,13,0.02
29,224,3861,17.24,2863,12.78,107085,478.06,22080,98.57,0,0.00,0,0.00
30,1591,22225,13.97,19277,12.12,192175,120.79,8888,5.59,0,0.00,33,0.02
31,6561,333509,50.83,358702,54.67,55717010,8492.15,20015262,3050.64,548607,83.62,238,0.04
32,1124,42337,37.67,42348,37.68,612570,544.99,399553,355.47,11115,9.89,93,0.08
33,276,5512,19.97,4487,16.26,62291,225.69,12560,45.51,0,0.00,31,0.11
34,526,24236,46.08,26389,50.17,39431,74.96,7071,13.44,0,0.00,33,0.06
35,336,4081,12.15,2124,6.32,144093,428.85,21974,65.40,0,0.00,33,0.10
36,311,9098,29.25,7882,25.34,100111,321.90,13756,44.23,0,0.00,26,0.08
37,184,4191,22.78,3108,16.89,52220,283.80,12188,66.24,0,0.00,26,0.14
38,140,3460,24.71,2532,18.09,64399,459.99,8377,59.84,288,2.06,35,0.25
39,87,1900,21.84,1226,14.09,72373,831.87,10436,119.95,0,0.00,29,0.33
40,217,5293,24.39,4050,18.66,61692,284.29,8009,36.91,0,0.00,41,0.19
41,160,3385,21.16,2556,15.97,44053,275.33,5036,31.48,0,0.00,16,0.10
42,640,9969,15.58,5503,8.60,176216,275.34,19828,30.98,0,0.00,14,0.02
43,235,3097,13.18,2325,9.89,92551,393.83,14428,61.40,0,0.00,18,0.08
44,165,3278,19.87,2539,15.39,50997,309.07,5650,34.24,0,0.00,23,0.14
45,125,2125,17.00,1373,10.98,50064,400.51,14032,112.26,0,0.00,10,0.08
46,209,4911,23.50,3826,18.31,61899,296.17,9911,47.42,0,0.00,20,0.10
47,120,2202,18.35,1427,11.89,62292,519.10,11681,97.34,0,0.00,19,0.16
48,158,3958,25.05,3197,20.23,57067,361.18,8479,53.66,0,0.00,20,0.13
49,83,2066,24.89,1020,12.29,38152,459.66,9841,118.57,0,0.00,7,0.08
50,419,2641,6.30,2469,5.89,88035,210.11,12560,29.98,0,0.00,8,0.02
51,185,3117,16.85,2366,12.79,57094,308.62,7915,42.78,0,0.00,9,0.05
52,612,3545,5.79,3482,5.69,109908,179.59,11838,19.34,0,0.00,6,0.01
53,194,1778,9.16,1282,6.61,51465,265.28,9774,50.38,0,0.00,18,0.09
54,231,5513,23.87,3356,14.53,69927,302.71,13862,60.01,0,0.00,0,0.00
55,139,2493,17.94,1529,11.00,49721,357.71,6568,47.25,0,0.00,18,0.13
56,200,7614,38.07,3266,16.33,75842,379.21,10985,54.92,0,0.00,3,0.01
57,111,2544,22.92,1358,12.23,40107,361.32,6744,60.76,0,0.00,12,0.11
58,111,2872,25.87,1617,14.57,107398,967.55,17607,158.62,0,0.00,2,0.02
