tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,2499,3761,1.51,3785,1.51,62736,25.10,5619,2.25,288,0.12,18,0.01
2,12471,41927,3.36,44763,3.59,4466017,358.11,2111940,169.35,63524,5.09,32,0.00
3,1668,3228,1.94,3043,1.82,20564,12.33,869,0.52,0,0.00,3,0.00
4,4760,28953,6.08,30649,6.44,1717416,360.80,310459,65.22,13376,2.81,28,0.01
5,714,2062,2.89,2108,2.95,19159,26.83,1329,1.86,0,0.00,1,0.00
6,9197,28872,3.14,25966,2.82,212964,23.16,4979,0.54,0,0.00,7,0.00
7,454,2901,6.39,2284,5.03,81098,178.63,7238,15.94,576,1.27,6,0.01
8,1721,10785,6.27,10073,5.85,994237,577.71,823717,478.63,21658,12.58,3,0.00
9,372,1852,4.98,1319,3.55,24578,66.07,3552,9.55,0,0.00,5,0.01
10,9179,134440,14.65,144681,15.76,20163913,2196.74,8366915,911.53,220594,24.03,124,0.01
11,228,1143,5.01,871,3.82,18569,81.44,1750,7.68,0,0.00,18,0.08
12,3251,19738,6.07,16943,5.21,155365,47.79,6413,1.97,0,0.00,10,0.00
13,147,1083,7.37,709,4.82,15489,105.37,3028,20.60,0,0.00,20,0.14
14,1180,10473,8.88,8937,7.57,158219,134.08,10293,8.72,864,0.73,17,0.01
15,112,750,6.70,541,4.83,16025,143.08,2143,19.13,0,0.00,1,0.01
16,440,5180,11.77,4857,11.04,45008,102.29,2442,5.55,0,0.00,12,0.03
17,82,581,7.09,439,5.35,22883,279.06,2669,32.55,178,2.17,1,0.01
18,1512,13751,9.09,9296,6.15,119873,79.28,9441,6.24,0,0.00,20,0.01
19,69,562,8.14,420,6.09,14540,210.72,1031,14.94,0,0.00,5,0.07
20,323,3873,11.99,3678,11.39,35203,108.99,2900,8.98,0,0.00,2,0.01
21,48,410,8.54,246,5.12,9862,205.46,1392,29.00,0,0.00,4,0.08
22,143,1395,9.76,1113,7.78,22876,159.97,2616,18.29,0,0.00,4,0.03
23,52,353,6.79,188,3.62,11019,211.90,2855,54.90,0,0.00,1,0.02
24,95,1318,13.87,1078,11.35,11992,126.23,1843,19.40,0,0.00,5,0.05
25,30,295,9.83,190,6.33,14738,491.27,1180,39.33,0,0.00,0,0.00
26,127,1898,14.94,1272,10.02,26405,207.91,4012,31.59,0,0.00,1,0.01
27,35,288,8.23,197,5.63,11305,323.00,1209,34.54,0,0.00,2,0.06
28,116,2068,17.83,1869,16.11,25707,221.61,2581,22.25,0,0.00,2,0.02
29,14,141,10.07,91,6.50,5808,414.86,623,44.50,0,0.00,4,0.29
30,8069,116399,14.43,103789,12.86,995989,123.43,32432,4.02,0,0.00,324,0.04
31,9,76,8.44,45,5.00,3298,366.44,434,48.22,0,0.00,0,0.00
32,72,1585,22.01,1358,18.86,13792,191.56,3078,42.75,0,0.00,6,0.08
33,16,155,9.69,115,7.19,6423,401.44,979,61.19,0,0.00,14,0.88
34,63,1261,20.02,759,12.05,16133,256.08,6004,95.30,0,0.00,0,0.00
35,16,113,7.06,91,5.69,8372,523.25,669,41.81,0,0.00,8,0.50
36,51,790,15.49,441,8.65,14616,286.59,4408,86.43,0,0.00,8,0.16
37,8,78,9.75,49,6.12,3636,454.50,465,58.12,0,0.00,6,0.75
38,60,1127,18.78,645,10.75,26087,434.78,8824,147.07,0,0.00,5,0.08
39,7,218,31.14,143,20.43,11859,1694.14,1154,164.86,0,0.00,0,0.00
40,203,6177,30.43,3536,17.42,78411,386.26,8194,40.36,0,0.00,44,0.22
41,15,209,13.93,123,8.20,15034,1002.27,1229,81.93,0,0.00,0,0.00
42,79,2017,25.53,1080,13.67,53970,683.16,11770,148.99,0,0.00,8,0.10
43,14,422,30.14,286,20.43,25162,1797.29,1899,135.64,0,0.00,4,0.29
44,38,990,26.05,735,19.34,34648,911.79,4661,122.66,0,0.00,10,0.26
45,10,151,15.10,125,12.50,13089,1308.90,1854,185.40,0,0.00,0,0.00
46,47,1108,23.57,574,12.21,31214,664.13,11623,247.30,0,0.00,3,0.06
47,15,110,7.33,46,3.07,8096,539.73,1315,87.67,0,0.00,9,0.60
48,53,1185,22.36,844,15.92,36310,685.09,6199,116.96,0,0.00,4,0.08
49,7,166,23.71,110,15.71,10094,1442.00,1189,169.86,0,0.00,3,0.43
50,846,19377,22.90,16419,19.41,277709,328.26,35439,41.89,0,0.00,3,0.00
51,7,93,13.29,38,5.43,6197,885.29,2177,311.00,0,0.00,5,0.71
52,33,642,19.45,379,11.48,31051,940.94,6474,196.18,0,0.00,5,0.15
53,10,121,12.10,38,3.80,34378,3437.80,5089,508.90,0,0.00,4,0.40
54,37,913,24.68,432,11.68,30154,814.97,12536,338.81,0,0.00,1,0.03
55,2,29,14.50,26,13.00,2261,1130.50,451,225.50,0,0.00,0,0.00
56,12,520,43.33,370,30.83,5321,443.42,3285,273.75,0,0.00,0,0.00
57,2,26,13.00,9,4.50,1108,554.00,221,110.50,0,0.00,0,0.00
58,58,1926,33.21,502,8.66,160360,2764.83,32581,561.74,0,0.00,0,0.00
59,8,79,9.88,19,2.38,7492,936.50,1147,143.38,0,0.00,0,0.00
60,48,1480,30.83,1276,26.58,18060,376.25,7056,147.00,0,0.00,3,0.06
61,8,58,7.25,30,3.75,6764,845.50,1678,209.75,0,0.00,6,0.75
62,23,868,37.74,225,9.78,13798,599.91,12619,548.65,0,0.00,2,0.09
63,2,134,67.00,78,39.00,7498,3749.00,1153,576.50,0,0.00,0,0.00
64,19,695,36.58,490,25.79,5978,314.63,4556,239.79,0,0.00,5,0.26
65,2,9,4.50,6,3.00,1040,520.00,196,98.00,0,0.00,1,0.50
66,34,986,29.00,382,11.24,24308,714.94,11563,340.09,0,0.00,0,0.00
