tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,243951,490554,2.01,378455,1.55,1061290,4.35,177504,0.73,6998,0.03,5279,0.02
2,64446,247630,3.84,187695,2.91,88677,1.38,6601,0.10,576,0.01,2385,0.04
3,149906,330412,2.20,252027,1.68,4554280,30.38,1550553,10.34,43277,0.29,727,0.00
4,71731,279254,3.89,233992,3.26,3607926,50.30,1165527,16.25,35022,0.49,2470,0.03
5,76742,231008,3.01,181591,2.37,1873548,24.41,129625,1.69,0,0.00,2373,0.03
6,50786,221499,4.36,175657,3.46,1247522,24.56,80268,1.58,0,0.00,1676,0.03
7,54781,220634,4.03,146274,2.67,2362473,43.13,183663,3.35,0,0.00,1038,0.02
8,39314,215339,5.48,168144,4.28,5022085,127.74,735595,18.71,26176,0.67,1419,0.04
9,31171,162834,5.22,114996,3.69,1514688,48.59,305597,9.80,0,0.00,1785,0.06
10,23345,123627,5.30,88510,3.79,1303002,55.82,174028,7.45,0,0.00,883,0.04
11,16729,99973,5.98,87331,5.22,1417065,84.71,119940,7.17,864,0.05,519,0.03
12,17736,101532,5.72,79186,4.46,1469726,82.87,136599,7.70,240,0.01,629,0.04
13,10961,69460,6.34,52595,4.80,2863054,261.20,1728133,157.66,43292,3.95,497,0.05
14,16347,86357,5.28,53056,3.25,2242720,137.19,108392,6.63,0,0.00,7490,0.46
15,10141,71713,7.07,51664,5.09,1464251,144.39,83175,8.20,1728,0.17,4131,0.41
16,5350,37238,6.96,26832,5.02,687741,128.55,55476,10.37,0,0.00,1299,0.24
17,5278,36275,6.87,25103,4.76,753829,142.82,72927,13.82,0,0.00,3099,0.59
18,12197,265249,21.75,272598,22.35,33016473,2706.93,11921449,977.41,318474,26.11,2517,0.21
19,4455,32353,7.26,19808,4.45,1052290,236.20,83515,18.75,0,0.00,1564,0.35
20,3404,28401,8.34,17315,5.09,4664772,1370.38,3330313,978.35,86584,25.44,1131,0.33
21,2625,22081,8.41,13436,5.12,541267,206.20,67258,25.62,352,0.13,944,0.36
22,2222,18253,8.21,11393,5.13,551848,248.36,61916,27.86,0,0.00,708,0.32
23,1613,14940,9.26,9555,5.92,405757,251.55,43653,27.06,0,0.00,501,0.31
24,3599,39812,11.06,27642,7.68,614956,170.87,64539,17.93,0,0.00,1217,0.34
25,4395,25387,5.78,24089,5.48,550251,125.20,67257,15.30,0,0.00,9638,2.19
26,2167,17684,8.16,14098,6.51,489023,225.67,60322,27.84,0,0.00,3021,1.39
27,1870,17155,9.17,12618,6.75,486862,260.35,50661,27.09,0,0.00,854,0.46
28,1358,11677,8.60,8409,6.19,364808,268.64,40251,29.64,0,0.00,2231,1.64
29,1233,11161,9.05,7107,5.76,487757,395.59,91135,73.91,0,0.00,1106,0.90
30,1294,10462,8.09,8210,6.34,326633,252.42,42284,32.68,0,0.00,1107,0.86
31,7246,12572,1.74,17365,2.40,1371699,189.30,34548,4.77,0,0.00,572,0.08
32,4225,19522,4.62,17145,4.06,823992,195.03,37287,8.83,0,0.00,1130,0.27
33,2856,22734,7.96,19586,6.86,593085,207.66,62801,21.99,0,0.00,991,0.35
34,2876,13028,4.53,11482,3.99,639848,222.48,44997,15.65,0,0.00,373,0.13
35,3610,25288,7.00,16023,4.44,1187679,329.00,100516,27.84,0,0.00,599,0.17
36,2603,23267,8.94,18120,6.96,821405,315.56,107510,41.30,0,0.00,475,0.18
37,1560,14775,9.47,11800,7.56,476364,305.36,53072,34.02,0,0.00,533,0.34
38,1198,9430,7.87,6659,5.56,381385,318.35,35671,29.78,0,0.00,255,0.21
