tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,6166,10256,1.66,10546,1.71,908798,147.39,505143,81.92,16499,2.68,24,0.00
2,4305,14240,3.31,15104,3.51,679046,157.73,175238,40.71,10188,2.37,17,0.00
3,12114,48313,3.99,50287,4.15,3449942,284.79,1749047,144.38,63051,5.20,24,0.00
4,1231,4663,3.79,4455,3.62,42026,34.14,2691,2.19,288,0.23,9,0.01
5,1177,5055,4.29,4975,4.23,65770,55.88,6285,5.34,0,0.00,5,0.00
6,3896,13770,3.53,12801,3.29,1495583,383.88,1229329,315.54,32775,8.41,8,0.00
7,1339,5652,4.22,5225,3.90,152743,114.07,10736,8.02,1152,0.86,12,0.01
8,584,4342,7.43,4122,7.06,35024,59.97,4382,7.50,299,0.51,1,0.00
9,14502,139138,9.59,144157,9.94,15898535,1096.30,6142197,423.54,175689,12.11,86,0.01
10,827,6556,7.93,6273,7.59,44881,54.27,2904,3.51,0,0.00,29,0.04
11,1338,8539,6.38,8304,6.21,987877,738.32,818726,611.90,21658,16.19,18,0.01
12,986,7918,8.03,5062,5.13,54557,55.33,5459,5.54,0,0.00,3,0.00
13,163,1188,7.29,811,4.98,15832,97.13,2605,15.98,0,0.00,15,0.09
14,194,1498,7.72,1262,6.51,20088,103.55,2414,12.44,0,0.00,2,0.01
15,1112,7791,7.01,6258,5.63,79413,71.41,6325,5.69,0,0.00,8,0.01
16,159,1177,7.40,940,5.91,23429,147.35,1639,10.31,0,0.00,6,0.04
17,117,1208,10.32,874,7.47,19022,162.58,2250,19.23,0,0.00,5,0.04
18,228,3050,13.38,2654,11.64,19746,86.61,2351,10.31,0,0.00,5,0.02
19,87,710,8.16,467,5.37,13689,157.34,2468,28.37,0,0.00,15,0.17
20,103,857,8.32,689,6.69,33207,322.40,4101,39.82,291,2.83,2,0.02
21,190,3699,19.47,1394,7.34,34443,181.28,6376,33.56,0,0.00,0,0.00
22,122,951,7.80,745,6.11,29479,241.63,2607,21.37,0,0.00,4,0.03
23,106,985,9.29,691,6.52,21310,201.04,4010,37.83,0,0.00,15,0.14
24,107,1470,13.74,1200,11.21,46653,436.01,5154,48.17,288,2.69,10,0.09
25,60,475,7.92,408,6.80,21520,358.67,2563,42.72,0,0.00,0,0.00
26,63,695,11.03,564,8.95,19929,316.33,2522,40.03,0,0.00,4,0.06
27,8059,104478,12.96,93057,11.55,896291,111.22,29111,3.61,0,0.00,288,0.04
28,38,629,16.55,365,9.61,17256,454.11,2741,72.13,0,0.00,0,0.00
29,38,540,14.21,182,4.79,32322,850.58,8270,217.63,0,0.00,0,0.00
30,73,1280,17.53,919,12.59,11558,158.33,2948,40.38,0,0.00,4,0.05
31,30,442,14.73,276,9.20,11955,398.50,4617,153.90,0,0.00,0,0.00
32,25,339,13.56,247,9.88,8539,341.56,1452,58.08,0,0.00,4,0.16
33,59,999,16.93,830,14.07,15620,264.75,3351,56.80,0,0.00,22,0.37
34,15,241,16.07,185,12.33,5855,390.33,1053,70.20,0,0.00,14,0.93
35,27,381,14.11,137,5.07,10006,370.59,2109,78.11,0,0.00,6,0.22
36,185,5165,27.92,3118,16.85,39513,213.58,2981,16.11,0,0.00,41,0.22
37,25,491,19.64,313,12.52,14230,569.20,6552,262.08,0,0.00,2,0.08
38,40,475,11.88,237,5.92,20451,511.27,3513,87.83,0,0.00,5,0.12
39,46,1065,23.15,667,14.50,12932,281.13,5680,123.48,0,0.00,0,0.00
40,21,404,19.24,231,11.00,14875,708.33,2505,119.29,0,0.00,0,0.00
41,21,410,19.52,258,12.29,13095,623.57,2900,138.10,0,0.00,8,0.38
42,64,732,11.44,602,9.41,14457,225.89,2422,37.84,0,0.00,0,0.00
43,17,298,17.53,114,6.71,7569,445.24,4402,258.94,0,0.00,0,0.00
44,9,119,13.22,86,9.56,4968,552.00,510,56.67,0,0.00,0,0.00
45,854,17824,20.87,15194,17.79,250813,293.69,29371,34.39,0,0.00,0,0.00
46,21,297,14.14,181,8.62,14526,691.71,3976,189.33,0,0.00,3,0.14
47,32,491,15.34,242,7.56,21262,664.44,6776,211.75,0,0.00,0,0.00
48,51,1439,28.22,988,19.37,23539,461.55,5003,98.10,0,0.00,1,0.02
49,5,59,11.80,24,4.80,3942,788.40,289,57.80,0,0.00,5,1.00
50,9,145,16.11,73,8.11,6581,731.22,2377,264.11,0,0.00,3,0.33
51,41,1072,26.15,532,12.98,22693,553.49,9068,221.17,0,0.00,0,0.00
52,14,263,18.79,143,10.21,15000,1071.43,4260,304.29,0,0.00,2,0.14
53,8,300,37.50,218,27.25,4845,605.62,1648,206.00,0,0.00,3,0.38
54,29,844,29.10,656,22.62,9011,310.72,2783,95.97,0,0.00,0,0.00
55,14,305,21.79,106,7.57,11762,840.14,3319,237.07,0,0.00,5,0.36
56,10,247,24.70,186,18.60,9429,942.90,2358,235.80,0,0.00,4,0.40
57,44,1041,23.66,565,12.84,27796,631.73,9817,223.11,0,0.00,19,0.43
58,20,730,36.50,218,10.90,56989,2849.45,9052,452.60,0,0.00,5,0.25
59,39,745,19.10,380,9.74,29092,745.95,7932,203.38,0,0.00,8,0.21
60,27,356,13.19,132,4.89,17031,630.78,4848,179.56,0,0.00,15,0.56
61,13,386,29.69,203,15.62,10981,844.69,3897,299.77,0,0.00,3,0.23
62,4,87,21.75,64,16.00,3630,907.50,320,80.00,0,0.00,12,3.00
63,280,13015,46.48,5178,18.49,125726,449.02,38821,138.65,0,0.00,80,0.29
64,7,129,18.43,65,9.29,5815,830.71,1614,230.57,0,0.00,4,0.57
65,5,160,32.00,48,9.60,4241,848.20,691,138.20,0,0.00,8,1.60
66,21,385,18.33,131,6.24,19784,942.10,5998,285.62,0,0.00,26,1.24
67,14,327,23.36,86,6.14,9261,661.50,6488,463.43,0,0.00,2,0.14
68,9,307,34.11,94,10.44,8182,909.11,1859,206.56,0,0.00,25,2.78
69,22,1097,49.86,839,38.14,18044,820.18,4878,221.73,0,0.00,24,1.09
70,11,283,25.73,93,8.45,14194,1290.36,6323,574.82,0,0.00,0,0.00
71,16,453,28.31,217,13.56,18997,1187.31,7927,495.44,0,0.00,5,0.31
72,38,1511,39.76,1277,33.61,25423,669.03,4561,120.03,0,0.00,36,0.95
73,3,136,45.33,59,19.67,3389,1129.67,4675,1558.33,0,0.00,0,0.00
74,6,200,33.33,138,23.00,5745,957.50,2671,445.17,0,0.00,0,0.00
75,18,691,38.39,128,7.11,19386,1077.00,16938,941.00,0,0.00,0,0.00
76,4,179,44.75,122,30.50,6048,1512.00,3480,870.00,0,0.00,0,0.00
77,5,249,49.80,149,29.80,6639,1327.80,8855,1771.00,0,0.00,0,0.00
78,16,446,27.88,118,7.38,26370,1648.12,6864,429.00,0,0.00,1,0.06
79,5,151,30.20,70,14.00,6261,1252.20,7216,1443.20,0,0.00,2,0.40
80,2,20,10.00,12,6.00,1728,864.00,48,24.00,0,0.00,0,0.00
81,222,8464,38.13,4414,19.88,124401,560.36,59839,269.55,0,0.00,8,0.04
82,3,90,30.00,54,18.00,3572,1190.67,1997,665.67,0,0.00,4,1.33
83,2,22,11.00,8,4.00,3456,1728.00,526,263.00,0,0.00,48,24.00
84,58,210,3.62,172,2.97,24726,426.31,4050,69.83,0,0.00,40,0.69
85,14,375,26.79,116,8.29,17270,1233.57,5784,413.14,0,0.00,10,0.71
86,4,147,36.75,107,26.75,6623,1655.75,2772,693.00,0,0.00,0,0.00
87,40,1723,43.08,389,9.72,165980,4149.50,32920,823.00,0,0.00,8,0.20
88,11,477,43.36,265,24.09,14479,1316.27,5687,517.00,0,0.00,2,0.18
89,5,77,15.40,21,4.20,4405,881.00,4224,844.80,0,0.00,6,1.20
90,32,1568,49.00,905,28.28,22585,705.78,12244,382.62,0,0.00,0,0.00
91,4,58,14.50,30,7.50,4983,1245.75,1350,337.50,0,0.00,52,13.00
92,5,598,119.60,574,114.80,2600,520.00,92,18.40,0,0.00,6,1.20
93,9,395,43.89,131,14.56,9820,1091.11,16644,1849.33,0,0.00,4,0.44
94,3,66,22.00,40,13.33,3404,1134.67,701,233.67,0,0.00,2,0.67
95,8,390,48.75,92,11.50,12678,1584.75,4204,525.50,0,0.00,4,0.50
96,9,306,34.00,149,16.56,12909,1434.33,7351,816.78,0,0.00,2,0.22
97,1,8,8.00,5,5.00,928,928.00,174,174.00,0,0.00,0,0.00
98,1,6,6.00,5,5.00,755,755.00,59,59.00,0,0.00,2,2.00
99,212,4905,23.14,6789,32.02,260441,1228.50,22908,108.06,0,0.00,19,0.09
100,7,301,43.00,184,26.29,12023,1717.57,1793,256.14,0,0.00,2,0.29
101,8,308,38.50,112,14.00,13051,1631.38,7925,990.62,0,0.00,19,2.38
102,5,172,34.40,44,8.80,9252,1850.40,3816,763.20,0,0.00,2,0.40
103,2,11,5.50,7,3.50,1950,975.00,224,112.00,0,0.00,20,10.00
104,4,147,36.75,89,22.25,6032,1508.00,3058,764.50,0,0.00,4,1.00
105,5,332,66.40,141,28.20,8066,1613.20,16846,3369.20,0,0.00,2,0.40
106,5,191,38.20,124,24.80,11331,2266.20,5782,1156.40,0,0.00,0,0.00
107,9,316,35.11,150,16.67,17137,1904.11,4146,460.67,0,0.00,19,2.11
108,19,1322,69.58,1133,59.63,13730,722.63,2455,129.21,0,0.00,2,0.11
109,2,50,25.00,16,8.00,1851,925.50,1712,856.00,0,0.00,4,2.00
110,6,194,32.33,68,11.33,10529,1754.83,6098,1016.33,0,0.00,8,1.33
111,8,469,58.62,250,31.25,13799,1724.88,7449,931.12,0,0.00,0,0.00
112,2,222,111.00,171,85.50,2424,1212.00,3576,1788.00,0,0.00,0,0.00
113,23,740,32.17,201,8.74,88828,3862.09,24127,1049.00,108,4.70,22,0.96
114,3,235,78.33,230,76.67,667,222.33,50,16.67,0,0.00,2,0.67
115,7,688,98.29,500,71.43,6424,917.71,12688,1812.57,68,9.71,2,0.29
116,3,140,46.67,71,23.67,7227,2409.00,1862,620.67,0,0.00,0,0.00
117,37,2276,61.51,1402,37.89,40223,1087.11,31661,855.70,108,2.92,5,0.14
118,5,242,48.40,50,10.00,13051,2610.20,7345,1469.00,0,0.00,9,1.80
119,5,311,62.20,148,29.60,17606,3521.20,24584,4916.80,68,13.60,18,3.60
120,5,208,41.60,152,30.40,8526,1705.20,2611,522.20,0,0.00,0,0.00
121,5,156,31.20,33,6.60,13368,2673.60,3900,780.00,0,0.00,9,1.80
122,5,193,38.60,147,29.40,18263,3652.60,2348,469.60,0,0.00,2,0.40
123,10,226,22.60,84,8.40,24287,2428.70,9471,947.10,0,0.00,16,1.60
125,10,482,48.20,167,16.70,31199,3119.90,6099,609.90,0,0.00,0,0.00
126,84,1229,14.63,1324,15.76,59707,710.80,8525,101.49,0,0.00,9,0.11
127,5,280,56.00,135,27.00,16450,3290.00,21075,4215.00,0,0.00,0,0.00
128,3,182,60.67,43,14.33,10731,3577.00,3624,1208.00,0,0.00,0,0.00
129,10,447,44.70,168,16.80,24528,2452.80,8091,809.10,0,0.00,0,0.00
130,5,208,41.60,78,15.60,16160,3232.00,4815,963.00,0,0.00,0,0.00
131,4,202,50.50,113,28.25,10956,2739.00,2196,549.00,0,0.00,0,0.00
132,1,132,132.00,132,132.00,0,0.00,0,0.00,0,0.00,0,0.00
133,1,27,27.00,14,14.00,5872,5872.00,585,585.00,0,0.00,0,0.00
134,1,14,14.00,4,4.00,1562,1562.00,146,146.00,0,0.00,2,2.00
135,34,2903,85.38,1804,53.06,38211,1123.85,21623,635.97,0,0.00,0,0.00
136,4,275,68.75,135,33.75,9501,2375.25,8862,2215.50,0,0.00,2,0.50
137,6,302,50.33,123,20.50,16388,2731.33,3570,595.00,0,0.00,0,0.00
138,6,952,158.67,785,130.83,8241,1373.50,5436,906.00,0,0.00,0,0.00
139,2,23,11.50,19,9.50,5618,2809.00,654,327.00,0,0.00,0,0.00
141,13,772,59.38,343,26.38,36352,2796.31,18843,1449.46,0,0.00,0,0.00
142,2,41,20.50,10,5.00,4704,2352.00,455,227.50,0,0.00,8,4.00
143,5,241,48.20,99,19.80,15605,3121.00,4594,918.80,0,0.00,2,0.40
144,13,1302,100.15,1169,89.92,16671,1282.38,6986,537.38,86,6.62,2,0.15
146,2,103,51.50,52,26.00,5978,2989.00,5390,2695.00,0,0.00,0,0.00
147,6,292,48.67,131,21.83,18335,3055.83,9633,1605.50,0,0.00,0,0.00
148,4,468,117.00,177,44.25,11757,2939.25,8032,2008.00,0,0.00,6,1.50
149,1,52,52.00,23,23.00,3417,3417.00,135,135.00,0,0.00,0,0.00
150,10,646,64.60,312,31.20,36078,3607.80,13390,1339.00,0,0.00,0,0.00
152,3,119,39.67,46,15.33,10433,3477.67,7968,2656.00,0,0.00,0,0.00
153,81,2640,32.59,1515,18.70,78690,971.48,34155,421.67,0,0.00,513,6.33
154,1,46,46.00,14,14.00,2077,2077.00,2087,2087.00,0,0.00,0,0.00
155,6,406,67.67,100,16.67,14702,2450.33,10433,1738.83,0,0.00,0,0.00
156,5,269,53.80,149,29.80,8384,1676.80,11831,2366.20,0,0.00,12,2.40
157,2,202,101.00,100,50.00,6477,3238.50,14538,7269.00,0,0.00,0,0.00
158,3,285,95.00,57,19.00,9684,3228.00,8288,2762.67,0,0.00,0,0.00
159,7,479,68.43,259,37.00,16974,2424.86,12198,1742.57,0,0.00,0,0.00
160,1,50,50.00,18,18.00,3281,3281.00,3255,3255.00,0,0.00,0,0.00
161,3,177,59.00,99,33.00,9576,3192.00,3186,1062.00,0,0.00,0,0.00
162,2,225,112.50,171,85.50,1566,783.00,756,378.00,0,0.00,0,0.00
165,4,153,38.25,54,13.50,11835,2958.75,540,135.00,0,0.00,6,1.50
166,2,124,62.00,72,36.00,6814,3407.00,7022,3511.00,0,0.00,0,0.00
167,12,436,36.33,164,13.67,65180,5431.67,11852,987.67,206,17.17,8,0.67
168,11,1017,92.45,327,29.73,36176,3288.73,21925,1993.18,0,0.00,7,0.64
169,1,58,58.00,13,13.00,9776,9776.00,1543,1543.00,0,0.00,0,0.00
170,2,67,33.50,23,11.50,11078,5539.00,2444,1222.00,0,0.00,2,1.00
171,45,3053,67.84,1665,37.00,97797,2173.27,29875,663.89,0,0.00,53,1.18
172,2,70,35.00,33,16.50,11400,5700.00,814,407.00,0,0.00,2,1.00
173,2,88,44.00,39,19.50,6618,3309.00,498,249.00,0,0.00,0,0.00
174,1,123,123.00,86,86.00,4350,4350.00,5190,5190.00,0,0.00,0,0.00
175,1,33,33.00,15,15.00,8211,8211.00,1521,1521.00,0,0.00,0,0.00
176,1,54,54.00,34,34.00,4132,4132.00,447,447.00,0,0.00,0,0.00
177,2,173,86.50,175,87.50,232,116.00,0,0.00,0,0.00,3,1.50
178,1,118,118.00,20,20.00,3615,3615.00,3291,3291.00,0,0.00,0,0.00
180,9,760,84.44,604,67.11,20817,2313.00,4298,477.56,0,0.00,0,0.00
181,1,69,69.00,21,21.00,3633,3633.00,1969,1969.00,0,0.00,0,0.00
182,5,76,15.20,37,7.40,21735,4347.00,5643,1128.60,492,98.40,11,2.20
183,3,207,69.00,195,65.00,2976,992.00,186,62.00,0,0.00,6,2.00
185,4,303,75.75,138,34.50,15219,3804.75,19664,4916.00,123,30.75,2,0.50
186,1,11,11.00,7,7.00,2791,2791.00,546,546.00,0,0.00,0,0.00
187,5,339,67.80,117,23.40,16501,3300.20,16474,3294.80,0,0.00,0,0.00
189,20,1908,95.40,837,41.85,45918,2295.90,27693,1384.65,0,0.00,0,0.00
190,1,67,67.00,23,23.00,3881,3881.00,2248,2248.00,0,0.00,0,0.00
191,6,180,30.00,133,22.17,47523,7920.50,9610,1601.67,0,0.00,6,1.00
192,2,194,97.00,193,96.50,7579,3789.50,1298,649.00,0,0.00,2,1.00
195,1,48,48.00,21,21.00,3687,3687.00,135,135.00,0,0.00,0,0.00
196,5,0,0.00,30,6.00,7200,1440.00,870,174.00,570,114.00,5,1.00
197,5,340,68.00,127,25.40,19313,3862.60,6207,1241.40,0,0.00,0,0.00
198,7,303,43.29,266,38.00,10131,1447.29,984,140.57,114,16.29,1,0.14
199,2,11,5.50,9,4.50,6414,3207.00,520,260.00,0,0.00,8,4.00
201,6,264,44.00,88,14.67,20121,3353.50,6602,1100.33,0,0.00,10,1.67
202,1,50,50.00,10,10.00,2319,2319.00,450,450.00,0,0.00,0,0.00
203,1,4,4.00,3,3.00,5247,5247.00,817,817.00,106,106.00,2,2.00
204,4,28,7.00,18,4.50,19443,4860.75,3108,777.00,318,79.50,6,1.50
205,3,27,9.00,22,7.33,14196,4732.00,2297,765.67,212,70.67,4,1.33
206,2,49,24.50,26,13.00,9879,4939.50,1191,595.50,106,53.00,2,1.00
