tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,17707,29244,1.65,30660,1.73,1544346,87.22,680803,38.45,26682,1.51,36,0.00
2,758,1974,2.60,2090,2.76,1053,1.39,155,0.20,0,0.00,2,0.00
3,15734,23318,1.48,19735,1.25,193886,12.32,4848,0.31,0,0.00,39,0.00
4,4889,29357,6.00,30837,6.31,3709526,758.75,2427784,496.58,74445,15.23,30,0.01
5,2050,7207,3.52,7275,3.55,47541,23.19,3972,1.94,0,0.00,0,0.00
6,620,1944,3.14,1803,2.91,16139,26.03,735,1.19,0,0.00,1,0.00
7,1071,7278,6.80,5176,4.83,35302,32.96,6004,5.61,0,0.00,0,0.00
8,300,1746,5.82,1872,6.24,10223,34.08,651,2.17,0,0.00,3,0.01
9,481,2413,5.02,1599,3.32,26023,54.10,8063,16.76,0,0.00,0,0.00
10,188,968,5.15,829,4.41,11659,62.02,943,5.02,0,0.00,43,0.23
11,321,1507,4.69,1389,4.33,35701,111.22,2627,8.18,0,0.00,2,0.01
12,2514,14942,5.94,12213,4.86,116876,46.49,4596,1.83,0,0.00,2,0.00
13,385,3526,9.16,3367,8.75,22094,57.39,2998,7.79,0,0.00,0,0.00
14,103,1056,10.25,1033,10.03,7552,73.32,685,6.65,0,0.00,7,0.07
15,383,3418,8.92,2476,6.46,24683,64.45,3943,10.30,0,0.00,1,0.00
16,224,2737,12.22,1937,8.65,24202,108.04,839,3.75,0,0.00,12,0.05
17,160,1487,9.29,1056,6.60,16960,106.00,5204,32.52,0,0.00,42,0.26
18,54,475,8.80,393,7.28,7004,129.70,947,17.54,0,0.00,4,0.07
19,106,1028,9.70,655,6.18,21397,201.86,6533,61.63,0,0.00,0,0.00
20,3365,114043,33.89,122290,36.34,16145981,4798.21,10085410,2997.15,318080,94.53,78,0.02
21,587,16434,28.00,17057,29.06,17011,28.98,3971,6.76,0,0.00,0,0.00
22,71,951,13.39,940,13.24,8507,119.82,729,10.27,0,0.00,1,0.01
23,428,11989,28.01,11917,27.84,29648,69.27,6460,15.09,0,0.00,0,0.00
24,206,5092,24.72,5360,26.02,24565,119.25,4804,23.32,0,0.00,1,0.00
25,6380,255048,39.98,281699,44.15,43405773,6803.41,16914514,2651.18,487550,76.42,180,0.03
26,467,19530,41.82,21130,45.25,930197,1991.86,161810,346.49,3528,7.55,27,0.06
27,120,2204,18.37,1701,14.18,35045,292.04,10274,85.62,0,0.00,0,0.00
28,427,19209,44.99,18078,42.34,29231,68.46,4393,10.29,0,0.00,3,0.01
29,79,1437,18.19,811,10.27,58822,744.58,16204,205.11,0,0.00,0,0.00
30,71,2148,30.25,2212,31.15,22723,320.04,6958,98.00,0,0.00,33,0.46
31,64,1121,17.52,505,7.89,46351,724.23,11616,181.50,382,5.97,7,0.11
32,883,28125,31.85,28197,31.93,55219,62.54,2441,2.76,0,0.00,1,0.00
33,91,2712,29.80,2506,27.54,42810,470.44,8006,87.98,260,2.86,1,0.01
34,25,760,30.40,666,26.64,4672,186.88,1527,61.08,0,0.00,0,0.00
35,123,3192,25.95,3004,24.42,17891,145.46,6679,54.30,0,0.00,4,0.03
36,63,1419,22.52,1099,17.44,16233,257.67,4482,71.14,0,0.00,0,0.00
37,38,659,17.34,461,12.13,16413,431.92,7089,186.55,0,0.00,0,0.00
38,23,442,19.22,397,17.26,7196,312.87,2037,88.57,0,0.00,3,0.13
39,102,1623,15.91,1525,14.95,21386,209.67,3840,37.65,0,0.00,1,0.01
40,99,2476,25.01,2411,24.35,23603,238.41,6114,61.76,0,0.00,2,0.02
41,37,939,25.38,989,26.73,16048,433.73,5027,135.86,0,0.00,0,0.00
42,124,848,6.84,1325,10.69,22419,180.80,3680,29.68,0,0.00,14,0.11
43,79,2462,31.16,1125,14.24,48744,617.01,13677,173.13,0,0.00,1,0.01
44,30,654,21.80,485,16.17,15918,530.60,4886,162.87,0,0.00,0,0.00
45,46,891,19.37,676,14.70,22548,490.17,10849,235.85,0,0.00,4,0.09
46,22,356,16.18,312,14.18,7971,362.32,2974,135.18,0,0.00,6,0.27
47,44,949,21.57,616,14.00,31216,709.45,7964,181.00,0,0.00,0,0.00
48,24,673,28.04,582,24.25,7866,327.75,1859,77.46,0,0.00,0,0.00
49,24,527,21.96,363,15.12,11751,489.62,5234,218.08,0,0.00,1,0.04
50,67,3428,51.16,3075,45.90,11687,174.43,3470,51.79,0,0.00,0,0.00
51,12,594,49.50,375,31.25,9447,787.25,4066,338.83,0,0.00,0,0.00
