tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,8484,17137,2.02,12172,1.43,71838,8.47,7618,0.90,0,0.00,52,0.01
2,4670,16146,3.46,15354,3.29,39988,8.56,4733,1.01,0,0.00,26,0.01
3,8944,26657,2.98,25316,2.83,1090824,121.96,266810,29.83,15219,1.70,35,0.00
4,2638,10933,4.14,7981,3.03,203092,76.99,16607,6.30,1152,0.44,27,0.01
5,2184,10992,5.03,8794,4.03,122750,56.20,9924,4.54,576,0.26,23,0.01
6,4184,14763,3.53,12274,2.93,100069,23.92,3574,0.85,0,0.00,5,0.00
7,4482,42637,9.51,44231,9.87,5676469,1266.50,3596248,802.38,111314,24.84,56,0.01
8,1313,8866,6.75,6753,5.14,68228,51.96,6137,4.67,0,0.00,18,0.01
9,5920,65685,11.10,65849,11.12,3169436,535.38,797805,134.76,45657,7.71,40,0.01
10,4422,64710,14.63,66625,15.07,3546607,802.04,888154,200.85,51882,11.73,108,0.02
11,1112,10966,9.86,9416,8.47,82281,73.99,8144,7.32,0,0.00,42,0.04
12,4536,71320,15.72,75243,16.59,4096856,903.19,1057659,233.17,60876,13.42,65,0.01
13,1035,14075,13.60,11501,11.11,60840,58.78,6600,6.38,0,0.00,25,0.02
14,1186,19770,16.67,17774,14.99,141297,119.14,12639,10.66,576,0.49,30,0.03
15,1746,16060,9.20,14010,8.02,4397656,2518.70,3843404,2201.26,98037,56.15,46,0.03
16,733,9569,13.05,7808,10.65,295339,402.92,24832,33.88,2016,2.75,40,0.05
17,700,11065,15.81,9714,13.88,55391,79.13,5052,7.22,0,0.00,28,0.04
18,723,12818,17.73,11099,15.35,92992,128.62,9915,13.71,0,0.00,25,0.03
19,1827,43190,23.64,40241,22.03,94252,51.59,6888,3.77,0,0.00,22,0.01
20,462,6585,14.25,5061,10.95,79413,171.89,9331,20.20,0,0.00,37,0.08
21,1615,19454,12.05,16463,10.19,165288,102.35,10976,6.80,0,0.00,27,0.02
22,559,11490,20.55,10781,19.29,68594,122.71,8270,14.79,0,0.00,13,0.02
23,945,10655,11.28,9556,10.11,102444,108.41,7529,7.97,0,0.00,68,0.07
24,404,7313,18.10,6005,14.86,64523,159.71,7851,19.43,0,0.00,28,0.07
25,294,5003,17.02,3533,12.02,88940,302.52,11283,38.38,0,0.00,33,0.11
26,303,4725,15.59,3576,11.80,129705,428.07,14198,46.86,815,2.69,37,0.12
27,2831,33386,11.79,28774,10.16,502527,177.51,25504,9.01,1728,0.61,30,0.01
