tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,554718,1484451,2.68,1122245,2.02,132260,0.24,13582,0.02,0,0.00,59,0.00
2,58186,251247,4.32,203808,3.50,138501,2.38,12312,0.21,836,0.01,36,0.00
3,151229,283405,1.87,196266,1.30,1653965,10.94,55989,0.37,0,0.00,18,0.00
4,55071,168458,3.06,119948,2.18,729876,13.25,8397,0.15,288,0.01,15,0.00
5,15373,136201,8.86,62613,4.07,285863,18.60,23151,1.51,288,0.02,14,0.00
6,6847,53428,7.80,29121,4.25,184566,26.96,15215,2.22,0,0.00,21,0.00
7,9380,79362,8.46,76118,8.11,7062687,752.95,1244015,132.62,45808,4.88,59,0.01
8,4413,39593,8.97,28714,6.51,213293,48.33,17395,3.94,0,0.00,1176,0.27
9,5178,59099,11.41,56015,10.82,4621774,892.58,810337,156.50,29448,5.69,558,0.11
10,7381,108357,14.68,115355,15.63,5050611,684.27,888938,120.44,32720,4.43,328,0.04
11,1624,18451,11.36,13271,8.17,451369,277.94,36596,22.53,3168,1.95,293,0.18
12,4230,73655,17.41,75687,17.89,10382656,2454.53,4807669,1136.56,136689,32.31,168,0.04
13,1203,15054,12.51,12721,10.57,86902,72.24,12843,10.68,0,0.00,98,0.08
14,840,10360,12.33,7995,9.52,84540,100.64,9694,11.54,0,0.00,64,0.08
15,699,7234,10.35,5594,8.00,117059,167.47,15450,22.10,0,0.00,81,0.12
16,1179,23294,19.76,20421,17.32,121997,103.47,16713,14.18,0,0.00,47,0.04
17,1128,27129,24.05,24104,21.37,312324,276.88,26802,23.76,2304,2.04,73,0.06
18,549,7824,14.25,6200,11.29,77193,140.61,8660,15.77,57,0.10,29,0.05
19,789,16965,21.50,15947,20.21,58374,73.98,6620,8.39,0,0.00,41,0.05
20,677,15282,22.57,13898,20.53,61368,90.65,5857,8.65,0,0.00,36,0.05
21,3562,37866,10.63,28928,8.12,350080,98.28,19544,5.49,57,0.02,38,0.01
22,557,11411,20.49,10583,19.00,126601,227.29,10680,19.17,576,1.03,28,0.05
23,382,5956,15.59,4908,12.85,99872,261.45,14281,37.38,0,0.00,27,0.07
24,301,4331,14.39,3170,10.53,158448,526.41,14731,48.94,864,2.87,37,0.12
25,309,4483,14.51,3978,12.87,88056,284.97,12742,41.24,0,0.00,33,0.11
26,280,5345,19.09,4614,16.48,144650,516.61,13618,48.64,864,3.09,27,0.10
27,1404,17849,12.71,14543,10.36,187029,133.21,13413,9.55,0,0.00,30,0.02
28,1611,27516,17.08,23583,14.64,338494,210.11,55864,34.68,0,0.00,30,0.02
29,412,8709,21.14,6828,16.57,139885,339.53,31569,76.62,0,0.00,11,0.03
30,2701,39994,14.81,35380,13.10,357477,132.35,20591,7.62,0,0.00,55,0.02
31,1664,29430,17.69,28575,17.17,317855,191.02,23928,14.38,1152,0.69,37,0.02
32,184,3753,20.40,3031,16.47,54511,296.26,8989,48.85,0,0.00,22,0.12
33,1467,21707,14.80,20079,13.69,210685,143.62,9683,6.60,0,0.00,26,0.02
34,214,6074,28.38,4871,22.76,67867,317.14,12182,56.93,0,0.00,34,0.16
35,339,5020,14.81,4714,13.91,99860,294.57,8356,24.65,0,0.00,25,0.07
36,2080,30359,14.60,27057,13.01,1400471,673.30,521065,250.51,15249,7.33,58,0.03
37,928,23111,24.90,21428,23.09,8338612,8985.57,7070573,7619.15,184025,198.30,24,0.03
38,474,17316,36.53,16889,35.63,106212,224.08,6969,14.70,0,0.00,37,0.08
39,367,16200,44.14,14993,40.85,66118,180.16,8510,23.19,0,0.00,12,0.03
40,444,14156,31.88,13472,30.34,123769,278.76,11786,26.55,0,0.00,33,0.07
41,92,2214,24.07,1796,19.52,45834,498.20,9210,100.11,0,0.00,31,0.34
42,1561,37729,24.17,33072,21.19,6035848,3866.65,4990966,3197.29,129900,83.22,49,0.03
