tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,63395,140319,2.21,82969,1.31,91890,1.45,11045,0.17,218,0.00,206,0.00
2,10717,42584,3.97,31947,2.98,725044,67.65,180942,16.88,10413,0.97,74,0.01
3,41498,80356,1.94,65741,1.58,1474442,35.53,281991,6.80,15225,0.37,42,0.00
4,10130,45854,4.53,24485,2.42,185278,18.29,4353,0.43,0,0.00,29,0.00
5,14740,43752,2.97,29204,1.98,429198,29.12,33198,2.25,0,0.00,24,0.00
6,11254,61077,5.43,55824,4.96,4780924,424.82,3030327,269.27,95424,8.48,45,0.00
7,8043,62461,7.77,56923,7.08,2563962,318.78,638389,79.37,35525,4.42,52,0.01
8,3838,23622,6.15,14946,3.89,200388,52.21,18001,4.69,0,0.00,420,0.11
9,11594,123283,10.63,122171,10.54,3280808,282.97,828681,71.47,45675,3.94,159,0.01
10,4048,20105,4.97,14700,3.63,294176,72.67,19064,4.71,288,0.07,129,0.03
11,3306,24144,7.30,18922,5.72,270030,81.68,15387,4.65,0,0.00,71,0.02
12,3133,34147,10.90,29533,9.43,450708,143.86,37060,11.83,2880,0.92,76,0.02
13,1665,15702,9.43,11374,6.83,1079465,648.33,95856,57.57,1870,1.12,125,0.08
14,1702,13983,8.22,9488,5.57,222811,130.91,24363,14.31,0,0.00,143,0.08
15,1509,16033,10.62,11723,7.77,3986429,2641.77,3759072,2491.10,97461,64.59,70,0.05
16,1183,14062,11.89,11182,9.45,150325,127.07,13611,11.51,0,0.00,73,0.06
17,956,10930,11.43,6948,7.27,296482,310.13,27827,29.11,1728,1.81,60,0.06
18,2965,40698,13.73,35768,12.06,213839,72.12,17828,6.01,0,0.00,106,0.04
19,957,13386,13.99,11000,11.49,153771,160.68,17549,18.34,0,0.00,67,0.07
20,585,6663,11.39,4780,8.17,311097,531.79,28245,48.28,2016,3.45,32,0.05
21,2622,27322,10.42,20908,7.97,294666,112.38,23336,8.90,288,0.11,56,0.02
22,686,8407,12.26,6250,9.11,139141,202.83,21997,32.07,0,0.00,122,0.18
23,1228,14306,11.65,13238,10.78,146680,119.45,11706,9.53,0,0.00,22,0.02
24,1062,14534,13.69,9949,9.37,8250946,7769.25,5793738,5455.50,175623,165.37,85,0.08
25,1001,20912,20.89,4850,4.85,3174714,3171.54,3114202,3111.09,75803,75.73,80,0.08
26,514,9550,18.58,3979,7.74,142824,277.87,65911,128.23,288,0.56,29,0.06
