tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,3192,5213,1.63,5097,1.60,153738,48.16,14108,4.42,864,0.27,22,0.01
2,11468,39209,3.42,41618,3.63,3931934,342.86,2079314,181.31,73776,6.43,28,0.00
3,6720,26567,3.95,27480,4.09,1058048,157.45,265947,39.58,15234,2.27,27,0.00
4,1455,6487,4.46,6046,4.16,49623,34.11,4303,2.96,0,0.00,7,0.00
5,1238,5715,4.62,5419,4.38,84841,68.53,6227,5.03,576,0.47,10,0.01
6,8377,23104,2.76,21046,2.51,223266,26.65,5525,0.66,288,0.03,23,0.00
7,566,3240,5.72,2616,4.62,78114,138.01,6719,11.87,576,1.02,4,0.01
8,2493,13024,5.22,12759,5.12,1052226,422.07,781087,313.31,21910,8.79,11,0.00
9,10502,122816,11.69,129190,12.30,17108036,1629.03,7032899,669.67,208008,19.81,85,0.01
10,916,5573,6.08,5214,5.69,57075,62.31,4461,4.87,0,0.00,50,0.05
11,1541,12453,8.08,12193,7.91,81701,53.02,3487,2.26,0,0.00,18,0.01
12,1534,10106,6.59,6573,4.28,79765,52.00,5704,3.72,0,0.00,9,0.01
13,161,1248,7.75,810,5.03,17138,106.45,2876,17.86,0,0.00,27,0.17
14,258,2097,8.13,1692,6.56,20615,79.90,2419,9.38,0,0.00,12,0.05
15,931,6604,7.09,4978,5.35,64408,69.18,4367,4.69,0,0.00,3,0.00
16,226,1881,8.32,1469,6.50,31113,137.67,3006,13.30,0,0.00,3,0.01
17,118,884,7.49,714,6.05,19189,162.62,1066,9.03,0,0.00,0,0.00
18,303,3659,12.08,2905,9.59,32868,108.48,5717,18.87,0,0.00,11,0.04
19,62,536,8.65,409,6.60,10990,177.26,1023,16.50,0,0.00,1,0.02
20,157,1546,9.85,1210,7.71,21083,134.29,2317,14.76,0,0.00,5,0.03
21,155,3098,19.99,913,5.89,31432,202.79,4404,28.41,0,0.00,2,0.01
22,97,842,8.68,703,7.25,17940,184.95,1942,20.02,0,0.00,4,0.04
23,93,1166,12.54,864,9.29,16161,173.77,3216,34.58,0,0.00,4,0.04
24,94,1128,12.00,961,10.22,14205,151.12,1911,20.33,0,0.00,6,0.06
25,64,478,7.47,438,6.84,23994,374.91,1710,26.72,0,0.00,3,0.05
26,67,923,13.78,672,10.03,12792,190.93,3214,47.97,0,0.00,0,0.00
27,8032,103969,12.94,92769,11.55,891348,110.97,24947,3.11,0,0.00,288,0.04
28,68,1195,17.57,930,13.68,22968,337.76,2694,39.62,0,0.00,4,0.06
29,35,493,14.09,336,9.60,10631,303.74,2710,77.43,0,0.00,0,0.00
30,81,1420,17.53,986,12.17,14483,178.80,5448,67.26,0,0.00,12,0.15
31,25,250,10.00,176,7.04,8269,330.76,940,37.60,0,0.00,9,0.36
32,53,1089,20.55,904,17.06,10756,202.94,2514,47.43,0,0.00,10,0.19
33,41,473,11.54,238,5.80,11096,270.63,1856,45.27,0,0.00,14,0.34
34,42,904,21.52,564,13.43,11699,278.55,4938,117.57,0,0.00,8,0.19
35,27,426,15.78,266,9.85,10271,380.41,1130,41.85,0,0.00,9,0.33
36,172,4889,28.42,2653,15.42,38457,223.59,4071,23.67,0,0.00,39,0.23
37,20,341,17.05,213,10.65,12494,624.70,3103,155.15,0,0.00,2,0.10
38,48,726,15.12,437,9.10,18294,381.12,5760,120.00,0,0.00,0,0.00
39,19,293,15.42,174,9.16,7173,377.53,2282,120.11,0,0.00,3,0.16
40,57,987,17.32,496,8.70,32730,574.21,8344,146.39,0,0.00,8,0.14
41,44,934,21.23,746,16.95,22077,501.75,4326,98.32,0,0.00,0,0.00
42,32,628,19.62,345,10.78,11485,358.91,5320,166.25,0,0.00,21,0.66
43,8,80,10.00,40,5.00,5255,656.88,659,82.38,0,0.00,4,0.50
44,21,424,20.19,281,13.38,9865,469.76,2483,118.24,0,0.00,4,0.19
45,832,16969,20.40,14501,17.43,247848,297.89,26214,31.51,0,0.00,0,0.00
46,42,784,18.67,367,8.74,22339,531.88,8653,206.02,0,0.00,15,0.36
47,25,497,19.88,429,17.16,9049,361.96,1938,77.52,0,0.00,18,0.72
48,49,1069,21.82,562,11.47,38716,790.12,7421,151.45,0,0.00,13,0.27
49,8,92,11.50,73,9.12,4330,541.25,1122,140.25,0,0.00,12,1.50
50,30,667,22.23,265,8.83,17431,581.03,10831,361.03,0,0.00,15,0.50
51,27,603,22.33,235,8.70,14411,533.74,6416,237.63,0,0.00,7,0.26
52,26,604,23.23,310,11.92,27845,1070.96,6656,256.00,0,0.00,5,0.19
53,5,127,25.40,88,17.60,6752,1350.40,1541,308.20,0,0.00,0,0.00
54,44,1295,29.43,901,20.48,19888,452.00,8339,189.52,0,0.00,5,0.11
55,4,84,21.00,41,10.25,4949,1237.25,380,95.00,0,0.00,0,0.00
56,19,595,31.32,257,13.53,11985,630.79,9263,487.53,0,0.00,5,0.26
57,38,891,23.45,467,12.29,27746,730.16,9878,259.95,0,0.00,0,0.00
58,44,1398,31.77,219,4.98,150495,3420.34,26019,591.34,0,0.00,0,0.00
59,3,24,8.00,6,2.00,2809,936.33,297,99.00,0,0.00,0,0.00
60,25,480,19.20,215,8.60,19585,783.40,9035,361.40,0,0.00,2,0.08
61,8,148,18.50,74,9.25,8414,1051.75,2590,323.75,0,0.00,2,0.25
62,15,376,25.07,66,4.40,7332,488.80,8458,563.87,0,0.00,14,0.93
63,268,12583,46.95,4973,18.56,121008,451.52,33187,123.83,0,0.00,1,0.00
64,8,198,24.75,30,3.75,6013,751.62,4596,574.50,0,0.00,0,0.00
65,6,202,33.67,47,7.83,4940,823.33,1078,179.67,0,0.00,6,1.00
66,21,416,19.81,149,7.10,22812,1086.29,7391,351.95,0,0.00,11,0.52
67,4,33,8.25,22,5.50,3215,803.75,360,90.00,0,0.00,11,2.75
68,24,902,37.58,307,12.79,23774,990.58,7589,316.21,0,0.00,0,0.00
69,11,454,41.27,273,24.82,4540,412.73,4192,381.09,0,0.00,1,0.09
70,10,236,23.60,120,12.00,11584,1158.40,2818,281.80,0,0.00,0,0.00
71,11,289,26.27,211,19.18,13874,1261.27,1615,146.82,0,0.00,1,0.09
