tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,1534,2201,1.43,2299,1.50,39007,25.43,3272,2.13,288,0.19,9,0.01
2,12523,41607,3.32,44919,3.59,5699282,455.11,2317593,185.07,63728,5.09,27,0.00
3,831,1382,1.66,1147,1.38,10655,12.82,465,0.56,0,0.00,3,0.00
4,247,940,3.81,873,3.53,32962,133.45,2419,9.79,288,1.17,8,0.03
5,256,551,2.15,501,1.96,8517,33.27,661,2.58,0,0.00,0,0.00
6,12577,35913,2.86,31678,2.52,304244,24.19,7099,0.56,0,0.00,66,0.01
7,104,387,3.72,227,2.18,5629,54.12,789,7.59,0,0.00,0,0.00
8,280,1920,6.86,1052,3.76,13467,48.10,226,0.81,0,0.00,6,0.02
9,118,420,3.56,196,1.66,8236,69.80,1760,14.92,0,0.00,0,0.00
10,1042,4542,4.36,4097,3.93,66852,64.16,5777,5.54,0,0.00,6,0.01
11,46,152,3.30,96,2.09,4980,108.26,454,9.87,0,0.00,6,0.13
12,74,589,7.96,450,6.08,4820,65.14,1432,19.35,0,0.00,0,0.00
13,20,78,3.90,55,2.75,2760,138.00,296,14.80,0,0.00,8,0.40
14,356,4470,12.56,1530,4.30,37688,105.87,8259,23.20,0,0.00,1,0.00
15,12,43,3.58,26,2.17,1292,107.67,198,16.50,0,0.00,0,0.00
16,80,563,7.04,533,6.66,11432,142.90,239,2.99,0,0.00,11,0.14
17,11,30,2.73,20,1.82,2689,244.45,63,5.73,0,0.00,0,0.00
18,253,2083,8.23,1073,4.24,31660,125.14,12844,50.77,0,0.00,2,0.01
19,4,16,4.00,8,2.00,746,186.50,104,26.00,0,0.00,0,0.00
20,40,407,10.18,303,7.58,4708,117.70,639,15.97,0,0.00,0,0.00
21,2,8,4.00,4,2.00,552,276.00,50,25.00,0,0.00,0,0.00
22,216,1186,5.49,1669,7.73,54855,253.96,3963,18.35,0,0.00,1,0.00
23,14,81,5.79,15,1.07,3034,216.71,1067,76.21,0,0.00,0,0.00
24,34,540,15.88,508,14.94,3674,108.06,358,10.53,0,0.00,1,0.03
25,3,25,8.33,21,7.00,3538,1179.33,133,44.33,0,0.00,0,0.00
26,51,630,12.35,339,6.65,12267,240.53,3523,69.08,0,0.00,0,0.00
27,5,46,9.20,20,4.00,2385,477.00,332,66.40,0,0.00,0,0.00
28,21,446,21.24,449,21.38,5548,264.19,82,3.90,0,0.00,0,0.00
29,4,45,11.25,15,3.75,2093,523.25,770,192.50,0,0.00,0,0.00
30,52,966,18.58,614,11.81,9060,174.23,5178,99.58,0,0.00,8,0.15
32,20,572,28.60,532,26.60,3575,178.75,697,34.85,0,0.00,0,0.00
34,92,824,8.96,440,4.78,16166,175.72,6254,67.98,0,0.00,114,1.24
35,2,0,0.00,2,1.00,600,300.00,0,0.00,0,0.00,4,2.00
36,3,52,17.33,42,14.00,955,318.33,204,68.00,0,0.00,0,0.00
37,2,26,13.00,10,5.00,1428,714.00,330,165.00,0,0.00,0,0.00
38,67,966,14.42,486,7.25,33090,493.88,10344,154.39,0,0.00,10,0.15
40,11,142,12.91,76,6.91,6198,563.45,782,71.09,0,0.00,8,0.73
42,17,406,23.88,180,10.59,5000,294.12,4540,267.06,0,0.00,0,0.00
44,6,58,9.67,58,9.67,1758,293.00,100,16.67,0,0.00,0,0.00
45,3,19,6.33,15,5.00,3638,1212.67,860,286.67,0,0.00,0,0.00
46,73,2461,33.71,1811,24.81,35130,481.23,14035,192.26,0,0.00,3,0.04
47,3,8,2.67,4,1.33,1114,371.33,151,50.33,0,0.00,3,1.00
48,33,368,11.15,158,4.79,28728,870.55,4254,128.91,0,0.00,0,0.00
50,22,615,27.95,263,11.95,11774,535.18,9953,452.41,0,0.00,4,0.18
52,13,200,15.38,65,5.00,21097,1622.85,2170,166.92,0,0.00,2,0.15
53,1,12,12.00,5,5.00,1052,1052.00,307,307.00,0,0.00,0,0.00
54,58,1114,19.21,476,8.21,53986,930.79,17272,297.79,0,0.00,0,0.00
56,2,60,30.00,24,12.00,1348,674.00,1288,644.00,0,0.00,0,0.00
58,42,1374,32.71,262,6.24,111382,2651.95,28436,677.05,0,0.00,0,0.00
59,2,15,7.50,3,1.50,1647,823.50,178,89.00,0,0.00,0,0.00
60,7,38,5.43,8,1.14,4430,632.86,1352,193.14,0,0.00,2,0.29
62,21,534,25.43,76,3.62,17592,837.71,12814,610.19,0,0.00,0,0.00
