tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,75,130,1.73,117,1.56,0,0.00,0,0.00,0,0.00,0,0.00
2,75,229,3.05,231,3.08,19,0.25,1,0.01,0,0.00,0,0.00
3,77,171,2.22,159,2.06,802,10.42,30,0.39,0,0.00,0,0.00
4,88,520,5.91,479,5.44,98,1.11,0,0.00,0,0.00,0,0.00
5,152,915,6.02,1107,7.28,503,3.31,38,0.25,0,0.00,0,0.00
6,146,936,6.41,897,6.14,1668,11.42,81,0.55,0,0.00,0,0.00
7,29,119,4.10,130,4.48,910,31.38,141,4.86,0,0.00,0,0.00
8,138,1336,9.68,1724,12.49,217,1.57,0,0.00,0,0.00,0,0.00
9,11,81,7.36,64,5.82,551,50.09,69,6.27,0,0.00,0,0.00
10,41,397,9.68,357,8.71,1415,34.51,131,3.20,0,0.00,0,0.00
11,7,71,10.14,87,12.43,397,56.71,72,10.29,0,0.00,0,0.00
12,70,496,7.09,440,6.29,3552,50.74,279,3.99,0,0.00,0,0.00
13,12323,263701,21.40,287647,23.34,34955590,2836.61,14402271,1168.73,413296,33.54,156,0.01
14,15,97,6.47,73,4.87,1226,81.73,244,16.27,0,0.00,0,0.00
15,127,823,6.48,769,6.06,7776,61.23,188,1.48,0,0.00,0,0.00
16,16,95,5.94,123,7.69,1766,110.38,34,2.12,0,0.00,0,0.00
17,7,69,9.86,65,9.29,550,78.57,93,13.29,0,0.00,0,0.00
18,79,829,10.49,681,8.62,6430,81.39,395,5.00,0,0.00,0,0.00
19,3,35,11.67,26,8.67,280,93.33,11,3.67,0,0.00,0,0.00
20,23,228,9.91,171,7.43,2861,124.39,192,8.35,0,0.00,0,0.00
21,6,64,10.67,51,8.50,618,103.00,38,6.33,0,0.00,0,0.00
22,2,16,8.00,22,11.00,150,75.00,0,0.00,0,0.00,0,0.00
23,11,112,10.18,147,13.36,1062,96.55,124,11.27,0,0.00,0,0.00
24,134,1360,10.15,1306,9.75,13366,99.75,548,4.09,0,0.00,0,0.00
25,24,277,11.54,243,10.12,4412,183.83,135,5.62,0,0.00,0,0.00
26,141,4172,29.59,3969,28.15,6062,42.99,878,6.23,0,0.00,0,0.00
28,14,170,12.14,148,10.57,2374,169.57,426,30.43,0,0.00,0,0.00
29,7,114,16.29,131,18.71,652,93.14,48,6.86,0,0.00,0,0.00
30,22,261,11.86,256,11.64,4206,191.18,436,19.82,0,0.00,0,0.00
32,7,94,13.43,66,9.43,1714,244.86,76,10.86,0,0.00,0,0.00
33,5,65,13.00,90,18.00,875,175.00,0,0.00,0,0.00,0,0.00
34,3,54,18.00,34,11.33,798,266.00,116,38.67,0,0.00,0,0.00
35,5,86,17.20,48,9.60,1252,250.40,127,25.40,0,0.00,0,0.00
36,15,238,15.87,116,7.73,3972,264.80,502,33.47,0,0.00,0,0.00
37,3,149,49.67,31,10.33,1518,506.00,213,71.00,0,0.00,0,0.00
38,1,52,52.00,52,52.00,420,420.00,0,0.00,0,0.00,0,0.00
39,12473,231002,18.52,204275,16.38,1953600,156.63,44126,3.54,0,0.00,442,0.04
40,34,584,17.18,504,14.82,10110,297.35,422,12.41,0,0.00,0,0.00
42,14,222,15.86,168,12.00,3618,258.43,642,45.86,0,0.00,0,0.00
43,2,78,39.00,26,13.00,625,312.50,30,15.00,0,0.00,0,0.00
