build,crate,test,status,compile_seconds,mean_s,stddev_s,median_s,min_s,max_s,runs,timestamp,job_id
56b076f-bsan,colored-3.1.1,color::tests::closest_euclidean::almost_black,success,115.352,3.2365851686666667,0.6499894872468788,3.432705733,2.511118418,3.765931355,3,2026-07-25T21:24:58Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::closest_euclidean::almost_blue,success,115.352,3.269952889666667,0.696466409803751,3.273021109,2.571957439,3.964880121,3,2026-07-25T21:25:14Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::closest_euclidean::almost_cyan,success,115.352,3.387632869666667,0.3946904174333531,3.48298058,2.954002882,3.7259151470000003,3,2026-07-25T21:25:29Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::closest_euclidean::almost_green,success,115.352,3.2313683876666666,0.5024313524451852,3.418609617,2.662203027,3.613292519,3,2026-07-25T21:25:45Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::closest_euclidean::almost_magenta,success,115.352,3.375261688666667,1.1319794580255644,2.749977756,2.693850087,4.681957223,3,2026-07-25T21:26:02Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::closest_euclidean::almost_red,success,115.352,2.979949324333333,0.4810059852819377,2.717674809,2.687086798,3.535086366,3,2026-07-25T21:26:19Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::closest_euclidean::almost_white,success,115.352,3.5522529560000002,0.9095918358027535,3.571886538,2.633003265,4.451869065,3,2026-07-25T21:26:36Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::closest_euclidean::almost_yellow,success,115.352,2.7596326203333335,0.47402869188369506,2.662034257,2.34199947,3.274864134,3,2026-07-25T21:26:50Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::closest_euclidean::exact_black,success,115.352,4.116688609333333,1.4336922362934348,3.640112746,2.981976172,5.72797691,3,2026-07-25T21:27:11Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::closest_euclidean::exact_blue,success,115.352,3.051277773666667,0.6733984130558129,3.115966736,2.347869267,3.689997318,3,2026-07-25T21:27:26Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::closest_euclidean::exact_cyan,success,115.352,2.9105932903333334,0.4701728503551884,3.090730358,2.376987287,3.264062226,3,2026-07-25T21:27:41Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::closest_euclidean::exact_green,success,115.352,3.4552440196666665,0.8156557616144529,3.85288824,2.517027815,3.995816004,3,2026-07-25T21:27:58Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::closest_euclidean::exact_magenta,success,115.352,3.585674159,0.1608636870781846,3.500975123,3.4848570580000002,3.771190296,3,2026-07-25T21:28:15Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::closest_euclidean::exact_red,success,115.352,2.640924650666667,0.4835697912943336,2.417035292,2.309873947,3.195864713,3,2026-07-25T21:28:30Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::closest_euclidean::exact_white,success,115.352,3.0689505553333336,0.612028226326968,2.880851034,2.5730490660000003,3.752951566,3,2026-07-25T21:28:46Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::closest_euclidean::exact_yellow,success,115.352,3.6999270460000004,0.7496526828327437,3.845924659,2.888015073,4.365841406,3,2026-07-25T21:29:04Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::from_str::black,success,115.352,3.151601001,0.14335347222024686,3.113791306,3.030942106,3.310069591,3,2026-07-25T21:29:20Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::from_str::blue,success,115.352,3.0149600923333337,0.6447429614180151,2.993684353,2.381118332,3.670077592,3,2026-07-25T21:29:34Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::from_str::brightblack,success,115.352,3.345631682,0.28108219922216243,3.445786312,3.028189466,3.562919268,3,2026-07-25T21:29:52Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::from_str::brightblue,success,115.352,3.3226733253333336,1.0989266910638151,2.963915995,2.44796008,4.556143901,3,2026-07-25T21:30:08Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::from_str::brightcyan,success,115.352,2.807643990666667,0.7313348887327555,2.400999479,2.370005327,3.651927166,3,2026-07-25T21:30:21Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::from_str::brightgreen,success,115.352,3.8052447793333335,0.5048995765632518,3.622933172,3.416822184,4.375978982,3,2026-07-25T21:30:40Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::from_str::brightmagenta,success,115.352,3.297649725,0.4732350185929839,3.531903217,2.75297724,3.608068718,3,2026-07-25T21:30:55Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::from_str::brightred,success,115.352,3.334637121,0.5301757551480323,3.203900879,2.882059919,3.917950565,3,2026-07-25T21:31:10Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::from_str::brightwhite,success,115.352,3.3236027013333334,0.5842055563599451,3.074814992,2.904972948,3.991020164,3,2026-07-25T21:31:25Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::from_str::brightyellow,success,115.352,2.7279704333333332,0.18488382881877138,2.630878959,2.611859059,2.9411732820000003,3,2026-07-25T21:31:41Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::from_str::capitalized,success,115.352,3.0998043423333335,0.28416014772413767,3.158005081,2.791049731,3.350358215,3,2026-07-25T21:31:56Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::from_str::cyan,success,115.352,2.7962692120000003,0.32538185377060275,2.90285058,2.430963048,3.054994008,3,2026-07-25T21:32:11Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::from_str::green,success,115.352,3.1738715286666666,0.3517738016853959,3.253961792,2.78895835,3.4786944440000003,3,2026-07-25T21:32:29Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::from_str::hex3_lower,success,115.352,3.977925743,0.737007140168591,4.391857728,3.1270073,4.414912201,3,2026-07-25T21:32:50Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::from_str::hex3_mixed,success,115.352,3.4709514326666664,0.2853936256222583,3.486972528,3.177884724,3.747997046,3,2026-07-25T21:33:06Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::from_str::hex3_upper,success,115.352,3.3545455250000003,0.30865778434970775,3.469894795,3.004825453,3.588916327,3,2026-07-25T21:33:23Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::from_str::hex6_lower,success,115.352,3.650638062,0.41544490092783526,3.768831009,3.188903679,3.9941794980000003,3,2026-07-25T21:33:40Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::from_str::hex6_mixed,success,115.352,3.114022681333333,0.6543293905637295,2.800965614,2.675031773,3.866070657,3,2026-07-25T21:33:56Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::from_str::hex6_upper,success,115.352,2.7685887333333334,0.5596693349871137,2.47474688,2.417039512,3.413979808,3,2026-07-25T21:34:11Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::from_str::hex_invalid,success,115.352,3.3052721680000006,1.0151201979551823,2.932898879,2.5289243370000003,4.453993288,3,2026-07-25T21:34:29Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::from_str::hex_too_long,success,115.352,2.965280043,0.5728445262556241,2.884815225,2.436922168,3.574102736,3,2026-07-25T21:34:44Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::from_str::hex_too_short,success,115.352,3.2186530826666675,0.9325231164887842,3.6249744340000003,2.151908837,3.8790759770000003,3,2026-07-25T21:35:00Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::from_str::invalid,success,115.352,2.787593573666667,0.21307298969293306,2.810939634,2.563808969,2.988032118,3,2026-07-25T21:35:15Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::from_str::magenta,success,115.352,3.2092648543333335,0.33681343376090617,3.33386468,2.827904678,3.466025205,3,2026-07-25T21:35:31Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::from_str::mixed_case,success,115.352,3.0109094229999998,0.6791797788806005,2.732919253,2.514824772,3.784984244,3,2026-07-25T21:35:47Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::from_str::purple,success,115.352,2.932631051,0.4684964425186527,3.048897946,2.416949329,3.332045878,3,2026-07-25T21:36:03Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::from_str::red,success,115.352,2.606324160333333,0.1715847799491603,2.701992046,2.408233509,2.708746926,3,2026-07-25T21:36:17Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::from_str::white,success,115.352,3.4838984866666665,0.6423249912609748,3.15595976,3.071739793,4.223995907,3,2026-07-25T21:36:32Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::from_str::yellow,success,115.352,3.474963249,1.4551760273177605,2.881910744,2.40996322,5.133015783,3,2026-07-25T21:36:48Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::from_string::black,success,115.352,2.715264041333333,0.47597215513639385,2.785878205,2.207929712,3.151984207,3,2026-07-25T21:37:03Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::from_string::blue,success,115.352,2.90964643,0.22057896958183307,2.796110404,2.768962525,3.163866361,3,2026-07-25T21:37:18Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::from_string::brightblack,success,115.352,3.0068670706666665,0.664834575012822,2.948916026,2.372904987,3.6987801989999998,3,2026-07-25T21:37:33Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::from_string::brightblue,success,115.352,4.577931867333334,0.7199264328290894,4.6758919080000005,3.814041404,5.24386229,3,2026-07-25T21:37:52Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::from_string::brightcyan,success,115.352,2.834575207666667,0.12849806952212375,2.8559556290000003,2.69672796,2.9510420340000003,3,2026-07-25T21:38:07Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::from_string::brightgreen,success,115.352,2.2679731936666667,0.06322086589070863,2.266056602,2.205732416,2.332130563,3,2026-07-25T21:38:20Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::from_string::brightmagenta,success,115.352,3.848632515,0.36755633403534543,3.84092661,3.484989722,4.219981213,3,2026-07-25T21:38:36Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::from_string::brightred,success,115.352,3.164285441666667,0.6319893837133758,3.489032059,2.435948082,3.567876184,3,2026-07-25T21:38:52Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::from_string::brightwhite,success,115.352,2.8572012553333335,0.25741412706729216,2.883054743,2.58783596,3.100713063,3,2026-07-25T21:39:06Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::from_string::brightyellow,success,115.352,3.178965094,0.6153325896269536,2.911048318,2.7430115180000003,3.882835446,3,2026-07-25T21:39:21Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::from_string::capitalized,success,115.352,2.8802906546666662,0.29414032620059877,2.801193353,2.6337864360000003,3.205892175,3,2026-07-25T21:39:36Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::from_string::cyan,success,115.352,2.6089859269999995,0.25045735628574406,2.60393778,2.361090803,2.861929198,3,2026-07-25T21:39:49Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::from_string::green,success,115.352,2.607264624333333,0.18012762052438472,2.62499569,2.418927181,2.777871002,3,2026-07-25T21:40:03Z,1981097.0
56b076f-bsan,colored-3.1.1,color::tests::from_string::hex3_lower,success,115.352,3.0179773540000006,0.21866440000974827,2.951988376,2.839907372,3.262036314,3,2026-07-25T21:40:19Z,1981097.0
