build,crate,status,compile_seconds,run_seconds,tests,passed,timestamp,job_id
aa4e1ea-bsan,dashmap-6.2.1,build_failed,0.068,0.000,0,0,2026-07-30T15:16:42Z,1998287
aa4e1ea-bsan,core-foundation-sys-0.8.7,success,8.851,1.010,1,1,2026-07-30T15:16:48Z,1998286
aa4e1ea-bsan,errno-0.3.14,success,9.171,0.875,4,4,2026-07-30T15:16:51Z,1998297
aa4e1ea-bsan,cpufeatures-0.3.0,success,10.172,3.335,2,2,2026-07-30T15:16:52Z,1998290
aa4e1ea-bsan,dirs-sys-0.5.0,success,10.067,1.174,9,9,2026-07-30T15:16:52Z,1998285
aa4e1ea-bsan,block-buffer-0.12.0,success,22.452,1.927,8,8,2026-07-30T15:17:03Z,1998284
aa4e1ea-bsan,bytemuck-1.25.0,success,19.552,8.369,32,32,2026-07-30T15:17:07Z,1998296
aa4e1ea-bsan,anstyle-query-1.1.5,success,3.046,0.906,3,3,2026-07-30T15:17:13Z,1998307
aa4e1ea-bsan,base16ct-1.0.0,success,4.317,1.998,10,10,2026-07-30T15:17:14Z,1998303
aa4e1ea-bsan,camino-1.2.2,success,25.823,2.378,5,5,2026-07-30T15:17:17Z,1998283
aa4e1ea-bsan,futures-task-0.3.32,success,12.352,1.133,1,1,2026-07-30T15:17:26Z,1998315
aa4e1ea-bsan,anstream-1.0.0,build_failed,10.222,0.000,0,0,2026-07-30T15:17:25Z,1998302
aa4e1ea-bsan,csv-1.4.0,test_failed,48.052,2.282,141,0,2026-07-30T15:17:30Z,1998295
aa4e1ea-bsan,async-lock-3.4.2,test_failed,40.369,2.046,2,0,2026-07-30T15:17:29Z,1998274
aa4e1ea-bsan,arrayvec-0.7.6,success,22.563,5.640,50,50,2026-07-30T15:17:37Z,1998306
aa4e1ea-bsan,anstyle-1.0.14,success,28.587,1.104,8,8,2026-07-30T15:17:41Z,1998308
aa4e1ea-bsan,bit-set-0.10.0,success,25.182,5.593,24,24,2026-07-30T15:17:42Z,1998305
aa4e1ea-bsan,inout-0.2.2,success,7.050,1.742,1,1,2026-07-30T15:17:47Z,1998325
aa4e1ea-bsan,bit-vec-0.9.1,success,27.453,36.306,58,58,2026-07-30T15:17:47Z,1998299
aa4e1ea-bsan,http-body-1.0.1,success,9.649,1.695,2,2,2026-07-30T15:17:50Z,1998323
aa4e1ea-bsan,either-1.16.0,success,13.911,1.191,7,7,2026-07-30T15:17:54Z,1998321
aa4e1ea-bsan,getrandom-0.4.2,test_failed,10.168,3.229,9,0,2026-07-30T15:18:01Z,1998322
aa4e1ea-bsan,ansi_term-0.12.1,success,52.416,21.891,58,58,2026-07-30T15:18:04Z,1998282
aa4e1ea-bsan,byteorder-1.5.0,success,46.170,10.625,290,290,2026-07-30T15:18:07Z,1998300
aa4e1ea-bsan,hashlink-0.11.0,success,28.567,9.381,66,66,2026-07-30T15:18:17Z,1998319
aa4e1ea-bsan,libc-0.2.186,success,9.552,1.768,6,6,2026-07-30T15:18:20Z,1998332
aa4e1ea-bsan,is-terminal-0.4.17,success,13.605,1.121,6,6,2026-07-30T15:18:31Z,1998329
aa4e1ea-bsan,linked-hash-map-0.5.6,success,17.188,1.572,25,25,2026-07-30T15:18:35Z,1998333
aa4e1ea-bsan,combine-4.6.7,build_failed,114.958,0.000,0,0,2026-07-30T15:18:56Z,1998291
aa4e1ea-bsan,cc-1.2.63,success,46.159,12.838,15,15,2026-07-30T15:18:51Z,1998270
aa4e1ea-bsan,dyn-clone-1.0.20,success,84.641,3.845,7,7,2026-07-30T15:19:09Z,1998318
aa4e1ea-bsan,futures-util-0.3.32,success,54.703,1.200,1,1,2026-07-30T15:19:12Z,1998328
aa4e1ea-bsan,colored-3.1.1,test_failed,90.248,55.525,128,19,2026-07-30T15:19:17Z,1998292
aa4e1ea-bsan,atomic-waker-1.1.2,success,149.681,2.423,1,1,2026-07-30T15:19:21Z,1998288
aa4e1ea-bsan,log-0.4.30,success,40.808,3.133,32,31,2026-07-30T15:19:26Z,1998337
aa4e1ea-bsan,percent-encoding-2.3.2,success,4.248,1.285,18,18,2026-07-30T15:19:46Z,1998344
aa4e1ea-bsan,dirs-sys-next-0.1.2,success,11.397,1.817,9,9,2026-07-30T15:19:25Z,1998313
aa4e1ea-bsan,const-oid-0.10.2,success,124.486,59.819,27,27,2026-07-30T15:19:48Z,1998273
aa4e1ea-bsan,bumpalo-3.20.3,success,178.419,1.244,5,5,2026-07-30T15:19:50Z,1998275
aa4e1ea-bsan,pem-rfc7468-1.0.0,success,7.194,7.448,15,15,2026-07-30T15:19:55Z,1998347
aa4e1ea-bsan,num-complex-0.4.6,success,10.454,3.060,92,92,2026-07-30T15:19:55Z,1998345
aa4e1ea-bsan,nu-ansi-term-0.50.3,success,21.220,3.622,70,70,2026-07-30T15:20:07Z,1998343
aa4e1ea-bsan,pin-project-lite-0.2.17,build_failed,6.620,0.000,0,0,2026-07-30T15:20:11Z,1998351
aa4e1ea-bsan,r-efi-6.0.0,success,8.184,1.410,4,4,2026-07-30T15:20:15Z,1998354
aa4e1ea-bsan,lru-0.18.0,success,16.548,110.411,52,52,2026-07-30T15:20:16Z,1998330
aa4e1ea-bsan,radium-1.1.1,success,3.649,1.213,9,9,2026-07-30T15:20:17Z,1998355
aa4e1ea-bsan,event-listener-5.4.1,test_failed,121.108,2.762,11,2,2026-07-30T15:20:31Z,1998327
aa4e1ea-bsan,scopeguard-1.2.0,success,12.300,1.067,8,8,2026-07-30T15:20:39Z,1998360
aa4e1ea-bsan,pin-project-1.1.13,build_failed,18.391,0.000,0,0,2026-07-30T15:20:42Z,1998359
aa4e1ea-bsan,itoa-1.0.18,success,137.503,1.944,11,11,2026-07-30T15:20:42Z,1998335
aa4e1ea-bsan,ppv-lite86-0.2.21,success,19.114,1.046,0,0,2026-07-30T15:20:47Z,1998361
aa4e1ea-bsan,minimal-lexical-0.2.1,success,66.588,25.785,38,38,2026-07-30T15:20:49Z,1998340
aa4e1ea-bsan,anyhow-1.0.102,success,235.586,15.857,71,71,2026-07-30T15:20:55Z,1998278
aa4e1ea-bsan,object-0.39.1,test_failed,60.913,2.183,19,13,2026-07-30T15:21:07Z,1998353
aa4e1ea-bsan,once_cell-1.21.4,test_failed,64.071,6.829,74,5,2026-07-30T15:21:16Z,1998352
aa4e1ea-bsan,hyper-1.10.1,success,155.500,1.210,2,2,2026-07-30T15:21:22Z,1998338
aa4e1ea-bsan,matchers-0.2.0,success,38.910,161.502,17,17,2026-07-30T15:21:30Z,1998331
aa4e1ea-bsan,crc32fast-1.5.0,success,30.047,295.709,6,6,2026-07-30T15:22:04Z,1998293
aa4e1ea-bsan,base64ct-1.8.3,success,71.589,255.711,50,50,2026-07-30T15:22:10Z,1998281
aa4e1ea-bsan,async-trait-0.1.89,success,265.008,2.699,4,4,2026-07-30T15:22:09Z,1998317
aa4e1ea-bsan,generic-array-1.4.3,success,172.195,1.191,3,3,2026-07-30T15:22:44Z,1998346
aa4e1ea-bsan,bindgen-0.72.1,success,345.937,5.171,28,28,2026-07-30T15:22:46Z,1998277
aa4e1ea-bsan,half-2.7.1,success,208.365,2.615,37,37,2026-07-30T15:22:51Z,1998341
aa4e1ea-bsan,httparse-1.10.1,success,180.109,14.133,358,358,2026-07-30T15:23:31Z,1998349
aa4e1ea-bsan,bincode-2.0.1,success,252.920,157.931,60,60,2026-07-30T15:23:40Z,1998289
aa4e1ea-bsan,erased-serde-0.4.10,success,276.697,4.676,18,18,2026-07-30T15:23:41Z,1998326
aa4e1ea-bsan,fixedbitset-0.5.7,success,54.233,433.286,62,62,2026-07-30T15:25:31Z,1998312
aa4e1ea-bsan,predicates-3.1.4,success,63.824,1.227,19,19,2026-07-30T15:25:52Z,1998403
aa4e1ea-bsan,siphasher-1.0.3,success,4.214,1.183,13,13,2026-07-30T15:25:52Z,1998406
aa4e1ea-bsan,shlex-2.0.1,success,16.692,1.511,7,7,2026-07-30T15:26:09Z,1998405
aa4e1ea-bsan,redox_syscall-0.8.0,success,10.568,1.540,1,1,2026-07-30T15:26:21Z,1998404
aa4e1ea-bsan,serde_core-1.0.228,success,19.482,1.033,1,1,2026-07-30T15:26:27Z,1998410
aa4e1ea-bsan,proc-macro2-1.0.106,success,70.839,9.663,68,68,2026-07-30T15:27:22Z,1998408
aa4e1ea-bsan,slab-0.4.12,success,31.734,3.997,47,47,2026-07-30T15:27:26Z,1998414
aa4e1ea-bsan,ordered-float-5.3.0,success,51.883,18.624,71,71,2026-07-30T15:27:57Z,1998407
aa4e1ea-bsan,hashbrown-0.17.1,success,190.707,406.794,106,106,2026-07-30T15:29:19Z,1998342
aa4e1ea-bsan,serde_bytes-0.11.19,success,63.382,4.611,4,4,2026-07-30T15:29:40Z,1998420
aa4e1ea-bsan,subtle-2.6.1,success,29.020,7.047,28,28,2026-07-30T15:30:35Z,1998424
aa4e1ea-bsan,rustversion-1.0.22,success,118.220,3.753,2,2,2026-07-30T15:31:22Z,1998422
aa4e1ea-bsan,rand-0.10.1,success,58.906,239.916,85,85,2026-07-30T15:31:52Z,1998413
aa4e1ea-bsan,ryu-1.0.23,test_failed,180.934,5.495,20,9,2026-07-30T15:32:14Z,1998421
aa4e1ea-bsan,utf8_iter-1.0.4,success,3.616,0.990,2,2,2026-07-30T15:32:42Z,1998436
aa4e1ea-bsan,smallvec-1.15.1,success,76.389,3.156,63,63,2026-07-30T15:33:27Z,1998433
aa4e1ea-bsan,alloc-no-stdlib-2.0.4,success,986.526,2.934,9,9,2026-07-30T15:33:37Z,1998301
aa4e1ea-bsan,der-0.8.0,success,139.673,22.919,78,78,2026-07-30T15:34:21Z,1998427
aa4e1ea-bsan,alloc-stdlib-0.2.2,success,1084.274,3.176,11,11,2026-07-30T15:34:45Z,1998294
aa4e1ea-bsan,urlencoding-2.1.3,success,5.440,1.304,9,9,2026-07-30T15:35:20Z,1998456
aa4e1ea-bsan,socket2-0.6.4,success,8.560,1.548,10,10,2026-07-30T15:35:43Z,1998458
aa4e1ea-bsan,utf8parse-0.2.2,success,6.732,3.682,1,1,2026-07-30T15:36:18Z,1998460
aa4e1ea-bsan,unicode-normalization-0.1.25,success,9.569,62.806,13,13,2026-07-30T15:36:38Z,1998457
aa4e1ea-bsan,tempfile-3.27.0,success,65.306,163.872,64,64,2026-07-30T15:36:37Z,1998430
aa4e1ea-bsan,tracing-core-0.1.36,test_failed,16.777,1.335,20,19,2026-07-30T15:37:02Z,1998464
aa4e1ea-bsan,gimli-0.33.0,success,221.603,803.570,480,480,2026-07-30T15:37:22Z,1998350
aa4e1ea-bsan,quinn-udp-0.6.1,test_failed,179.377,3.424,11,3,2026-07-30T15:38:23Z,1998455
aa4e1ea-bsan,zeroize-1.8.2,success,14.852,3.486,13,13,2026-07-30T15:39:35Z,1998476
aa4e1ea-bsan,unicode-bidi-0.3.18,success,30.558,3.774,36,36,2026-07-30T15:39:43Z,1998471
aa4e1ea-bsan,yoke-0.8.2,success,39.514,3.850,12,12,2026-07-30T15:41:17Z,1998483
aa4e1ea-bsan,thread_local-1.1.9,success,166.903,1.896,8,8,2026-07-30T15:41:24Z,1998468
aa4e1ea-bsan,tokio-stream-0.1.18,test_failed,179.020,8.380,13,12,2026-07-30T15:42:13Z,1998472
aa4e1ea-bsan,tracing-log-0.2.0,success,175.957,3.374,7,7,2026-07-30T15:44:21Z,1998490
aa4e1ea-bsan,uuid-1.23.2,success,163.304,5.967,60,60,2026-07-30T15:44:45Z,1998484
aa4e1ea-bsan,zerocopy-0.8.50,test_failed,172.251,102.868,108,104,2026-07-30T15:45:46Z,1998489
aa4e1ea-bsan,writeable-0.6.3,success,201.120,28.008,16,16,2026-07-30T15:46:18Z,1998494
aa4e1ea-bsan,which-8.0.2,success,76.549,6.385,24,24,2026-07-30T15:47:02Z,1998507
aa4e1ea-bsan,generic-array-1.4.2,success,225.514,1.857,3,3,2026-07-30T15:50:46Z,1998512
aa4e1ea-bsan,tungstenite-0.29.0,success,253.187,2.868,43,43,2026-07-30T15:51:08Z,1998515
aa4e1ea-bsan,url-2.5.8,success,79.418,144.781,67,67,2026-07-30T15:51:27Z,1998519
aa4e1ea-bsan,serde_with-3.20.0,test_failed,505.794,10.239,106,19,2026-07-30T15:53:35Z,1998504
aa4e1ea-bsan,tower-http-0.6.11,success,586.200,3.368,9,9,2026-07-30T15:53:56Z,1998499
