build,crate,status,compile_seconds,run_seconds,tests,passed,timestamp,job_id
e132224-bsan,dashmap-6.2.1,build_failed,0.125,0.000,0,0,2026-07-29T16:55:40Z,1994324
e132224-bsan,core-foundation-sys-0.8.7,success,6.973,1.184,1,1,2026-07-29T16:55:44Z,1994344
e132224-bsan,base16ct-1.0.0,success,8.228,2.191,10,10,2026-07-29T16:55:46Z,1994343
e132224-bsan,cpufeatures-0.3.0,success,7.698,3.360,2,2,2026-07-29T16:55:49Z,1994352
e132224-bsan,errno-0.3.14,success,8.810,1.297,4,4,2026-07-29T16:55:49Z,1994345
e132224-bsan,dirs-sys-0.5.0,success,9.477,1.220,9,9,2026-07-29T16:55:51Z,1994326
e132224-bsan,block-buffer-0.12.0,success,15.297,1.895,8,8,2026-07-29T16:55:53Z,1994331
e132224-bsan,anstream-1.0.0,build_failed,9.835,0.000,0,0,2026-07-29T16:56:02Z,1994329
e132224-bsan,anstyle-query-1.1.5,success,3.257,0.911,3,3,2026-07-29T16:56:12Z,1994359
e132224-bsan,futures-task-0.3.32,success,11.134,0.984,1,1,2026-07-29T16:56:16Z,1994367
e132224-bsan,camino-1.2.2,success,32.046,2.566,5,5,2026-07-29T16:56:21Z,1994325
e132224-bsan,dirs-sys-next-0.1.2,success,7.758,1.287,9,9,2026-07-29T16:56:23Z,1994365
e132224-bsan,cc-1.2.63,success,27.259,5.799,15,15,2026-07-29T16:56:23Z,1994323
e132224-bsan,csv-1.4.0,test_failed,50.746,2.247,141,0,2026-07-29T16:56:31Z,1994351
e132224-bsan,byteorder-1.5.0,success,42.253,10.801,290,290,2026-07-29T16:56:32Z,1994333
e132224-bsan,async-lock-3.4.2,test_failed,41.685,2.364,2,0,2026-07-29T16:56:35Z,1994350
e132224-bsan,bytemuck-1.25.0,success,22.830,8.986,32,32,2026-07-29T16:56:37Z,1994358
e132224-bsan,arrayvec-0.7.6,success,27.654,5.799,50,50,2026-07-29T16:56:39Z,1994362
e132224-bsan,http-body-1.0.1,success,9.788,1.834,2,2,2026-07-29T16:56:45Z,1994375
e132224-bsan,anstyle-1.0.14,success,33.070,1.320,8,8,2026-07-29T16:56:45Z,1994357
e132224-bsan,bit-set-0.10.0,success,32.590,5.936,24,24,2026-07-29T16:56:49Z,1994360
e132224-bsan,either-1.16.0,success,15.942,1.442,7,7,2026-07-29T16:56:55Z,1994373
e132224-bsan,getrandom-0.4.2,test_failed,10.615,3.215,9,0,2026-07-29T16:56:57Z,1994374
e132224-bsan,ansi_term-0.12.1,success,54.191,22.596,58,58,2026-07-29T16:57:06Z,1994349
e132224-bsan,inout-0.2.2,success,7.290,1.753,1,1,2026-07-29T16:57:13Z,1994376
e132224-bsan,hashlink-0.11.0,success,28.781,9.756,66,66,2026-07-29T16:57:13Z,1994370
e132224-bsan,libc-0.2.186,success,13.285,1.791,6,6,2026-07-29T16:57:20Z,1994383
e132224-bsan,linked-hash-map-0.5.6,success,17.182,1.580,25,25,2026-07-29T16:57:28Z,1994384
e132224-bsan,is-terminal-0.4.17,success,15.408,1.048,6,6,2026-07-29T16:57:37Z,1994380
e132224-bsan,dyn-clone-1.0.20,success,80.785,3.406,7,7,2026-07-29T16:58:02Z,1994369
