build,crate,test,status,compile_seconds,mean_s,stddev_s,median_s,min_s,max_s,runs,timestamp,job_id
gc-opts-1-miri,brotli-decompressor-5.0.1,__calibration__,calibration,5.053,11.778158352,0,11.778158352,11.778158352,11.778158352,1,2026-09-17T04:07:22Z,2137537.0
gc-opts-1-miri,brotli-decompressor-5.0.1,__calibration__,calibration,5.310,11.820453643,0,11.820453643,11.820453643,11.820453643,1,2026-09-17T04:07:23Z,2137537.10
gc-opts-1-miri,brotli-decompressor-5.0.1,test::test_quickfox_repeated_exported_prealloc,success,5.310,50.241008208,0,50.241008208,50.241008208,50.241008208,1,2026-09-17T04:09:05Z,2137537.10
gc-opts-1-miri,brotli-decompressor-5.0.1,__calibration__,calibration,5.116,11.538766288,0,11.538766288,11.538766288,11.538766288,1,2026-09-17T04:07:21Z,2137537.11
gc-opts-1-miri,brotli-decompressor-5.0.1,tests::test_10x_10y,success,5.116,5.05886917,0,5.05886917,5.05886917,5.05886917,1,2026-09-17T04:07:32Z,2137537.11
gc-opts-1-miri,brotli-8.0.3,__calibration__,calibration,5.397,6.420271537,0,6.420271537,6.420271537,6.420271537,1,2026-09-17T04:07:38Z,2137537.12
gc-opts-1-miri,brotli-8.0.3,__calibration__,calibration,7.344,7.318709994,0,7.318709994,7.318709994,7.318709994,1,2026-09-17T04:07:41Z,2137537.13
gc-opts-1-miri,brotli-8.0.3,__calibration__,calibration,7.584,8.55413059,0,8.55413059,8.55413059,8.55413059,1,2026-09-17T04:07:26Z,2137537.14
gc-opts-1-miri,brotli-8.0.3,enc::backward_references::test::test_bulk_store_range_pow2,success,7.584,7.241149634,0,7.241149634,7.241149634,7.241149634,1,2026-09-17T04:07:41Z,2137537.14
gc-opts-1-miri,brotli-decompressor-5.0.1,__calibration__,calibration,4.291,11.608399618,0,11.608399618,11.608399618,11.608399618,1,2026-09-17T04:07:20Z,2137537.1
gc-opts-1-miri,brotli-decompressor-5.0.1,integration_tests::test_metablock_section_4_distance_symbol_0,success,4.291,10.436202078,0,10.436202078,10.436202078,10.436202078,1,2026-09-17T04:07:42Z,2137537.1
gc-opts-1-miri,brotli-decompressor-5.0.1,__calibration__,calibration,5.003,11.622525647,0,11.622525647,11.622525647,11.622525647,1,2026-09-17T04:07:21Z,2137537.2
gc-opts-1-miri,brotli-decompressor-5.0.1,integration_tests::test_negative_hypothesis,success,5.003,5.281415535,0,5.281415535,5.281415535,5.281415535,1,2026-09-17T04:07:32Z,2137537.2
gc-opts-1-miri,brotli-decompressor-5.0.1,__calibration__,calibration,3.195,11.054524057,0,11.054524057,11.054524057,11.054524057,1,2026-09-17T04:07:20Z,2137537.3
gc-opts-1-miri,brotli-decompressor-5.0.1,integration_tests::test_random_org_10k,success,3.195,4.958131636,0,4.958131636,4.958131636,4.958131636,1,2026-09-17T04:07:30Z,2137537.3
