build,crate,status,compile_seconds,run_seconds,tests,passed,timestamp,job_id
lazy-gc-miri,clap_lex-1.1.0,success,6.022,3.188,18,17,2026-07-16T18:40:12Z,1952222
lazy-gc-miri,base16ct-1.0.0,success,1.484,4.094,11,11,2026-07-16T18:40:15Z,1952225
lazy-gc-miri,arrayvec-0.7.6,success,5.237,15.189,93,92,2026-07-16T18:40:24Z,1952231
lazy-gc-miri,backtrace-0.3.76,test_failed,10.581,9.270,3,1,2026-07-16T18:40:24Z,1952226
lazy-gc-miri,core-foundation-sys-0.8.7,success,0.915,1.576,1,1,2026-07-16T18:40:36Z,1952238
lazy-gc-miri,anstream-1.0.0,success,27.992,5.121,30,21,2026-07-16T18:40:44Z,1952233
lazy-gc-miri,bindgen-0.72.1,test_failed,18.643,21.229,47,29,2026-07-16T18:40:52Z,1952228
lazy-gc-miri,cc-1.2.63,success,6.484,7.974,45,43,2026-07-16T18:40:55Z,1952235
lazy-gc-miri,atomic-waker-1.1.2,success,38.345,2.500,3,3,2026-07-16T18:40:55Z,1952232
lazy-gc-miri,byteorder-1.5.0,success,7.451,46.088,412,412,2026-07-16T18:40:59Z,1952223
lazy-gc-miri,ansi_term-0.12.1,success,8.550,41.221,105,105,2026-07-16T18:41:00Z,1952227
lazy-gc-miri,camino-1.2.2,test_failed,11.579,15.137,85,81,2026-07-16T18:41:05Z,1952237
lazy-gc-miri,constant_time_eq-0.5.0,success,38.486,5.347,12,12,2026-07-16T18:41:03Z,1952230
lazy-gc-miri,android_system_properties-0.1.5,success,2.297,1.652,4,4,2026-07-16T18:41:08Z,1952242
lazy-gc-miri,block-buffer-0.12.0,success,2.849,3.250,11,11,2026-07-16T18:41:10Z,1952241
lazy-gc-miri,bytemuck-1.25.0,success,4.330,17.257,43,41,2026-07-16T18:41:10Z,1952236
lazy-gc-miri,addr2line-0.26.1,success,47.251,1.865,3,3,2026-07-16T18:41:10Z,1952220
lazy-gc-miri,alloc-stdlib-0.2.2,test_failed,4.491,5.224,11,2,2026-07-16T18:41:16Z,1952245
lazy-gc-miri,anstyle-query-1.1.5,success,0.730,1.520,3,3,2026-07-16T18:41:16Z,1952246
lazy-gc-miri,cpufeatures-0.3.0,success,1.004,7.533,3,3,2026-07-16T18:41:17Z,1952243
lazy-gc-miri,const-oid-0.10.2,test_failed,14.167,5.101,27,26,2026-07-16T18:41:38Z,1952247
lazy-gc-miri,alloc-no-stdlib-2.0.4,success,3.001,6.098,9,9,2026-07-16T18:41:44Z,1952251
lazy-gc-miri,combine-4.6.7,test_failed,56.648,34.571,227,224,2026-07-16T18:41:59Z,1952221
lazy-gc-miri,anstyle-1.0.14,success,13.030,8.195,42,42,2026-07-16T18:42:08Z,1952252
lazy-gc-miri,arc-swap-1.9.1,test_failed,37.846,81.224,40,35,2026-07-16T18:42:17Z,1952229
lazy-gc-miri,allocator-api2-0.4.0,success,2.749,27.920,167,167,2026-07-16T18:42:20Z,1952254
lazy-gc-miri,bincode-2.0.1,success,43.064,85.438,86,82,2026-07-16T18:42:22Z,1952234
lazy-gc-miri,bit-set-0.10.0,success,12.451,15.114,47,47,2026-07-16T18:43:01Z,1952259
lazy-gc-miri,concurrent-queue-2.5.0,success,25.908,37.883,45,45,2026-07-16T18:43:04Z,1952256
lazy-gc-miri,anyhow-1.0.102,success,66.702,30.758,98,97,2026-07-16T18:42:59Z,1952244
lazy-gc-miri,crc32fast-1.5.0,test_failed,4.282,68.237,6,5,2026-07-16T18:43:27Z,1952257
lazy-gc-miri,async-trait-0.1.89,success,51.856,3.837,5,4,2026-07-16T18:43:31Z,1952258
lazy-gc-miri,crossbeam-queue-0.3.12,success,7.117,52.550,36,36,2026-07-16T18:43:35Z,1952264
lazy-gc-miri,bit-vec-0.9.1,success,9.927,89.357,106,106,2026-07-16T18:43:36Z,1952255
lazy-gc-miri,dashmap-6.2.1,test_failed,4.907,13.290,20,20,2026-07-16T18:43:56Z,1952270
lazy-gc-miri,data-encoding-2.11.0,success,1.116,6.921,43,42,2026-07-16T18:44:01Z,1952271
lazy-gc-miri,csv-1.4.0,test_failed,20.463,60.583,183,141,2026-07-16T18:44:48Z,1952269
lazy-gc-miri,dirs-sys-next-0.1.2,success,4.434,4.029,9,9,2026-07-16T18:45:09Z,1952275
lazy-gc-miri,async-lock-3.4.2,success,13.300,103.397,118,114,2026-07-16T18:44:36Z,1952224
lazy-gc-miri,dirs-sys-0.5.0,success,7.737,4.634,9,9,2026-07-16T18:45:02Z,1952274
lazy-gc-miri,either-1.16.0,success,11.058,12.463,65,65,2026-07-16T18:45:33Z,1952278
lazy-gc-miri,erased-serde-0.4.10,success,17.264,7.571,31,30,2026-07-16T18:45:55Z,1952280
lazy-gc-miri,errno-0.3.14,test_failed,7.660,3.275,4,3,2026-07-16T18:46:04Z,1952281
lazy-gc-miri,async-stream-0.3.6,test_failed,53.791,6.761,2,2,2026-07-16T18:45:06Z,1952253
lazy-gc-miri,form_urlencoded-1.2.2,success,1.874,0.911,1,1,2026-07-16T18:46:26Z,1952290
lazy-gc-miri,foreign-types-0.5.0,success,8.605,2.909,5,5,2026-07-16T18:46:29Z,1952289
lazy-gc-miri,futures-channel-0.3.32,test_failed,1.154,2.160,1,1,2026-07-16T18:46:38Z,1952293
lazy-gc-miri,futures-task-0.3.32,test_failed,1.567,2.063,3,1,2026-07-16T18:46:46Z,1952294
lazy-gc-miri,dyn-clone-1.0.20,success,45.458,9.546,13,12,2026-07-16T18:46:21Z,1952277
lazy-gc-miri,foldhash-0.2.0,success,27.862,1.779,4,4,2026-07-16T18:46:55Z,1952286
lazy-gc-miri,crossbeam-utils-0.8.21,success,21.669,47.063,221,220,2026-07-16T18:46:11Z,1952265
lazy-gc-miri,futures-util-0.3.32,test_failed,17.998,11.368,156,2,2026-07-16T18:47:29Z,1952296
lazy-gc-miri,event-listener-strategy-0.5.4,success,9.061,4.798,5,5,2026-07-16T18:47:28Z,1952283
lazy-gc-miri,fixedbitset-0.5.7,success,8.972,59.524,69,69,2026-07-16T18:47:24Z,1952284
lazy-gc-miri,hashlink-0.11.0,success,9.623,21.306,66,66,2026-07-16T18:47:47Z,1952307
lazy-gc-miri,inout-0.2.2,success,2.658,2.162,1,1,2026-07-16T18:47:56Z,1952313
lazy-gc-miri,event-listener-5.4.1,success,26.892,7.750,43,43,2026-07-16T18:47:55Z,1952282
lazy-gc-miri,generic-array-1.4.3,success,39.498,5.565,39,35,2026-07-16T18:48:09Z,1952298
lazy-gc-miri,hostname-0.4.2,test_failed,33.593,2.328,5,4,2026-07-16T18:48:18Z,1952309
lazy-gc-miri,der-0.8.0,test_failed,26.923,11.616,78,76,2026-07-16T18:47:12Z,1952272
lazy-gc-miri,is-terminal-0.4.17,success,5.217,2.229,9,9,2026-07-16T18:48:32Z,1952320
lazy-gc-miri,itoa-1.0.18,success,4.467,6.672,13,13,2026-07-16T18:48:55Z,1952326
lazy-gc-miri,libc-0.2.186,success,3.743,3.497,6,6,2026-07-16T18:48:59Z,1952330
lazy-gc-miri,colored-3.1.1,test_failed,86.288,16.869,128,19,2026-07-16T18:47:28Z,1952240
lazy-gc-miri,lock_api-0.4.14,success,0.965,1.805,1,1,2026-07-16T18:49:20Z,1952333
lazy-gc-miri,generic-array-1.4.2,success,79.866,9.392,39,35,2026-07-16T18:49:13Z,1952297
lazy-gc-miri,brotli-decompressor-5.0.1,test_failed,1.555,469.035,107,31,2026-07-16T18:49:24Z,1952250
lazy-gc-miri,bytes-1.11.1,success,6.933,354.673,1231,1230,2026-07-16T18:48:32Z,1952239
lazy-gc-miri,crossbeam-deque-0.8.6,test_failed,7.258,411.468,16,12,2026-07-16T18:49:34Z,1952262
lazy-gc-miri,linked-hash-map-0.5.6,success,10.298,9.390,45,45,2026-07-16T18:49:44Z,1952331
lazy-gc-miri,encoding_rs-0.8.35,success,12.984,255.341,159,140,2026-07-16T18:49:49Z,1952279
lazy-gc-miri,hashbrown-0.17.1,success,35.265,114.776,383,381,2026-07-16T18:49:54Z,1952306
lazy-gc-miri,bumpalo-3.20.3,success,92.985,22.321,52,49,2026-07-16T18:48:28Z,1952249
lazy-gc-miri,log-0.4.30,success,18.380,8.600,59,58,2026-07-16T18:50:01Z,1952335
lazy-gc-miri,mio-1.2.1,success,5.838,1.756,21,5,2026-07-16T18:50:03Z,1952342
lazy-gc-miri,minimal-lexical-0.2.1,success,1.174,22.327,42,42,2026-07-16T18:50:16Z,1952340
lazy-gc-miri,nu-ansi-term-0.50.3,success,5.589,15.285,123,123,2026-07-16T18:50:15Z,1952343
lazy-gc-miri,itertools-0.14.0,success,28.646,70.170,383,383,2026-07-16T18:50:14Z,1952324
lazy-gc-miri,num-complex-0.4.6,test_failed,3.281,9.030,92,91,2026-07-16T18:50:29Z,1952344
lazy-gc-miri,pem-rfc7468-1.0.0,success,1.139,8.287,16,15,2026-07-16T18:50:32Z,1952350
lazy-gc-miri,percent-encoding-2.3.2,success,1.032,4.942,24,24,2026-07-16T18:50:40Z,1952351
lazy-gc-miri,os_str_bytes-7.2.0,test_failed,5.843,7.865,67,48,2026-07-16T18:50:44Z,1952348
lazy-gc-miri,httparse-1.10.1,success,44.692,37.553,365,364,2026-07-16T18:50:44Z,1952310
lazy-gc-miri,pin-project-1.1.13,success,9.512,10.819,40,40,2026-07-16T18:50:55Z,1952354
lazy-gc-miri,ppv-lite86-0.2.21,success,4.627,1.616,2,2,2026-07-16T18:51:00Z,1952358
lazy-gc-miri,pin-project-lite-0.2.17,success,2.180,6.947,33,33,2026-07-16T18:51:02Z,1952355
lazy-gc-miri,powerfmt-0.2.0,success,6.961,1.999,5,5,2026-07-16T18:51:02Z,1952356
lazy-gc-miri,object-0.39.1,test_failed,13.048,7.208,19,13,2026-07-16T18:51:01Z,1952345
lazy-gc-miri,half-2.7.1,success,57.115,19.255,98,90,2026-07-16T18:50:43Z,1952303
lazy-gc-miri,radium-1.1.1,success,1.088,2.913,11,11,2026-07-16T18:51:18Z,1952362
lazy-gc-miri,r-efi-6.0.0,success,1.363,3.439,8,6,2026-07-16T18:51:28Z,1952365
lazy-gc-miri,predicates-3.1.4,test_failed,7.296,14.967,67,59,2026-07-16T18:51:38Z,1952359
lazy-gc-miri,proc-macro2-1.0.106,test_failed,12.715,17.563,76,71,2026-07-16T18:51:49Z,1952360
lazy-gc-miri,once_cell-1.21.4,success,13.394,28.346,118,116,2026-07-16T18:51:39Z,1952346
lazy-gc-miri,ordered-float-5.3.0,test_failed,5.823,80.818,71,70,2026-07-16T18:51:53Z,1952347
lazy-gc-miri,quinn-udp-0.6.1,test_failed,35.085,2.953,11,3,2026-07-16T18:52:03Z,1952361
lazy-gc-miri,scopeguard-1.2.0,success,0.725,2.797,14,14,2026-07-16T18:52:18Z,1952369
lazy-gc-miri,rustversion-1.0.22,success,23.375,3.151,3,2,2026-07-16T18:52:22Z,1952367
lazy-gc-miri,ryu-1.0.23,success,4.444,12.317,51,48,2026-07-16T18:52:23Z,1952368
lazy-gc-miri,serde_bytes-0.11.19,success,12.832,4.928,10,10,2026-07-16T18:52:33Z,1952371
lazy-gc-miri,shlex-2.0.1,success,1.055,3.267,8,8,2026-07-16T18:52:39Z,1952375
lazy-gc-miri,semver-1.0.28,success,1.224,12.488,38,38,2026-07-16T18:52:39Z,1952370
lazy-gc-miri,serde_core-1.0.228,test_failed,12.705,8.815,69,48,2026-07-16T18:52:45Z,1952372
lazy-gc-miri,lazycell-1.3.0,success,1.206,4.504,29,29,2026-07-16T18:51:59Z,1952327
lazy-gc-miri,siphasher-1.0.3,success,0.874,3.623,15,15,2026-07-16T18:52:59Z,1952376
lazy-gc-miri,socket2-0.6.4,test_failed,2.732,3.194,17,13,2026-07-16T18:53:01Z,1952379
