build,crate,status,compile_seconds,run_seconds,tests,passed,timestamp,job_id
lazy-gc-miri,core-foundation-sys-0.8.7,success,3.707,3.579,1,1,2026-07-16T16:04:47Z,1950789
lazy-gc-miri,base16ct-1.0.0,success,4.617,5.153,11,11,2026-07-16T16:04:50Z,1950790
lazy-gc-miri,cpufeatures-0.3.0,success,1.285,7.574,3,3,2026-07-16T16:04:50Z,1950788
lazy-gc-miri,bytemuck-1.25.0,success,4.780,14.898,43,41,2026-07-16T16:05:01Z,1950785
lazy-gc-miri,anstyle-1.0.14,success,10.949,5.983,42,42,2026-07-16T16:05:01Z,1950783
lazy-gc-miri,anstyle-query-1.1.5,success,3.911,4.775,3,3,2026-07-16T16:05:08Z,1950777
lazy-gc-miri,allocator-api2-0.4.0,success,4.557,25.170,167,167,2026-07-16T16:05:11Z,1950784
lazy-gc-miri,alloc-stdlib-0.2.2,test_failed,1.136,3.984,11,2,2026-07-16T16:05:14Z,1950796
lazy-gc-miri,arrayvec-0.7.6,success,5.979,15.513,93,92,2026-07-16T16:05:22Z,1950792
lazy-gc-miri,alloc-no-stdlib-2.0.4,success,0.967,4.902,9,9,2026-07-16T16:05:24Z,1950799
lazy-gc-miri,block-buffer-0.12.0,success,3.366,3.700,11,11,2026-07-16T16:05:26Z,1950797
lazy-gc-miri,backtrace-0.3.76,test_failed,8.601,8.825,3,1,2026-07-16T16:05:39Z,1950798
lazy-gc-miri,ansi_term-0.12.1,success,9.396,41.732,105,105,2026-07-16T16:05:41Z,1950786
lazy-gc-miri,atomic-waker-1.1.2,success,44.686,2.705,3,3,2026-07-16T16:05:42Z,1950791
lazy-gc-miri,async-trait-0.1.89,success,46.026,3.146,5,4,2026-07-16T16:05:53Z,1950794
lazy-gc-miri,bumpalo-3.20.3,success,40.247,16.536,52,49,2026-07-16T16:05:56Z,1950787
lazy-gc-miri,cc-1.2.63,success,16.853,10.133,45,43,2026-07-16T16:06:01Z,1950781
lazy-gc-miri,bit-set-0.10.0,success,12.438,15.662,47,47,2026-07-16T16:06:12Z,1950801
lazy-gc-miri,android_system_properties-0.1.5,success,2.785,2.026,4,4,2026-07-16T16:06:15Z,1950806
lazy-gc-miri,anyhow-1.0.102,success,40.717,23.743,98,97,2026-07-16T16:06:17Z,1950776
lazy-gc-miri,concurrent-queue-2.5.0,success,31.653,46.720,45,45,2026-07-16T16:06:27Z,1950793
lazy-gc-miri,crc32fast-1.5.0,test_failed,5.287,82.622,6,5,2026-07-16T16:06:38Z,1950795
lazy-gc-miri,clap_lex-1.1.0,success,19.505,7.469,18,17,2026-07-16T16:06:40Z,1950803
lazy-gc-miri,byteorder-1.5.0,success,8.623,54.227,412,412,2026-07-16T16:06:45Z,1950802
lazy-gc-miri,bindgen-0.72.1,test_failed,25.839,23.441,47,29,2026-07-16T16:06:44Z,1950770
lazy-gc-miri,anstream-1.0.0,success,57.676,8.523,30,21,2026-07-16T16:06:42Z,1950778
lazy-gc-miri,async-stream-0.3.6,test_failed,64.077,7.895,2,2,2026-07-16T16:06:44Z,1950773
lazy-gc-miri,crossbeam-utils-0.8.21,success,8.150,37.501,221,220,2026-07-16T16:07:11Z,1950815
lazy-gc-miri,data-encoding-2.11.0,success,1.552,8.542,43,42,2026-07-16T16:07:18Z,1950821
lazy-gc-miri,camino-1.2.2,test_failed,18.088,15.168,85,81,2026-07-16T16:07:04Z,1950774
lazy-gc-miri,const-oid-0.10.2,test_failed,26.219,6.979,27,26,2026-07-16T16:07:07Z,1950772
lazy-gc-miri,dyn-clone-1.0.20,success,18.095,4.731,13,12,2026-07-16T16:07:25Z,1950830
lazy-gc-miri,colored-3.1.1,test_failed,61.561,12.321,128,19,2026-07-16T16:07:22Z,1950780
lazy-gc-miri,combine-4.6.7,test_failed,85.013,41.737,227,224,2026-07-16T16:07:20Z,1950782
lazy-gc-miri,either-1.16.0,success,4.773,9.231,65,65,2026-07-16T16:07:33Z,1950833
lazy-gc-miri,crossbeam-queue-0.3.12,success,15.881,55.635,36,36,2026-07-16T16:07:36Z,1950812
lazy-gc-miri,bit-vec-0.9.1,success,33.781,112.975,106,106,2026-07-16T16:07:44Z,1950768
lazy-gc-miri,foreign-types-0.5.0,success,7.316,2.705,5,5,2026-07-16T16:07:51Z,1950858
lazy-gc-miri,dashmap-6.2.1,test_failed,16.872,19.606,20,20,2026-07-16T16:07:51Z,1950820
lazy-gc-miri,dirs-sys-0.5.0,success,4.989,4.050,9,9,2026-07-16T16:07:46Z,1950825
lazy-gc-miri,errno-0.3.14,test_failed,3.159,1.893,4,3,2026-07-16T16:07:54Z,1950843
lazy-gc-miri,form_urlencoded-1.2.2,success,0.912,0.647,1,1,2026-07-16T16:08:00Z,1950859
