build,crate,status,compile_seconds,run_seconds,tests,passed,timestamp,job_id
lazy-gc-miri,futures-task-0.3.32,success,0.448,4.625,1,1,2026-08-31T04:26:27Z,2081817
lazy-gc-miri,base16ct-1.0.0,success,3.257,3.518,10,10,2026-08-31T04:26:29Z,2081818
lazy-gc-miri,anstyle-query-1.1.5,success,1.128,7.599,3,3,2026-08-31T04:26:33Z,2081808
lazy-gc-miri,errno-0.3.14,test_failed,8.593,2.882,4,3,2026-08-31T04:26:36Z,2081824
lazy-gc-miri,dirs-sys-0.5.0,success,7.719,4.224,9,9,2026-08-31T04:26:37Z,2081827
lazy-gc-miri,dirs-sys-next-0.1.2,success,3.811,4.237,9,9,2026-08-31T04:26:37Z,2081825
lazy-gc-miri,core-foundation-sys-0.8.7,success,0.696,5.478,1,1,2026-08-31T04:26:39Z,2081838
lazy-gc-miri,block-buffer-0.12.0,success,7.364,3.158,8,8,2026-08-31T04:26:43Z,2081835
lazy-gc-miri,const-oid-0.10.2,test_failed,8.660,7.043,27,26,2026-08-31T04:26:43Z,2081819
lazy-gc-miri,bit-set-0.10.0,success,9.128,11.062,24,24,2026-08-31T04:26:46Z,2081821
lazy-gc-miri,alloc-stdlib-0.2.2,test_failed,5.721,19.569,11,2,2026-08-31T04:26:50Z,2081815
lazy-gc-miri,arrayvec-0.7.6,success,7.494,11.331,50,50,2026-08-31T04:26:53Z,2081836
lazy-gc-miri,either-1.16.0,success,5.414,2.469,7,7,2026-08-31T04:26:54Z,2081829
lazy-gc-miri,anstream-1.0.0,success,11.502,2.379,10,10,2026-08-31T04:26:55Z,2081842
lazy-gc-miri,colored-3.1.1,test_failed,7.951,11.175,128,19,2026-08-31T04:26:55Z,2081826
lazy-gc-miri,camino-1.2.2,success,14.428,6.363,5,5,2026-08-31T04:27:01Z,2081844
lazy-gc-miri,http-body-1.0.1,success,1.666,1.965,2,2,2026-08-31T04:27:04Z,2081851
lazy-gc-miri,backtrace-0.3.76,test_failed,12.386,9.572,3,1,2026-08-31T04:27:02Z,2081831
lazy-gc-miri,alloc-no-stdlib-2.0.4,success,7.161,23.027,9,9,2026-08-31T04:27:05Z,2081843
lazy-gc-miri,bytemuck-1.25.0,success,2.577,13.977,32,32,2026-08-31T04:27:03Z,2081834
lazy-gc-miri,cpufeatures-0.3.0,success,3.798,10.396,2,2,2026-08-31T04:27:01Z,2081813
lazy-gc-miri,anstyle-1.0.14,success,19.488,3.964,8,8,2026-08-31T04:27:13Z,2081810
lazy-gc-miri,async-trait-0.1.89,success,14.451,2.914,4,4,2026-08-31T04:27:21Z,2081852
lazy-gc-miri,anyhow-1.0.102,success,15.137,28.853,71,71,2026-08-31T04:27:21Z,2081841
lazy-gc-miri,dashmap-6.2.1,success,20.303,15.915,20,20,2026-08-31T04:27:21Z,2081814
lazy-gc-miri,event-listener-strategy-0.5.4,success,1.876,1.952,2,2,2026-08-31T04:27:20Z,2081858
lazy-gc-miri,der-0.8.0,test_failed,7.090,11.720,78,76,2026-08-31T04:27:26Z,2081855
lazy-gc-miri,atomic-waker-1.1.2,success,11.392,1.830,1,1,2026-08-31T04:27:25Z,2081853
lazy-gc-miri,dyn-clone-1.0.20,success,6.439,3.875,7,7,2026-08-31T04:27:33Z,2081860
lazy-gc-miri,getrandom-0.4.2,success,2.566,19.334,9,9,2026-08-31T04:27:31Z,2081854
lazy-gc-miri,csv-1.4.0,test_failed,13.694,57.600,183,141,2026-08-31T04:27:38Z,2081816
lazy-gc-miri,libc-0.2.186,success,3.493,3.146,6,6,2026-08-31T04:27:38Z,2081869
lazy-gc-miri,byteorder-1.5.0,success,14.612,43.290,290,290,2026-08-31T04:27:41Z,2081811
lazy-gc-miri,hashlink-0.11.0,success,7.373,23.431,66,66,2026-08-31T04:27:41Z,2081856
lazy-gc-miri,log-0.4.30,success,6.814,6.032,32,32,2026-08-31T04:27:47Z,2081871
lazy-gc-miri,inout-0.2.2,success,11.234,3.429,1,1,2026-08-31T04:27:47Z,2081859
lazy-gc-miri,bit-vec-0.9.1,success,4.747,69.799,58,58,2026-08-31T04:27:50Z,2081833
lazy-gc-miri,futures-util-0.3.32,success,6.170,2.818,1,1,2026-08-31T04:27:50Z,2081866
lazy-gc-miri,fixedbitset-0.5.7,success,3.256,51.180,62,62,2026-08-31T04:27:56Z,2081849
lazy-gc-miri,num-complex-0.4.6,test_failed,2.915,11.676,92,91,2026-08-31T04:27:57Z,2081874
lazy-gc-miri,minimal-lexical-0.2.1,success,1.235,26.129,38,38,2026-08-31T04:27:59Z,2081870
lazy-gc-miri,linked-hash-map-0.5.6,success,4.587,4.483,25,25,2026-08-31T04:27:59Z,2081873
lazy-gc-miri,addr2line-0.26.1,success,16.505,1.771,1,1,2026-08-31T04:27:55Z,2081862
lazy-gc-miri,percent-encoding-2.3.2,success,0.308,4.403,18,18,2026-08-31T04:28:05Z,2081878
lazy-gc-miri,radium-1.1.1,success,1.183,3.325,9,9,2026-08-31T04:28:06Z,2081880
lazy-gc-miri,ansi_term-0.12.1,success,11.990,37.006,58,58,2026-08-31T04:28:05Z,2081847
lazy-gc-miri,once_cell-1.21.4,success,5.498,19.161,74,74,2026-08-31T04:28:14Z,2081875
lazy-gc-miri,object-0.39.1,test_failed,5.076,6.144,19,13,2026-08-31T04:28:15Z,2081881
lazy-gc-miri,pin-project-lite-0.2.17,success,3.883,8.196,21,21,2026-08-31T04:28:15Z,2081884
lazy-gc-miri,pem-rfc7468-1.0.0,success,2.622,10.074,15,15,2026-08-31T04:28:14Z,2081879
lazy-gc-miri,is-terminal-0.4.17,success,5.440,2.710,6,6,2026-08-31T04:28:13Z,2081863
lazy-gc-miri,async-lock-3.4.2,success,2.362,92.084,41,38,2026-08-31T04:28:13Z,2081832
lazy-gc-miri,concurrent-queue-2.5.0,success,19.091,42.367,31,31,2026-08-31T04:28:10Z,2081830
lazy-gc-miri,nu-ansi-term-0.50.3,success,3.169,9.306,70,70,2026-08-31T04:28:18Z,2081876
lazy-gc-miri,scopeguard-1.2.0,success,0.279,2.379,8,8,2026-08-31T04:28:23Z,2081888
lazy-gc-miri,r-efi-6.0.0,success,0.267,3.206,4,4,2026-08-31T04:28:24Z,2081889
lazy-gc-miri,shlex-2.0.1,success,0.406,3.736,7,7,2026-08-31T04:28:25Z,2081892
lazy-gc-miri,siphasher-1.0.3,success,0.239,3.902,13,13,2026-08-31T04:28:25Z,2081894
lazy-gc-miri,ppv-lite86-0.2.21,success,4.187,1.340,2,2,2026-08-31T04:28:29Z,2081885
lazy-gc-miri,itoa-1.0.18,success,1.210,2.971,11,11,2026-08-31T04:28:32Z,2081882
lazy-gc-miri,redox_syscall-0.8.0,success,0.838,2.271,1,1,2026-08-31T04:28:33Z,2081896
lazy-gc-miri,crossbeam-queue-0.3.12,success,10.411,56.971,21,21,2026-08-31T04:28:27Z,2081846
lazy-gc-miri,crossbeam-utils-0.8.21,success,8.168,23.333,61,61,2026-08-31T04:28:21Z,2081812
lazy-gc-miri,pin-project-1.1.13,success,4.966,14.210,37,37,2026-08-31T04:28:40Z,2081893
lazy-gc-miri,serde_bytes-0.11.19,success,5.497,4.069,4,4,2026-08-31T04:28:42Z,2081903
lazy-gc-miri,socket2-0.6.4,success,3.029,2.929,10,10,2026-08-31T04:28:42Z,2081900
lazy-gc-miri,hostname-0.4.2,test_failed,12.318,2.659,5,4,2026-08-31T04:28:42Z,2081890
lazy-gc-miri,crc32fast-1.5.0,test_failed,9.556,91.321,6,5,2026-08-31T04:28:49Z,2081845
lazy-gc-miri,lazycell-1.3.0,success,0.347,4.323,28,28,2026-08-31T04:28:51Z,2081883
lazy-gc-miri,erased-serde-0.4.10,success,15.832,9.992,18,18,2026-08-31T04:28:47Z,2081867
lazy-gc-miri,predicates-3.1.4,success,5.598,3.552,19,19,2026-08-31T04:28:49Z,2081899
lazy-gc-miri,tracing-core-0.1.36,test_failed,1.440,3.523,20,19,2026-08-31T04:29:05Z,2081914
lazy-gc-miri,serde_core-1.0.228,success,5.751,3.134,1,1,2026-08-31T04:29:11Z,2081908
lazy-gc-miri,arc-swap-1.9.1,test_failed,14.360,102.521,39,35,2026-08-31T04:29:13Z,2081857
lazy-gc-miri,semver-1.0.28,success,1.122,12.918,34,34,2026-08-31T04:29:23Z,2081915
lazy-gc-miri,bincode-2.0.1,success,13.978,98.911,60,60,2026-08-31T04:29:24Z,2081861
lazy-gc-miri,combine-4.6.7,success,19.451,19.387,81,81,2026-08-31T04:29:21Z,2081895
lazy-gc-miri,proc-macro2-1.0.106,success,4.185,20.448,68,68,2026-08-31T04:29:29Z,2081912
lazy-gc-miri,utf8_iter-1.0.4,success,0.582,6.693,2,2,2026-08-31T04:29:30Z,2081918
lazy-gc-miri,subtle-2.6.1,success,5.808,17.496,28,28,2026-08-31T04:29:26Z,2081904
lazy-gc-miri,rustversion-1.0.22,success,12.378,4.322,2,2,2026-08-31T04:29:33Z,2081913
lazy-gc-miri,urlencoding-2.1.3,success,0.232,2.779,9,9,2026-08-31T04:29:35Z,2081919
lazy-gc-miri,cc-1.2.63,success,15.637,6.971,15,15,2026-08-31T04:28:41Z,2081822
lazy-gc-miri,yansi-1.0.1,success,1.294,3.729,7,7,2026-08-31T04:29:39Z,2081923
lazy-gc-miri,utf8parse-0.2.2,success,0.740,6.536,1,1,2026-08-31T04:29:40Z,2081920
lazy-gc-miri,slab-0.4.12,success,11.575,8.238,47,47,2026-08-31T04:29:42Z,2081907
lazy-gc-miri,bumpalo-3.20.3,success,29.315,4.232,5,5,2026-08-31T04:29:25Z,2081839
lazy-gc-miri,ryu-1.0.23,success,2.689,13.970,44,44,2026-08-31T04:29:49Z,2081917
lazy-gc-miri,generic-array-1.4.3,success,23.217,4.962,3,3,2026-08-31T04:29:51Z,2081897
lazy-gc-miri,tempfile-3.27.0,test_failed,6.408,4.754,33,1,2026-08-31T04:29:56Z,2081911
lazy-gc-miri,zeroize-1.8.2,success,0.949,4.037,13,13,2026-08-31T04:30:05Z,2081930
lazy-gc-miri,unicode-bidi-0.3.18,success,3.776,18.558,36,36,2026-08-31T04:30:09Z,2081925
lazy-gc-miri,yoke-0.8.2,success,5.554,3.734,12,12,2026-08-31T04:30:10Z,2081932
lazy-gc-miri,smallvec-1.15.1,success,10.444,10.374,63,63,2026-08-31T04:30:07Z,2081924
lazy-gc-miri,ordered-float-5.3.0,test_failed,4.444,78.326,71,70,2026-08-31T04:30:16Z,2081902
lazy-gc-miri,hyper-1.10.1,success,17.725,3.076,2,2,2026-08-31T04:29:51Z,2081887
lazy-gc-miri,which-8.0.2,test_failed,6.933,5.320,24,3,2026-08-31T04:30:48Z,2081935
lazy-gc-miri,matchers-0.2.0,success,3.402,204.984,17,17,2026-08-31T04:30:52Z,2081864
lazy-gc-miri,tower-http-0.6.11,success,12.845,2.222,9,9,2026-08-31T04:30:48Z,2081936
lazy-gc-miri,bindgen-0.72.1,success,11.368,23.936,28,28,2026-08-31T04:30:25Z,2081809
lazy-gc-miri,spin-0.12.0,success,9.529,11.572,34,34,2026-08-31T04:30:52Z,2081938
lazy-gc-miri,tokio-stream-0.1.18,success,8.756,45.041,60,60,2026-08-31T04:30:59Z,2081931
lazy-gc-miri,twox-hash-2.1.2,success,3.636,84.639,56,56,2026-08-31T04:31:03Z,2081921
lazy-gc-miri,uuid-1.23.2,success,7.871,9.061,60,60,2026-08-31T04:31:05Z,2081940
lazy-gc-miri,encoding_rs-0.8.35,success,5.933,245.923,137,137,2026-08-31T04:31:14Z,2081850
lazy-gc-miri,generic-array-1.4.2,success,27.811,6.409,3,3,2026-08-31T04:31:11Z,2081898
lazy-gc-miri,rand-0.10.1,success,7.660,124.650,85,85,2026-08-31T04:31:29Z,2081909
lazy-gc-miri,quinn-udp-0.6.1,test_failed,11.595,2.752,11,3,2026-08-31T04:31:37Z,2081927
lazy-gc-miri,hashbrown-0.17.1,success,13.384,76.514,106,106,2026-08-31T04:31:46Z,2081916
lazy-gc-miri,tinystr-0.8.3,success,9.119,102.960,18,18,2026-08-31T04:32:00Z,2081933
lazy-gc-miri,thread_local-1.1.9,success,17.616,2.870,8,8,2026-08-31T04:31:59Z,2081929
lazy-gc-miri,serde_with-3.20.0,test_failed,18.026,74.782,109,106,2026-08-31T04:32:03Z,2081937
lazy-gc-miri,event-listener-5.4.1,success,13.080,5.025,11,11,2026-08-31T04:31:23Z,2081877
