build,crate,test,status,compile_seconds,mean_s,stddev_s,median_s,min_s,max_s,runs,timestamp,job_id
lazy-gc-miri-nolazy,httparse-1.10.1,__calibration__,calibration,32.954,2.724321820666667,0.8328486514150345,2.272395309,2.215126116,3.685444037,3,2026-09-03T07:46:28Z,2089316.0
lazy-gc-miri-nolazy,httparse-1.10.1,simd::swar::test_is_header_value_block,success,32.954,2.479379870666667,0.07780420415866003,2.444115586,2.42545213,2.568571896,3,2026-09-03T07:46:38Z,2089316.0
lazy-gc-miri-nolazy,httparse-1.10.1,simd::swar::test_is_uri_block,success,32.954,2.472633381666667,0.13136202768491914,2.436670596,2.362998197,2.618231352,3,2026-09-03T07:46:48Z,2089316.0
lazy-gc-miri-nolazy,httparse-1.10.1,simd::swar::test_offsetnz,success,32.954,2.4008784496666666,0.0790549488574402,2.355518562,2.354954127,2.49216266,3,2026-09-03T07:46:58Z,2089316.0
lazy-gc-miri-nolazy,httparse-1.10.1,tests::partial_permutations,success,32.954,2.489173275666667,0.08579276436968727,2.45879578,2.422702338,2.586021709,3,2026-09-03T07:47:08Z,2089316.0
lazy-gc-miri-nolazy,httparse-1.10.1,tests::test_allow_request_with_multiple_space_delimiters,success,32.954,2.4393255836666667,0.07803365570669148,2.397393321,2.391222797,2.529360633,3,2026-09-03T07:47:18Z,2089316.0
lazy-gc-miri-nolazy,httparse-1.10.1,tests::test_allow_response_response_with_space_before_first_header,success,32.954,2.4392623043333335,0.08875142481734787,2.407293481,2.370924055,2.5395693770000003,3,2026-09-03T07:47:28Z,2089316.0
lazy-gc-miri-nolazy,httparse-1.10.1,tests::test_allow_response_with_multiple_space_delimiters,success,32.954,2.418777692666666,0.039237903136784706,2.396631092,2.395620026,2.46408196,3,2026-09-03T07:47:38Z,2089316.0
lazy-gc-miri-nolazy,httparse-1.10.1,tests::test_allow_response_with_obsolete_line_folding_at_end,success,32.954,2.447392193333333,0.11016033262374773,2.400457123,2.368472604,2.573246853,3,2026-09-03T07:47:48Z,2089316.0
lazy-gc-miri-nolazy,httparse-1.10.1,tests::test_allow_response_with_obsolete_line_folding_at_start,success,32.954,2.4523289013333334,0.09246151672942632,2.40218812,2.395768669,2.559029915,3,2026-09-03T07:47:57Z,2089316.0
lazy-gc-miri-nolazy,httparse-1.10.1,tests::test_allow_response_with_obsolete_line_folding_in_empty_header,success,32.954,2.367501389,0.08721345967884225,2.3244856560000002,2.31015228,2.467866231,3,2026-09-03T07:48:07Z,2089316.0
lazy-gc-miri-nolazy,httparse-1.10.1,tests::test_allow_response_with_obsolete_line_folding_in_middle,success,32.954,2.4318269276666666,0.12125061886548348,2.403352745,2.327347431,2.564780607,3,2026-09-03T07:48:17Z,2089316.0
