build,crate,test,status,compile_seconds,mean_s,stddev_s,median_s,min_s,max_s,runs,timestamp,job_id
lazy-gc-miri-nolazy,httparse-1.10.1,__calibration__,calibration,53.582,4.6069592256666665,0.9878997349304189,4.797987594,3.53749586,5.485394223,3,2026-09-03T02:20:53Z,2089275.0
lazy-gc-miri-nolazy,httparse-1.10.1,simd::swar::test_is_header_value_block,success,53.582,3.7442491196666663,0.6531285737816926,4.026075553,2.997524604,4.209147202,3,2026-09-03T02:21:08Z,2089275.0
lazy-gc-miri-nolazy,httparse-1.10.1,simd::swar::test_is_uri_block,success,53.582,3.5202863536666666,0.8747277616761615,3.159856883,2.883361808,4.5176403700000005,3,2026-09-03T02:21:23Z,2089275.0
lazy-gc-miri-nolazy,httparse-1.10.1,simd::swar::test_offsetnz,success,53.582,3.9171663866666666,0.3177321700308288,3.853825314,3.635875802,4.261798044,3,2026-09-03T02:21:38Z,2089275.0
lazy-gc-miri-nolazy,httparse-1.10.1,tests::partial_permutations,success,53.582,3.3626808240000003,0.691911613865334,3.188982133,2.774168596,4.124891743,3,2026-09-03T02:21:54Z,2089275.0
lazy-gc-miri-nolazy,httparse-1.10.1,tests::test_allow_request_with_multiple_space_delimiters,success,53.582,4.052218318333334,0.7528956692970364,3.685589045,3.552862375,4.918203535,3,2026-09-03T02:22:10Z,2089275.0
lazy-gc-miri-nolazy,httparse-1.10.1,tests::test_allow_response_response_with_space_before_first_header,success,53.582,3.943632983666667,0.6409553729763428,3.797302432,3.388495532,4.645100987,3,2026-09-03T02:22:26Z,2089275.0
lazy-gc-miri-nolazy,httparse-1.10.1,tests::test_allow_response_with_multiple_space_delimiters,success,53.582,3.7196752810000002,0.7336890700068086,3.437616018,3.168872866,4.552536959,3,2026-09-03T02:22:41Z,2089275.0
lazy-gc-miri-nolazy,httparse-1.10.1,tests::test_allow_response_with_obsolete_line_folding_at_end,success,53.582,4.218009121666666,0.4055209341225863,4.421593841,3.7510289,4.481404624,3,2026-09-03T02:22:57Z,2089275.0
lazy-gc-miri-nolazy,httparse-1.10.1,tests::test_allow_response_with_obsolete_line_folding_at_start,success,53.582,4.883021053,1.2799789041056884,5.310859549,3.443923589,5.894280021,3,2026-09-03T02:23:18Z,2089275.0
