build,crate,status,compile_seconds,run_seconds,tests,passed,timestamp,job_id
main-bsan,core-foundation-sys-0.8.7,success,18.305,1.984,1,1,2026-08-12T20:03:33Z,2036785
main-bsan,block-buffer-0.12.0,success,19.577,1.840,8,8,2026-08-12T20:03:35Z,2036777
main-bsan,base16ct-1.0.0,success,17.692,2.812,10,10,2026-08-12T20:03:34Z,2036766
main-bsan,csv-1.4.0,test_failed,42.599,3.426,141,0,2026-08-12T20:04:03Z,2036789
main-bsan,bytemuck-1.25.0,success,25.850,13.088,32,32,2026-08-12T20:04:03Z,2036790
main-bsan,dashmap-6.2.1,build_failed,4.121,0.000,0,0,2026-08-12T20:04:01Z,2036796
main-bsan,arrayvec-0.7.6,success,43.449,8.340,50,50,2026-08-12T20:04:09Z,2036778
main-bsan,errno-0.3.14,success,31.613,1.362,4,4,2026-08-12T20:04:15Z,2036776
main-bsan,anstyle-query-1.1.5,success,3.923,1.254,3,3,2026-08-12T20:04:05Z,2036793
main-bsan,futures-task-0.3.32,success,4.992,2.373,1,1,2026-08-12T20:04:20Z,2036807
main-bsan,anstyle-1.0.14,success,26.689,2.264,8,8,2026-08-12T20:04:21Z,2036764
main-bsan,cpufeatures-0.3.0,success,33.959,4.987,2,2,2026-08-12T20:04:28Z,2036771
main-bsan,cc-1.2.63,success,26.268,20.654,15,15,2026-08-12T20:04:36Z,2036762
main-bsan,either-1.16.0,success,14.380,1.428,7,7,2026-08-12T20:05:00Z,2036812
main-bsan,dirs-sys-next-0.1.2,success,30.841,1.564,9,9,2026-08-12T20:05:04Z,2036804
main-bsan,dirs-sys-0.5.0,success,22.803,2.076,9,9,2026-08-12T20:04:54Z,2036774
main-bsan,anstream-1.0.0,build_failed,16.126,0.000,0,0,2026-08-12T20:04:44Z,2036799
main-bsan,hashlink-0.11.0,success,26.418,12.525,66,66,2026-08-12T20:05:24Z,2036810
main-bsan,byteorder-1.5.0,success,50.185,16.033,290,290,2026-08-12T20:05:07Z,2036780
main-bsan,getrandom-0.4.2,success,24.227,10.786,9,9,2026-08-12T20:06:00Z,2036813
main-bsan,bit-set-0.10.0,success,28.465,30.338,24,24,2026-08-12T20:05:36Z,2036788
main-bsan,combine-4.6.7,build_failed,89.269,0.000,0,0,2026-08-12T20:06:18Z,2036779
main-bsan,atomic-waker-1.1.2,success,112.665,2.983,1,1,2026-08-12T20:06:20Z,2036801
main-bsan,bit-vec-0.9.1,success,45.409,44.202,58,58,2026-08-12T20:06:07Z,2036783
main-bsan,dyn-clone-1.0.20,success,89.187,6.191,7,7,2026-08-12T20:06:37Z,2036809
main-bsan,camino-1.2.2,success,24.885,3.861,5,5,2026-08-12T20:06:11Z,2036795
main-bsan,anyhow-1.0.102,success,192.723,19.086,71,71,2026-08-12T20:07:02Z,2036765
main-bsan,ansi_term-0.12.1,success,34.757,160.732,58,58,2026-08-12T20:07:01Z,2036786
main-bsan,bumpalo-3.20.3,success,154.305,2.983,5,5,2026-08-12T20:07:08Z,2036797
main-bsan,bindgen-0.72.1,success,188.865,6.806,28,28,2026-08-12T20:07:14Z,2036781
