crate,rust_total_s,rust_n,miri_total_s,miri_n,aa4e1ea-bsan_total_s,aa4e1ea-bsan_n
bytes-1.11.1,119.214262,983,6164.395908,371,9232.786405,567
url-2.5.8,9.070586,67,5896.340564,16,9058.968819,63
crossbeam-channel-0.5.15,185.892424,246,4051.095499,246,7634.839723,9
petgraph-0.8.3,69.062278,313,6148.694832,241,7603.046086,312
itertools-0.14.0,58.781682,166,1961.362014,166,6998.466810,10
crypto-bigint-0.7.3,164.500588,552,6141.818481,316,6866.349905,500
gimli-0.33.0,109.217496,480,5800.431731,480,1559.167330,480
indexmap-2.14.0,27.730563,179,1148.255889,179,5634.999495,179
brotli-decompressor-5.0.1,9.118546,107,3350.380974,25,780.948213,30
crossbeam-queue-0.3.12,1.335656,14,96.446591,14,3166.956189,9
memchr-2.8.1,16.699495,64,539.413844,64,2623.861341,9
parking_lot_core-0.9.12,,0,,0,2361.678315,12
arc-swap-1.9.1,20.600701,45,242.589726,41,2220.904652,37
httparse-1.10.1,113.167163,358,2043.711936,358,944.451980,358
encoding_rs-0.8.35,12.954141,137,693.674362,137,2036.592044,49
serde_with-3.20.0,56.436399,114,1627.865892,112,1057.142993,111
hashbrown-0.17.1,28.447605,106,729.110308,106,1535.387837,106
zerocopy-0.8.50,13.080264,108,1439.504726,108,547.244442,104
serde_json-1.0.150,30.882818,137,1387.561048,137,1170.677459,121
tokio-stream-0.1.18,12.236411,50,866.745694,50,1143.811900,49
twox-hash-2.1.2,4.660803,56,315.992820,56,1131.035894,26
concurrent-queue-2.5.0,3.442041,13,99.091420,13,1097.405472,13
base64ct-1.8.3,3.108581,27,1057.630585,27,464.607003,27
anyhow-1.0.102,13.184690,68,787.686149,68,1057.452608,68
tempfile-3.27.0,9.501695,59,47.683584,9,995.450486,59
hostname-0.4.2,,0,,0,994.947312,6
bincode-2.0.1,22.694628,60,630.878693,60,913.828704,60
colored-3.1.1,25.533501,115,269.542001,115,876.456981,115
minimal-lexical-0.2.1,3.193139,38,381.039629,38,831.486643,38
crossbeam-deque-0.8.6,2.763780,23,658.857790,17,,0
byteorder-1.5.0,23.368338,290,604.808666,290,327.247444,290
