crate,test,rust_status,rust_mean_s,rust_min_s,rust_max_s,miri_status,miri_mean_s,miri_min_s,miri_max_s,aa4e1ea-bsan_status,aa4e1ea-bsan_mean_s,aa4e1ea-bsan_min_s,aa4e1ea-bsan_max_s
addr2line-0.26.1,tests::context_is_send,success,0.31742452940000004,0.30128137800000004,0.341289285,success,1.5846166104000001,1.5549428170000001,1.6129601610000002,,,,
alloc-no-stdlib-2.0.4,calloc_pool_test,success,0.046640855300000006,0.043641817,0.058428583000000006,success,3.1798678148,3.082299891,3.245465566,success,4.833967968,4.710659548,5.027977028
alloc-no-stdlib-2.0.4,global_pool_test,success,0.0453858891,0.042906287,0.049003250000000005,success,2.9586227149999997,2.926589283,2.979737181,success,4.7297355132,4.53222035,5.068976841
alloc-no-stdlib-2.0.4,stack_pool_free_null,success,0.0453594004,0.043494165,0.049371917,success,3.0463412867999997,3.003125416,3.107924306,success,5.207154904000001,4.975963153,5.422859978
alloc-no-stdlib-2.0.4,stack_pool_test,success,0.0435872855,0.042391815,0.047861546000000005,success,2.9856674853999996,2.9281217660000003,3.068346352,success,4.8408996738,4.628451873,4.980306714
alloc-no-stdlib-2.0.4,tests::heap_test,success,0.0468166738,0.045367777000000005,0.050246901000000004,success,3.2172495288,3.177212379,3.25957289,success,4.8597569154,4.586167523,5.063089555
alloc-no-stdlib-2.0.4,uninitialized_calloc_pool_test,success,0.0456078805,0.043825441,0.047427547,success,3.0114827650000002,2.965557519,3.062648665,success,5.0625447464,4.840698814,5.33291778
alloc-no-stdlib-2.0.4,uninitialized_global_pool_test,success,0.0456922264,0.044302521000000004,0.048560028000000005,success,2.9348499488,2.844020995,3.060049833,success,4.8559255326,4.410374888,5.258112959
alloc-no-stdlib-2.0.4,uninitialized_stack_pool_free_null,success,0.044629617,0.043262150000000006,0.045994905,success,2.8965598154,2.816284016,2.988188847,success,5.1115307434,4.78235515,5.377712858
alloc-no-stdlib-2.0.4,uninitialized_stack_pool_test,success,0.0443699282,0.042316478000000005,0.047394885000000005,success,2.8602960008000005,2.787675561,2.9297923040000002,success,5.038547864,4.887211044,5.466188968
alloc-stdlib-0.2.2,calloc_pool_test,success,0.0493690122,0.048443950000000006,0.050435955000000005,test_failed,,,,success,2.8973740333999998,2.783381865,3.22185335
alloc-stdlib-0.2.2,global_pool_test,success,0.0498016404,0.047864988000000004,0.052154435000000006,success,3.1448924032,3.113674187,3.190638456,success,2.874386523,2.633026837,3.101224563
alloc-stdlib-0.2.2,heap_pool_test,success,0.050520530400000006,0.049028528,0.055036427000000006,success,4.0652066674,3.997636779,4.122363064,success,2.9420137437999996,2.85570351,3.034868908
alloc-stdlib-0.2.2,stack_pool_free_null,success,0.0519286924,0.049343265000000004,0.056766188,success,3.0810464636,3.024343925,3.124272979,success,2.5508802592,2.52937891,2.584348146
alloc-stdlib-0.2.2,stack_pool_test,success,0.05031234090000001,0.048083843,0.055063527,success,3.0096365188,2.9954594390000002,3.043518541,success,2.525052705,2.466778649,2.57901156
alloc-stdlib-0.2.2,tests::heap_test,success,0.0511023967,0.049287089000000006,0.056927721,success,3.2280810790000003,3.211228113,3.234039593,success,2.7997520368,2.672946492,2.941501786
alloc-stdlib-0.2.2,tests::std_test,success,0.05131944070000001,0.049350118000000005,0.054925946,success,3.1750876154,3.144168142,3.243826598,success,2.936458022,2.822947552,3.0514418660000002
alloc-stdlib-0.2.2,uninitialized_calloc_pool_test,success,0.04897693610000001,0.046722142,0.050623848000000006,success,3.2294313681999993,3.169946639,3.2762757750000002,success,2.5796896062,2.42937055,2.7284207350000003
alloc-stdlib-0.2.2,uninitialized_global_pool_test,success,0.0490051576,0.047641833,0.050397131000000005,success,3.0454956174000003,3.012517197,3.081229561,success,2.6117009402,2.542645208,2.704951752
