crate,rust_total_s,rust_n,miri_total_s,miri_n,bsan_total_s,bsan_n
bytes-1.11.1,119.214262,983,6164.395908,371,6151.502721,550
itertools-0.14.0,58.781682,166,1961.362014,166,6150.546257,10
petgraph-0.8.3,69.062278,313,6148.694832,241,5861.683490,208
crypto-bigint-0.7.3,164.500588,552,6141.818481,316,5259.151579,500
url-2.5.8,9.070586,67,5896.340564,16,6076.523060,44
gimli-0.33.0,109.217496,480,5800.431731,480,2094.322774,480
indexmap-2.14.0,27.730563,179,1148.255889,179,4678.267800,179
crossbeam-channel-0.5.15,185.892424,246,4051.095499,246,3499.041751,6
brotli-decompressor-5.0.1,9.118546,107,3350.380974,25,450.098860,30
httparse-1.10.1,113.167163,358,2043.711936,358,1546.666081,358
serde_with-3.20.0,56.436399,114,1627.865892,112,813.402641,111
zerocopy-0.8.50,13.080264,108,1439.504726,108,461.790717,104
serde_json-1.0.150,30.882818,137,1387.561048,137,848.894294,121
hashbrown-0.17.1,28.447605,106,729.110308,106,1259.620071,106
anyhow-1.0.102,13.184690,68,787.686149,68,1083.761469,68
base64ct-1.8.3,3.108581,27,1057.630585,27,406.568348,27
minimal-lexical-0.2.1,3.193139,38,381.039629,38,1025.240093,32
memchr-2.8.1,16.699495,64,539.413844,64,1008.815361,2
concurrent-queue-2.5.0,3.442041,13,99.091420,13,939.437450,11
encoding_rs-0.8.35,12.954141,137,693.674362,137,907.574557,42
tokio-stream-0.1.18,12.236411,50,866.745694,50,754.720255,49
parking_lot_core-0.9.12,,0,,0,727.300412,3
bincode-2.0.1,22.694628,60,630.878693,60,718.144150,60
crossbeam-deque-0.8.6,2.763780,23,658.857790,17,,0
byteorder-1.5.0,23.368338,290,604.808666,290,289.233050,290
colored-3.1.1,25.533501,115,269.542001,115,578.084000,115
crossbeam-utils-0.8.21,7.177903,61,340.626637,61,561.954766,61
unicode-normalization-0.1.25,0.577771,13,542.528742,13,70.833834,13
combine-4.6.7,,0,533.461863,81,,0
csv-1.4.0,14.027427,142,523.234493,142,258.369678,137
bit-vec-0.9.1,6.010364,59,183.732543,59,457.893485,59
fixedbitset-0.5.7,4.352655,62,164.725745,62,443.558098,62
der-0.8.0,12.915309,78,394.901975,76,344.367640,78
proc-macro2-1.0.106,8.124993,68,390.085371,68,350.152400,68
