build,crate,status,compile_seconds,run_seconds,tests,passed,timestamp,job_id
visit-gc,core-foundation-sys-0.8.7,success,2.515,3.037,1,1,2026-07-08T18:57:00Z,1927823
visit-gc,anstyle-query-1.1.5,success,1.716,3.424,3,3,2026-07-08T18:57:01Z,1927833
visit-gc,base16ct-1.0.0,success,2.997,4.245,11,11,2026-07-08T18:57:02Z,1927826
visit-gc,alloc-no-stdlib-2.0.4,success,2.566,5.600,9,9,2026-07-08T18:57:02Z,1927817
visit-gc,android_system_properties-0.1.5,success,5.709,1.779,4,4,2026-07-08T18:57:02Z,1927821
visit-gc,cpufeatures-0.3.0,success,1.097,6.676,3,3,2026-07-08T18:57:03Z,1927834
visit-gc,block-buffer-0.12.0,success,5.496,3.724,11,11,2026-07-08T18:57:04Z,1927832
visit-gc,anstyle-1.0.14,success,6.310,5.781,42,42,2026-07-08T18:57:09Z,1927818
visit-gc,bytemuck-1.25.0,success,3.362,12.322,43,41,2026-07-08T18:57:11Z,1927828
visit-gc,alloc-stdlib-0.2.2,test_failed,0.932,3.687,11,2,2026-07-08T18:57:12Z,1927840
visit-gc,arrayvec-0.7.6,success,7.824,14.485,93,92,2026-07-08T18:57:17Z,1927819
visit-gc,camino-1.2.2,test_failed,11.817,14.618,85,81,2026-07-08T18:57:26Z,1927830
visit-gc,anstream-1.0.0,success,24.193,4.434,30,21,2026-07-08T18:57:31Z,1927829
visit-gc,async-stream-0.3.6,test_failed,28.691,4.520,2,2,2026-07-08T18:57:34Z,1927825
visit-gc,bit-set-0.10.0,success,10.211,14.656,47,47,2026-07-08T18:57:35Z,1927836
visit-gc,cc-1.2.63,success,7.060,8.263,45,43,2026-07-08T18:57:36Z,1927844
visit-gc,const-oid-0.10.2,test_failed,16.894,6.023,27,26,2026-07-08T18:57:42Z,1927843
visit-gc,clap_lex-1.1.0,success,6.163,3.247,18,17,2026-07-08T18:57:47Z,1927848
visit-gc,anyhow-1.0.102,success,24.577,23.317,98,97,2026-07-08T18:57:46Z,1927820
visit-gc,atomic-waker-1.1.2,success,36.513,2.400,3,3,2026-07-08T18:57:45Z,1927824
visit-gc,backtrace-0.3.76,test_failed,7.970,7.987,3,1,2026-07-08T18:57:51Z,1927846
visit-gc,byteorder-1.5.0,success,8.165,49.533,412,412,2026-07-08T18:57:54Z,1927835
visit-gc,constant_time_eq-0.5.0,success,37.056,5.134,12,12,2026-07-08T18:57:51Z,1927816
visit-gc,async-trait-0.1.89,success,41.046,2.888,5,4,2026-07-08T18:57:54Z,1927839
visit-gc,colored-3.1.1,test_failed,24.026,10.310,128,19,2026-07-08T18:57:53Z,1927837
