build,crate,status,compile_seconds,run_seconds,timestamp,job_id
base-miri,anstyle-query-1.1.5,success,1.091,2.975,2026-06-12T15:46:05Z,1801113
base-miri,alloc-stdlib-0.2.2,test_failed,2.722,5.352,2026-06-12T15:46:08Z,1801105
base-miri,block-buffer-0.12.0,success,4.818,4.061,2026-06-12T15:46:08Z,1801120
base-miri,bstr-1.12.1,test_failed,7.078,1.184,2026-06-12T15:46:10Z,1801117
base-miri,atty-0.2.14,test_failed,2.015,2.187,2026-06-12T15:46:11Z,1801104
base-miri,anstyle-1.0.14,success,5.478,5.903,2026-06-12T15:46:14Z,1801118
base-miri,base16ct-1.0.0,success,4.994,7.963,2026-06-12T15:46:20Z,1801089
base-miri,alloc-no-stdlib-2.0.4,success,4.623,8.766,2026-06-12T15:46:21Z,1801088
base-miri,anstyle-wincon-3.0.11,success,2.206,1.453,2026-06-12T15:46:22Z,1801087
base-miri,android_system_properties-0.1.5,success,2.553,1.939,2026-06-12T15:46:24Z,1801122
base-miri,cexpr-0.6.0,build_failed,4.618,0.000,2026-06-12T15:46:24Z,1801127
base-miri,clap_lex-1.1.0,success,6.206,3.591,2026-06-12T15:46:29Z,1801129
base-miri,bit-set-0.10.0,success,10.289,16.680,2026-06-12T15:46:30Z,1801121
base-miri,arrayvec-0.7.6,success,6.417,25.934,2026-06-12T15:46:33Z,1801103
base-miri,allocator-api2-0.4.0,success,6.950,29.032,2026-06-12T15:46:36Z,1801096
base-miri,cmake-0.1.58,test_failed,2.595,1.537,2026-06-12T15:46:42Z,1801130
base-miri,anstream-1.0.0,success,25.595,5.210,2026-06-12T15:46:40Z,1801112
base-miri,core-foundation-sys-0.8.7,success,1.059,1.561,2026-06-12T15:46:44Z,1801139
base-miri,core-foundation-0.10.1,test_failed,3.180,1.806,2026-06-12T15:46:43Z,1801138
base-miri,bytemuck-1.25.0,success,7.027,19.398,2026-06-12T15:46:44Z,1801084
base-miri,cc-1.2.63,success,7.393,11.185,2026-06-12T15:46:45Z,1801126
base-miri,backtrace-0.3.76,test_failed,15.625,12.555,2026-06-12T15:46:47Z,1801086
base-miri,async-trait-0.1.89,success,43.425,3.089,2026-06-12T15:46:51Z,1801114
base-miri,chrono-0.4.44,test_failed,18.605,4.555,2026-06-12T15:46:50Z,1801128
base-miri,atomic-waker-1.1.2,success,36.478,2.651,2026-06-12T15:46:52Z,1801110
base-miri,camino-1.2.2,test_failed,12.594,17.545,2026-06-12T15:46:55Z,1801125
base-miri,bindgen-0.72.1,test_failed,20.941,21.503,2026-06-12T15:46:55Z,1801093
base-miri,async-io-2.6.0,test_failed,33.372,3.416,2026-06-12T15:46:54Z,1801101
base-miri,bumpalo-3.20.3,success,29.333,14.268,2026-06-12T15:46:58Z,1801107
base-miri,console-0.16.3,test_failed,16.655,1.898,2026-06-12T15:47:01Z,1801135
base-miri,ansi_term-0.12.1,success,8.281,48.630,2026-06-12T15:47:04Z,1801102
base-miri,anstyle-parse-1.0.0,test_failed,35.422,15.012,2026-06-12T15:47:02Z,1801097
base-miri,dashmap-6.2.1,fetch_failed,0.000,0.000,2026-06-12T15:47:07Z,1801152
base-miri,const-oid-0.10.2,test_failed,16.741,6.669,2026-06-12T15:47:07Z,1801137
base-miri,cpufeatures-0.3.0,success,1.333,5.051,2026-06-12T15:47:11Z,1801141
base-miri,async-stream-0.3.6,test_failed,35.586,5.385,2026-06-12T15:47:08Z,1801090
base-miri,anyhow-1.0.102,success,37.210,31.794,2026-06-12T15:47:14Z,1801091
base-miri,data-encoding-2.11.0,success,1.336,12.380,2026-06-12T15:47:21Z,1801153
base-miri,bitvec-1.0.1,test_failed,38.846,20.260,2026-06-12T15:47:19Z,1801094
base-miri,errno-0.3.14,test_failed,2.808,2.778,2026-06-12T15:47:25Z,1801162
base-miri,crossbeam-epoch-0.9.18,test_failed,4.472,8.702,2026-06-12T15:47:23Z,1801146
base-miri,deranged-0.5.8,test_failed,10.956,2.445,2026-06-12T15:47:27Z,1801155
base-miri,byteorder-1.5.0,success,15.153,70.022,2026-06-12T15:47:29Z,1801092
base-miri,either-1.16.0,success,4.745,9.503,2026-06-12T15:47:34Z,1801159
base-miri,async-compression-0.4.42,success,73.990,2.474,2026-06-12T15:47:31Z,1801108
base-miri,constant_time_eq-0.5.0,success,36.150,5.904,2026-06-12T15:47:34Z,1801136
base-miri,find-msvc-tools-0.1.9,success,1.271,1.427,2026-06-12T15:47:40Z,1801166
base-miri,dirs-sys-next-0.1.2,success,4.076,4.273,2026-06-12T15:47:39Z,1801157
base-miri,der-0.8.0,test_failed,15.799,10.772,2026-06-12T15:47:39Z,1801154
base-miri,colored-3.1.1,test_failed,29.040,11.925,2026-06-12T15:47:36Z,1801132
base-miri,dirs-sys-0.5.0,success,9.460,4.412,2026-06-12T15:47:45Z,1801156
base-miri,foreign-types-0.5.0,success,7.265,2.999,2026-06-12T15:47:50Z,1801170
base-miri,crossbeam-utils-0.8.21,success,7.964,39.966,2026-06-12T15:47:51Z,1801148
base-miri,dyn-clone-1.0.20,success,22.561,6.364,2026-06-12T15:47:54Z,1801158
base-miri,filetime-0.2.29,test_failed,6.120,1.532,2026-06-12T15:47:53Z,1801165
base-miri,futures-sink-0.3.32,success,0.715,1.487,2026-06-12T15:48:00Z,1801176
base-miri,erased-serde-0.4.10,success,18.543,8.939,2026-06-12T15:47:58Z,1801161
base-miri,futures-task-0.3.32,test_failed,1.079,1.784,2026-06-12T15:48:01Z,1801177
base-miri,futures-core-0.3.32,test_failed,1.102,1.967,2026-06-12T15:48:02Z,1801174
base-miri,futures-executor-0.3.32,test_failed,2.889,1.348,2026-06-12T15:48:03Z,1801175
base-miri,foreign-types-shared-0.3.1,success,0.805,1.529,2026-06-12T15:48:04Z,1801171
base-miri,event-listener-strategy-0.5.4,success,3.579,3.111,2026-06-12T15:47:59Z,1801164
