build,crate,status,compile_seconds,run_seconds,timestamp,job_id
rust,anstyle-query-1.1.5,success,2.373,0.054,2026-06-10T18:53:41Z,1790829
rust,anstyle-wincon-3.0.11,success,2.153,0.056,2026-06-10T18:53:41Z,1790819
rust,alloc-stdlib-0.2.2,success,5.387,0.069,2026-06-10T18:53:43Z,1790828
rust,block-buffer-0.12.0,success,5.676,0.066,2026-06-10T18:53:44Z,1790820
rust,atty-0.2.14,test_failed,1.793,0.050,2026-06-10T18:53:45Z,1790822
rust,base16ct-1.0.0,success,6.859,0.155,2026-06-10T18:53:48Z,1790842
rust,allocator-api2-0.4.0,success,2.496,0.045,2026-06-10T18:53:47Z,1790835
rust,brotli-decompressor-5.0.1,success,7.504,3.246,2026-06-10T18:53:48Z,1790827
rust,alloc-no-stdlib-2.0.4,success,10.216,0.053,2026-06-10T18:53:51Z,1790840
rust,aes-0.9.1,success,12.121,1.282,2026-06-10T18:53:53Z,1790826
rust,bit-set-0.10.0,success,10.614,0.113,2026-06-10T18:53:53Z,1790824
rust,bit-vec-0.9.1,success,10.801,0.118,2026-06-10T18:53:53Z,1790823
rust,bytemuck-1.25.0,success,12.890,0.077,2026-06-10T18:53:55Z,1790844
rust,ansi_term-0.12.1,success,10.710,0.100,2026-06-10T18:53:55Z,1790817
rust,backtrace-0.3.76,test_failed,15.137,0.468,2026-06-10T18:53:55Z,1790818
rust,aho-corasick-1.1.4,success,9.223,9.179,2026-06-10T18:53:56Z,1790821
rust,bstr-1.12.1,success,15.073,1.204,2026-06-10T18:54:02Z,1790837
rust,byteorder-1.5.0,success,17.105,0.477,2026-06-10T18:54:04Z,1790841
rust,android_system_properties-0.1.5,success,1.901,0.048,2026-06-10T18:54:10Z,1790851
rust,cmake-0.1.58,test_failed,4.574,0.053,2026-06-10T18:54:15Z,1790860
rust,arrayvec-0.7.6,success,7.037,0.239,2026-06-10T18:54:16Z,1790846
rust,bindgen-0.72.1,success,25.438,0.155,2026-06-10T18:54:15Z,1790816
rust,clap_lex-1.1.0,success,5.756,0.332,2026-06-10T18:54:17Z,1790859
rust,anstyle-1.0.14,success,6.287,0.086,2026-06-10T18:54:18Z,1790845
rust,anstream-1.0.0,build_failed,9.688,0.000,2026-06-10T18:54:16Z,1790836
rust,async-trait-0.1.89,test_failed,27.942,14.589,2026-06-10T18:54:24Z,1790831
rust,camino-1.2.2,success,10.333,0.102,2026-06-10T18:54:24Z,1790855
rust,base64ct-1.8.3,success,14.494,0.175,2026-06-10T18:54:25Z,1790849
rust,cc-1.2.63,success,6.634,0.106,2026-06-10T18:54:24Z,1790856
rust,anstyle-parse-1.0.0,build_failed,6.309,0.000,2026-06-10T18:54:24Z,1790847
rust,brotli-8.0.3,success,22.895,19.451,2026-06-10T18:54:28Z,1790839
rust,async-lock-3.4.2,success,8.305,0.231,2026-06-10T18:54:26Z,1790850
rust,bytes-1.11.1,success,12.788,1.098,2026-06-10T18:54:28Z,1790848
rust,bumpalo-3.20.3,success,34.619,0.310,2026-06-10T18:54:27Z,1790830
rust,data-encoding-2.11.0,success,1.423,0.036,2026-06-10T18:54:39Z,1790883
rust,core-foundation-sys-0.8.7,success,1.666,0.042,2026-06-10T18:54:39Z,1790870
rust,cpufeatures-0.3.0,success,2.214,0.062,2026-06-10T18:54:41Z,1790871
rust,core-foundation-0.10.1,build_failed,4.679,0.000,2026-06-10T18:54:44Z,1790869
rust,crc32fast-1.5.0,success,5.539,0.578,2026-06-10T18:54:45Z,1790872
rust,arc-swap-1.9.1,success,44.886,2.488,2026-06-10T18:54:43Z,1790825
rust,async-stream-0.3.6,build_failed,52.996,0.000,2026-06-10T18:54:50Z,1790838
rust,console-0.16.3,success,31.099,0.569,2026-06-10T18:54:50Z,1790866
rust,crossbeam-utils-0.8.21,success,11.468,1.737,2026-06-10T18:54:56Z,1790878
rust,anyhow-1.0.102,success,31.204,12.319,2026-06-10T18:54:55Z,1790853
rust,addr2line-0.26.1,success,57.145,0.304,2026-06-10T18:54:55Z,1790815
rust,atomic-waker-1.1.2,success,36.327,0.255,2026-06-10T18:54:57Z,1790854
rust,csv-1.4.0,test_failed,20.481,0.110,2026-06-10T18:54:59Z,1790880
rust,crossbeam-epoch-0.9.18,success,5.465,3.374,2026-06-10T18:54:59Z,1790876
rust,crossbeam-deque-0.8.6,success,10.256,11.437,2026-06-10T18:55:02Z,1790875
rust,dashmap-6.2.1,success,14.711,0.370,2026-06-10T18:55:01Z,1790882
rust,bitvec-1.0.1,success,40.467,0.304,2026-06-10T18:55:03Z,1790852
rust,const-oid-0.10.2,success,23.717,0.172,2026-06-10T18:55:08Z,1790868
rust,async-compression-0.4.42,success,71.431,0.436,2026-06-10T18:55:05Z,1790832
rust,cexpr-0.6.0,build_failed,20.057,0.000,2026-06-10T18:55:06Z,1790857
rust,foreign-types-shared-0.3.1,success,1.562,0.434,2026-06-10T18:55:12Z,1790901
rust,errno-0.3.14,success,2.285,0.051,2026-06-10T18:55:12Z,1790892
rust,either-1.16.0,success,4.430,0.064,2026-06-10T18:55:13Z,1790889
