build,crate,status,compile_seconds,run_seconds,timestamp,job_id
rust,alloc-no-stdlib-2.0.4,success,6.699,0.518,2026-06-12T16:28:06Z,1801460
rust,android_system_properties-0.1.5,success,5.432,1.529,2026-06-12T16:28:06Z,1801464
rust,atty-0.2.14,test_failed,2.139,0.058,2026-06-12T16:28:09Z,1801463
rust,brotli-decompressor-5.0.1,success,8.016,3.502,2026-06-12T16:28:12Z,1801465
rust,arrayvec-0.7.6,success,9.243,3.394,2026-06-12T16:28:12Z,1801457
rust,aes-0.9.1,success,12.436,1.771,2026-06-12T16:28:14Z,1801467
rust,base64ct-1.8.3,success,16.000,0.553,2026-06-12T16:28:20Z,1801461
rust,anstyle-query-1.1.5,success,1.793,0.195,2026-06-12T16:28:22Z,1801472
rust,alloc-stdlib-0.2.2,success,3.684,0.195,2026-06-12T16:28:23Z,1801474
rust,ansi_term-0.12.1,success,11.984,3.681,2026-06-12T16:28:23Z,1801454
rust,anstyle-parse-1.0.0,build_failed,8.785,0.000,2026-06-12T16:28:17Z,1801471
rust,bit-vec-0.9.1,success,19.514,5.588,2026-06-12T16:28:28Z,1801470
rust,allocator-api2-0.4.0,success,8.163,21.484,2026-06-12T16:28:30Z,1801469
rust,bytemuck-1.25.0,success,24.480,2.489,2026-06-12T16:28:30Z,1801453
rust,base16ct-1.0.0,success,2.597,0.546,2026-06-12T16:28:38Z,1801483
rust,bstr-1.12.1,success,14.804,20.851,2026-06-12T16:28:37Z,1801455
rust,brotli-8.0.3,success,18.457,20.108,2026-06-12T16:28:39Z,1801456
rust,anstyle-1.0.14,success,7.240,2.264,2026-06-12T16:28:47Z,1801480
rust,backtrace-0.3.76,test_failed,16.972,0.462,2026-06-12T16:28:55Z,1801481
rust,byteorder-1.5.0,success,11.701,8.926,2026-06-12T16:28:58Z,1801479
rust,atomic-waker-1.1.2,success,40.545,0.588,2026-06-12T16:28:54Z,1801462
rust,block-buffer-0.12.0,success,3.553,1.086,2026-06-12T16:29:04Z,1801488
rust,bytes-1.11.1,success,15.470,18.255,2026-06-12T16:29:00Z,1801475
rust,anstyle-wincon-3.0.11,success,2.714,0.196,2026-06-12T16:29:09Z,1801491
rust,aho-corasick-1.1.4,success,10.822,26.174,2026-06-12T16:29:12Z,1801482
rust,bindgen-0.72.1,test_failed,36.680,1.612,2026-06-12T16:29:10Z,1801476
rust,async-trait-0.1.89,test_failed,32.697,16.088,2026-06-12T16:29:12Z,1801477
rust,bit-set-0.10.0,success,15.450,1.922,2026-06-12T16:29:14Z,1801485
rust,anstream-1.0.0,build_failed,5.465,0.000,2026-06-12T16:29:14Z,1801489
rust,cmake-0.1.58,test_failed,3.977,0.055,2026-06-12T16:29:23Z,1801498
rust,cexpr-0.6.0,build_failed,3.812,0.000,2026-06-12T16:29:23Z,1801495
rust,clap_lex-1.1.0,success,4.702,0.477,2026-06-12T16:29:24Z,1801497
rust,camino-1.2.2,success,10.423,5.184,2026-06-12T16:29:27Z,1801493
rust,async-lock-3.4.2,success,9.053,8.432,2026-06-12T16:29:26Z,1801486
rust,anyhow-1.0.102,success,33.106,14.685,2026-06-12T16:29:27Z,1801484
