build,crate,status,compile_seconds,run_seconds,tests,passed,timestamp,job_id
rust,cpufeatures-0.3.0,success,8.153,1.612,3,3,2026-07-08T15:25:03Z,1926045
rust,block-buffer-0.12.0,success,10.217,3.087,11,11,2026-07-08T15:25:04Z,1926052
rust,base16ct-1.0.0,success,4.739,1.262,11,11,2026-07-08T15:25:07Z,1926054
rust,bit-set-0.10.0,success,14.256,2.350,47,47,2026-07-08T15:25:10Z,1926048
rust,bit-vec-0.9.1,success,14.024,4.165,106,106,2026-07-08T15:25:12Z,1926046
rust,async-lock-3.4.2,success,9.127,8.255,118,118,2026-07-08T15:25:15Z,1926050
rust,byteorder-1.5.0,success,10.272,8.883,802,802,2026-07-08T15:25:20Z,1926055
rust,bytes-1.11.1,success,12.508,17.349,1243,1243,2026-07-08T15:25:27Z,1926053
rust,backtrace-0.3.76,test_failed,13.588,0.476,3,3,2026-07-08T15:25:33Z,1926061
rust,ansi_term-0.12.1,success,10.614,3.157,105,105,2026-07-08T15:25:37Z,1926060
rust,async-trait-0.1.89,test_failed,31.769,13.835,1,0,2026-07-08T15:25:39Z,1926051
rust,anyhow-1.0.102,success,33.110,14.876,98,98,2026-07-08T15:25:41Z,1926047
rust,clap_lex-1.1.0,success,4.596,0.467,18,17,2026-07-08T15:25:44Z,1926065
rust,bytemuck-1.25.0,success,4.076,0.769,43,41,2026-07-08T15:25:44Z,1926067
rust,crc32fast-1.5.0,success,5.347,0.955,8,8,2026-07-08T15:25:45Z,1926064
rust,brotli-decompressor-5.0.1,success,5.526,3.445,107,107,2026-07-08T15:25:47Z,1926063
rust,anstyle-query-1.1.5,success,1.516,0.163,3,3,2026-07-08T15:25:51Z,1926069
rust,alloc-no-stdlib-2.0.4,success,3.173,0.166,9,9,2026-07-08T15:25:51Z,1926068
rust,arrayvec-0.7.6,success,5.921,3.125,93,93,2026-07-08T15:25:58Z,1926071
rust,anstyle-1.0.14,success,6.090,2.155,42,42,2026-07-08T15:25:58Z,1926070
rust,alloc-stdlib-0.2.2,success,3.201,0.157,11,11,2026-07-08T15:26:02Z,1926076
rust,allocator-api2-0.4.0,success,1.996,12.780,167,167,2026-07-08T15:26:03Z,1926072
rust,core-foundation-sys-0.8.7,success,3.165,0.433,1,1,2026-07-08T15:26:06Z,1926074
rust,bumpalo-3.20.3,success,34.411,3.823,52,49,2026-07-08T15:26:08Z,1926062
rust,base64ct-1.8.3,success,13.461,0.464,52,52,2026-07-08T15:26:15Z,1926075
rust,const-oid-0.10.2,success,20.708,0.419,29,29,2026-07-08T15:26:14Z,1926073
rust,bindgen-0.72.1,test_failed,30.077,1.391,47,29,2026-07-08T15:26:18Z,1926066
rust,android_system_properties-0.1.5,success,2.303,0.430,4,4,2026-07-08T15:26:21Z,1926082
rust,combine-4.6.7,build_failed,36.465,0.000,0,0,2026-07-08T15:26:15Z,1926059
rust,async-stream-0.3.6,build_failed,45.301,0.000,0,0,2026-07-08T15:26:23Z,1926058
rust,colored-3.1.1,test_failed,32.244,0.921,128,134,2026-07-08T15:26:27Z,1926044
rust,crossbeam-deque-0.8.6,success,9.955,13.024,72,72,2026-07-08T15:26:44Z,1926085
rust,camino-1.2.2,success,21.981,6.004,85,85,2026-07-08T15:26:43Z,1926078
rust,data-encoding-2.11.0,success,2.330,3.240,43,42,2026-07-08T15:26:49Z,1926091
rust,dirs-sys-0.5.0,success,3.192,0.179,9,9,2026-07-08T15:26:48Z,1926093
rust,cc-1.2.63,success,9.556,1.042,45,43,2026-07-08T15:26:51Z,1926080
rust,crossbeam-utils-0.8.21,success,10.947,19.252,221,221,2026-07-08T15:26:53Z,1926087
rust,csv-1.4.0,success,25.690,11.442,342,321,2026-07-08T15:26:56Z,1926089
rust,dirs-sys-next-0.1.2,success,3.015,0.167,9,9,2026-07-08T15:26:57Z,1926094
rust,bincode-2.0.1,success,47.775,2.053,86,83,2026-07-08T15:26:58Z,1926077
rust,arc-swap-1.9.1,success,49.199,5.041,90,84,2026-07-08T15:26:59Z,1926057
rust,errno-0.3.14,success,2.392,0.258,5,5,2026-07-08T15:27:08Z,1926099
rust,dashmap-6.2.1,success,9.453,11.036,66,66,2026-07-08T15:27:07Z,1926090
rust,der-0.8.0,success,18.605,0.587,100,99,2026-07-08T15:27:08Z,1926092
rust,dyn-clone-1.0.20,test_failed,17.005,1.263,1,0,2026-07-08T15:27:09Z,1926095
rust,fixedbitset-0.5.7,success,6.297,0.726,69,69,2026-07-08T15:27:12Z,1926102
rust,foreign-types-0.5.0,success,6.604,0.734,5,5,2026-07-08T15:27:12Z,1926104
rust,either-1.16.0,success,12.900,6.180,65,65,2026-07-08T15:27:12Z,1926096
rust,constant_time_eq-0.5.0,success,38.095,0.945,18,18,2026-07-08T15:27:10Z,1926081
rust,futures-task-0.3.32,test_failed,1.660,0.300,3,1,2026-07-08T15:27:20Z,1926107
rust,futures-channel-0.3.32,build_failed,7.278,0.000,0,0,2026-07-08T15:27:20Z,1926106
rust,encoding_rs-0.8.35,success,24.622,2.382,159,159,2026-07-08T15:27:20Z,1926097
rust,form_urlencoded-1.2.2,success,7.509,3.845,1,1,2026-07-08T15:27:22Z,1926105
rust,hashlink-0.11.0,success,8.853,0.282,66,66,2026-07-08T15:27:29Z,1926115
rust,event-listener-strategy-0.5.4,success,3.360,6.562,5,5,2026-07-08T15:27:27Z,1926101
rust,http-body-1.0.1,success,12.574,0.981,2,2,2026-07-08T15:27:35Z,1926118
