build,crate,status,compile_seconds,run_seconds,timestamp,job_id
tracing,allocator-api2-0.4.0,success,0.216,18.800,2026-06-11T17:42:25Z,1797517
tracing,anstyle-wincon-3.0.11,success,2.128,16.750,2026-06-11T17:42:26Z,1797523
tracing,core-foundation-sys-0.8.7,success,0.579,21.471,2026-06-11T17:42:27Z,1797524
tracing,libz-sys-1.1.29,success,7.807,16.059,2026-06-11T17:42:31Z,1797518
tracing,mio-1.2.1,success,6.427,16.430,2026-06-11T17:42:32Z,1797519
tracing,sync_wrapper-1.0.2,success,14.333,15.473,2026-06-11T17:42:36Z,1797521
tracing,anstyle-1.0.14,success,5.843,35.996,2026-06-11T17:42:50Z,1797525
tracing,async-compression-0.4.42,success,68.183,29.326,2026-06-11T17:43:58Z,1797520
tracing,utf8parse-0.2.2,success,2.836,182.370,2026-06-11T17:45:10Z,1797522
tracing,core-foundation-sys-0.8.7,success,0.474,4.375,2026-06-11T18:34:30Z,1797801
tracing,allocator-api2-0.4.0,success,0.233,3.959,2026-06-11T18:34:30Z,1797797
tracing,anstyle-wincon-3.0.11,success,2.800,1.203,2026-06-11T18:34:31Z,1797802
tracing,utf8parse-0.2.2,success,3.273,8.714,2026-06-11T18:34:38Z,1797805
tracing,mio-1.2.1,success,6.571,1.229,2026-06-11T18:34:37Z,1797804
tracing,libz-sys-1.1.29,success,8.252,1.271,2026-06-11T18:34:37Z,1797799
tracing,anstyle-1.0.14,success,5.670,2.189,2026-06-11T18:34:37Z,1797800
tracing,sync_wrapper-1.0.2,success,13.979,1.010,2026-06-11T18:34:42Z,1797803
tracing,async-compression-0.4.42,success,66.308,1.986,2026-06-11T18:35:48Z,1797798
