build,crate,status,compile_seconds,run_seconds,tests,passed,timestamp,job_id
tracing,anstyle-query-1.1.5,success,1.455,3.950,3,3,2026-06-15T17:36:54Z,1812517
tracing,atty-0.2.14,test_failed,2.280,4.327,3,0,2026-06-15T17:36:59Z,1812530
tracing,alloc-no-stdlib-2.0.4,success,2.582,10.269,9,9,2026-06-15T17:37:00Z,1812520
tracing,base16ct-1.0.0,success,4.542,11.204,11,11,2026-06-15T17:37:05Z,1812538
tracing,alloc-stdlib-0.2.2,test_failed,1.862,7.898,11,2,2026-06-15T17:37:07Z,1812546
tracing,anstyle-wincon-3.0.11,success,2.130,2.593,0,0,2026-06-15T17:37:06Z,1812543
tracing,bstr-1.12.1,test_failed,12.213,1.392,0,0,2026-06-15T17:37:10Z,1812537
tracing,android_system_properties-0.1.5,success,11.151,5.579,4,4,2026-06-15T17:37:15Z,1812539
tracing,block-buffer-0.12.0,success,10.496,10.071,11,11,2026-06-15T17:37:18Z,1812510
tracing,cmake-0.1.58,test_failed,2.558,2.439,2,0,2026-06-15T17:37:22Z,1812553
tracing,allocator-api2-0.4.0,success,2.471,29.049,167,167,2026-06-15T17:37:20Z,1812516
tracing,cexpr-0.6.0,build_failed,10.699,0.000,0,0,2026-06-15T17:37:28Z,1812550
tracing,bytemuck-1.25.0,success,3.911,29.164,43,41,2026-06-15T17:37:21Z,1812533
tracing,anstyle-1.0.14,success,13.231,11.085,42,42,2026-06-15T17:37:26Z,1812512
tracing,clap_lex-1.1.0,success,8.247,5.378,18,17,2026-06-15T17:37:31Z,1812552
tracing,anstream-1.0.0,success,24.110,8.415,30,21,2026-06-15T17:37:29Z,1812529
tracing,core-foundation-sys-0.8.7,success,1.628,2.819,1,1,2026-06-15T17:37:39Z,1812561
tracing,atomic-waker-1.1.2,success,32.270,4.456,3,3,2026-06-15T17:37:36Z,1812527
tracing,core-foundation-0.10.1,test_failed,2.790,2.551,39,0,2026-06-15T17:37:40Z,1812560
tracing,async-trait-0.1.89,success,41.262,6.170,5,4,2026-06-15T17:37:39Z,1812524
tracing,async-io-2.6.0,test_failed,31.948,6.269,15,0,2026-06-15T17:37:40Z,1812521
tracing,chrono-0.4.44,test_failed,16.068,5.455,287,0,2026-06-15T17:37:44Z,1812551
