tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,33710,41066,1.22,33426,0.99,106840,3.17,0,0.00,0,0.00
2,3866,4318,1.12,7051,1.82,34641,8.96,23,0.01,1,0.00
3,4231,6269,1.48,5285,1.25,65035,15.37,2804,0.66,18,0.00
4,115,114,0.99,111,0.97,2189,19.03,37,0.32,18,0.16
5,899,1513,1.68,731,0.81,25692,28.58,2119,2.36,40,0.04
6,39,98,2.51,74,1.90,1804,46.26,334,8.56,18,0.46
7,198,651,3.29,191,0.96,9116,46.04,2606,13.16,24,0.12
8,34,70,2.06,36,1.06,2265,66.62,94,2.76,19,0.56
9,71,233,3.28,32,0.45,5198,73.21,674,9.49,38,0.54
10,13,24,1.85,13,1.00,1439,110.69,37,2.85,0,0.00
11,45,100,2.22,63,1.40,5205,115.67,143,3.18,10,0.22
12,22,101,4.59,18,0.82,2267,103.05,683,31.05,22,1.00
13,17,70,4.12,19,1.12,2705,159.12,346,20.35,24,1.41
14,12,35,2.92,13,1.08,2251,187.58,111,9.25,41,3.42
15,14,62,4.43,17,1.21,1815,129.64,454,32.43,56,4.00
16,17,36,2.12,18,1.06,3210,188.82,199,11.71,38,2.24
17,145,458,3.16,293,2.02,36856,254.18,4388,30.26,24,0.17
18,60,73,1.22,60,1.00,10699,178.32,359,5.98,801,13.35
19,11,54,4.91,18,1.64,2482,225.64,586,53.27,54,4.91
20,5,18,3.60,5,1.00,1313,262.60,159,31.80,0,0.00
21,11,80,7.27,29,2.64,3148,286.18,889,80.82,36,3.27
22,12,14,1.17,6,0.50,2626,218.83,127,10.58,59,4.92
23,23,118,5.13,32,1.39,7229,314.30,1772,77.04,18,0.78
24,25,99,3.96,25,1.00,9490,379.60,1637,65.48,23,0.92
25,5,53,10.60,17,3.40,1792,358.40,825,165.00,20,4.00
26,5,15,3.00,5,1.00,1878,375.60,243,48.60,22,4.40
27,5,76,15.20,19,3.80,1961,392.20,1344,268.80,0,0.00
28,3,30,10.00,11,3.67,678,226.00,644,214.67,27,9.00
29,2,42,21.00,14,7.00,803,401.50,1029,514.50,0,0.00
30,2,19,9.50,2,1.00,517,258.50,363,181.50,0,0.00
31,43,157,3.65,29,0.67,28632,665.86,2335,54.30,988,22.98
32,4,39,9.75,6,1.50,2637,659.25,746,186.50,35,8.75
33,26,192,7.38,64,2.46,16907,650.27,2942,113.15,0,0.00
34,3,24,8.00,3,1.00,1369,456.33,593,197.67,33,11.00
35,7,69,9.86,24,3.43,4237,605.29,1807,258.14,16,2.29
36,4,28,7.00,4,1.00,1033,258.25,522,130.50,91,22.75
37,6,84,14.00,23,3.83,3995,665.83,2242,373.67,72,12.00
38,1,17,17.00,1,1.00,406,406.00,544,544.00,0,0.00
39,2,57,28.50,19,9.50,1103,551.50,2009,1004.50,0,0.00
40,8,70,8.75,8,1.00,5714,714.25,1399,174.88,0,0.00
41,8,85,10.62,38,4.75,5689,711.12,2786,348.25,52,6.50
42,3,40,13.33,2,0.67,2016,672.00,1044,348.00,82,27.33
43,22,287,13.05,43,1.95,19946,906.64,4296,195.27,84,3.82
44,1,20,20.00,1,1.00,475,475.00,760,760.00,0,0.00
45,5,93,18.60,25,5.00,3891,778.20,3259,651.80,63,12.60
46,3,23,7.67,3,1.00,1812,604.00,884,294.67,42,14.00
47,12,182,15.17,34,2.83,11379,948.25,3881,323.42,46,3.83
48,2,32,16.00,5,2.50,1532,766.00,1045,522.50,0,0.00
49,5,100,20.00,26,5.20,4124,824.80,4438,887.60,0,0.00
50,2,26,13.00,2,1.00,1164,582.00,1035,517.50,49,24.50
51,2,50,25.00,25,12.50,1139,569.50,2438,1219.00,50,25.00
52,5,113,22.60,37,7.40,4597,919.40,4271,854.20,0,0.00
53,1,52,52.00,25,25.00,1181,1181.00,2628,2628.00,0,0.00
54,2,10,5.00,4,2.00,2009,1004.50,76,38.00,33,16.50
55,2,20,10.00,1,0.50,4149,2074.50,448,224.00,54,27.00
57,3,25,8.33,3,1.00,6872,2290.67,333,111.00,112,37.33
58,1,6,6.00,1,1.00,1525,1525.00,201,201.00,54,54.00
59,2,18,9.00,3,1.50,2201,1100.50,237,118.50,43,21.50
60,12,36,3.00,12,1.00,11076,923.00,2184,182.00,0,0.00
61,1,27,27.00,3,3.00,2868,2868.00,321,321.00,0,0.00
62,2,13,6.50,4,2.00,18053,9026.50,402,201.00,55,27.50
63,1,8,8.00,1,1.00,213,213.00,50,50.00,62,62.00
65,2,20,10.00,8,4.00,2054,1027.00,253,126.50,46,23.00
66,3,4,1.33,2,0.67,3027,1009.00,175,58.33,127,42.33
67,4,88,22.00,16,4.00,7702,1925.50,3248,812.00,1,0.25
68,4,21,5.25,5,1.25,5216,1304.00,449,112.25,190,47.50
69,1,34,34.00,1,1.00,1856,1856.00,335,335.00,27,27.00
73,1,16,16.00,3,3.00,1432,1432.00,409,409.00,32,32.00
76,2,14,7.00,1,0.50,3458,1729.00,360,180.00,75,37.50
77,2,9,4.50,1,0.50,3688,1844.00,170,85.00,127,63.50
78,1,11,11.00,0,0.00,144,144.00,21,21.00,77,77.00
79,1,5,5.00,2,2.00,6204,6204.00,254,254.00,75,75.00
81,1,25,25.00,1,1.00,707,707.00,1320,1320.00,0,0.00
86,1,1,1.00,1,1.00,1176,1176.00,28,28.00,82,82.00
87,23,63,2.74,23,1.00,51912,2257.04,3006,130.70,1376,59.83
88,1,2,2.00,1,1.00,1341,1341.00,188,188.00,0,0.00
89,5,10,2.00,0,0.00,10220,2044.00,430,86.00,440,88.00
90,1,30,30.00,1,1.00,1821,1821.00,3731,3731.00,0,0.00
93,1,23,23.00,6,6.00,3490,3490.00,610,610.00,0,0.00
95,1,7,7.00,1,1.00,2013,2013.00,109,109.00,77,77.00
97,1,24,24.00,0,0.00,456,456.00,1656,1656.00,96,96.00
99,1,17,17.00,0,0.00,2617,2617.00,164,164.00,98,98.00
100,1,18,18.00,1,1.00,4959,4959.00,639,639.00,0,0.00
105,1,7,7.00,4,4.00,1225,1225.00,131,131.00,103,103.00
107,1,44,44.00,11,11.00,2317,2317.00,1550,1550.00,0,0.00
