tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,1536906,1933244,1.26,1530701,1.00,4960274,3.23,0,0.00,0,0.00
2,304488,345061,1.13,576819,1.89,2749053,9.03,141834,0.47,86,0.00
3,121880,206116,1.69,198717,1.63,1987971,16.31,147956,1.21,994,0.01
4,12465,10669,0.86,12417,1.00,211592,16.97,1970,0.16,512,0.04
5,23675,45282,1.91,24440,1.03,736666,31.12,41818,1.77,1176,0.05
6,9300,22953,2.47,17620,1.89,507740,54.60,31070,3.34,658,0.07
7,5237,72721,13.89,40128,7.66,649691,124.06,111006,21.20,770,0.15
8,8226,18692,2.27,9656,1.17,638620,77.63,5979,0.73,664,0.08
9,2920,8333,2.85,1591,0.54,215389,73.76,23139,7.92,1425,0.49
10,903,3061,3.39,994,1.10,133952,148.34,4105,4.55,198,0.22
11,3281,16537,5.04,5847,1.78,448761,136.78,45333,13.82,949,0.29
12,1068,4340,4.06,830,0.78,112252,105.10,18548,17.37,412,0.39
13,866,9876,11.40,1393,1.61,129089,149.06,44984,51.94,310,0.36
14,321,1347,4.20,571,1.78,53920,167.98,4295,13.38,739,2.30
15,938,2369,2.53,853,0.91,152437,162.51,18827,20.07,204,0.22
16,543,1720,3.17,598,1.10,114865,211.54,7327,13.49,1155,2.13
17,1108,4540,4.10,2525,2.28,266406,240.44,29247,26.40,1276,1.15
18,125,215,1.72,321,2.57,20362,162.90,1121,8.97,886,7.09
19,406,2144,5.28,584,1.44,112199,276.35,20651,50.86,712,1.75
20,135,464,3.44,135,1.00,41136,304.71,2416,17.90,0,0.00
21,551,3217,5.84,1173,2.13,179459,325.70,27489,49.89,1277,2.32
22,480,722,1.50,312,0.65,92178,192.04,5687,11.85,526,1.10
23,452,3765,8.33,3130,6.92,91434,202.29,72926,161.34,322,0.71
24,315,653,2.07,151,0.48,98877,313.90,8712,27.66,846,2.69
25,130,619,4.76,271,2.08,44354,341.18,9331,71.78,1057,8.13
26,149,238,1.60,234,1.57,54192,363.70,2487,16.69,234,1.57
27,215,2492,11.59,577,2.68,140750,654.65,25530,118.74,187,0.87
28,172,418,2.43,260,1.51,89758,521.85,10802,62.80,256,1.49
29,20,249,12.45,50,2.50,13129,656.45,2349,117.45,143,7.15
30,240,718,2.99,68,0.28,108349,451.45,4105,17.10,2721,11.34
31,85,1373,16.15,280,3.29,46595,548.18,18094,212.87,1119,13.16
32,415,3961,9.54,796,1.92,299013,720.51,68142,164.20,376,0.91
33,368,7633,20.74,9170,24.92,287584,781.48,30707,83.44,328,0.89
34,190,2131,11.22,1754,9.23,74621,392.74,46486,244.66,635,3.34
35,131,784,5.98,205,1.56,96464,736.37,8686,66.31,193,1.47
36,28,68,2.43,63,2.25,21236,758.43,1051,37.54,70,2.50
37,1622,25269,15.58,9823,6.06,915199,564.24,414067,255.28,1832,1.13
38,12,65,5.42,3,0.25,8116,676.33,963,80.25,58,4.83
39,31,256,8.26,47,1.52,23384,754.32,4258,137.35,52,1.68
40,486,23491,48.34,16366,33.67,2171478,4468.06,81400,167.49,1234,2.54
41,598,11327,18.94,992,1.66,578637,967.62,60561,101.27,4340,7.26
42,293,2400,8.19,214,0.73,339874,1159.98,25068,85.56,3533,12.06
43,188,7415,39.44,4932,26.23,633154,3367.84,35460,188.62,428,2.28
44,329,719,2.19,576,1.75,347020,1054.77,32899,100.00,1436,4.36
45,546,4771,8.74,1652,3.03,455102,833.52,86530,158.48,3844,7.04
46,163,10123,62.10,6716,41.20,711337,4364.03,56655,347.58,523,3.21
47,227,3352,14.77,899,3.96,208582,918.86,50705,223.37,423,1.86
48,61,626,10.26,235,3.85,61400,1006.56,8510,139.51,64,1.05
49,124,346,2.79,148,1.19,147106,1186.34,6042,48.73,1044,8.42
50,7,88,12.57,23,3.29,9965,1423.57,1722,246.00,102,14.57
51,51,148,2.90,245,4.80,80179,1572.14,8348,163.69,150,2.94
52,64,750,11.72,95,1.48,40976,640.25,9743,152.23,94,1.47
53,60,773,12.88,120,2.00,122158,2035.97,6101,101.68,135,2.25
54,61,301,4.93,62,1.02,95449,1564.74,3087,50.61,408,6.69
55,222,1601,7.21,216,0.97,286337,1289.81,46254,208.35,1097,4.94
56,60,2078,34.63,1012,16.87,71822,1197.03,35920,598.67,1705,28.42
57,79,1262,15.97,204,2.58,155820,1972.41,13722,173.70,495,6.27
58,5,65,13.00,4,0.80,8755,1751.00,1322,264.40,57,11.40
59,65,577,8.88,75,1.15,61715,949.46,7743,119.12,2184,33.60
60,665,3895,5.86,711,1.07,924710,1390.54,104013,156.41,656,0.99
61,41,714,17.41,576,14.05,29109,709.98,28329,690.95,223,5.44
62,4,39,9.75,5,1.25,7693,1923.25,1459,364.75,22,5.50
63,132,3906,29.59,129,0.98,58303,441.69,78881,597.58,7230,54.77
64,247,10157,41.12,5087,20.60,219147,887.23,409477,1657.80,3078,12.46
65,64,286,4.47,71,1.11,41783,652.86,6662,104.09,47,0.73
66,325,4132,12.71,1270,3.91,698845,2150.29,73419,225.90,2242,6.90
67,795,12380,15.57,4774,6.01,1527078,1920.85,331420,416.88,2289,2.88
68,67,410,6.12,236,3.52,65879,983.27,6192,92.42,2280,34.03
69,5,15,3.00,15,3.00,7625,1525.00,300,60.00,105,21.00
70,6,82,13.67,6,1.00,14047,2341.17,3181,530.17,31,5.17
71,5,50,10.00,10,2.00,1310,262.00,220,44.00,0,0.00
72,9,130,14.44,19,2.11,19607,2178.56,5455,606.11,50,5.56
73,8,164,20.50,29,3.62,17664,2208.00,3003,375.38,149,18.62
74,4,52,13.00,6,1.50,7427,1856.75,1943,485.75,49,12.25
75,1,20,20.00,0,0.00,1142,1142.00,495,495.00,43,43.00
76,7,40,5.71,17,2.43,23031,3290.14,2503,357.57,0,0.00
77,72,2423,33.65,675,9.38,121629,1689.29,102389,1422.07,203,2.82
78,5,66,13.20,9,1.80,12217,2443.40,2178,435.60,130,26.00
79,393,1495,3.80,1866,4.75,914061,2325.85,80751,205.47,367,0.93
80,1,18,18.00,1,1.00,2962,2962.00,769,769.00,0,0.00
81,17,177,10.41,112,6.59,19890,1170.00,5447,320.41,395,23.24
82,3,17,5.67,1,0.33,3069,1023.00,924,308.00,162,54.00
83,5,20,4.00,0,0.00,7510,1502.00,224,44.80,410,82.00
84,9,184,20.44,18,2.00,24827,2758.56,7274,808.22,166,18.44
86,5,79,15.80,5,1.00,13288,2657.60,4229,845.80,82,16.40
87,47,436,9.28,165,3.51,93231,1983.64,13800,293.62,1651,35.13
88,8,143,17.88,11,1.38,23416,2927.00,6962,870.25,44,5.50
89,8,53,6.62,5,0.62,12426,1553.25,970,121.25,502,62.75
90,6,100,16.67,5,0.83,17669,2944.83,6005,1000.83,101,16.83
91,50,1372,27.44,489,9.78,72153,1443.06,55792,1115.84,224,4.48
95,3,37,12.33,4,1.33,5852,1950.67,1107,369.00,148,49.33
96,2,21,10.50,25,12.50,3154,1577.00,972,486.00,95,47.50
97,9,278,30.89,60,6.67,35863,3984.78,12270,1363.33,288,32.00
98,5,80,16.00,5,1.00,10835,2167.00,5395,1079.00,0,0.00
99,25,1169,46.76,24,0.96,18335,733.40,32543,1301.72,2428,97.12
100,25,786,31.44,265,10.60,43215,1728.60,35127,1405.08,0,0.00
101,8,110,13.75,199,24.88,6952,869.00,1434,179.25,184,23.00
102,14,28,2.00,56,4.00,81612,5829.43,5082,363.00,0,0.00
103,39,1900,48.72,38,0.97,26314,674.72,59554,1527.03,3498,89.69
104,5,136,27.20,51,10.20,19174,3834.80,3445,689.00,169,33.80
105,2,11,5.50,6,3.00,5033,2516.50,787,393.50,85,42.50
107,10,383,38.30,93,9.30,21081,2108.10,12742,1274.20,191,19.10
108,9,54,6.00,17,1.89,30749,3416.56,2743,304.78,174,19.33
109,2,79,39.50,6,3.00,18437,9218.50,1955,977.50,0,0.00
110,49,1060,21.63,284,5.80,237679,4850.59,25031,510.84,199,4.06
111,4,23,5.75,2,0.50,11442,2860.50,1022,255.50,295,73.75
112,4,846,211.50,12,3.00,11810,2952.50,2062,515.50,220,55.00
113,2,30,15.00,0,0.00,4676,2338.00,85,42.50,224,112.00
114,1,6,6.00,3,3.00,2564,2564.00,158,158.00,0,0.00
115,2,84,42.00,2,1.00,12661,6330.50,2148,1074.00,107,53.50
117,67,1908,28.48,133,1.99,328653,4905.27,70468,1051.76,1654,24.69
118,24,1872,78.00,936,39.00,40431,1684.62,172939,7205.79,405,16.88
119,25,50,2.00,120,4.80,209276,8371.04,15167,606.68,116,4.64
120,6,89,14.83,12,2.00,23482,3913.67,2084,347.33,140,23.33
121,12,164,13.67,50,4.17,25692,2141.00,3768,314.00,271,22.58
122,1,3,3.00,3,3.00,2855,2855.00,422,422.00,0,0.00
124,41,3182,77.61,1575,38.41,85512,2085.66,318275,7762.80,443,10.80
125,1,11,11.00,9,9.00,4919,4919.00,1356,1356.00,5,5.00
126,3,17,5.67,7,2.33,7086,2362.00,754,251.33,0,0.00
127,78,2254,28.90,731,9.37,294222,3772.08,150770,1932.95,360,4.62
130,1,3,3.00,1,1.00,1900,1900.00,164,164.00,104,104.00
131,19,56,2.95,54,2.84,123334,6491.26,11893,625.95,0,0.00
132,6,32,5.33,11,1.83,36852,6142.00,6060,1010.00,0,0.00
133,1,25,25.00,5,5.00,4141,4141.00,780,780.00,27,27.00
134,2,415,207.50,417,208.50,3606,1803.00,3259,1629.50,215,107.50
135,3,19,6.33,0,0.00,12063,4021.00,813,271.00,402,134.00
137,22,314,14.27,70,3.18,97259,4420.86,23668,1075.82,136,6.18
138,2,20,10.00,6,3.00,5368,2684.00,384,192.00,0,0.00
139,19,80,4.21,10,0.53,123388,6494.11,12501,657.95,138,7.26
140,9,45,5.00,0,0.00,59616,6624.00,6993,777.00,0,0.00
141,120,5966,49.72,1256,10.47,349405,2911.71,319420,2661.83,5159,42.99
142,1,0,0.00,0,0.00,470,470.00,1196,1196.00,141,141.00
143,1,44,44.00,2,2.00,14504,14504.00,1817,1817.00,0,0.00
144,2,8,4.00,0,0.00,17610,8805.00,1242,621.00,0,0.00
145,15,100,6.67,91,6.07,158109,10540.60,77001,5133.40,144,9.60
146,1,1,1.00,1,1.00,2006,2006.00,152,152.00,122,122.00
147,60,642,10.70,494,8.23,270228,4503.80,20198,336.63,4427,73.78
148,2,9,4.50,8,4.00,4269,2134.50,997,498.50,112,56.00
149,12,91,7.58,27,2.25,71991,5999.25,10832,902.67,426,35.50
150,1,27,27.00,9,9.00,6044,6044.00,901,901.00,0,0.00
151,59,780,13.22,644,10.92,159317,2700.29,39426,668.24,5184,87.86
153,2,32,16.00,4,2.00,14975,7487.50,2898,1449.00,27,13.50
154,60,2005,33.42,646,10.77,199500,3325.00,139368,2322.80,353,5.88
155,2,27,13.50,3,1.50,17422,8711.00,2168,1084.00,154,77.00
156,3,23,7.67,3,1.00,23838,7946.00,1782,594.00,154,51.33
157,4,256,64.00,64,16.00,13748,3437.00,13500,3375.00,0,0.00
158,8,167,20.88,26,3.25,44883,5610.38,8359,1044.88,493,61.62
159,1,0,0.00,0,0.00,0,0.00,0,0.00,158,158.00
160,1,6,6.00,0,0.00,9637,9637.00,1059,1059.00,159,159.00
161,7,127,18.14,85,12.14,27109,3872.71,14196,2028.00,392,56.00
162,1,34,34.00,4,4.00,4200,4200.00,2019,2019.00,0,0.00
166,2,2,1.00,2,1.00,4694,2347.00,912,456.00,142,71.00
168,2,34,17.00,8,4.00,18619,9309.50,2255,1127.50,0,0.00
170,58,687,11.84,399,6.88,432761,7461.40,31009,534.64,3158,54.45
172,3,100,33.33,30,10.00,21256,7085.33,3988,1329.33,127,42.33
173,1,2,2.00,8,8.00,15105,15105.00,7912,7912.00,0,0.00
174,1,6,6.00,0,0.00,10530,10530.00,1091,1091.00,173,173.00
175,4,116,29.00,0,0.00,2784,696.00,0,0.00,696,174.00
177,8,56,7.00,64,8.00,131392,16424.00,79656,9957.00,0,0.00
179,6,88,14.67,20,3.33,49363,8227.17,5634,939.00,710,118.33
180,3,102,34.00,24,8.00,32042,10680.67,4832,1610.67,148,49.33
181,4,108,27.00,40,10.00,4796,1199.00,1757,439.25,20,5.00
182,1,4,4.00,0,0.00,7257,7257.00,757,757.00,181,181.00
183,1,262,262.00,1,1.00,6915,6915.00,385,385.00,141,141.00
184,12,300,25.00,24,2.00,61475,5122.92,12039,1003.25,1968,164.00
185,21,537,25.57,109,5.19,142614,6791.14,25893,1233.00,1816,86.48
186,1,6,6.00,38,38.00,922,922.00,317,317.00,180,180.00
188,1,2,2.00,1,1.00,2627,2627.00,180,180.00,164,164.00
190,1,23,23.00,9,9.00,1420,1420.00,109,109.00,128,128.00
191,59,123,2.08,1025,17.37,660304,11191.59,101979,1728.46,426,7.22
192,64,852,13.31,580,9.06,308054,4813.34,54034,844.28,3040,47.50
193,2,39,19.50,11,5.50,24651,12325.50,14993,7496.50,192,96.00
195,1,20,20.00,2,2.00,6386,6386.00,1180,1180.00,186,186.00
196,7,85,12.14,28,4.00,67821,9688.71,9717,1388.14,0,0.00
197,3,22,7.33,15,5.00,29829,9943.00,7778,2592.67,0,0.00
198,2,22,11.00,3,1.50,11506,5753.00,1139,569.50,197,98.50
199,3,113,37.67,40,13.33,22958,7652.67,3604,1201.33,311,103.67
201,5,150,30.00,362,72.40,22030,4406.00,11790,2358.00,244,48.80
202,5,16,3.20,0,0.00,41152,8230.40,5483,1096.60,201,40.20
204,12,48,4.00,1,0.08,126984,10582.00,14446,1203.83,739,61.58
205,23,157,6.83,12,0.52,229627,9983.78,38958,1693.83,754,32.78
206,2,163,81.50,66,33.00,18857,9428.50,5283,2641.50,406,203.00
207,1,5,5.00,0,0.00,11973,11973.00,1504,1504.00,206,206.00
208,2,4,2.00,1,0.50,19240,9620.00,2500,1250.00,207,103.50
209,2,8,4.00,0,0.00,25182,12591.00,2274,1137.00,0,0.00
210,3,17,5.67,1,0.33,28758,9586.00,2519,839.67,604,201.33
211,1,7,7.00,0,0.00,4214,4214.00,77,77.00,210,210.00
214,8,24,3.00,3,0.38,63819,7977.38,8530,1066.25,426,53.25
215,49,2114,43.14,819,16.71,226386,4620.12,74134,1512.94,6296,128.49
217,69,1274,18.46,274,3.97,1153019,16710.42,97622,1414.81,11363,164.68
218,2,45,22.50,2,1.00,21064,10532.00,2594,1297.00,415,207.50
219,5,73,14.60,12,2.40,42378,8475.60,8097,1619.40,183,36.60
220,1,38,38.00,1,1.00,12464,12464.00,3489,3489.00,0,0.00
221,8,128,16.00,36,4.50,76068,9508.50,8758,1094.75,537,67.12
222,1,146,146.00,25,25.00,7196,7196.00,13716,13716.00,0,0.00
225,1,41,41.00,13,13.00,9148,9148.00,1940,1940.00,0,0.00
226,2,2,1.00,2,1.00,6354,3177.00,1384,692.00,222,111.00
227,1,112,112.00,0,0.00,1482,1482.00,1671,1671.00,211,211.00
231,2,8,4.00,0,0.00,11288,5644.00,940,470.00,460,230.00
232,1,112,112.00,1,1.00,3321,3321.00,1671,1671.00,212,212.00
233,6,192,32.00,0,0.00,54296,9049.33,20873,3478.83,695,115.83
235,31,2387,77.00,806,26.00,118031,3807.45,248715,8023.06,198,6.39
237,6,462,77.00,52,8.67,71343,11890.50,14701,2450.17,416,69.33
243,3,126,42.00,36,12.00,27982,9327.33,6693,2231.00,79,26.33
245,2,14,7.00,0,0.00,39232,19616.00,3601,1800.50,0,0.00
246,1,1,1.00,1,1.00,3578,3578.00,1680,1680.00,0,0.00
247,1,15,15.00,9,9.00,2509,2509.00,197,197.00,191,191.00
248,1,2,2.00,1,1.00,3437,3437.00,212,212.00,224,224.00
249,1,42,42.00,12,12.00,9462,9462.00,2705,2705.00,0,0.00
250,7,60,8.57,22,3.14,157856,22550.86,15859,2265.57,0,0.00
251,1,2,2.00,5,5.00,18793,18793.00,1623,1623.00,0,0.00
254,1,7,7.00,1,1.00,22822,22822.00,1810,1810.00,250,250.00
257,4,133,33.25,43,10.75,88770,22192.50,44166,11041.50,408,102.00
258,57,114,2.00,0,0.00,468108,8212.42,14432,253.19,14592,256.00
261,2,78,39.00,28,14.00,3446,1723.00,1123,561.50,344,172.00
262,7,109,15.57,30,4.29,173589,24798.43,17625,2517.86,0,0.00
263,1,4,4.00,0,0.00,9830,9830.00,1136,1136.00,126,126.00
266,1,1,1.00,1,1.00,3626,3626.00,272,272.00,242,242.00
267,1,13,13.00,7,7.00,8559,8559.00,2628,2628.00,231,231.00
268,1,46,46.00,1,1.00,15466,15466.00,5308,5308.00,0,0.00
269,1,24,24.00,0,0.00,6876,6876.00,264,264.00,268,268.00
270,1,11,11.00,0,0.00,14145,14145.00,1176,1176.00,269,269.00
272,2,6,3.00,1,0.50,12075,6037.50,1576,788.00,471,235.50
273,8,384,48.00,96,12.00,105961,13245.12,14027,1753.38,26,3.25
274,2,22,11.00,6,3.00,54156,27078.00,5713,2856.50,240,120.00
276,1,5,5.00,0,0.00,7033,7033.00,450,450.00,275,275.00
279,3,25,8.33,5,1.67,59492,19830.67,6776,2258.67,319,106.33
280,3,129,43.00,49,16.33,52980,17660.00,12620,4206.67,368,122.67
281,5,50,10.00,0,0.00,130309,26061.80,12270,2454.00,559,111.80
282,1,10,10.00,0,0.00,26386,26386.00,2571,2571.00,0,0.00
283,1,51,51.00,15,15.00,10834,10834.00,3267,3267.00,1,1.00
286,2,19,9.50,12,6.00,48092,24046.00,16534,8267.00,0,0.00
287,4,24,6.00,0,0.00,58233,14558.25,7417,1854.25,848,212.00
288,2,4,2.00,2,1.00,8203,4101.50,2698,1349.00,264,132.00
291,1,58,58.00,0,0.00,1798,1798.00,0,0.00,290,290.00
292,1,50,50.00,1,1.00,16670,16670.00,5378,5378.00,24,24.00
295,2,148,74.00,50,25.00,14062,7031.00,18128,9064.00,216,108.00
296,1,59,59.00,0,0.00,1829,1829.00,0,0.00,295,295.00
298,2,26,13.00,6,3.00,67260,33630.00,6899,3449.50,0,0.00
299,1,10,10.00,0,0.00,14336,14336.00,1095,1095.00,298,298.00
301,2,104,52.00,28,14.00,23046,11523.00,7938,3969.00,1,0.50
305,3,39,13.00,16,5.33,82779,27593.00,18299,6099.67,155,51.67
307,2,104,52.00,28,14.00,23023,11511.50,6807,3403.50,209,104.50
309,1,9,9.00,0,0.00,9519,9519.00,1181,1181.00,0,0.00
310,8,217,27.12,63,7.88,150714,18839.25,40913,5114.12,274,34.25
311,185,14288,77.23,185,1.00,723516,3910.90,3472225,18768.78,7462,40.34
312,1,56,56.00,16,16.00,12727,12727.00,3947,3947.00,0,0.00
316,1,54,54.00,1,1.00,18468,18468.00,7515,7515.00,0,0.00
317,3,207,69.00,59,19.67,70518,23506.00,45255,15085.00,4,1.33
318,1,57,57.00,15,15.00,16028,16028.00,2360,2360.00,0,0.00
319,1,191,191.00,64,64.00,2689,2689.00,1601,1601.00,315,315.00
321,1,1,1.00,65,65.00,10561,10561.00,7506,7506.00,125,125.00
322,4,88,22.00,26,6.50,132900,33225.00,18779,4694.75,0,0.00
325,1,56,56.00,12,12.00,15626,15626.00,3464,3464.00,223,223.00
326,1,70,70.00,4,4.00,7702,7702.00,3971,3971.00,183,183.00
328,25,818,32.72,265,10.60,436313,17452.52,114669,4586.76,1432,57.28
329,5,246,49.20,56,11.20,104449,20889.80,15470,3094.00,0,0.00
332,1,4,4.00,1,1.00,4987,4987.00,3148,3148.00,0,0.00
334,99,10126,102.28,3389,34.23,815419,8236.56,1484507,14995.02,876,8.85
340,1,58,58.00,1,1.00,18986,18986.00,6022,6022.00,232,232.00
341,2,112,56.00,35,17.50,15792,7896.00,3693,1846.50,556,278.00
342,125,6250,50.00,2000,16.00,1402791,11222.33,833783,6670.26,5141,41.13
345,1,13,13.00,0,0.00,31674,31674.00,4758,4758.00,344,344.00
346,8,159,19.88,42,5.25,290950,36368.75,34579,4322.38,622,77.75
350,1,3,3.00,1,1.00,4868,4868.00,492,492.00,326,326.00
351,1,45,45.00,18,18.00,24062,24062.00,16057,16057.00,350,350.00
358,6,114,19.00,22,3.67,236808,39468.00,24717,4119.50,393,65.50
361,1,12,12.00,0,0.00,7224,7224.00,852,852.00,360,360.00
364,1,62,62.00,1,1.00,21470,21470.00,10110,10110.00,0,0.00
365,2,70,35.00,17,8.50,44719,22359.50,12370,6185.00,364,182.00
366,3,21,7.00,149,49.67,9806,3268.67,5997,1999.00,705,235.00
369,1,14,14.00,0,0.00,20435,20435.00,2429,2429.00,219,219.00
370,8,264,33.00,76,9.50,275031,34378.88,33013,4126.62,1365,170.62
371,1,6,6.00,0,0.00,8506,8506.00,932,932.00,370,370.00
372,1,4,4.00,1,1.00,5219,5219.00,536,536.00,348,348.00
373,1,56,56.00,20,20.00,6973,6973.00,3522,3522.00,298,298.00
374,1,67,67.00,17,17.00,19322,19322.00,3620,3620.00,0,0.00
382,5,186,37.20,59,11.80,181472,36294.40,52020,10404.00,577,115.40
383,1,4,4.00,0,0.00,12968,12968.00,1605,1605.00,382,382.00
386,1,1,1.00,1,1.00,5246,5246.00,588,588.00,362,362.00
388,2,68,34.00,2,1.00,28422,14211.00,13721,6860.50,240,120.00
389,2,25,12.50,1,0.50,29370,14685.00,6618,3309.00,328,164.00
391,57,2679,47.00,969,17.00,586060,10281.75,77996,1368.35,8039,141.04
393,2,44,22.00,0,0.00,22970,11485.00,2420,1210.00,593,296.50
394,3,57,19.00,9,3.00,174554,58184.67,18948,6316.00,389,129.67
399,3,148,49.33,38,12.67,47371,15790.33,15501,5167.00,398,132.67
402,2,144,72.00,36,18.00,41812,20906.00,7489,3744.50,228,114.00
403,1,4,4.00,0,0.00,12556,12556.00,1960,1960.00,402,402.00
406,3,60,20.00,9,3.00,184258,61419.33,20200,6733.33,401,133.67
407,1,6,6.00,0,0.00,25158,25158.00,3550,3550.00,406,406.00
408,1,2,2.00,1,1.00,5597,5597.00,696,696.00,384,384.00
409,2,16,8.00,0,0.00,33426,16713.00,4761,2380.50,612,306.00
410,2,312,156.00,135,67.50,18187,9093.50,13521,6760.50,391,195.50
412,1,70,70.00,1,1.00,24472,24472.00,13093,13093.00,0,0.00
414,1,58,58.00,1,1.00,479,479.00,0,0.00,413,413.00
415,1,20,20.00,1,1.00,17995,17995.00,9206,9206.00,0,0.00
416,1,7,7.00,0,0.00,9883,9883.00,715,715.00,415,415.00
417,1,6,6.00,0,0.00,19084,19084.00,2625,2625.00,213,213.00
418,1,15,15.00,0,0.00,19872,19872.00,2331,2331.00,278,278.00
419,1,16,16.00,0,0.00,66512,66512.00,9100,9100.00,418,418.00
421,1,63,63.00,22,22.00,2785,2785.00,1116,1116.00,404,404.00
425,2,26,13.00,0,0.00,44719,22359.50,5668,2834.00,848,424.00
427,1,6,6.00,0,0.00,24406,24406.00,4023,4023.00,387,387.00
430,7,226,32.29,49,7.00,216471,30924.43,31516,4502.29,1473,210.43
435,1,251,251.00,63,63.00,11356,11356.00,22498,22498.00,0,0.00
436,1,74,74.00,1,1.00,24699,24699.00,14730,14730.00,419,419.00
438,1,43,43.00,10,10.00,1880,1880.00,281,281.00,437,437.00
442,1,23,23.00,3,3.00,72732,72732.00,7520,7520.00,0,0.00
443,1,0,0.00,0,0.00,0,0.00,0,0.00,442,442.00
446,1,1,1.00,1,1.00,6056,6056.00,872,872.00,422,422.00
448,2,82,41.00,23,11.50,28217,14108.50,11974,5987.00,362,181.00
458,1,14,14.00,0,0.00,22727,22727.00,2790,2790.00,243,243.00
460,1,78,78.00,1,1.00,27474,27474.00,16464,16464.00,0,0.00
461,1,8,8.00,0,0.00,11288,11288.00,870,870.00,460,460.00
465,2,116,58.00,0,0.00,8584,4292.00,464,232.00,928,464.00
468,1,2,2.00,1,1.00,6851,6851.00,6288,6288.00,0,0.00
471,1,8,8.00,0,0.00,11304,11304.00,1012,1012.00,470,470.00
478,1,232,232.00,0,0.00,15156,15156.00,25668,25668.00,473,473.00
481,5,118,23.60,626,125.20,42529,8505.80,3366,673.20,2400,480.00
486,1,16,16.00,4,4.00,10881,10881.00,1881,1881.00,485,485.00
487,1,83,83.00,1,1.00,27965,27965.00,10307,10307.00,288,288.00
492,1,18,18.00,0,0.00,14863,14863.00,2236,2236.00,491,491.00
494,1,5,5.00,1,1.00,6920,6920.00,1781,1781.00,470,470.00
495,1,59,59.00,32,32.00,31389,31389.00,23809,23809.00,397,397.00
501,1,23,23.00,0,0.00,34834,34834.00,4620,4620.00,500,500.00
505,6,144,24.00,0,0.00,49200,8200.00,1376,229.33,3024,504.00
510,1,24,24.00,26,26.00,31074,31074.00,21495,21495.00,424,424.00
511,3,599,199.67,3,1.00,36009,12003.00,211912,70637.33,162,54.00
513,1,64,64.00,0,0.00,4352,4352.00,276,276.00,512,512.00
516,2,516,258.00,512,256.00,13208,6604.00,390390,195195.00,160,80.00
517,2,116,58.00,26,13.00,30706,15353.00,8788,4394.00,843,421.50
529,1,24,24.00,0,0.00,8496,8496.00,597,597.00,528,528.00
533,2,128,64.00,46,23.00,27051,13525.50,3497,1748.50,438,219.00
535,2,186,93.00,26,13.00,58552,29276.00,34785,17392.50,0,0.00
536,1,76,76.00,25,25.00,18123,18123.00,18772,18772.00,0,0.00
540,1,74,74.00,24,24.00,17914,17914.00,19809,19809.00,0,0.00
