tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,42354,51351,1.21,41526,0.98,132981,3.14,0,0.00,0,0.00
2,5590,6184,1.11,10213,1.83,50065,8.96,37,0.01,3,0.00
3,4659,6960,1.49,5900,1.27,71857,15.42,3241,0.70,22,0.00
4,153,181,1.18,138,0.90,2759,18.03,65,0.42,10,0.07
5,1041,1782,1.71,851,0.82,30354,29.16,2432,2.34,12,0.01
6,61,156,2.56,135,2.21,3019,49.49,564,9.25,5,0.08
7,244,797,3.27,229,0.94,11315,46.37,2979,12.21,19,0.08
8,51,126,2.47,61,1.20,3671,71.98,205,4.02,19,0.37
9,120,388,3.23,59,0.49,9081,75.67,1100,9.17,28,0.23
10,28,47,1.68,24,0.86,2816,100.57,65,2.32,36,1.29
11,69,150,2.17,86,1.25,7828,113.45,307,4.45,11,0.16
12,33,163,4.94,28,0.85,3341,101.24,1099,33.30,0,0.00
13,26,105,4.04,26,1.00,4052,155.85,474,18.23,36,1.38
14,16,45,2.81,19,1.19,3230,201.88,132,8.25,22,1.38
15,20,100,5.00,24,1.20,2800,140.00,728,36.40,42,2.10
16,32,80,2.50,33,1.03,5998,187.44,309,9.66,103,3.22
17,157,516,3.29,309,1.97,39266,250.10,4823,30.72,30,0.19
18,61,77,1.26,61,1.00,11109,182.11,366,6.00,798,13.08
19,21,102,4.86,30,1.43,4452,212.00,1065,50.71,66,3.14
20,8,21,2.62,8,1.00,1851,231.38,207,25.88,0,0.00
21,12,98,8.17,30,2.50,4253,354.42,928,77.33,45,3.75
22,22,22,1.00,14,0.64,4538,206.27,247,11.23,21,0.95
23,28,125,4.46,40,1.43,8355,298.39,1630,58.21,16,0.57
24,26,98,3.77,26,1.00,9900,380.77,1713,65.88,26,1.00
25,7,51,7.29,21,3.00,2243,320.43,919,131.29,81,11.57
26,7,17,2.43,7,1.00,2494,356.29,265,37.86,22,3.14
27,9,111,12.33,31,3.44,3893,432.56,1388,154.22,26,2.89
28,3,30,10.00,11,3.67,678,226.00,644,214.67,27,9.00
29,4,45,11.25,15,3.75,816,204.00,1016,254.00,54,13.50
30,4,31,7.75,4,1.00,923,230.75,465,116.25,0,0.00
31,40,133,3.33,26,0.65,27780,694.50,1946,48.65,958,23.95
32,5,49,9.80,8,1.60,3359,671.80,909,181.80,59,11.80
33,26,192,7.38,64,2.46,16861,648.50,2942,113.15,23,0.88
34,5,28,5.60,6,1.20,2345,469.00,566,113.20,81,16.20
35,7,70,10.00,22,3.14,4453,636.14,1844,263.43,50,7.14
36,3,23,7.67,2,0.67,963,321.00,546,182.00,30,10.00
