tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,4739160,6102043,1.29,3165786,0.67,13917916,2.94,0,0.00,0,0.00
2,1458819,1558726,1.07,2502268,1.72,12799637,8.77,362,0.00,848,0.00
3,415852,600641,1.44,445888,1.07,6044432,14.54,213094,0.51,3347,0.01
4,94507,74674,0.79,68744,0.73,1253776,13.27,877,0.01,4099,0.04
5,121134,220940,1.82,26013,0.21,3494935,28.85,142893,1.18,7669,0.06
6,1509,2457,1.63,2481,1.64,63666,42.19,5693,3.77,654,0.43
7,57800,174572,3.02,57402,0.99,3080952,53.30,624947,10.81,5722,0.10
8,5278,17251,3.27,9153,1.73,447829,84.85,31307,5.93,918,0.17
9,2739,6795,2.48,2086,0.76,185086,67.57,22316,8.15,2501,0.91
10,14565,43247,2.97,28596,1.96,1809306,124.22,154347,10.60,4793,0.33
11,1869,35102,18.78,1981,1.06,258996,138.57,55438,29.66,7846,4.20
12,511,1814,3.55,417,0.82,45863,89.75,8895,17.41,176,0.34
13,44447,45571,1.03,44309,1.00,5590563,125.78,6512,0.15,3175,0.07
14,2778,5936,2.14,1206,0.43,439201,158.10,11109,4.00,4305,1.55
15,492,2666,5.42,479,0.97,51825,105.34,11816,24.02,2940,5.98
16,2071,6210,3.00,2108,1.02,231545,111.80,14115,6.82,1871,0.90
17,967,3604,3.73,1628,1.68,208738,215.86,24212,25.04,3026,3.13
18,181,221,1.22,181,1.00,32627,180.26,1075,5.94,2414,13.34
19,16610,20482,1.23,18073,1.09,1916883,115.41,31354,1.89,54762,3.30
20,132,225,1.70,132,1.00,24870,188.41,1910,14.47,47,0.36
21,851,86871,102.08,920,1.08,422039,495.93,189244,222.38,11307,13.29
22,5324,9410,1.77,5243,0.98,904689,169.93,69385,13.03,11871,2.23
23,3033,6684,2.20,715,0.24,1103965,363.98,17243,5.69,17647,5.82
24,287,1320,4.60,357,1.24,93830,326.93,21061,73.38,680,2.37
25,310,1712,5.52,400,1.29,60528,195.25,10986,35.44,2909,9.38
26,58,149,2.57,58,1.00,18772,323.66,1426,24.59,149,2.57
27,49,441,9.00,98,2.00,15046,307.06,5701,116.35,420,8.57
28,16151,113551,7.03,16191,1.00,8782857,543.80,4412,0.27,108911,6.74
29,43,242,5.63,72,1.67,13009,302.53,5520,128.37,315,7.33
30,800,1782,2.23,800,1.00,440063,550.08,2100,2.62,7908,9.88
31,179,795,4.44,119,0.66,96624,539.80,9639,53.85,3739,20.89
32,97,927,9.56,178,1.84,64866,668.72,15424,159.01,240,2.47
33,3456,10903,3.15,3519,1.02,1487562,430.43,136797,39.58,26999,7.81
34,2497,12537,5.02,2499,1.00,1109982,444.53,134447,53.84,3943,1.58
35,47,336,7.15,91,1.94,20866,443.96,7902,168.13,329,7.00
36,13,82,6.31,15,1.15,5914,454.92,1696,130.46,129,9.92
37,72,669,9.29,153,2.12,40854,567.42,16783,233.10,561,7.79
38,8,80,10.00,6,0.75,5689,711.12,2387,298.38,0,0.00
39,145,1018,7.02,223,1.54,53401,368.28,9501,65.52,2434,16.79
40,578,2529,4.38,62,0.11,270592,468.15,15291,26.46,14614,25.28
41,149,853,5.72,354,2.38,54845,368.09,11652,78.20,2392,16.05
42,5644,17532,3.11,5603,0.99,3797115,672.77,300304,53.21,18268,3.24
43,104,868,8.35,130,1.25,92884,893.12,13674,131.48,987,9.49
44,295,2116,7.17,295,1.00,112848,382.54,12393,42.01,9700,32.88
45,411,2049,4.99,470,1.14,325133,791.08,41791,101.68,2037,4.96
46,1416,4688,3.31,485,0.34,1184045,836.19,70345,49.68,4291,3.03
47,75,792,10.56,171,2.28,64949,865.99,15628,208.37,476,6.35
48,45,446,9.91,158,3.51,42612,946.93,7449,165.53,78,1.73
49,139,645,4.64,221,1.59,147693,1062.54,16742,120.45,1246,8.96
50,8,84,10.50,12,1.50,5923,740.38,3278,409.75,95,11.88
51,44,348,7.91,138,3.14,38539,875.89,11402,259.14,492,11.18
52,96,1209,12.59,190,1.98,63829,664.89,20492,213.46,216,2.25
53,508,175,0.34,76,0.15,476898,938.78,19480,38.35,21787,42.89
54,43,203,4.72,46,1.07,64518,1500.42,2364,54.98,294,6.84
55,213,2198,10.32,227,1.07,176740,829.77,23370,109.72,8506,39.93
56,3,27,9.00,5,1.67,3051,1017.00,249,83.00,55,18.33
57,12,66,5.50,15,1.25,18002,1500.17,1283,106.92,450,37.50
58,2181,4415,2.02,6530,2.99,2679709,1228.66,37660,17.27,47400,21.73
59,50,416,8.32,87,1.74,53773,1075.46,6472,129.44,1503,30.06
60,168,559,3.33,168,1.00,163203,971.45,27502,163.70,316,1.88
61,11,114,10.36,22,2.00,3770,342.73,1368,124.36,265,24.09
62,5,11,2.20,5,1.00,6934,1386.80,251,50.20,196,39.20
63,2,39,19.50,2,1.00,510,255.00,599,299.50,108,54.00
64,47,290,6.17,47,1.00,94522,2011.11,4628,98.47,187,3.98
65,83,338,4.07,83,1.00,53139,640.23,8818,106.24,166,2.00
66,40,345,8.62,35,0.88,39365,984.12,5318,132.95,1731,43.27
67,24,514,21.42,102,4.25,36399,1516.62,14512,604.67,140,5.83
68,88,517,5.88,310,3.52,81872,930.36,7884,89.59,3244,36.86
69,7,46,6.57,8,1.14,6663,951.86,959,137.00,266,38.00
70,4,52,13.00,4,1.00,9462,2365.50,2194,548.50,68,17.00
71,1,4,4.00,2,2.00,211,211.00,19,19.00,61,61.00
72,4,58,14.50,4,1.00,10346,2586.50,2350,587.50,0,0.00
73,13,100,7.69,11,0.85,10684,821.85,2771,213.15,412,31.69
74,6,84,14.00,5,0.83,10440,1740.00,2379,396.50,169,28.17
75,1,5,5.00,2,2.00,1653,1653.00,213,213.00,5,5.00
76,51,320,6.27,138,2.71,54630,1071.18,4416,86.59,2215,43.43
77,20,356,17.80,61,3.05,30413,1520.65,7515,375.75,649,32.45
78,699,54,0.08,6,0.01,933199,1335.05,55107,78.84,44168,63.19
79,2,13,6.50,4,2.00,2619,1309.50,172,86.00,0,0.00
80,39,130,3.33,130,3.33,52222,1339.03,1142,29.28,1773,45.46
81,10,182,18.20,56,5.60,18202,1820.20,6725,672.50,160,16.00
82,151,3911,25.90,1335,8.84,193617,1282.23,141862,939.48,341,2.26
83,11,125,11.36,27,2.45,26674,2424.91,1478,134.36,486,44.18
85,2,28,14.00,5,2.50,2990,1495.00,1460,730.00,0,0.00
86,5,41,8.20,5,1.00,9546,1909.20,2236,447.20,246,49.20
87,73,348,4.77,72,0.99,146697,2009.55,11978,164.08,4277,58.59
88,8,87,10.88,12,1.50,13385,1673.12,2911,363.88,219,27.38
89,27,388,14.37,118,4.37,46652,1727.85,16149,598.11,1428,52.89
90,4,105,26.25,4,1.00,6400,1600.00,11674,2918.50,85,21.25
91,44,941,21.39,360,8.18,67720,1539.09,34626,786.95,502,11.41
93,4,58,14.50,10,2.50,3134,783.50,1277,319.25,314,78.50
94,24,138,5.75,62,2.58,54835,2284.79,3392,141.33,1373,57.21
95,3,18,6.00,9,3.00,5150,1716.67,379,126.33,218,72.67
97,5,96,19.20,5,1.00,4963,992.60,5584,1116.80,288,57.60
99,3,51,17.00,0,0.00,7851,2617.00,492,164.00,294,98.00
100,8,187,23.38,52,6.50,25066,3133.25,3378,422.25,451,56.38
101,9,128,14.22,59,6.56,10448,1160.89,1711,190.11,346,38.44
102,19,74,3.89,54,2.84,45452,2392.21,2768,145.68,1047,55.11
103,5,30,6.00,10,2.00,9477,1895.40,769,153.80,316,63.20
104,1,2,2.00,3,3.00,4453,4453.00,276,276.00,0,0.00
105,4,43,10.75,8,2.00,2660,665.00,286,71.50,372,93.00
106,5,57,11.40,12,2.40,7860,1572.00,358,71.60,210,42.00
107,4,101,25.25,27,6.75,8560,2140.00,3260,815.00,80,20.00
108,3,6,2.00,3,1.00,4581,1527.00,200,66.67,312,104.00
109,4,150,37.50,12,3.00,20474,5118.50,4521,1130.25,0,0.00
110,49,817,16.67,280,5.71,190760,3893.06,19039,388.55,980,20.00
111,14,188,13.43,58,4.14,28173,2012.36,3985,284.64,909,64.93
113,8,39,4.88,33,4.12,28442,3555.25,1122,140.25,379,47.38
114,1,74,74.00,13,13.00,3644,3644.00,3474,3474.00,0,0.00
115,59,445,7.54,71,1.20,127433,2159.88,17707,300.12,3358,56.92
117,58,1284,22.14,211,3.64,242738,4185.14,44354,764.72,1512,26.07
118,10,110,11.00,50,5.00,14879,1487.90,1872,187.20,968,96.80
119,125,1225,9.80,225,1.80,91698,733.58,11962,95.70,12555,100.44
120,1,24,24.00,1,1.00,2268,2268.00,360,360.00,116,116.00
121,5,102,20.40,29,5.80,9350,1870.00,1932,386.40,0,0.00
122,10,170,17.00,20,2.00,39980,3998.00,1752,175.20,1024,102.40
123,10,126,12.60,24,2.40,22585,2258.50,3499,349.90,719,71.90
124,5,80,16.00,15,3.00,24857,4971.40,3327,665.40,76,15.20
125,10,80,8.00,50,5.00,29637,2963.70,2515,251.50,529,52.90
126,3,3,1.00,3,1.00,5514,1838.00,1224,408.00,0,0.00
127,25,759,30.36,191,7.64,92839,3713.56,37393,1495.72,697,27.88
128,1,6,6.00,5,5.00,3173,3173.00,81,81.00,69,69.00
