tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,59124,72405,1.22,59572,1.01,189006,3.20,0,0.00,0,0.00
2,6058,6783,1.12,11133,1.84,54352,8.97,28,0.00,0,0.00
3,7918,11691,1.48,9799,1.24,121402,15.33,5113,0.65,28,0.00
4,171,154,0.90,185,1.08,3477,20.33,50,0.29,12,0.07
5,1620,2704,1.67,1316,0.81,45836,28.29,3780,2.33,48,0.03
6,46,122,2.65,80,1.74,2076,45.13,420,9.13,20,0.43
7,344,1077,3.13,339,0.99,15613,45.39,4759,13.83,52,0.15
8,48,66,1.38,40,0.83,2828,58.92,52,1.08,28,0.58
9,82,268,3.27,34,0.41,5626,68.61,742,9.05,42,0.51
10,19,32,1.68,16,0.84,1816,95.58,54,2.84,27,1.42
11,69,163,2.36,102,1.48,8162,118.29,210,3.04,0,0.00
12,22,132,6.00,22,1.00,2612,118.73,950,43.18,0,0.00
13,20,88,4.40,24,1.20,3399,169.95,475,23.75,36,1.80
14,16,54,3.38,14,0.88,3560,222.50,198,12.38,18,1.12
15,21,107,5.10,28,1.33,3142,149.62,778,37.05,56,2.67
16,18,30,1.67,20,1.11,3692,205.11,150,8.33,0,0.00
17,281,886,3.15,570,2.03,71731,255.27,8591,30.57,0,0.00
18,120,148,1.23,120,1.00,21407,178.39,734,6.12,1633,13.61
19,13,82,6.31,28,2.15,3204,246.46,1020,78.46,54,4.15
20,4,26,6.50,4,1.00,1342,335.50,240,60.00,0,0.00
21,12,92,7.67,46,3.83,3672,306.00,1241,103.42,18,1.50
22,10,18,1.80,4,0.40,1216,121.60,62,6.20,77,7.70
23,37,204,5.51,57,1.54,13001,351.38,3200,86.49,20,0.54
24,46,196,4.26,46,1.00,18374,399.43,3211,69.80,20,0.43
25,7,84,12.00,24,3.43,1681,240.14,1781,254.43,48,6.86
26,8,28,3.50,8,1.00,3140,392.50,464,58.00,44,5.50
27,9,128,14.22,37,4.11,4337,481.89,2168,240.89,0,0.00
28,4,60,15.00,22,5.50,1356,339.00,1288,322.00,0,0.00
29,5,98,19.60,28,5.60,1787,357.40,2409,481.80,0,0.00
30,2,26,13.00,2,1.00,628,314.00,624,312.00,0,0.00
31,83,297,3.58,58,0.70,56535,681.14,4608,55.52,1870,22.53
32,4,38,9.50,4,1.00,2378,594.50,812,203.00,62,15.50
33,52,384,7.38,128,2.46,33428,642.85,5833,112.17,79,1.52
34,6,50,8.33,6,1.00,3984,664.00,1096,182.67,66,11.00
35,12,130,10.83,44,3.67,8238,686.50,3604,300.33,32,2.67
36,6,46,7.67,4,0.67,1906,317.67,1080,180.00,104,17.33
37,12,166,13.83,46,3.83,8380,698.33,4352,362.67,144,12.00
38,2,34,17.00,2,1.00,812,406.00,1088,544.00,0,0.00
39,4,114,28.50,38,9.50,2206,551.50,4018,1004.50,0,0.00
40,14,126,9.00,14,1.00,9816,701.14,2646,189.00,0,0.00
41,19,167,8.79,74,3.89,11052,581.68,5559,292.58,224,11.79
42,4,55,13.75,4,1.00,3241,810.25,1424,356.00,82,20.50
43,44,540,12.27,76,1.73,39000,886.36,8104,184.18,356,8.09
44,2,40,20.00,2,1.00,950,475.00,1520,760.00,0,0.00
