tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,4210324,5128397,1.22,3895174,0.93,13060779,3.10,0,0.00,0,0.00
2,674774,715960,1.06,1188959,1.76,5955847,8.83,14319,0.02,87,0.00
3,580933,910303,1.57,611263,1.05,8227756,14.16,355526,0.61,5371,0.01
4,12879,11994,0.93,11140,0.86,181800,14.12,1297,0.10,313,0.02
5,74689,195391,2.62,71819,0.96,3142046,42.07,48263,0.65,6462,0.09
6,2173,5411,2.49,6508,2.99,108983,50.15,23470,10.80,183,0.08
7,9410,36681,3.90,15650,1.66,515018,54.73,84836,9.02,8161,0.87
8,7441,10672,1.43,7681,1.03,449760,60.44,7796,1.05,20634,2.77
9,6116,15401,2.52,4081,0.67,452382,73.97,29610,4.84,3654,0.60
10,3245,9137,2.82,5202,1.60,463817,142.93,18729,5.77,369,0.11
11,3572,6514,1.82,4022,1.13,377260,105.62,9165,2.57,7535,2.11
12,714,3289,4.61,623,0.87,75188,105.31,21790,30.52,1204,1.69
13,2654,10269,3.87,6676,2.52,463128,174.50,26573,10.01,916,0.35
14,4346,12645,2.91,4866,1.12,753512,173.38,39736,9.14,2025,0.47
15,574,3446,6.00,897,1.56,98064,170.84,25373,44.20,574,1.00
16,17386,20448,1.18,18246,1.05,3754309,215.94,25744,1.48,6448,0.37
17,8719,14190,1.63,12326,1.41,1731633,198.60,280443,32.16,1531,0.18
18,1425,3135,2.20,1849,1.30,347101,243.58,15970,11.21,10013,7.03
19,2834,7424,2.62,20245,7.14,712936,251.57,117673,41.52,1719,0.61
20,852,7720,9.06,2011,2.36,384305,451.06,126352,148.30,1417,1.66
21,1125,5301,4.71,3092,2.75,493623,438.78,31317,27.84,1198,1.06
22,1409,6098,4.33,3137,2.23,543638,385.83,52067,36.95,1471,1.04
23,736,3458,4.70,1369,1.86,276606,375.82,46922,63.75,882,1.20
24,674,3422,5.08,736,1.09,321641,477.21,56058,83.17,483,0.72
25,1133,11621,10.26,5022,4.43,597961,527.77,172164,151.95,2021,1.78
26,2051,21192,10.33,7736,3.77,910727,444.04,118000,57.53,18801,9.17
27,493,7210,14.62,1855,3.76,512170,1038.88,112102,227.39,609,1.24
28,912,6830,7.49,3074,3.37,448345,491.61,82823,90.81,1837,2.01
29,222,2328,10.49,464,2.09,99947,450.21,66269,298.51,1378,6.21
30,679,8400,12.37,1195,1.76,286654,422.17,218631,321.99,4733,6.97
31,645,4614,7.15,1369,2.12,421787,653.93,88661,137.46,12307,19.08
32,289,2012,6.96,616,2.13,165609,573.04,37489,129.72,820,2.84
33,536,2600,4.85,834,1.56,221538,413.32,39499,73.69,5481,10.23
34,170,2880,16.94,400,2.35,110420,649.53,97783,575.19,1750,10.29
35,113,1077,9.53,315,2.79,77649,687.16,29731,263.11,503,4.45
36,735,7935,10.80,3867,5.26,836231,1137.73,105025,142.89,2045,2.78
37,250,3164,12.66,775,3.10,148042,592.17,85847,343.39,2083,8.33
38,66,603,9.14,217,3.29,57645,873.41,15516,235.09,125,1.89
39,68,1620,23.82,302,4.44,40914,601.68,57512,845.76,635,9.34
40,330,3733,11.31,1083,3.28,274399,831.51,99836,302.53,1627,4.93
41,179,1426,7.97,627,3.50,87196,487.13,33816,188.92,1897,10.60
42,182,2137,11.74,337,1.85,153257,842.07,46752,256.88,3230,17.75
43,850,5026,5.91,2283,2.69,876379,1031.03,118246,139.11,2462,2.90
44,223,2521,11.30,417,1.87,324644,1455.80,62852,281.85,427,1.91
45,316,3741,11.84,625,1.98,286373,906.24,90515,286.44,3943,12.48
46,352,4381,12.45,1420,4.03,438680,1246.25,111696,317.32,1607,4.57
47,254,3913,15.41,1032,4.06,305701,1203.55,85457,336.44,1126,4.43
48,177,2139,12.08,481,2.72,239695,1354.21,60843,343.75,354,2.00
49,634,5669,8.94,1020,1.61,1103436,1740.44,161390,254.56,2094,3.30
50,171,2498,14.61,556,3.25,239310,1399.47,89077,520.92,851,4.98
51,463,2537,5.48,1695,3.66,724522,1564.84,131873,284.82,1378,2.98
52,200,3738,18.69,1354,6.77,189707,948.53,108069,540.35,1777,8.88
53,62,1489,24.02,486,7.84,76498,1233.84,67091,1082.11,681,10.98
54,100,913,9.13,174,1.74,130822,1308.22,29343,293.43,1084,10.84
55,230,3042,13.23,644,2.80,395299,1718.69,80231,348.83,2656,11.55
56,7,61,8.71,21,3.00,10227,1461.00,2697,385.29,0,0.00
57,96,1530,15.94,278,2.90,187506,1953.19,47146,491.10,2296,23.92
58,16,443,27.69,97,6.06,21328,1333.00,19496,1218.50,387,24.19
59,107,1149,10.74,248,2.32,129334,1208.73,26893,251.34,2696,25.20
60,5016,10877,2.17,15187,3.03,10558436,2104.95,736402,146.81,3752,0.75
61,428,1036,2.42,500,1.17,39569,92.45,30287,70.76,2178,5.09
62,41,705,17.20,55,1.34,102059,2489.24,34108,831.90,830,20.24
63,12,74,6.17,33,2.75,34567,2880.58,2022,168.50,186,15.50
64,213,4529,21.26,1989,9.34,519536,2439.14,119988,563.32,1589,7.46
65,441,24383,55.29,11737,26.61,593021,1344.72,1496217,3392.78,1329,3.01
66,90,771,8.57,147,1.63,117170,1301.89,41987,466.52,3543,39.37
67,253,6904,27.29,1259,4.98,929272,3673.01,277222,1095.74,1304,5.15
68,135,896,6.64,336,2.49,164188,1216.21,32017,237.16,3250,24.07
69,13,159,12.23,11,0.85,33981,2613.92,3047,234.38,190,14.62
70,23,426,18.52,134,5.83,47707,2074.22,15872,690.09,222,9.65
71,21,680,32.38,27,1.29,40991,1951.95,34329,1634.71,672,32.00
72,1,34,34.00,10,10.00,1502,1502.00,1604,1604.00,0,0.00
73,21,207,9.86,23,1.10,10802,514.38,2654,126.38,640,30.48
74,558,9320,16.70,649,1.16,1964600,3520.79,342945,614.60,2848,5.10
75,22,193,8.77,22,1.00,28156,1279.82,3662,166.45,894,40.64
76,31,532,17.16,115,3.71,93495,3015.97,13972,450.71,392,12.65
77,95,1197,12.60,197,2.07,144357,1519.55,25564,269.09,2078,21.87
78,76,2024,26.63,865,11.38,240241,3161.07,60715,798.88,788,10.37
