tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,718362,876201,1.22,727252,1.01,2305641,3.21,0,0.00,0,0.00
2,97829,108984,1.11,165042,1.69,861139,8.80,4575,0.05,29,0.00
3,39022,50628,1.30,46406,1.19,599467,15.36,17545,0.45,1127,0.03
4,3264,4323,1.32,3662,1.12,59304,18.17,511,0.16,81,0.02
5,20618,52227,2.53,19968,0.97,852680,41.36,13472,0.65,1515,0.07
6,1037,2419,2.33,2400,2.31,53503,51.59,9285,8.95,177,0.17
7,1817,5382,2.96,1665,0.92,86950,47.85,14926,8.21,2166,1.19
8,386,968,2.51,492,1.27,28100,72.80,1819,4.71,326,0.84
9,1347,4437,3.29,856,0.64,111597,82.85,10034,7.45,1749,1.30
10,498,977,1.96,488,0.98,52732,105.89,2692,5.41,89,0.18
11,1157,2365,2.04,1207,1.04,116159,100.40,3048,2.63,4006,3.46
12,284,1331,4.69,279,0.98,31133,109.62,8259,29.08,25,0.09
13,153,571,3.73,125,0.82,22155,144.80,2607,17.04,102,0.67
14,1291,3272,2.53,2624,2.03,197621,153.08,6052,4.69,1225,0.95
15,166,782,4.71,223,1.34,26385,158.95,6795,40.93,210,1.27
16,326,841,2.58,382,1.17,64068,196.53,2866,8.79,1120,3.44
17,538,1909,3.55,931,1.73,125403,233.09,14108,26.22,659,1.22
18,160,249,1.56,150,0.94,25064,156.65,1314,8.21,886,5.54
19,248,705,2.84,2854,11.51,70729,285.20,4563,18.40,1128,4.55
20,150,1173,7.82,321,2.14,102146,680.97,14172,94.48,26,0.17
21,91,669,7.35,147,1.62,32946,362.04,5309,58.34,279,3.07
22,405,646,1.60,322,0.80,91164,225.10,5985,14.78,449,1.11
23,112,423,3.78,155,1.38,26111,233.13,3958,35.34,218,1.95
24,64,147,2.30,60,0.94,22128,345.75,3630,56.72,116,1.81
25,214,1945,9.09,572,2.67,130498,609.80,18640,87.10,1107,5.17
26,73,104,1.42,68,0.93,25901,354.81,857,11.74,206,2.82
27,938,14653,15.62,2781,2.96,1558067,1661.05,284549,303.36,1121,1.20
28,120,839,6.99,236,1.97,77882,649.02,3656,30.47,376,3.13
29,86,722,8.40,165,1.92,55021,639.78,13414,155.98,140,1.63
30,123,849,6.90,151,1.23,73010,593.58,7224,58.73,1482,12.05
31,48,266,5.54,80,1.67,34258,713.71,5181,107.94,930,19.38
32,118,2314,19.61,226,1.92,125359,1062.36,13296,112.68,1816,15.39
33,65,353,5.43,185,2.85,41212,634.03,8475,130.38,80,1.23
34,142,9219,64.92,547,3.85,231206,1628.21,55979,394.22,3081,21.70
35,15,116,7.73,32,2.13,10059,670.60,2308,153.87,64,4.27
36,93,4428,47.61,365,3.92,164434,1768.11,37107,399.00,1582,17.01
37,68,688,10.12,179,2.63,43518,639.97,14626,215.09,398,5.85
38,13,77,5.92,14,1.08,9115,701.15,1211,93.15,142,10.92
39,13,298,22.92,32,2.46,11266,866.62,4883,375.62,213,16.38
40,37,270,7.30,36,0.97,29227,789.92,3143,84.95,161,4.35
41,79,662,8.38,205,2.59,52245,661.33,18371,232.54,636,8.05
42,36,499,13.86,20,0.56,23220,645.00,11460,318.33,1189,33.03
43,1640,3590,2.19,4874,2.97,1826240,1113.56,146890,89.57,578,0.35
44,9,30,3.33,3,0.33,7392,821.33,1325,147.22,301,33.44
45,70,818,11.69,111,1.59,56133,801.90,16688,238.40,1424,20.34
46,74,817,11.04,307,4.15,74348,1004.70,14248,192.54,102,1.38
47,23,339,14.74,69,3.00,21771,946.57,6056,263.30,116,5.04
48,32,310,9.69,116,3.62,29248,914.00,4341,135.66,158,4.94
49,87,453,5.21,147,1.69,117312,1348.41,15525,178.45,711,8.17
50,7,93,13.29,16,2.29,14606,2086.57,2601,371.57,128,18.29
51,1447,3011,2.08,4327,2.99,2338466,1616.08,177421,122.61,375,0.26
52,41,486,11.85,87,2.12,31884,777.66,8771,213.93,350,8.54
53,25,246,9.84,124,4.96,36672,1466.88,8180,327.20,176,7.04
54,34,184,5.41,43,1.26,53975,1587.50,3703,108.91,139,4.09
55,57,896,15.72,100,1.75,83259,1460.68,24011,421.25,1195,20.96
56,2,20,10.00,2,1.00,3548,1774.00,626,313.00,0,0.00
57,19,179,9.42,38,2.00,25422,1338.00,2887,151.95,280,14.74
58,2,2,1.00,2,1.00,3644,1822.00,76,38.00,0,0.00
59,29,234,8.07,30,1.03,28879,995.83,3166,109.17,994,34.28
60,11401,22845,2.00,34117,2.99,24538219,2152.29,1579332,138.53,7751,0.68
61,15,70,4.67,37,2.47,21654,1443.60,2091,139.40,184,12.27
62,1,1,1.00,1,1.00,578,578.00,36,36.00,61,61.00
63,3,34,11.33,14,4.67,2751,917.00,688,229.33,15,5.00
64,7,141,20.14,42,6.00,6306,900.86,3642,520.29,63,9.00
65,32,175,5.47,34,1.06,22220,694.38,4404,137.62,123,3.84
66,15,124,8.27,66,4.40,19994,1332.93,2107,140.47,480,32.00
67,549,16319,29.72,2708,4.93,2249615,4097.66,639022,1163.97,2176,3.96
68,83,607,7.31,138,1.66,112806,1359.11,5400,65.06,4406,53.08
70,2,17,8.50,1,0.50,2771,1385.50,801,400.50,69,34.50
71,11,204,18.55,32,2.91,38074,3461.27,8299,754.45,122,11.09
72,1,16,16.00,1,1.00,2456,2456.00,675,675.00,0,0.00
73,17,346,20.35,72,4.24,32654,1920.82,7404,435.53,267,15.71
74,2,22,11.00,1,0.50,2620,1310.00,686,343.00,124,62.00
75,1,17,17.00,1,1.00,1800,1800.00,329,329.00,53,53.00
76,7,118,16.86,19,2.71,21822,3117.43,4868,695.43,0,0.00
77,12,241,20.08,61,5.08,28432,2369.33,5963,496.92,276,23.00
78,11,151,13.73,41,3.73,23791,2162.82,11691,1062.82,56,5.09
79,37,1036,28.00,85,2.30,41970,1134.32,76479,2067.00,921,24.89
80,12,306,25.50,88,7.33,28448,2370.67,11039,919.92,88,7.33
81,23,412,17.91,45,1.96,14253,619.70,7555,328.48,1219,53.00
82,8,170,21.25,40,5.00,14581,1822.62,6433,804.12,66,8.25
83,31,63,2.03,91,2.94,51608,1664.77,6037,194.74,1572,50.71
85,14,158,11.29,12,0.86,15485,1106.07,4125,294.64,699,49.93
86,6,37,6.17,10,1.67,10114,1685.67,1735,289.17,413,68.83
87,35,147,4.20,55,1.57,72834,2080.97,6622,189.20,2064,58.97
88,5,92,18.40,5,1.00,14607,2921.40,4370,874.00,0,0.00
89,20,2191,109.55,33,1.65,39407,1970.35,21031,1051.55,1421,71.05
90,1,30,30.00,1,1.00,1544,1544.00,3728,3728.00,85,85.00
91,23,675,29.35,223,9.70,37023,1609.70,26788,1164.70,0,0.00
92,11,304,27.64,141,12.82,35861,3260.09,4164,378.55,750,68.18
93,8,152,19.00,54,6.75,30340,3792.50,6540,817.50,334,41.75
94,1,47,47.00,2,2.00,1351,1351.00,2211,2211.00,64,64.00
95,5,40,8.00,10,2.00,10896,2179.20,739,147.80,344,68.80
96,2,7,3.50,2,1.00,6526,3263.00,389,194.50,95,47.50
97,15,189,12.60,46,3.07,41385,2759.00,7478,498.53,96,6.40
99,3,46,15.33,4,1.33,7296,2432.00,373,124.33,242,80.67
100,3,24,8.00,1,0.33,9369,3123.00,795,265.00,198,66.00
101,23,105,4.57,96,4.17,54912,2387.48,11703,508.83,1360,59.13
102,11,97,8.82,46,4.18,53308,4846.18,4567,415.18,101,9.18
104,2,38,19.00,25,12.50,1906,953.00,272,136.00,202,101.00
105,4,20,5.00,2,0.50,5632,1408.00,663,165.75,208,52.00
107,6,211,35.17,47,7.83,14243,2373.83,7249,1208.17,0,0.00
108,4,17,4.25,9,2.25,9428,2357.00,1218,304.50,304,76.00
109,2,74,37.00,6,3.00,10238,5119.00,2227,1113.50,0,0.00
110,15,480,32.00,138,9.20,73500,4900.00,19294,1286.27,276,18.40
