tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,527867,716785,1.36,546514,1.04,1747464,3.31,0,0.00,0,0.00
2,120865,144614,1.20,224190,1.85,1094736,9.06,285,0.00,27,0.00
3,36726,53156,1.45,47271,1.29,538630,14.67,26298,0.72,254,0.01
4,892,1221,1.37,771,0.86,14960,16.77,362,0.41,80,0.09
5,4004,8199,2.05,3493,0.87,131007,32.72,10478,2.62,250,0.06
6,553,1352,2.44,1507,2.73,28259,51.10,5492,9.93,30,0.05
7,11432,19191,1.68,11342,0.99,559051,48.90,15469,1.35,210,0.02
8,366,798,2.18,454,1.24,21813,59.60,1462,3.99,368,1.01
9,5845,12575,2.15,541,0.09,358629,61.36,36853,6.31,547,0.09
10,5278,10472,1.98,5260,1.00,599496,113.58,36464,6.91,42,0.01
11,460,1216,2.64,623,1.35,58184,126.49,2850,6.20,314,0.68
12,207,1148,5.55,185,0.89,20512,99.09,7956,38.43,4,0.02
13,168,657,3.91,162,0.96,25832,153.76,3012,17.93,125,0.74
14,447,1990,4.45,819,1.83,105228,235.41,11104,24.84,248,0.55
15,126,510,4.05,105,0.83,16794,133.29,3323,26.37,115,0.91
16,207,572,2.76,236,1.14,39599,191.30,2465,11.91,540,2.61
17,365,1339,3.67,731,2.00,93400,255.89,10101,27.67,384,1.05
18,67,94,1.40,69,1.03,12646,188.75,414,6.18,806,12.03
19,122,515,4.22,116,0.95,26653,218.47,2902,23.79,362,2.97
20,50,105,2.10,50,1.00,12456,249.12,795,15.90,0,0.00
21,77,587,7.62,120,1.56,30408,394.91,4578,59.45,269,3.49
22,187,265,1.42,137,0.73,39331,210.33,2193,11.73,294,1.57
23,104,400,3.85,144,1.38,28030,269.52,3848,37.00,162,1.56
24,49,101,2.06,49,1.00,16624,339.27,3222,65.76,44,0.90
25,55,184,3.35,126,2.29,19109,347.44,2463,44.78,433,7.87
26,37,75,2.03,5954,160.92,18785,507.70,800,21.62,88,2.38
27,45,510,11.33,124,2.76,23047,512.16,4654,103.42,31,0.69
28,5,48,9.60,15,3.00,2296,459.20,740,148.00,35,7.00
29,15,112,7.47,44,2.93,5380,358.67,2390,159.33,0,0.00
30,31,223,7.19,49,1.58,8775,283.06,2004,64.65,245,7.90
31,47,174,3.70,28,0.60,30353,645.81,2855,60.74,992,21.11
32,30,291,9.70,56,1.87,19964,665.47,4762,158.73,56,1.87
33,39,346,8.87,99,2.54,26893,689.56,4582,117.49,32,0.82
34,8,77,9.62,13,1.62,6820,852.50,998,124.75,66,8.25
35,42,138,3.29,64,1.52,29982,713.86,2297,54.69,132,3.14
36,23,44,1.91,35,1.52,13241,575.70,1800,78.26,181,7.87
37,65,536,8.25,153,2.35,32517,500.26,12442,191.42,274,4.22
38,2,31,15.50,6,3.00,1239,619.50,874,437.00,0,0.00
39,6,127,21.17,30,5.00,4612,768.67,2790,465.00,28,4.67
40,44,324,7.36,53,1.20,37779,858.61,3696,84.00,299,6.80
41,51,302,5.92,147,2.88,20481,401.59,5471,107.27,610,11.96
42,37,463,12.51,13,0.35,19356,523.14,9292,251.14,1161,31.38
43,25,292,11.68,41,1.64,22717,908.68,4001,160.04,140,5.60
44,4,55,13.75,9,2.25,5395,1348.75,1168,292.00,19,4.75
45,59,630,10.68,79,1.34,43139,731.17,13073,221.58,1257,21.31
46,43,586,13.63,190,4.42,32911,765.37,11508,267.63,112,2.60
47,20,323,16.15,75,3.75,19389,969.45,6327,316.35,82,4.10
48,26,267,10.27,98,3.77,26374,1014.38,3909,150.35,0,0.00
49,51,192,3.76,72,1.41,58742,1151.80,5396,105.80,392,7.69
50,2,24,12.00,1,0.50,1583,791.50,1262,631.00,0,0.00
51,4,63,15.75,26,6.50,1766,441.50,2900,725.00,100,25.00
52,43,457,10.63,74,1.72,40117,932.95,7687,178.77,187,4.35
53,19,88,4.63,46,2.42,21251,1118.47,6438,338.84,0,0.00
54,64,237,3.70,54,0.84,90914,1420.53,12878,201.22,1613,25.20
55,30,506,16.87,39,1.30,53980,1799.33,10922,364.07,585,19.50
57,11,189,17.18,70,6.36,19852,1804.73,5152,468.36,176,16.00
58,3,27,9.00,3,1.00,4753,1584.33,754,251.33,0,0.00
59,31,279,9.00,56,1.81,29374,947.55,3487,112.48,1085,35.00
60,40,140,3.50,40,1.00,39534,988.35,7591,189.78,0,0.00
61,6,47,7.83,20,3.33,3151,525.17,383,63.83,108,18.00
62,2,32,16.00,9,4.50,3468,1734.00,1321,660.50,0,0.00
