tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,4949739,6676503,1.35,4710191,0.95,16279336,3.29,0,0.00,0,0.00
2,1058130,1113542,1.05,1726100,1.63,9190609,8.69,537,0.00,77,0.00
3,1172965,1874090,1.60,2043669,1.74,18529495,15.80,1565421,1.33,1492,0.00
4,19090,19973,1.05,18788,0.98,289892,15.19,807,0.04,155,0.01
5,51670,65030,1.26,45490,0.88,1504074,29.11,68859,1.33,522,0.01
6,23949,25451,1.06,25551,1.07,924733,38.61,9967,0.42,215,0.01
7,7703,23363,3.03,7571,0.98,346753,45.02,96064,12.47,634,0.08
8,1910,3238,1.70,2214,1.16,109855,57.52,5447,2.85,622,0.33
9,3336,9299,2.79,2924,0.88,212302,63.64,23607,7.08,1097,0.33
10,631,1716,2.72,921,1.46,68914,109.21,8107,12.85,15,0.02
11,1203,2915,2.42,1382,1.15,132587,110.21,7892,6.56,803,0.67
12,524,2527,4.82,643,1.23,53130,101.39,19464,37.15,269,0.51
13,2061,6148,2.98,2546,1.24,379736,184.25,25847,12.54,102,0.05
14,274,940,3.43,603,2.20,45501,166.06,9748,35.58,593,2.16
15,314,1560,4.97,262,0.83,33860,107.83,13139,41.84,202,0.64
16,599,2820,4.71,1388,2.32,117718,196.52,26818,44.77,1220,2.04
17,1894,7531,3.98,4181,2.21,460402,243.08,71587,37.80,966,0.51
18,125,654,5.23,509,4.07,25191,201.53,15604,124.83,798,6.38
19,729,3144,4.31,1083,1.49,109871,150.71,33359,45.76,798,1.09
20,182,879,4.83,630,3.46,45053,247.54,20820,114.40,28,0.15
21,618,5536,8.96,1921,3.11,201202,325.57,65138,105.40,591,0.96
22,578,2576,4.46,1545,2.67,127936,221.34,48678,84.22,406,0.70
23,4225,21253,5.03,8231,1.95,2538727,600.88,347451,82.24,608,0.14
24,161,918,5.70,726,4.51,49770,309.13,35160,218.39,265,1.65
25,1838,5954,3.24,3770,2.05,276221,150.28,104569,56.89,1911,1.04
26,138,977,7.08,10812,78.35,54965,398.30,36979,267.96,85,0.62
27,184,2221,12.07,376,2.04,67763,368.28,32871,178.65,76,0.41
28,240,3278,13.66,1877,7.82,91583,381.60,84466,351.94,119,0.50
29,2365,16919,7.15,5952,2.52,1157606,489.47,241124,101.96,2687,1.14
30,126,1329,10.55,892,7.08,36710,291.35,49492,392.79,660,5.24
31,477,3298,6.91,1100,2.31,88707,185.97,77429,162.32,1140,2.39
32,127,1669,13.14,1017,8.01,70663,556.40,66443,523.17,99,0.78
33,364,5463,15.01,2219,6.10,169318,465.16,135970,373.54,214,0.59
34,264,4198,15.90,2312,8.76,138444,524.41,126966,480.93,288,1.09
35,138,1377,9.98,172,1.25,63550,460.51,37599,272.46,92,0.67
36,99,1219,12.31,1105,11.16,51875,523.99,72910,736.46,101,1.02
37,882,10265,11.64,4178,4.74,338510,383.80,277525,314.65,883,1.00
38,66,1237,18.74,1093,16.56,31503,477.32,79910,1210.76,78,1.18
39,1092,7492,6.86,1109,1.02,1013370,927.99,122196,111.90,309,0.28
40,227,4252,18.73,2466,10.86,137825,607.16,171332,754.77,304,1.34
41,426,7051,16.55,2903,6.81,213935,502.19,218200,512.21,1710,4.01
42,137,2346,17.12,1230,8.98,70284,513.02,119696,873.69,2492,18.19
43,476,4660,9.79,1484,3.12,129484,272.03,150072,315.28,741,1.56
44,81,1626,20.07,1333,16.46,66597,822.19,112000,1382.72,105,1.30
45,441,8531,19.34,3021,6.85,289052,655.45,288344,653.84,3285,7.45
46,327,6644,20.32,3600,11.01,217532,665.24,270124,826.07,403,1.23
47,207,3539,17.10,621,3.00,142272,687.30,96046,463.99,203,0.98
48,128,2184,17.06,1649,12.88,102594,801.52,136897,1069.51,207,1.62
49,809,11317,13.99,4899,6.06,444053,548.89,442045,546.41,2060,2.55
50,71,1657,23.34,1479,20.83,47393,667.51,144966,2041.77,48,0.68
51,102,1750,17.16,124,1.22,58987,578.30,87562,858.45,210,2.06
52,259,5775,22.30,3274,12.64,193497,747.09,309946,1196.70,1491,5.76
53,346,8546,24.70,3447,9.96,255123,737.35,371755,1074.44,492,1.42
54,127,2070,16.30,1665,13.11,143273,1128.13,166897,1314.15,530,4.17
55,550,7570,13.76,2276,4.14,281714,512.21,296208,538.56,2049,3.73
56,69,1891,27.41,1671,24.22,50148,726.78,179732,2604.81,216,3.13
57,337,9373,27.81,3738,11.09,276722,821.13,436423,1295.02,548,1.63
58,166,5534,33.34,3555,21.42,135291,815.01,365973,2204.66,196,1.18
59,124,2402,19.37,125,1.01,79295,639.48,108171,872.35,2604,21.00
60,232,3874,16.70,2344,10.10,234552,1011.00,252184,1087.00,220,0.95
61,694,13814,19.90,5938,8.56,381316,549.45,690940,995.59,1325,1.91
62,70,2038,29.11,1862,26.60,62727,896.10,218942,3127.74,206,2.94
63,18,511,28.39,17,0.94,8657,480.94,26487,1471.50,256,14.22
64,271,7873,29.05,4438,16.38,285624,1053.96,493262,1820.15,559,2.06
65,325,8506,26.17,4183,12.87,310554,955.55,444226,1366.85,624,1.92
66,110,2631,23.92,2029,18.45,135971,1236.10,259264,2356.95,301,2.74
67,382,4934,12.92,2273,5.95,138156,361.66,250499,655.76,461,1.21
68,87,1049,12.06,697,8.01,92075,1058.33,68899,791.94,2509,28.84
69,1302,22244,17.08,7440,5.71,2170363,1666.95,1063276,816.65,2792,2.14
70,102,4498,44.10,2216,21.73,109028,1068.90,257217,2521.74,347,3.40
71,4,46,11.50,6,1.50,5122,1280.50,730,182.50,0,0.00
72,5,28,5.60,4,0.80,8021,1604.20,1442,288.40,210,42.00
73,784,17616,22.47,8100,10.33,654487,834.80,943652,1203.64,1858,2.37
74,8,94,11.75,12,1.50,18030,2253.75,4470,558.75,15,1.88
76,99,4848,48.97,2403,24.27,112827,1139.67,307117,3102.19,289,2.92
77,349,10299,29.51,5062,14.50,443367,1270.39,640059,1833.98,1314,3.77
78,3,45,15.00,6,2.00,6807,2269.00,2563,854.33,0,0.00
79,353,5007,14.18,2499,7.08,110186,312.14,326713,925.53,674,1.91
80,2,38,19.00,2,1.00,5738,2869.00,1744,872.00,0,0.00
81,276,10462,37.91,5228,18.94,350324,1269.29,698497,2530.79,1330,4.82
82,456,14544,31.89,5832,12.79,579218,1270.21,695757,1525.78,735,1.61
83,4,40,10.00,5,1.25,8264,2066.00,1626,406.50,0,0.00
