tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,420626,588502,1.40,484423,1.15,1487884,3.54,0,0.00,0,0.00
2,45127,57561,1.28,89379,1.98,418705,9.28,111,0.00,5,0.00
3,28599,42509,1.49,30118,1.05,396178,13.85,15101,0.53,762,0.03
4,1203,1365,1.13,1354,1.13,21429,17.81,139,0.12,19,0.02
5,1775,3026,1.70,1328,0.75,49953,28.14,4085,2.30,118,0.07
6,141,300,2.13,264,1.87,6522,46.26,927,6.57,34,0.24
7,828,2561,3.09,862,1.04,39371,47.55,8600,10.39,87,0.11
8,256,243,0.95,274,1.07,7726,30.18,343,1.34,151,0.59
9,562,1696,3.02,484,0.86,36389,64.75,7491,13.33,234,0.42
10,91,157,1.73,88,0.97,8276,90.95,143,1.57,39,0.43
11,10488,51990,4.96,10492,1.00,758746,72.34,515043,49.11,1690,0.16
12,172,599,3.48,166,0.97,16465,95.73,3854,22.41,41,0.24
13,73,300,4.11,63,0.86,10036,137.48,1349,18.48,84,1.15
14,31,87,2.81,35,1.13,6038,194.77,273,8.81,58,1.87
15,168,350,2.08,179,1.07,21557,128.32,1117,6.65,102,0.61
16,64,150,2.34,67,1.05,12076,188.69,591,9.23,161,2.52
17,215,633,2.94,384,1.79,47106,219.10,5378,25.01,128,0.60
18,61,77,1.26,61,1.00,11158,182.92,370,6.07,801,13.13
19,24,108,4.50,36,1.50,5612,233.83,914,38.08,81,3.38
20,70,550,7.86,63,0.90,32123,458.90,2806,40.09,26,0.37
21,24,162,6.75,46,1.92,6898,287.42,1343,55.96,157,6.54
22,78,163,2.09,65,0.83,9973,127.86,428,5.49,126,1.62
23,54,256,4.74,56,1.04,15914,294.70,2154,39.89,79,1.46
24,34,173,5.09,35,1.03,14098,414.65,2233,65.68,19,0.56
25,60,225,3.75,112,1.87,24562,409.37,3088,51.47,160,2.67
26,14,32,2.29,10,0.71,5017,358.36,427,30.50,47,3.36
27,17,219,12.88,58,3.41,8557,503.35,1945,114.41,39,2.29
