tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,1672440,2015703,1.21,1588388,0.95,5162799,3.09,0,0.00,0,0.00
2,330294,355506,1.08,599254,1.81,2941816,8.91,2791,0.01,296,0.00
3,106319,169680,1.60,145819,1.37,1664654,15.66,95497,0.90,3254,0.03
4,11233,13101,1.17,7274,0.65,144111,12.83,4647,0.41,936,0.08
5,31883,61660,1.93,28112,0.88,1027325,32.22,79503,2.49,2012,0.06
6,3588,11016,3.07,14679,4.09,212231,59.15,57188,15.94,123,0.03
7,13317,39760,2.99,19590,1.47,680646,51.11,93373,7.01,2840,0.21
8,5423,11697,2.16,6380,1.18,369997,68.23,18406,3.39,6625,1.22
9,8498,26353,3.10,5257,0.62,658271,77.46,68944,8.11,5631,0.66
10,3555,5689,1.60,3646,1.03,441260,124.12,3983,1.12,1532,0.43
11,3860,6812,1.76,3817,0.99,398881,103.34,19486,5.05,5963,1.54
12,2941,10439,3.55,2074,0.71,286318,97.35,60613,20.61,783,0.27
13,1230,4464,3.63,884,0.72,182435,148.32,19556,15.90,147,0.12
14,2569,8583,3.34,2859,1.11,509961,198.51,32174,12.52,4890,1.90
15,1090,4853,4.45,933,0.86,135644,124.44,35635,32.69,372,0.34
16,2387,6465,2.71,3026,1.27,471561,197.55,15098,6.33,7618,3.19
17,2710,11425,4.22,4677,1.73,668983,246.86,158502,58.49,7868,2.90
18,350,372,1.06,351,1.00,64601,184.57,2464,7.04,1765,5.04
19,1302,4356,3.35,1380,1.06,295491,226.95,26928,20.68,5221,4.01
20,606,1169,1.93,630,1.04,152049,250.91,8580,14.16,268,0.44
21,1670,9199,5.51,2516,1.51,603245,361.22,50238,30.08,6583,3.94
22,2194,3301,1.50,1576,0.72,557542,254.12,37971,17.31,3627,1.65
23,1195,4346,3.64,1476,1.24,256774,214.87,21197,17.74,2156,1.80
24,505,1250,2.48,505,1.00,214390,424.53,34246,67.81,79,0.16
25,432,1244,2.88,1126,2.61,160239,370.92,18778,43.47,4601,10.65
26,601,3779,6.29,1480,2.46,230050,382.78,18654,31.04,1606,2.67
27,365,4414,12.09,1045,2.86,184461,505.37,35940,98.47,46,0.13
28,291,320,1.10,303,1.04,169211,581.48,597,2.05,2695,9.26
29,16,238,14.88,14,0.88,3315,207.19,5784,361.50,20,1.25
30,293,1769,6.04,294,1.00,56929,194.30,6864,23.43,2880,9.83
31,60,433,7.22,26,0.43,31698,528.30,9723,162.05,954,15.90
32,298,2934,9.85,595,2.00,216202,725.51,50187,168.41,214,0.72
33,30,200,6.67,64,2.13,20135,671.17,3002,100.07,0,0.00
34,12,77,6.42,21,1.75,7142,595.17,1445,120.42,44,3.67
35,147,263,1.79,182,1.24,115429,785.23,1897,12.90,16,0.11
36,162,835,5.15,162,1.00,98583,608.54,11859,73.20,151,0.93
37,471,4024,8.54,1016,2.16,278955,592.26,104488,221.84,1794,3.81
38,4,44,11.00,4,1.00,3328,832.00,1111,277.75,0,0.00
39,6,65,10.83,31,5.17,3703,617.17,2182,363.67,30,5.00
40,438,2399,5.48,450,1.03,367510,839.06,24017,54.83,3369,7.69
41,127,752,5.92,387,3.05,35671,280.87,6244,49.17,362,2.85
42,360,5975,16.60,281,0.78,204519,568.11,119342,331.51,11988,33.30
43,30,286,9.53,62,2.07,26136,871.20,4669,155.63,160,5.33
44,3,44,14.67,3,1.00,2945,981.67,1378,459.33,0,0.00
