tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,30497,37474,1.23,30463,1.00,97222,3.19,0,0.00,0,0.00
2,3242,3634,1.12,5874,1.81,28873,8.91,16,0.00,1,0.00
3,3922,5899,1.50,4944,1.26,60699,15.48,2702,0.69,28,0.01
4,105,100,0.95,93,0.89,1928,18.36,23,0.22,23,0.22
5,835,1382,1.66,681,0.82,23285,27.89,2027,2.43,28,0.03
6,26,65,2.50,76,2.92,1229,47.27,290,11.15,25,0.96
7,178,533,2.99,173,0.97,7894,44.35,2472,13.89,47,0.26
8,18,25,1.39,18,1.00,1253,69.61,25,1.39,22,1.22
9,39,105,2.69,28,0.72,2891,74.13,330,8.46,55,1.41
10,8,14,1.75,7,0.88,894,111.75,23,2.88,9,1.12
11,45,99,2.20,62,1.38,5117,113.71,111,2.47,52,1.16
12,15,36,2.40,11,0.73,1360,90.67,163,10.87,0,0.00
13,16,40,2.50,15,0.94,2375,148.44,215,13.44,59,3.69
14,4,12,3.00,4,1.00,1026,256.50,23,5.75,12,3.00
15,14,66,4.71,19,1.36,1896,135.43,533,38.07,42,3.00
16,6,21,3.50,6,1.00,985,164.17,126,21.00,27,4.50
17,146,457,3.13,295,2.02,37162,254.53,4428,30.33,16,0.11
18,58,64,1.10,58,1.00,10079,173.78,300,5.17,798,13.76
19,7,46,6.57,16,2.29,1911,273.00,481,68.71,18,2.57
20,3,10,3.33,3,1.00,473,157.67,134,44.67,0,0.00
21,9,60,6.67,26,2.89,2311,256.78,681,75.67,91,10.11
22,16,19,1.19,9,0.56,3383,211.44,226,14.12,21,1.31
23,21,103,4.90,31,1.48,6917,329.38,1537,73.19,18,0.86
24,25,103,4.12,25,1.00,9846,393.84,1655,66.20,18,0.72
25,2,36,18.00,12,6.00,683,341.50,728,364.00,0,0.00
26,8,18,2.25,8,1.00,2802,350.25,276,34.50,22,2.75
27,4,51,12.75,17,4.25,2185,546.25,992,248.00,0,0.00
28,2,30,15.00,11,5.50,678,339.00,644,322.00,0,0.00
29,3,42,14.00,17,5.67,1298,432.67,1071,357.00,0,0.00
30,3,22,7.33,1,0.33,1374,458.00,384,128.00,54,18.00
31,41,151,3.68,25,0.61,28660,699.02,2134,52.05,955,23.29
32,3,29,9.67,4,1.33,1923,641.00,578,192.67,31,10.33
33,30,216,7.20,71,2.37,19536,651.20,3374,112.47,64,2.13
34,6,30,5.00,10,1.67,5073,845.50,609,101.50,103,17.17
35,5,66,13.20,21,4.20,3674,734.80,1838,367.60,16,3.20
36,2,21,10.50,1,0.50,444,222.00,481,240.50,35,17.50
37,5,94,18.80,29,5.80,3180,636.00,2423,484.60,0,0.00
38,1,17,17.00,1,1.00,406,406.00,544,544.00,0,0.00
39,3,57,19.00,20,6.67,2102,700.67,2009,669.67,0,0.00
40,6,56,9.33,6,1.00,4102,683.67,1247,207.83,0,0.00
41,7,81,11.57,36,5.14,5455,779.29,2775,396.43,32,4.57
42,5,62,12.40,3,0.60,2549,509.80,1384,276.80,164,32.80
43,26,279,10.73,48,1.85,24370,937.31,4323,166.27,208,8.00
44,1,20,20.00,1,1.00,475,475.00,760,760.00,0,0.00
45,6,94,15.67,27,4.50,4817,802.83,3330,555.00,93,15.50
46,3,23,7.67,3,1.00,1812,604.00,884,294.67,42,14.00
47,12,191,15.92,35,2.92,11053,921.08,3917,326.42,91,7.58
48,2,32,16.00,5,2.50,1532,766.00,1045,522.50,0,0.00
49,5,100,20.00,26,5.20,4124,824.80,4438,887.60,0,0.00
50,1,23,23.00,1,1.00,544,544.00,1012,1012.00,0,0.00
51,3,53,17.67,27,9.00,1560,520.00,2475,825.00,99,33.00
52,4,102,25.50,36,9.00,3994,998.50,4178,1044.50,0,0.00
53,4,60,15.00,31,7.75,6756,1689.00,2972,743.00,45,11.25
54,1,5,5.00,1,1.00,1675,1675.00,54,54.00,0,0.00
55,2,20,10.00,1,0.50,4350,2175.00,461,230.50,54,27.00
57,2,2,1.00,0,0.00,4256,2128.00,70,35.00,112,56.00
59,1,10,10.00,2,2.00,1159,1159.00,95,95.00,43,43.00
60,13,54,4.15,15,1.15,14272,1097.85,2833,217.92,30,2.31
61,1,2,2.00,3,3.00,2132,2132.00,158,158.00,0,0.00
62,1,6,6.00,3,3.00,567,567.00,86,86.00,56,56.00
63,1,8,8.00,1,1.00,213,213.00,50,50.00,62,62.00
65,3,23,7.67,11,3.67,3171,1057.00,593,197.67,128,42.67
66,3,4,1.33,2,0.67,3027,1009.00,175,58.33,127,42.33
67,2,53,26.50,4,2.00,3294,1647.00,2342,1171.00,0,0.00
68,4,27,6.75,2,0.50,6593,1648.25,825,206.25,134,33.50
69,1,2,2.00,1,1.00,1440,1440.00,55,55.00,65,65.00
76,3,14,4.67,1,0.33,4522,1507.33,381,127.00,149,49.67
