tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,35982,43844,1.22,35772,0.99,114146,3.17,0,0.00,0,0.00
2,4373,4849,1.11,7920,1.81,38932,8.90,30,0.01,1,0.00
3,4378,6694,1.53,5776,1.32,68299,15.60,3421,0.78,24,0.01
4,141,194,1.38,139,0.99,2896,20.54,186,1.32,22,0.16
5,966,1628,1.69,801,0.83,27368,28.33,2323,2.40,8,0.01
6,41,120,2.93,166,4.05,2239,54.61,645,15.73,10,0.24
7,210,665,3.17,201,0.96,9424,44.88,2824,13.45,32,0.15
8,27,54,2.00,31,1.15,2009,74.41,97,3.59,17,0.63
9,62,182,2.94,38,0.61,4475,72.18,546,8.81,46,0.74
10,12,20,1.67,11,0.92,1341,111.75,26,2.17,9,0.75
11,83,163,1.96,71,0.86,10158,122.39,200,2.41,53,0.64
12,20,66,3.30,17,0.85,1844,92.20,371,18.55,0,0.00
13,16,56,3.50,15,0.94,2161,135.06,278,17.38,26,1.62
14,8,18,2.25,8,1.00,1532,191.50,36,4.50,25,3.12
15,16,81,5.06,21,1.31,2102,131.38,611,38.19,32,2.00
16,14,42,3.00,17,1.21,2501,178.64,222,15.86,30,2.14
17,154,481,3.12,304,1.97,38647,250.95,4669,30.32,48,0.31
18,58,64,1.10,58,1.00,10100,174.14,304,5.24,801,13.81
19,11,56,5.09,16,1.45,2432,221.09,531,48.27,48,4.36
20,5,14,2.80,5,1.00,978,195.60,162,32.40,0,0.00
21,15,90,6.00,40,2.67,4233,282.20,962,64.13,64,4.27
22,17,18,1.06,11,0.65,3279,192.88,178,10.47,42,2.47
23,25,115,4.60,35,1.40,7791,311.64,1714,68.56,21,0.84
24,27,105,3.89,27,1.00,10867,402.48,1762,65.26,0,0.00
25,4,51,12.75,15,3.75,1187,296.75,915,228.75,11,2.75
26,8,31,3.88,9,1.12,4328,541.00,385,48.12,22,2.75
27,3,51,17.00,16,5.33,1254,418.00,669,223.00,8,2.67
28,3,30,10.00,11,3.67,692,230.67,569,189.67,29,9.67
29,4,46,11.50,15,3.75,1466,366.50,881,220.25,64,16.00
30,2,19,9.50,2,1.00,517,258.50,363,181.50,0,0.00
31,39,118,3.03,21,0.54,27108,695.08,1519,38.95,938,24.05
32,4,39,9.75,6,1.50,2530,632.50,587,146.75,41,10.25
33,28,228,8.14,66,2.36,18651,666.11,3267,116.68,27,0.96
34,6,33,5.50,8,1.33,5378,896.33,583,97.17,66,11.00
35,4,59,14.75,19,4.75,2768,692.00,1682,420.50,16,4.00
36,1,16,16.00,1,1.00,383,383.00,480,480.00,0,0.00
37,4,71,17.75,23,5.75,2037,509.25,2210,552.50,28,7.00
38,1,17,17.00,1,1.00,406,406.00,544,544.00,0,0.00
39,2,57,28.50,19,9.50,1103,551.50,2009,1004.50,0,0.00
40,7,63,9.00,7,1.00,4908,701.14,1323,189.00,0,0.00
41,9,86,9.56,47,5.22,6228,692.00,3026,336.22,52,5.78
42,20,295,14.75,2,0.10,8782,439.10,6688,334.40,779,38.95
43,24,275,11.46,42,1.75,22110,921.25,3737,155.71,187,7.79
44,3,22,7.33,4,1.33,2556,852.00,801,267.00,43,14.33
45,7,116,16.57,27,3.86,5387,769.57,2697,385.29,129,18.43
46,4,24,6.00,4,1.00,2968,742.00,529,132.25,64,16.00
47,11,181,16.45,34,3.09,9774,888.55,3790,344.55,83,7.55
48,3,42,14.00,9,3.00,2543,847.67,1166,388.67,0,0.00
49,7,104,14.86,28,4.00,6534,933.43,4481,640.14,0,0.00
50,1,23,23.00,1,1.00,544,544.00,1012,1012.00,0,0.00
51,2,50,25.00,25,12.50,1139,569.50,2438,1219.00,50,25.00
52,6,114,19.00,37,6.17,6448,1074.67,3846,641.00,11,1.83
53,2,58,29.00,26,13.00,2007,1003.50,2724,1362.00,45,22.50
54,2,10,5.00,2,1.00,2274,1137.00,74,37.00,53,26.50
55,3,39,13.00,2,0.67,6736,2245.33,887,295.67,54,18.00
57,2,2,1.00,0,0.00,4134,2067.00,69,34.50,112,56.00
58,1,4,4.00,3,3.00,14773,14773.00,9,9.00,55,55.00
59,2,18,9.00,3,1.50,2201,1100.50,237,118.50,43,21.50
60,14,45,3.21,15,1.07,13536,966.86,2567,183.36,59,4.21
61,1,9,9.00,7,7.00,2415,2415.00,263,263.00,59,59.00
62,15,0,0.00,0,0.00,21315,1421.00,0,0.00,900,60.00
65,3,26,8.67,7,2.33,2473,824.33,658,219.33,64,21.33
66,4,11,2.75,8,2.00,3160,790.00,180,45.00,177,44.25
67,3,81,27.00,11,3.67,4715,1571.67,2936,978.67,0,0.00
68,4,23,5.75,6,1.50,5894,1473.50,944,236.00,67,16.75
69,1,2,2.00,1,1.00,1440,1440.00,55,55.00,65,65.00
71,1,10,10.00,3,3.00,202,202.00,5,5.00,70,70.00
72,1,13,13.00,1,1.00,191,191.00,8,8.00,71,71.00
73,1,18,18.00,0,0.00,765,765.00,1514,1514.00,0,0.00
76,2,14,7.00,1,0.50,5032,2516.00,360,180.00,74,37.00
77,3,40,13.33,11,3.67,7241,2413.67,941,313.67,51,17.00
81,2,52,26.00,4,2.00,5134,2567.00,1841,920.50,0,0.00
86,1,1,1.00,1,1.00,1176,1176.00,76,76.00,82,82.00
87,20,97,4.85,20,1.00,37373,1868.65,3088,154.40,1461,73.05
88,2,49,24.50,4,2.00,6693,3346.50,799,399.50,0,0.00
89,5,10,2.00,0,0.00,10180,2036.00,414,82.80,440,88.00
90,2,53,26.50,2,1.00,4993,2496.50,4805,2402.50,87,43.50
92,1,13,13.00,0,0.00,167,167.00,21,21.00,84,84.00
93,1,6,6.00,8,8.00,2066,2066.00,271,271.00,18,18.00
97,1,24,24.00,0,0.00,456,456.00,1656,1656.00,96,96.00
99,3,31,10.33,1,0.33,5991,1997.00,282,94.00,169,56.33
100,2,23,11.50,6,3.00,8527,4263.50,712,356.00,43,21.50
