tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,33651,40992,1.22,33395,0.99,106675,3.17,0,0.00,0,0.00
2,3856,4314,1.12,7024,1.82,34545,8.96,26,0.01,1,0.00
3,4190,6236,1.49,5249,1.25,64521,15.40,2818,0.67,20,0.00
4,114,113,0.99,110,0.96,2170,19.04,37,0.32,18,0.16
5,904,1524,1.69,734,0.81,25842,28.59,2142,2.37,36,0.04
6,40,103,2.58,84,2.10,1888,47.20,374,9.35,20,0.50
7,204,643,3.15,195,0.96,9252,45.35,2659,13.03,35,0.17
8,34,70,2.06,36,1.06,2265,66.62,94,2.76,19,0.56
9,70,229,3.27,32,0.46,5144,73.49,653,9.33,39,0.56
10,12,20,1.67,11,0.92,1211,100.92,23,1.92,9,0.75
11,45,100,2.22,63,1.40,5205,115.67,143,3.18,10,0.22
12,22,101,4.59,18,0.82,2267,103.05,683,31.05,22,1.00
13,16,64,4.00,19,1.19,2609,163.06,272,17.00,28,1.75
14,12,35,2.92,13,1.08,2291,190.92,111,9.25,33,2.75
15,15,69,4.60,17,1.13,1905,127.00,532,35.47,56,3.73
16,17,36,2.12,18,1.06,3210,188.82,199,11.71,38,2.24
17,145,458,3.16,293,2.02,36856,254.18,4388,30.26,24,0.17
18,60,73,1.22,60,1.00,10699,178.32,359,5.98,801,13.35
19,11,63,5.73,18,1.64,2598,236.18,722,65.64,36,3.27
20,5,18,3.60,5,1.00,1313,262.60,159,31.80,0,0.00
21,8,64,8.00,25,3.12,2769,346.12,690,86.25,36,4.50
22,12,14,1.17,6,0.50,2626,218.83,127,10.58,63,5.25
23,23,117,5.09,35,1.52,7536,327.65,1625,70.65,18,0.78
24,25,99,3.96,25,1.00,9490,379.60,1637,65.48,23,0.92
25,6,65,10.83,17,2.83,1947,324.50,1078,179.67,20,3.33
26,5,15,3.00,5,1.00,1878,375.60,243,48.60,22,4.40
27,5,75,15.00,22,4.40,2318,463.60,1130,226.00,0,0.00
28,2,30,15.00,11,5.50,678,339.00,644,322.00,0,0.00
29,2,42,21.00,14,7.00,803,401.50,1029,514.50,0,0.00
30,2,19,9.50,2,1.00,517,258.50,363,181.50,0,0.00
31,42,142,3.38,29,0.69,28453,677.45,1957,46.60,985,23.45
32,4,39,9.75,6,1.50,2637,659.25,746,186.50,35,8.75
33,26,192,7.38,64,2.46,16907,650.27,2942,113.15,0,0.00
34,3,24,8.00,3,1.00,1369,456.33,593,197.67,33,11.00
35,6,65,10.83,22,3.67,4109,684.83,1802,300.33,26,4.33
36,4,28,7.00,4,1.00,1061,265.25,547,136.75,82,20.50
37,7,100,14.29,27,3.86,4744,677.71,2413,344.71,72,10.29
38,1,17,17.00,1,1.00,406,406.00,544,544.00,0,0.00
39,2,57,28.50,19,9.50,1103,551.50,2009,1004.50,0,0.00
40,8,70,8.75,8,1.00,5714,714.25,1399,174.88,0,0.00
41,8,85,10.62,38,4.75,5689,711.12,2786,348.25,52,6.50
