tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,126325,154165,1.22,126363,1.00,401903,3.18,0,0.00,0,0.00
2,13747,15353,1.12,25196,1.83,123286,8.97,71,0.01,3,0.00
3,16272,24098,1.48,20242,1.24,249921,15.36,10690,0.66,66,0.00
4,401,354,0.88,419,1.04,7767,19.37,127,0.32,22,0.05
5,3403,5708,1.68,2765,0.81,96866,28.46,7936,2.33,104,0.03
6,117,300,2.56,205,1.75,5371,45.91,999,8.54,40,0.34
7,740,2327,3.14,719,0.97,33641,45.46,9890,13.36,114,0.15
8,119,199,1.67,113,0.95,7273,61.12,221,1.86,72,0.61
9,222,714,3.22,101,0.45,15752,70.95,1979,8.91,113,0.51
10,47,80,1.70,42,0.89,4724,100.51,132,2.81,45,0.96
11,160,364,2.27,228,1.43,18758,117.24,482,3.01,26,0.16
12,61,331,5.43,57,0.93,6744,110.56,2319,38.02,11,0.18
13,49,225,4.59,59,1.20,8433,172.10,1100,22.45,58,1.18
14,37,120,3.24,36,0.97,8012,216.54,412,11.14,53,1.43
15,49,238,4.86,61,1.24,6844,139.67,1747,35.65,112,2.29
16,52,105,2.02,56,1.08,10148,195.15,496,9.54,83,1.60
17,574,1808,3.15,1157,2.02,145844,254.08,17407,30.33,78,0.14
18,240,295,1.23,240,1.00,42787,178.28,1456,6.07,3249,13.54
19,33,194,5.88,67,2.03,8125,246.21,2227,67.48,123,3.73
20,12,58,4.83,12,1.00,3463,288.58,530,44.17,0,0.00
21,30,233,7.77,98,3.27,9462,315.40,2837,94.57,92,3.07
22,36,60,1.67,19,0.53,5834,162.06,360,10.00,224,6.22
23,82,437,5.33,126,1.54,27827,339.35,6487,79.11,97,1.18
24,95,397,4.18,95,1.00,37676,396.59,6533,68.77,58,0.61
25,18,199,11.06,56,3.11,4860,270.00,4152,230.67,90,5.00
26,18,58,3.22,18,1.00,6896,383.11,950,52.78,88,4.89
27,24,323,13.46,85,3.54,10472,436.33,5197,216.54,26,1.08
28,9,120,13.33,44,4.89,2712,301.33,2576,286.22,27,3.00
29,11,177,16.09,59,5.36,3656,332.36,4169,379.00,66,6.00
30,8,81,10.12,7,0.88,2813,351.62,1581,197.62,25,3.12
31,165,564,3.42,116,0.70,112875,684.09,8489,51.45,3770,22.85
32,10,96,9.60,12,1.20,6224,622.40,1968,196.80,124,12.40
33,104,768,7.38,256,2.46,67016,644.38,11689,112.39,115,1.11
34,12,100,8.33,12,1.00,7968,664.00,2192,182.67,132,11.00
35,28,284,10.14,93,3.32,18424,658.00,7275,259.82,98,3.50
36,12,92,7.67,8,0.67,3832,319.33,2172,181.00,198,16.50
37,28,379,13.54,104,3.71,19316,689.86,9652,344.71,288,10.29
38,4,68,17.00,4,1.00,1624,406.00,2176,544.00,0,0.00
39,8,228,28.50,76,9.50,4412,551.50,8036,1004.50,0,0.00
40,30,266,8.87,30,1.00,21244,708.13,5444,181.47,0,0.00
41,37,338,9.14,151,4.08,22548,609.41,11160,301.62,408,11.03
42,11,168,15.27,13,1.18,8556,777.82,3918,356.18,246,22.36
43,89,1080,12.13,152,1.71,78724,884.54,16343,183.63,683,7.67
44,5,81,16.20,4,0.80,2637,527.40,3077,615.40,43,8.60
45,16,326,20.38,96,6.00,12514,782.12,12164,760.25,164,10.25
46,14,120,8.57,22,1.57,8660,618.57,4118,294.14,168,12.00
47,52,780,15.00,150,2.88,47794,919.12,16120,310.00,184,3.54
48,6,108,18.00,12,2.00,4106,684.33,3938,656.33,0,0.00
49,16,392,24.50,100,6.25,11515,719.69,17660,1103.75,23,1.44
50,6,98,16.33,6,1.00,3422,570.33,4094,682.33,92,15.33
51,5,200,40.00,100,20.00,4556,911.20,9752,1950.40,50,10.00
52,20,450,22.50,148,7.40,18694,934.70,16994,849.70,96,4.80
53,5,215,43.00,102,20.40,4914,982.80,10532,2106.40,0,0.00
54,3,15,5.00,5,1.67,3689,1229.67,130,43.33,33,11.00
55,3,39,13.00,2,0.67,6736,2245.33,887,295.67,54,18.00
57,10,40,4.00,9,0.90,18379,1837.90,707,70.70,504,50.40
58,1,10,10.00,2,2.00,1938,1938.00,189,189.00,10,10.00
59,9,65,7.22,19,2.11,10326,1147.33,721,80.11,235,26.11
60,46,138,3.00,46,1.00,42366,921.00,8308,180.61,30,0.65
61,1,9,9.00,4,4.00,395,395.00,71,71.00,0,0.00
65,2,8,4.00,2,1.00,1278,639.00,208,104.00,0,0.00
66,12,16,1.33,8,0.67,12108,1009.00,700,58.33,508,42.33
67,14,293,20.93,44,3.14,27702,1978.71,10924,780.29,78,5.57
68,10,32,3.20,12,1.20,11408,1140.80,1200,120.00,350,35.00
71,1,38,38.00,1,1.00,1648,1648.00,296,296.00,62,62.00
74,3,6,2.00,0,0.00,5196,1732.00,459,153.00,219,73.00
76,5,64,12.80,11,2.20,14007,2801.40,1454,290.80,75,15.00
77,8,138,17.25,26,3.25,19554,2444.25,2960,370.00,204,25.50
