tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,3042949,3875782,1.27,2904328,0.95,9722623,3.20,0,0.00,0,0.00
2,946676,1006536,1.06,1821479,1.92,8502557,8.98,804072,0.85,63,0.00
3,264237,406472,1.54,278245,1.05,3853230,14.58,149603,0.57,2967,0.01
4,1625,422,0.26,17428,10.72,42877,26.39,115,0.07,33,0.02
5,183517,306824,1.67,181862,0.99,5686587,30.99,73943,0.40,15036,0.08
6,3748,13701,3.66,25883,6.91,248876,66.40,98823,26.37,17,0.00
7,35906,110225,3.07,36012,1.00,2039496,56.80,371444,10.34,3154,0.09
8,1328,2100,1.58,1346,1.01,70753,53.28,4354,3.28,4350,3.28
9,543,1388,2.56,724,1.33,38627,71.14,2357,4.34,1587,2.92
10,91,248,2.73,137,1.51,11000,120.88,715,7.86,46,0.51
11,1138,4900,4.31,2759,2.42,144736,127.18,5822,5.12,4531,3.98
12,70,294,4.20,56,0.80,7287,104.10,1644,23.49,10,0.14
13,65,358,5.51,138,2.12,10488,161.35,2056,31.63,32,0.49
14,42,125,2.98,48,1.14,8667,206.36,335,7.98,72,1.71
15,1045,7248,6.94,1047,1.00,181947,174.11,45605,43.64,11986,11.47
16,25629,25926,1.01,25722,1.00,5534939,215.96,2743,0.11,8088,0.32
17,779,2418,3.10,1548,1.99,197536,253.58,23827,30.59,166,0.21
18,79,94,1.19,79,1.00,14305,181.08,434,5.49,1067,13.51
19,379,2137,5.64,884,2.33,131637,347.33,15242,40.22,207,0.55
20,11,24,2.18,11,1.00,2262,205.64,240,21.82,0,0.00
21,42,244,5.81,76,1.81,13141,312.88,1759,41.88,290,6.90
22,84,495,5.89,250,2.98,23682,281.93,6704,79.81,129,1.54
23,244,1785,7.32,662,2.71,92417,378.76,12811,52.50,1712,7.02
24,136,737,5.42,136,1.00,78356,576.15,9134,67.16,100,0.74
25,350,2653,7.58,569,1.63,158212,452.03,16851,48.15,373,1.07
26,18,92,5.11,30,1.67,7468,414.89,514,28.56,79,4.39
27,15,160,10.67,40,2.67,5610,374.00,1759,117.27,20,1.33
28,35,506,14.46,246,7.03,14128,403.66,9547,272.77,117,3.34
29,4,76,19.00,18,4.50,1056,264.00,969,242.25,60,15.00
30,12,59,4.92,12,1.00,5426,452.17,505,42.08,66,5.50
31,376,3158,8.40,1216,3.23,220004,585.12,45289,120.45,4368,11.62
32,8,79,9.88,14,1.75,5529,691.12,1335,166.88,59,7.38
33,860,26039,30.28,1227,1.43,945371,1099.27,13448,15.64,15950,18.55
34,21,402,19.14,192,9.14,10128,482.29,9735,463.57,137,6.52
35,6,65,10.83,22,3.67,4016,669.33,1802,300.33,16,2.67
36,14,130,9.29,48,3.43,12276,876.86,1648,117.71,171,12.21
37,44,739,16.80,312,7.09,24480,556.36,18245,414.66,232,5.27
38,1,17,17.00,1,1.00,406,406.00,544,544.00,0,0.00
39,3,64,21.33,20,6.67,1862,620.67,2085,695.00,0,0.00
40,35,665,19.00,287,8.20,21994,628.40,18014,514.69,90,2.57
41,834,4304,5.16,1704,2.04,689269,826.46,58261,69.86,23321,27.96
42,33,568,17.21,134,4.06,39891,1208.82,9223,279.48,419,12.70
43,52,1021,19.63,395,7.60,40247,773.98,28078,539.96,258,4.96
44,2,36,18.00,2,1.00,1289,644.50,1307,653.50,0,0.00
45,23,270,11.74,43,1.87,18989,825.61,6129,266.48,394,17.13
46,384,5671,14.77,2142,5.58,272167,708.77,128248,333.98,743,1.93
47,16,248,15.50,49,3.06,14863,928.94,4701,293.81,92,5.75
48,9,104,11.56,27,3.00,8721,969.00,1840,204.44,0,0.00
49,656,6503,9.91,1466,2.23,690811,1053.07,107913,164.50,7212,10.99
50,309,3134,10.14,646,2.09,382318,1237.28,29622,95.86,390,1.26
51,3,66,22.00,29,9.67,2324,774.67,2674,891.33,50,16.67
52,39,1130,28.97,520,13.33,29586,758.62,42209,1082.28,162,4.15
53,7,106,15.14,31,4.43,16073,2296.14,4032,576.00,0,0.00
54,11,41,3.73,6,0.55,17556,1596.00,577,52.45,304,27.64
55,70,1502,21.46,616,8.80,74724,1067.49,49413,705.90,712,10.17
57,11,187,17.00,63,5.73,11882,1080.18,4917,447.00,176,16.00
58,19,452,23.79,222,11.68,19902,1047.47,19076,1004.00,239,12.58
59,8,71,8.88,11,1.38,8060,1007.50,1041,130.12,313,39.12
60,23,75,3.26,23,1.00,21399,930.39,3894,169.30,71,3.09
61,15,569,37.93,284,18.93,12376,825.07,26490,1766.00,130,8.67
62,4,45,11.25,3,0.75,4865,1216.25,741,185.25,212,53.00
64,88,2210,25.11,911,10.35,92680,1053.18,75921,862.74,1136,12.91
65,10,116,11.60,38,3.80,7574,757.40,3424,342.40,0,0.00
66,10,17,1.70,12,1.20,12026,1202.60,1234,123.40,294,29.40
67,44,1692,38.45,758,17.23,68091,1547.52,66702,1515.95,416,9.45
68,12,83,6.92,25,2.08,14093,1174.42,882,73.50,606,50.50
69,3,17,5.67,4,1.33,1906,635.33,70,23.33,181,60.33
70,31,1300,41.94,653,21.06,31966,1031.16,67657,2182.48,455,14.68
71,1,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
72,3,50,16.67,3,1.00,6870,2290.00,981,327.00,37,12.33
73,97,2724,28.08,1086,11.20,107160,1104.74,107069,1103.80,1348,13.90
74,1,6,6.00,1,1.00,1819,1819.00,239,239.00,0,0.00
75,2,39,19.50,2,1.00,1816,908.00,47,23.50,124,62.00
76,33,1614,48.91,801,24.27,37711,1142.76,90620,2746.06,453,13.73
77,3,71,23.67,17,5.67,5345,1781.67,1698,566.00,51,17.00
78,24,413,17.21,143,5.96,77237,3218.21,12765,531.88,317,13.21
79,37,1539,41.59,713,19.27,47887,1294.24,85479,2310.24,670,18.11
80,4,22,5.50,4,1.00,9312,2328.00,442,110.50,105,26.25
81,8,194,24.25,56,7.00,9394,1174.25,6055,756.88,235,29.38
82,29,1321,45.55,668,23.03,37787,1303.00,84712,2921.10,257,8.86
83,3,70,23.33,8,2.67,9384,3128.00,1178,392.67,0,0.00
85,132,2844,21.55,968,7.33,195473,1480.86,147833,1119.95,5460,41.36
86,4,25,6.25,4,1.00,7935,1983.75,1065,266.25,131,32.75
87,2735,5536,2.02,8159,2.98,8133102,2973.71,479555,175.34,5210,1.90
88,33,1858,56.30,929,28.15,41321,1252.15,125617,3806.58,385,11.67
89,11,174,15.82,55,5.00,17735,1612.27,6952,632.00,608,55.27
90,3,42,14.00,3,1.00,7819,2606.33,4719,1573.00,0,0.00
91,23,1045,45.43,472,20.52,34421,1496.57,68646,2984.61,202,8.78
92,8,256,32.00,112,14.00,30434,3804.25,8646,1080.75,113,14.12
93,4,156,39.00,12,3.00,19583,4895.75,2883,720.75,83,20.75
94,31,1317,42.48,666,21.48,50080,1615.48,89686,2893.10,873,28.16
95,1,16,16.00,1,1.00,3728,3728.00,351,351.00,65,65.00
97,25,1297,51.88,542,21.68,51676,2067.04,81668,3266.72,500,20.00
99,1,17,17.00,0,0.00,2617,2617.00,164,164.00,98,98.00
