tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,295480,371149,1.26,299830,1.01,960150,3.25,0,0.00,0,0.00
2,90029,92902,1.03,170707,1.90,803606,8.93,27942,0.31,9,0.00
3,35705,54808,1.54,56916,1.59,532232,14.91,42044,1.18,279,0.01
4,1311,1587,1.21,1617,1.23,25145,19.18,1297,0.99,29,0.02
5,3152,6100,1.94,2749,0.87,99099,31.44,6316,2.00,382,0.12
6,253,745,2.94,913,3.61,14625,57.81,3331,13.17,15,0.06
7,764,3609,4.72,1664,2.18,50108,65.59,8890,11.64,144,0.19
8,192,424,2.21,224,1.17,12957,67.48,791,4.12,395,2.06
9,2677,3681,1.38,543,0.20,67940,25.38,3545,1.32,275,0.10
10,386,1443,3.74,734,1.90,50024,129.60,5598,14.50,56,0.15
11,763,1108,1.45,293,0.38,60402,79.16,902,1.18,291,0.38
12,162,431,2.66,145,0.90,30393,187.61,2093,12.92,168,1.04
13,372,1895,5.09,470,1.26,66379,178.44,5950,15.99,377,1.01
14,87,221,2.54,94,1.08,11663,134.06,710,8.16,119,1.37
15,63,326,5.17,64,1.02,9729,154.43,2097,33.29,180,2.86
16,102,522,5.12,169,1.66,19636,192.51,2056,20.16,496,4.86
17,207,642,3.10,406,1.96,50889,245.84,5998,28.98,176,0.85
18,102,355,3.48,122,1.20,28331,277.75,1197,11.74,949,9.30
19,540,2223,4.12,1077,1.99,231586,428.86,10761,19.93,273,0.51
20,19,40,2.11,19,1.00,4073,214.37,360,18.95,0,0.00
21,329,2938,8.93,72,0.22,49432,150.25,44902,136.48,373,1.13
22,152,157,1.03,127,0.84,38751,254.94,4411,29.02,148,0.97
23,193,1055,5.47,354,1.83,68710,356.01,9478,49.11,70,0.36
24,224,2718,12.13,594,2.65,140760,628.39,22590,100.85,57,0.25
25,266,5594,21.03,2928,11.01,134291,504.85,116999,439.85,291,1.09
26,17,27,1.59,16,0.94,5793,340.76,357,21.00,66,3.88
27,16,185,11.56,54,3.38,7482,467.62,1949,121.81,0,0.00
28,11,99,9.00,36,3.27,3682,334.73,1248,113.45,152,13.82
29,8,69,8.62,19,2.38,4454,556.75,1461,182.62,44,5.50
30,11,179,16.27,87,7.91,8354,759.45,721,65.55,117,10.64
31,43,216,5.02,28,0.65,28654,666.37,2180,50.70,1020,23.72
32,18,473,26.28,256,14.22,30847,1713.72,2961,164.50,71,3.94
33,522,2410,4.62,1094,2.10,617281,1182.53,14279,27.35,286,0.55
34,346,3448,9.97,1031,2.98,221773,640.96,39665,114.64,115,0.33
35,7,68,9.71,22,3.14,6539,934.14,1751,250.14,16,2.29
36,2,17,8.50,3,1.50,1177,588.50,488,244.00,0,0.00
37,20,210,10.50,65,3.25,11802,590.10,4959,247.95,189,9.45
38,3,31,10.33,3,1.00,2329,776.33,646,215.33,54,18.00
39,3,95,31.67,20,6.67,1356,452.00,1452,484.00,64,21.33
40,15,115,7.67,15,1.00,10439,695.93,1492,99.47,97,6.47
41,89,1936,21.75,1344,15.10,86994,977.46,24095,270.73,868,9.75
42,37,515,13.92,31,0.84,18650,504.05,11376,307.46,1257,33.97
43,31,330,10.65,67,2.16,31212,1006.84,4491,144.87,252,8.13
44,1,20,20.00,1,1.00,475,475.00,760,760.00,0,0.00
45,26,304,11.69,48,1.85,22524,866.31,6194,238.23,559,21.50
46,22,292,13.27,101,4.59,14541,660.95,5493,249.68,240,10.91
47,14,263,18.79,41,2.93,13763,983.07,4437,316.93,132,9.43
48,12,316,26.33,175,14.58,29820,2485.00,2859,238.25,103,8.58
49,69,363,5.26,135,1.96,87342,1265.83,8536,123.71,214,3.10
50,3,425,141.67,271,90.33,20194,6731.33,4198,1399.33,0,0.00
51,3,63,21.00,27,9.00,1870,623.33,2475,825.00,99,33.00
52,23,296,12.87,77,3.35,22821,992.22,8680,377.39,102,4.43
53,2,58,29.00,26,13.00,2007,1003.50,2724,1362.00,45,22.50
54,17,74,4.35,20,1.18,23493,1381.94,1108,65.18,234,13.76
55,55,656,11.93,165,3.00,116488,2117.96,9433,171.51,517,9.40
56,2,8,4.00,4,2.00,3412,1706.00,452,226.00,0,0.00
57,29,260,8.97,126,4.34,60523,2087.00,4592,158.34,649,22.38
59,29,254,8.76,30,1.03,36426,1256.07,4309,148.59,437,15.07
60,37,136,3.68,73,1.97,51220,1384.32,6641,179.49,113,3.05
61,4,36,9.00,25,6.25,1697,424.25,516,129.00,84,21.00
62,18,0,0.00,0,0.00,25578,1421.00,0,0.00,1080,60.00
64,11,169,15.36,56,5.09,10146,922.36,2523,229.36,537,48.82
65,14,48,3.43,10,0.71,6982,498.71,1072,76.57,64,4.57
66,9,36,4.00,9,1.00,11554,1283.78,1346,149.56,227,25.22
67,34,315,9.26,162,4.76,90723,2668.32,9763,287.15,223,6.56
68,11,69,6.27,34,3.09,11075,1006.82,1266,115.09,420,38.18
69,1,2,2.00,1,1.00,1440,1440.00,55,55.00,65,65.00
70,1,17,17.00,1,1.00,2397,2397.00,621,621.00,0,0.00
71,1,20,20.00,4,4.00,3223,3223.00,577,577.00,0,0.00
72,4,38,9.50,6,1.50,9705,2426.25,1385,346.25,194,48.50
73,19,9,0.47,0,0.00,666,35.05,36,1.89,214,11.26
74,6,39,6.50,6,1.00,9401,1566.83,1422,237.00,110,18.33
75,2,21,10.50,10,5.00,2680,1340.00,217,108.50,91,45.50
76,3,32,10.67,2,0.67,7774,2591.33,1110,370.00,74,24.67
77,4,94,23.50,20,5.00,9367,2341.75,2155,538.75,51,12.75
78,7,39,5.57,7,1.00,11616,1659.43,959,137.00,195,27.86
80,1,22,22.00,1,1.00,3058,3058.00,769,769.00,0,0.00
81,3,62,20.67,6,2.00,3976,1325.33,1772,590.67,231,77.00
82,2,9,4.50,3,1.50,2951,1475.50,308,154.00,81,40.50
83,1,29,29.00,3,3.00,4519,4519.00,561,561.00,0,0.00
84,3,39,13.00,15,5.00,9561,3187.00,744,248.00,147,49.00
86,2,22,11.00,2,1.00,4369,2184.50,1069,534.50,82,41.00
87,22,68,3.09,18,0.82,48483,2203.77,2817,128.05,1425,64.77
88,3,50,16.67,3,1.00,7192,2397.33,2004,668.00,11,3.67
89,5,10,2.00,0,0.00,10220,2044.00,430,86.00,440,88.00
90,1,30,30.00,1,1.00,1544,1544.00,3728,3728.00,85,85.00
91,10,254,25.40,76,7.60,13006,1300.60,8386,838.60,263,26.30
93,2,45,22.50,11,5.50,7463,3731.50,1329,664.50,92,46.00
97,3,71,23.67,3,1.00,6163,2054.33,2475,825.00,192,64.00
98,1,10,10.00,3,3.00,1015,1015.00,160,160.00,97,97.00
99,1,17,17.00,0,0.00,2279,2279.00,101,101.00,98,98.00
100,3,26,8.67,7,2.33,13244,4414.67,1277,425.67,95,31.67
101,7,99,14.14,40,5.71,17431,2490.14,1844,263.43,73,10.43
102,1,2,2.00,4,4.00,5826,5826.00,363,363.00,0,0.00
103,1,16,16.00,0,0.00,3134,3134.00,834,834.00,102,102.00
105,4,7,1.75,4,1.00,5257,1314.25,283,70.75,393,98.25
106,3,3,1.00,6,2.00,10824,3608.00,411,137.00,0,0.00
107,16,331,20.69,98,6.12,77036,4814.75,9118,569.88,0,0.00
108,12,109,9.08,53,4.42,48717,4059.75,4058,338.17,789,65.75
109,7,135,19.29,21,3.00,23903,3414.71,3866,552.29,211,30.14
110,2,25,12.50,8,4.00,9428,4714.00,700,350.00,108,54.00
111,2,5,2.50,1,0.50,2905,1452.50,48,24.00,183,91.50
113,10,201,20.10,96,9.60,20532,2053.20,14987,1498.70,575,57.50
114,5,250,50.00,25,5.00,48725,9745.00,7914,1582.80,160,32.00
115,1,23,23.00,5,5.00,1977,1977.00,2374,2374.00,0,0.00
117,9,216,24.00,18,2.00,36331,4036.78,7906,878.44,89,9.89
118,2,30,15.00,14,7.00,15678,7839.00,1128,564.00,0,0.00
119,4,31,7.75,20,5.00,28325,7081.25,4518,1129.50,0,0.00
121,8,371,46.38,127,15.88,20656,2582.00,32933,4116.62,359,44.88
122,5,9,1.80,9,1.80,14328,2865.60,1460,292.00,73,14.60
124,5,110,22.00,33,6.60,29424,5884.80,3135,627.00,0,0.00
125,7,89,12.71,37,5.29,40040,5720.00,4003,571.86,248,35.43
126,1,1,1.00,1,1.00,1738,1738.00,248,248.00,100,100.00
127,9,244,27.11,77,8.56,49224,5469.33,6238,693.11,137,15.22
129,8,24,3.00,58,7.25,49811,6226.38,3835,479.38,350,43.75
130,1,3,3.00,1,1.00,1900,1900.00,88,88.00,104,104.00
131,4,12,3.00,32,8.00,41128,10282.00,4112,1028.00,0,0.00
133,2,44,22.00,0,0.00,1672,836.00,349,174.50,264,132.00
135,2,38,19.00,1,0.50,8216,4108.00,345,172.50,167,83.50
139,2,142,71.00,22,11.00,17744,8872.00,3946,1973.00,0,0.00
141,15,880,58.67,174,11.60,49670,3311.33,49240,3282.67,720,48.00
142,1,0,0.00,0,0.00,470,470.00,248,248.00,141,141.00
145,3,89,29.67,6,2.00,6972,2324.00,6765,2255.00,288,96.00
146,1,1,1.00,1,1.00,2006,2006.00,80,80.00,122,122.00
147,10,137,13.70,79,7.90,42365,4236.50,5348,534.80,906,90.60
148,1,2,2.00,1,1.00,2211,2211.00,580,580.00,0,0.00
151,8,104,13.00,88,11.00,21003,2625.38,5556,694.50,747,93.38
153,5,67,13.40,15,3.00,33776,6755.20,5887,1177.40,274,54.80
154,8,351,43.88,120,15.00,24138,3017.25,24297,3037.12,108,13.50
156,2,19,9.50,3,1.50,3176,1588.00,523,261.50,261,130.50
