tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,321637,378948,1.18,303884,0.94,989122,3.08,0,0.00,0,0.00
2,82853,85751,1.03,149056,1.80,733125,8.85,544,0.01,11,0.00
3,32066,49834,1.55,45886,1.43,506506,15.80,29573,0.92,250,0.01
4,2032,2265,1.11,2016,0.99,41572,20.46,426,0.21,40,0.02
5,7735,12987,1.68,7478,0.97,229211,29.63,20953,2.71,274,0.04
6,237,579,2.44,754,3.18,15687,66.19,1995,8.42,22,0.09
7,612,2065,3.37,685,1.12,29325,47.92,6195,10.12,106,0.17
8,2255,4608,2.04,662,0.29,73375,32.54,4721,2.09,160,0.07
9,1855,2435,1.31,1736,0.94,101614,54.78,8693,4.69,217,0.12
10,2920,4567,1.56,3727,1.28,1136888,389.35,16604,5.69,12762,4.37
11,848,2314,2.73,2098,2.47,135615,159.92,15502,18.28,180,0.21
12,1712,1958,1.14,1701,0.99,169248,98.86,2035,1.19,0,0.00
13,51,194,3.80,36,0.71,7302,143.18,945,18.53,36,0.71
14,31,66,2.13,40,1.29,5211,168.10,95,3.06,102,3.29
15,39,194,4.97,42,1.08,5433,139.31,1358,34.82,36,0.92
16,387,3380,8.73,1666,4.30,78980,204.08,31467,81.31,286,0.74
17,213,813,3.82,388,1.82,46363,217.67,7166,33.64,481,2.26
18,58,64,1.10,58,1.00,10087,173.91,303,5.22,801,13.81
19,37,167,4.51,54,1.46,9182,248.16,1154,31.19,112,3.03
20,13,20,1.54,13,1.00,2115,162.69,233,17.92,0,0.00
21,40,242,6.05,74,1.85,12523,313.07,2215,55.38,207,5.17
22,70,70,1.00,48,0.69,14585,208.36,790,11.29,42,0.60
23,49,189,3.86,68,1.39,12925,263.78,2057,41.98,54,1.10
24,43,148,3.44,43,1.00,15969,371.37,2460,57.21,0,0.00
25,16,93,5.81,39,2.44,4190,261.88,1155,72.19,242,15.12
26,14,24,1.71,14,1.00,4650,332.14,342,24.43,22,1.57
27,27,174,6.44,76,2.81,9614,356.07,2089,77.37,0,0.00
28,101,912,9.03,403,3.99,41778,413.64,11113,110.03,234,2.32
29,3,56,18.67,14,4.67,962,320.67,1221,407.00,20,6.67
30,512,569,1.11,512,1.00,175924,343.60,17520,34.22,383,0.75
31,45,163,3.62,28,0.62,28048,623.29,2350,52.22,1077,23.93
32,12,119,9.92,22,1.83,8492,707.67,2121,176.75,35,2.92
