tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,4679497,6440284,1.38,5419291,1.16,16038322,3.43,0,0.00,0,0.00
2,833222,1153015,1.38,1668131,2.00,7827134,9.39,9478,0.01,230,0.00
3,65342,105251,1.61,67202,1.03,959538,14.68,41611,0.64,511,0.01
4,3042,3041,1.00,2838,0.93,44475,14.62,405,0.13,163,0.05
5,31285,73237,2.34,116580,3.73,1325085,42.36,311730,9.96,378,0.01
6,12019,24062,2.00,12517,1.04,426490,35.48,37583,3.13,134,0.01
7,1775,5455,3.07,1513,0.85,74184,41.79,14301,8.06,285,0.16
8,666,1857,2.79,938,1.41,47547,71.39,3275,4.92,313,0.47
9,2464,4854,1.97,1258,0.51,122011,49.52,15070,6.12,1193,0.48
10,449,911,2.03,452,1.01,40116,89.35,624,1.39,403,0.90
11,696,1768,2.54,858,1.23,79236,113.84,5444,7.82,774,1.11
12,513,1443,2.81,420,0.82,46167,89.99,5976,11.65,75,0.15
13,265,1041,3.93,167,0.63,38583,145.60,4853,18.31,166,0.63
14,197,406,2.06,272,1.38,26621,135.13,953,4.84,791,4.02
15,318,1720,5.41,292,0.92,43875,137.97,9165,28.82,535,1.68
16,176,501,2.85,200,1.14,34315,194.97,2182,12.40,452,2.57
17,739,2508,3.39,1335,1.81,170662,230.94,19953,27.00,1568,2.12
18,188,251,1.34,191,1.02,33617,178.81,1330,7.07,2462,13.10
19,3300,16359,4.96,6491,1.97,862608,261.40,135223,40.98,1079,0.33
20,91,142,1.56,91,1.00,14921,163.97,1404,15.43,36,0.40
21,87,566,6.51,413,4.75,169761,1951.28,4664,53.61,365,4.20
22,550,1065,1.94,472,0.86,105590,191.98,8848,16.09,430,0.78
23,243,866,3.56,343,1.41,62911,258.89,8838,36.37,263,1.08
24,213,553,2.60,214,1.00,76650,359.86,10161,47.70,190,0.89
25,738,2962,4.01,1459,1.98,124184,168.27,20408,27.65,920,1.25
26,66,121,1.83,71,1.08,21158,320.58,1615,24.47,87,1.32
27,19,270,14.21,70,3.68,8421,443.21,3551,186.89,24,1.26
28,2514,20101,8.00,7523,2.99,1024682,407.59,251683,100.11,1396,0.56
29,74,396,5.35,142,1.92,19624,265.19,6471,87.45,138,1.86
30,26,177,6.81,26,1.00,5866,225.62,1598,61.46,204,7.85
31,129,469,3.64,93,0.72,86591,671.25,6787,52.61,2925,22.67
32,81,807,9.96,154,1.90,57955,715.49,13833,170.78,159,1.96
33,85,671,7.89,220,2.59,54910,646.00,10154,119.46,23,0.27
34,10,85,8.50,11,1.10,6178,617.80,1837,183.70,128,12.80
35,50,278,5.56,102,2.04,31509,630.18,6821,136.42,205,4.10
36,8,69,8.62,6,0.75,2869,358.62,1626,203.25,116,14.50
37,60,610,10.17,164,2.73,35043,584.05,15029,250.48,460,7.67
38,7,78,11.14,8,1.14,12321,1760.14,2646,378.00,70,10.00
39,7,183,26.14,62,8.86,3401,485.86,5445,777.86,52,7.43
40,44,352,8.00,44,1.00,33032,750.73,5762,130.95,123,2.80
41,162,1500,9.26,852,5.26,97471,601.67,19183,118.41,1890,11.67
42,38,577,15.18,140,3.68,95549,2514.45,12822,337.42,1062,27.95
43,74,883,11.93,137,1.85,65080,879.46,13450,181.76,568,7.68
44,3,60,20.00,3,1.00,1425,475.00,2280,760.00,0,0.00
45,56,769,13.73,116,2.07,61543,1098.98,16956,302.79,1241,22.16
46,2022,28223,13.96,10064,4.98,1420016,702.28,576132,284.93,3637,1.80
47,51,602,11.80,135,2.65,43046,844.04,12464,244.39,444,8.71
48,26,282,10.85,90,3.46,24163,929.35,5319,204.58,86,3.31
49,559,4213,7.54,1525,2.73,238872,427.32,42068,75.26,1968,3.52
50,13,107,8.23,14,1.08,10930,840.77,3299,253.77,469,36.08
51,9,288,32.00,99,11.00,10015,1112.78,9814,1090.44,100,11.11
52,90,1150,12.78,185,2.06,64200,713.33,20342,226.02,244,2.71
53,66,765,11.59,258,3.91,22696,343.88,11833,179.29,206,3.12
54,27,127,4.70,29,1.07,40450,1498.15,1486,55.04,222,8.22
55,36,500,13.89,55,1.53,58377,1621.58,10548,293.00,851,23.64
