tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,135560,167648,1.24,125816,0.93,424694,3.13,0,0.00,0,0.00
2,29232,30844,1.06,55098,1.88,261487,8.95,4238,0.14,12,0.00
3,29327,47595,1.62,33016,1.13,419057,14.29,21209,0.72,110,0.00
4,575,3451,6.00,502,0.87,20611,35.85,171,0.30,33,0.06
5,2205,4023,1.82,1770,0.80,68516,31.07,4320,1.96,103,0.05
6,226,570,2.52,576,2.55,11544,51.08,2010,8.89,12,0.05
7,481,3852,8.01,1908,3.97,37534,78.03,8243,17.14,107,0.22
8,121,305,2.52,153,1.26,8809,72.80,582,4.81,120,0.99
9,298,935,3.14,161,0.54,21918,73.55,2484,8.34,226,0.76
10,49,80,1.63,49,1.00,5443,111.08,121,2.47,0,0.00
11,151,289,1.91,169,1.12,17234,114.13,547,3.62,147,0.97
12,70,359,5.13,62,0.89,7036,100.51,2355,33.64,6,0.09
13,75,305,4.07,89,1.19,13467,179.56,1702,22.69,36,0.48
14,53,100,1.89,62,1.17,8464,159.70,353,6.66,97,1.83
15,41,214,5.22,48,1.17,6019,146.80,1492,36.39,34,0.83
16,78,210,2.69,88,1.13,15101,193.60,1021,13.09,158,2.03
17,231,842,3.65,464,2.01,58686,254.05,6861,29.70,152,0.66
18,61,78,1.28,61,1.00,11067,181.43,356,5.84,802,13.15
19,37,162,4.38,48,1.30,8570,231.62,1213,32.78,141,3.81
20,20,45,2.25,20,1.00,4881,244.05,375,18.75,0,0.00
21,31,226,7.29,64,2.06,10530,339.68,1974,63.68,140,4.52
22,59,58,0.98,38,0.64,12510,212.03,661,11.20,63,1.07
23,53,226,4.26,82,1.55,17437,329.00,2149,40.55,68,1.28
24,33,107,3.24,34,1.03,11713,354.94,2130,64.55,13,0.39
25,14,99,7.07,51,3.64,4554,325.29,1588,113.43,165,11.79
26,23,133,5.78,83,3.61,15669,681.26,841,36.57,45,1.96
27,6,89,14.83,19,3.17,2109,351.50,1325,220.83,14,2.33
28,6,48,8.00,11,1.83,1052,175.33,504,84.00,124,20.67
29,47,724,15.40,387,8.23,56580,1203.83,6120,130.21,139,2.96
30,10,67,6.70,10,1.00,2065,206.50,521,52.10,76,7.60
31,57,492,8.63,160,2.81,35664,625.68,10121,177.56,1022,17.93
32,21,129,6.14,30,1.43,13849,659.48,2433,115.86,59,2.81
33,143,834,5.83,472,3.30,75712,529.45,18529,129.57,42,0.29
34,3,25,8.33,3,1.00,1992,664.00,548,182.67,33,11.00
35,25,507,20.28,141,5.64,12060,482.40,15042,601.68,52,2.08
36,5,35,7.00,4,0.80,2801,560.20,734,146.80,46,9.20
37,48,889,18.52,263,5.48,24961,520.02,25772,536.92,308,6.42
38,1,17,17.00,1,1.00,406,406.00,544,544.00,0,0.00
39,19,624,32.84,252,13.26,13216,695.58,19129,1006.79,128,6.74
40,16,126,7.88,16,1.00,12056,753.50,1895,118.44,32,2.00
41,34,351,10.32,93,2.74,16602,488.29,8399,247.03,409,12.03
42,11,160,14.55,2,0.18,5128,466.18,3420,310.91,440,40.00
43,37,704,19.03,165,4.46,28003,756.84,19387,523.97,220,5.95
44,1,20,20.00,1,1.00,475,475.00,760,760.00,0,0.00
45,30,594,19.80,179,5.97,22739,757.97,17850,595.00,563,18.77
46,10,116,11.60,33,3.30,6257,625.70,2358,235.80,121,12.10
47,111,831,7.49,371,3.34,108071,973.61,19496,175.64,131,1.18
48,11,126,11.45,38,3.45,10992,999.27,2417,219.73,47,4.27
49,31,406,13.10,92,2.97,28580,921.94,16161,521.32,190,6.13
50,2,26,13.00,2,1.00,1167,583.50,1035,517.50,46,23.00
51,10,410,41.00,200,20.00,9422,942.20,19504,1950.40,100,10.00
52,13,201,15.46,45,3.46,9421,724.69,5015,385.77,0,0.00
53,3,104,34.67,51,17.00,2883,961.00,4896,1632.00,0,0.00
54,12,60,5.00,16,1.33,15951,1329.25,544,45.33,82,6.83
55,19,388,20.42,9,0.47,19782,1041.16,14539,765.21,390,20.53
56,3,11,3.67,10,3.33,3104,1034.67,1444,481.33,12,4.00
57,16,562,35.12,168,10.50,14840,927.50,30592,1912.00,112,7.00
58,1,11,11.00,1,1.00,1713,1713.00,297,297.00,0,0.00
59,20,568,28.40,243,12.15,23811,1190.55,28091,1404.55,471,23.55
60,22,80,3.64,22,1.00,22188,1008.55,4342,197.36,0,0.00
61,7,186,26.57,91,13.00,8393,1199.00,10306,1472.29,114,16.29
62,1,11,11.00,1,1.00,2119,2119.00,391,391.00,0,0.00
63,2,9,4.50,2,1.00,1089,544.50,81,40.50,123,61.50
64,2,25,12.50,0,0.00,1663,831.50,279,139.50,126,63.00
65,17,264,15.53,11,0.65,8956,526.82,13655,803.24,24,1.41
66,8,21,2.62,8,1.00,11539,1442.38,596,74.50,208,26.00
67,16,687,42.94,240,15.00,19610,1225.62,41005,2562.81,194,12.12
68,14,72,5.14,41,2.93,14053,1003.79,998,71.29,478,34.14
