tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,153284,186187,1.21,151494,0.99,483733,3.16,0,0.00,0,0.00
2,18943,21009,1.11,34629,1.83,169752,8.96,120,0.01,7,0.00
3,17898,26634,1.49,22535,1.26,275668,15.40,12197,0.68,112,0.01
4,549,593,1.08,551,1.00,10323,18.80,204,0.37,45,0.08
5,3930,6703,1.71,3215,0.82,113730,28.94,9205,2.34,90,0.02
6,192,502,2.61,411,2.14,9454,49.24,1802,9.39,44,0.23
7,899,2874,3.20,852,0.95,41030,45.64,11286,12.55,162,0.18
8,198,392,1.98,214,1.08,12248,61.86,609,3.08,109,0.55
9,390,1250,3.21,195,0.50,28687,73.56,3413,8.75,198,0.51
10,73,124,1.70,70,0.96,7919,108.48,187,2.56,18,0.25
11,238,527,2.21,302,1.27,26941,113.20,886,3.72,84,0.35
12,111,557,5.02,99,0.89,11750,105.86,3687,33.22,53,0.48
13,78,332,4.26,85,1.09,12600,161.54,1529,19.60,70,0.90
14,56,173,3.09,61,1.09,11605,207.23,526,9.39,71,1.27
15,66,312,4.73,73,1.11,8241,124.86,2237,33.89,156,2.36
16,96,225,2.34,101,1.05,18247,190.07,964,10.04,216,2.25
17,607,1920,3.16,1210,1.99,152820,251.76,18295,30.14,136,0.22
18,241,298,1.24,241,1.00,43168,179.12,1447,6.00,3235,13.42
19,56,293,5.23,93,1.66,13344,238.29,2824,50.43,180,3.21
20,21,71,3.38,21,1.00,5285,251.67,656,31.24,0,0.00
21,49,373,7.61,119,2.43,15274,311.71,3916,79.92,222,4.53
22,75,100,1.33,44,0.59,14105,188.07,723,9.64,269,3.59
23,98,484,4.94,144,1.47,30911,315.42,6565,66.99,76,0.78
24,107,416,3.89,105,0.98,41126,384.36,6767,63.24,106,0.99
25,27,243,9.00,80,2.96,8572,317.48,4020,148.89,244,9.04
26,28,72,2.57,31,1.11,10199,364.25,1037,37.04,113,4.04
27,26,355,13.65,101,3.88,11932,458.92,4742,182.38,94,3.62
28,9,120,13.33,44,4.89,2616,290.67,2471,274.56,97,10.78
29,13,205,15.77,59,4.54,3926,302.00,4786,368.15,116,8.92
30,13,108,8.31,12,0.92,3460,266.15,1514,116.46,101,7.77
31,166,559,3.37,111,0.67,113051,681.03,8173,49.23,3905,23.52
32,17,161,9.47,25,1.47,10656,626.82,2951,173.59,211,12.41
33,105,782,7.45,260,2.48,68255,650.05,11905,113.38,23,0.22
34,13,110,8.46,13,1.00,7934,610.31,2504,192.62,132,10.15
35,32,288,9.00,97,3.03,21962,686.31,7242,226.31,115,3.59
36,15,112,7.47,14,0.93,6911,460.73,2656,177.07,163,10.87
37,40,506,12.65,136,3.40,26420,660.50,11964,299.10,386,9.65
38,4,68,17.00,4,1.00,1624,406.00,2176,544.00,0,0.00
39,9,235,26.11,77,8.56,5171,574.56,8112,901.33,0,0.00
40,37,322,8.70,37,1.00,26542,717.35,6084,164.43,89,2.41
41,43,374,8.70,164,3.81,24744,575.44,11309,263.00,488,11.35
42,15,218,14.53,8,0.53,9271,618.07,5172,344.80,451,30.07
43,92,1116,12.13,160,1.74,81119,881.73,16641,180.88,658,7.15
44,5,81,16.20,4,0.80,2637,527.40,3077,615.40,43,8.60
45,28,464,16.57,107,3.82,21257,759.18,14473,516.89,548,19.57
46,22,222,10.09,58,2.64,14269,648.59,5981,271.86,244,11.09
47,56,818,14.61,161,2.88,49265,879.73,16446,293.68,184,3.29
48,13,175,13.46,33,2.54,9683,744.85,4912,377.85,94,7.23
49,27,413,15.30,111,4.11,24869,921.07,17858,661.41,262,9.70
50,7,108,15.43,7,1.00,3884,554.86,4246,606.57,92,13.14
51,6,200,33.33,100,16.67,4556,759.33,9752,1625.33,100,16.67
52,27,533,19.74,160,5.93,24687,914.33,18230,675.19,119,4.41
53,5,215,43.00,102,20.40,4914,982.80,10532,2106.40,0,0.00
54,11,72,6.55,14,1.27,14312,1301.09,668,60.73,182,16.55
55,9,135,15.00,7,0.78,16326,1814.00,2816,312.89,296,32.89
57,14,128,9.14,30,2.14,23009,1643.50,2405,171.79,448,32.00
58,2,30,15.00,3,1.50,4417,2208.50,621,310.50,10,5.00
59,14,108,7.71,22,1.57,14029,1002.07,1133,80.93,513,36.64
60,51,153,3.00,51,1.00,46980,921.18,9271,181.78,20,0.39
61,3,27,9.00,12,4.00,1165,388.33,187,62.33,44,14.67
62,1,4,4.00,3,3.00,15928,15928.00,9,9.00,55,55.00
65,11,87,7.91,18,1.64,7753,704.82,1018,92.55,140,12.73
66,13,16,1.23,8,0.62,12108,931.38,700,53.85,573,44.08
67,17,359,21.12,65,3.82,30690,1805.29,13022,766.00,155,9.12
68,16,72,4.50,32,2.00,17819,1113.69,1744,109.00,540,33.75
69,1,31,31.00,1,1.00,1779,1779.00,230,230.00,30,30.00
70,1,0,0.00,0,0.00,230,230.00,76,76.00,63,63.00
71,2,48,24.00,1,0.50,2856,1428.00,576,288.00,99,49.50
73,2,30,15.00,3,1.50,3256,1628.00,499,249.50,104,52.00
74,2,4,2.00,0,0.00,3464,1732.00,306,153.00,146,73.00
75,2,26,13.00,10,5.00,5822,2911.00,474,237.00,0,0.00
76,6,64,10.67,11,1.83,14257,2376.17,1588,264.67,150,25.00
77,8,144,18.00,21,2.62,15640,1955.00,2592,324.00,315,39.38
79,1,5,5.00,2,2.00,6195,6195.00,250,250.00,72,72.00
81,7,151,21.57,13,1.86,13040,1862.86,6302,900.29,0,0.00
82,1,15,15.00,1,1.00,218,218.00,25,25.00,76,76.00
83,1,21,21.00,9,9.00,1923,1923.00,331,331.00,64,64.00
84,1,18,18.00,1,1.00,2886,2886.00,992,992.00,0,0.00
