tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,86327,104896,1.22,84671,0.98,269406,3.12,0,0.00,0,0.00
2,15212,16466,1.08,28292,1.86,137152,9.02,129,0.01,9,0.00
3,7753,11571,1.49,9679,1.25,117976,15.22,5361,0.69,54,0.01
4,596,683,1.15,737,1.24,12056,20.23,129,0.22,25,0.04
5,1672,2919,1.75,1388,0.83,49917,29.85,3841,2.30,28,0.02
6,161,353,2.19,290,1.80,7130,44.29,1089,6.76,20,0.12
7,576,1646,2.86,751,1.30,28678,49.79,4540,7.88,50,0.09
8,359,392,1.09,370,1.03,11508,32.06,703,1.96,48,0.13
9,424,1061,2.50,419,0.99,29535,69.66,2522,5.95,127,0.30
10,78,128,1.64,78,1.00,8714,111.72,196,2.51,0,0.00
11,159,307,1.93,159,1.00,16190,101.82,691,4.35,52,0.33
12,169,490,2.90,151,0.89,16734,99.02,2534,14.99,61,0.36
13,76,256,3.37,41,0.54,10881,143.17,1033,13.59,48,0.63
14,45,130,2.89,51,1.13,9097,202.16,360,8.00,68,1.51
15,97,168,1.73,42,0.43,4562,47.03,1129,11.64,30,0.31
16,83,199,2.40,88,1.06,16060,193.49,935,11.27,101,1.22
17,254,792,3.12,445,1.75,56323,221.74,7556,29.75,96,0.38
18,64,88,1.38,64,1.00,11861,185.33,399,6.23,801,12.52
19,28,116,4.14,36,1.29,6310,225.36,905,32.32,81,2.89
20,22,61,2.77,20,0.91,5571,253.23,607,27.59,0,0.00
21,38,235,6.18,72,1.89,13219,347.87,1711,45.03,82,2.16
22,147,301,2.05,108,0.73,20730,141.02,1027,6.99,168,1.14
23,43,174,4.05,59,1.37,11808,274.60,1883,43.79,22,0.51
24,35,116,3.31,33,0.94,12204,348.69,2233,63.80,12,0.34
25,77,169,2.19,160,2.08,35036,455.01,1844,23.95,120,1.56
26,34,110,3.24,46,1.35,14183,417.15,832,24.47,22,0.65
27,14,169,12.07,41,2.93,5767,411.93,2095,149.64,22,1.57
28,7,62,8.86,16,2.29,3086,440.86,960,137.14,22,3.14
29,11,109,9.91,14,1.27,3370,306.36,2211,201.00,78,7.09
30,8,55,6.88,8,1.00,1713,214.12,608,76.00,22,2.75
31,45,166,3.69,32,0.71,29817,662.60,2535,56.33,982,21.82
32,9,89,9.89,16,1.78,6095,677.22,1445,160.56,84,9.33
33,27,224,8.30,65,2.41,17152,635.26,2982,110.44,30,1.11
34,7,48,6.86,10,1.43,3865,552.14,888,126.86,48,6.86
35,72,155,2.15,96,1.33,56915,790.49,1842,25.58,16,0.22
36,16,46,2.88,9,0.56,9384,586.50,1026,64.12,82,5.12
37,78,824,10.56,272,3.49,46254,593.00,15040,192.82,170,2.18
38,2,24,12.00,2,1.00,1128,564.00,620,310.00,0,0.00
39,4,68,17.00,20,5.00,2726,681.50,2026,506.50,36,9.00
40,15,114,7.60,14,0.93,11008,733.87,1734,115.60,48,3.20
41,26,176,6.77,70,2.69,13039,501.50,3253,125.12,228,8.77
42,18,232,12.89,19,1.06,12913,717.39,4368,242.67,366,20.33
43,27,319,11.81,47,1.74,24537,908.78,4428,164.00,160,5.93
44,1,20,20.00,1,1.00,475,475.00,760,760.00,0,0.00
45,17,231,13.59,37,2.18,12845,755.59,5328,313.41,403,23.71
46,13,124,9.54,38,2.92,11442,880.15,2680,206.15,123,9.46
47,36,321,8.92,95,2.64,31350,870.83,5696,158.22,46,1.28
48,8,92,11.50,29,3.62,7598,949.75,1771,221.38,0,0.00
49,22,168,7.64,48,2.18,24716,1123.45,5299,240.86,124,5.64
50,6,38,6.33,10,1.67,2939,489.83,1235,205.83,46,7.67
51,5,146,29.20,43,8.60,5855,1171.00,4313,862.60,50,10.00
52,20,263,13.15,53,2.65,22902,1145.10,5391,269.55,35,1.75
53,8,101,12.62,39,4.88,2511,313.88,2768,346.00,0,0.00
54,15,75,5.00,15,1.00,24894,1659.60,982,65.47,45,3.00
55,22,213,9.68,13,0.59,43235,1965.23,4371,198.68,148,6.73
56,4,54,13.50,4,1.00,7074,1768.50,780,195.00,0,0.00
57,6,47,7.83,7,1.17,6560,1093.33,551,91.83,280,46.67
59,22,146,6.64,27,1.23,19617,891.68,1572,71.45,223,10.14
60,22,101,4.59,28,1.27,21251,965.95,4713,214.23,0,0.00
61,2,14,7.00,8,4.00,2373,1186.50,134,67.00,0,0.00
62,1,28,28.00,8,8.00,1310,1310.00,1126,1126.00,0,0.00
64,4,28,7.00,8,2.00,1072,268.00,108,27.00,0,0.00
65,14,96,6.86,20,1.43,8163,583.07,1284,91.71,0,0.00
66,8,21,2.62,14,1.75,15660,1957.50,713,89.12,127,15.88
67,10,224,22.40,32,3.20,23763,2376.30,5658,565.80,54,5.40
68,9,47,5.22,29,3.22,8401,933.44,806,89.56,307,34.11
69,2,2,1.00,0,0.00,2880,1440.00,228,114.00,0,0.00
70,4,68,17.00,6,1.50,5817,1454.25,2117,529.25,65,16.25
71,2,20,10.00,4,2.00,524,262.00,88,44.00,0,0.00
73,1,5,5.00,3,3.00,1975,1975.00,149,149.00,0,0.00
74,2,12,6.00,4,2.00,594,297.00,62,31.00,0,0.00
75,2,5,2.50,3,1.50,3940,1970.00,225,112.50,0,0.00
76,1,14,14.00,1,1.00,3458,3458.00,360,360.00,0,0.00
77,3,50,16.67,11,3.67,3986,1328.67,961,320.33,51,17.00
78,2,1,0.50,3,1.50,3723,1861.50,227,113.50,77,38.50
79,1,8,8.00,1,1.00,226,226.00,4,4.00,78,78.00
80,1,2,2.00,2,2.00,3532,3532.00,195,195.00,0,0.00
81,11,120,10.91,17,1.55,24581,2234.64,3897,354.27,39,3.55
85,4,49,12.25,6,1.50,6307,1576.75,310,77.50,134,33.50
86,1,1,1.00,1,1.00,1176,1176.00,76,76.00,82,82.00
87,27,71,2.63,35,1.30,63840,2364.44,3694,136.81,1376,50.96
88,2,2,1.00,1,0.50,1631,815.50,264,132.00,81,40.50
89,6,23,3.83,2,0.33,10554,1759.00,507,84.50,440,73.33
90,3,34,11.33,9,3.00,11697,3899.00,4233,1411.00,0,0.00
91,10,174,17.40,79,7.90,22299,2229.90,8209,820.90,90,9.00
92,3,34,11.33,14,4.67,7200,2400.00,592,197.33,91,30.33
93,7,112,16.00,28,4.00,30135,4305.00,3087,441.00,0,0.00
95,2,21,10.50,3,1.50,2407,1203.50,220,110.00,65,32.50
96,1,62,62.00,11,11.00,3052,3052.00,2425,2425.00,0,0.00
97,3,58,19.33,3,1.00,5722,1907.33,3170,1056.67,192,64.00
