tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,10823126,14576293,1.35,10487464,0.97,35763175,3.30,0,0.00,0,0.00
2,1370129,1527599,1.11,2560954,1.87,12309026,8.98,26178,0.02,245,0.00
3,2641569,4358640,1.65,2777375,1.05,36823868,13.94,1842359,0.70,3510,0.00
4,70621,741388,10.50,73625,1.04,2644185,37.44,10599,0.15,2636,0.04
5,73677,138750,1.88,63900,0.87,2130759,28.92,206488,2.80,2196,0.03
6,29629,47326,1.60,45601,1.54,1162021,39.22,79564,2.69,995,0.03
7,33729,106494,3.16,34691,1.03,1465598,43.45,405471,12.02,1864,0.06
8,5301,27092,5.11,9983,1.88,486106,91.70,55378,10.45,2100,0.40
9,6158,22051,3.58,4040,0.66,423480,68.77,83080,13.49,2341,0.38
10,1401,3396,2.42,1939,1.38,158670,113.25,19220,13.72,100,0.07
11,3798,15420,4.06,4205,1.11,388365,102.26,76133,20.05,1587,0.42
12,2028,9467,4.67,3452,1.70,251483,124.01,83363,41.11,800,0.39
13,3443,23382,6.79,3619,1.05,428743,124.53,147588,42.87,505,0.15
14,3044,16360,5.37,7996,2.63,704741,231.52,101932,33.49,2149,0.71
15,2379,16105,6.77,3771,1.59,437049,183.71,125359,52.69,620,0.26
16,2687,14656,5.45,8131,3.03,644551,239.88,169200,62.97,3380,1.26
17,2358,13216,5.60,4039,1.71,548159,232.47,141636,60.07,2714,1.15
18,813,6955,8.55,5243,6.45,189000,232.47,167451,205.97,1002,1.23
19,2025,17213,8.50,2423,1.20,445931,220.21,172728,85.30,3218,1.59
20,855,6677,7.81,5049,5.91,326443,381.80,140883,164.78,187,0.22
21,678,6405,9.45,1775,2.62,262640,387.37,60175,88.75,1493,2.20
22,2185,12954,5.93,6690,3.06,770892,352.81,184213,84.31,1864,0.85
23,2707,17100,6.32,4137,1.53,933039,344.68,201608,74.48,2267,0.84
24,784,6107,7.79,2611,3.33,397629,507.18,65303,83.29,469,0.60
25,2906,27845,9.58,5825,2.00,1602384,551.41,311003,107.02,5562,1.91
26,1430,7642,5.34,3059,2.14,1074552,751.43,36768,25.71,411,0.29
27,1170,12712,10.86,3912,3.34,818443,699.52,83036,70.97,856,0.73
28,3165,29363,9.28,11666,3.69,1920727,606.86,393990,124.48,3070,0.97
