tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,175993,207967,1.18,168852,0.96,540380,3.07,0,0.00,0,0.00
2,29365,31667,1.08,54372,1.85,264263,9.00,161,0.01,12,0.00
3,15984,23989,1.50,20757,1.30,248399,15.54,11797,0.74,135,0.01
4,725,862,1.19,750,1.03,13742,18.95,230,0.32,55,0.08
5,4405,7473,1.70,3729,0.85,133064,30.21,9393,2.13,118,0.03
6,373,720,1.93,613,1.64,16312,43.73,2098,5.62,40,0.11
7,1273,3474,2.73,1263,0.99,61675,48.45,11487,9.02,147,0.12
8,455,962,2.11,567,1.25,25741,56.57,1446,3.18,128,0.28
9,624,1705,2.73,453,0.73,45090,72.26,4692,7.52,277,0.44
10,152,239,1.57,113,0.74,13486,88.72,257,1.69,9,0.06
11,264,522,1.98,316,1.20,29028,109.95,1025,3.88,129,0.49
12,149,596,4.00,130,0.87,13900,93.29,3818,25.62,44,0.30
13,243,606,2.49,305,1.26,35176,144.76,2827,11.63,46,0.19
14,60,157,2.62,72,1.20,10960,182.67,436,7.27,119,1.98
15,135,418,3.10,106,0.79,14074,104.25,2731,20.23,182,1.35
16,192,514,2.68,197,1.03,29325,152.73,1742,9.07,291,1.52
17,518,1590,3.07,985,1.90,123833,239.06,14495,27.98,216,0.42
18,190,254,1.34,190,1.00,34021,179.06,1128,5.94,2411,12.69
19,406,2017,4.97,699,1.72,111613,274.91,16050,39.53,286,0.70
20,32,81,2.53,32,1.00,7742,241.94,687,21.47,0,0.00
21,58,357,6.16,114,1.97,16693,287.81,3442,59.34,170,2.93
22,202,293,1.45,170,0.84,34214,169.38,1989,9.85,252,1.25
23,96,428,4.46,129,1.34,27365,285.05,5587,58.20,180,1.88
24,84,308,3.67,85,1.01,31601,376.20,5593,66.58,31,0.37
25,50,184,3.68,131,2.62,21155,423.10,2890,57.80,217,4.34
26,24,60,2.50,24,1.00,8507,354.46,932,38.83,66,2.75
27,26,331,12.73,87,3.35,12162,467.77,4206,161.77,44,1.69
28,13,116,8.92,35,2.69,2996,230.46,1984,152.62,153,11.77
29,16,183,11.44,45,2.81,3441,215.06,3698,231.12,84,5.25
30,16,119,7.44,15,0.94,3906,244.12,1247,77.94,149,9.31
31,125,436,3.49,85,0.68,84974,679.79,6365,50.92,2844,22.75
32,17,167,9.82,28,1.65,11403,670.76,2924,172.00,142,8.35
33,78,576,7.38,192,2.46,50635,649.17,8816,113.03,20,0.26
34,11,97,8.82,11,1.00,7154,650.36,2178,198.00,99,9.00
35,76,310,4.08,117,1.54,50551,665.14,5966,78.50,211,2.78
36,13,78,6.00,12,0.92,3783,291.00,1704,131.08,141,10.85
37,80,776,9.70,231,2.89,46923,586.54,15873,198.41,431,5.39
38,3,51,17.00,3,1.00,1218,406.00,1632,544.00,0,0.00
39,7,174,24.86,59,8.43,3598,514.00,5749,821.29,24,3.43
40,45,328,7.29,33,0.73,32769,728.20,5622,124.93,80,1.78
41,44,362,8.23,149,3.39,21868,497.00,8238,187.23,460,10.45
42,20,275,13.75,9,0.45,10529,526.45,6241,312.05,600,30.00
43,70,834,11.91,119,1.70,60448,863.54,12272,175.31,546,7.80
44,4,76,19.00,4,1.00,2239,559.75,2827,706.75,0,0.00
45,34,479,14.09,95,2.79,24159,710.56,12652,372.12,666,19.59
46,26,278,10.69,79,3.04,15792,607.38,6389,245.73,205,7.88
47,49,708,14.45,142,2.90,42887,875.24,13559,276.71,138,2.82
48,17,188,11.06,53,3.12,13701,805.94,4232,248.94,0,0.00
49,31,332,10.71,94,3.03,31113,1003.65,13614,439.16,263,8.48
50,8,96,12.00,10,1.25,3893,486.62,3147,393.38,138,17.25
51,6,160,26.67,75,12.50,3727,621.17,7314,1219.00,150,25.00
52,23,427,18.57,119,5.17,18592,808.35,12952,563.13,17,0.74
53,4,163,40.75,77,19.25,3733,933.25,7904,1976.00,0,0.00
54,13,65,5.00,17,1.31,19093,1468.69,638,49.08,66,5.08
55,15,213,14.20,11,0.73,29702,1980.13,4589,305.93,296,19.73
56,2,10,5.00,4,2.00,684,342.00,87,43.50,34,17.00
57,13,93,7.15,12,0.92,17191,1322.38,984,75.69,392,30.15
58,17,48,2.82,44,2.59,16729,984.06,457,26.88,64,3.76
59,20,161,8.05,30,1.50,16452,822.60,1538,76.90,571,28.55
60,47,176,3.74,53,1.13,44234,941.15,9199,195.72,30,0.64
61,3,27,9.00,12,4.00,1185,395.00,213,71.00,0,0.00
64,8,36,4.50,8,1.00,10994,1374.25,326,40.75,240,30.00
65,15,70,4.67,17,1.13,8783,585.53,1422,94.80,0,0.00
66,20,83,4.15,29,1.45,15756,787.80,1683,84.15,497,24.85
67,13,297,22.85,45,3.46,25599,1969.15,8912,685.54,79,6.08
68,19,93,4.89,55,2.89,18346,965.58,1768,93.05,652,34.32
69,1,7,7.00,3,3.00,170,170.00,34,34.00,0,0.00
71,5,59,11.80,2,0.40,5425,1085.00,690,138.00,99,19.80
72,2,40,20.00,12,6.00,1911,955.50,1692,846.00,0,0.00
73,2,18,9.00,0,0.00,1332,666.00,72,36.00,144,72.00
74,3,14,4.67,4,1.33,2326,775.33,215,71.67,73,24.33
76,10,101,10.10,21,2.10,15429,1542.90,2224,222.40,131,13.10
77,11,259,23.55,57,5.18,24079,2189.00,6008,546.18,153,13.91
80,12,51,4.25,57,4.75,23475,1956.25,725,60.42,75,6.25
81,8,165,20.62,24,3.00,12529,1566.12,5346,668.25,0,0.00
82,2,23,11.50,5,2.50,985,492.50,66,33.00,76,38.00
83,4,57,14.25,15,3.75,2853,713.25,526,131.50,64,16.00
84,2,36,18.00,2,1.00,5880,2940.00,1860,930.00,0,0.00
85,3,90,30.00,1,0.33,3199,1066.33,606,202.00,43,14.33
86,8,82,10.25,10,1.25,10433,1304.12,2175,271.88,327,40.88
87,71,244,3.44,83,1.17,160917,2266.44,10514,148.08,4128,58.14
88,7,35,5.00,20,2.86,8404,1200.57,1075,153.57,95,13.57
89,17,62,3.65,6,0.35,32584,1916.71,2632,154.82,1320,77.65
90,11,130,11.82,37,3.36,12811,1164.64,11585,1053.18,86,7.82
91,11,295,26.82,101,9.18,16218,1474.36,11995,1090.45,0,0.00
92,1,8,8.00,2,2.00,475,475.00,137,137.00,0,0.00
93,3,48,16.00,12,4.00,12915,4305.00,1323,441.00,0,0.00
95,5,44,8.80,10,2.00,7653,1530.60,535,107.00,195,39.00
96,2,124,62.00,22,11.00,6104,3052.00,4850,2425.00,0,0.00
97,4,82,20.50,5,1.25,2529,632.25,5038,1259.50,288,72.00
98,1,8,8.00,6,6.00,15989,15989.00,271,271.00,69,69.00
99,11,170,15.45,9,0.82,12238,1112.55,1366,124.18,557,50.64
100,13,154,11.85,33,2.54,21067,1620.54,3407,262.08,0,0.00
101,4,47,11.75,22,5.50,6666,1666.50,780,195.00,84,21.00
104,3,18,6.00,15,5.00,9549,3183.00,459,153.00,0,0.00
105,6,100,16.67,19,3.17,7527,1254.50,923,153.83,457,76.17
106,2,0,0.00,0,0.00,350,175.00,104,52.00,207,103.50
107,1,44,44.00,11,11.00,2317,2317.00,1550,1550.00,0,0.00
108,9,36,4.00,21,2.33,19785,2198.33,1112,123.56,312,34.67
109,4,122,30.50,12,3.00,18349,4587.25,4119,1029.75,0,0.00
110,8,160,20.00,48,6.00,40647,5080.88,4059,507.38,0,0.00
111,1,8,8.00,4,4.00,7981,7981.00,515,515.00,104,104.00
112,1,12,12.00,2,2.00,2744,2744.00,337,337.00,103,103.00
113,13,165,12.69,11,0.85,22219,1709.15,2341,180.08,336,25.85
114,3,18,6.00,9,3.00,7692,2564.00,474,158.00,0,0.00
115,3,53,17.67,18,6.00,5405,1801.67,2519,839.67,0,0.00
117,14,452,32.29,47,3.36,69155,4939.64,16643,1188.79,178,12.71
118,1,0,0.00,0,0.00,0,0.00,0,0.00,117,117.00
120,8,73,9.12,22,2.75,20620,2577.50,1520,190.00,55,6.88
121,3,19,6.33,7,2.33,2133,711.00,208,69.33,344,114.67
122,1,21,21.00,5,5.00,5759,5759.00,762,762.00,0,0.00
123,4,114,28.50,27,6.75,8149,2037.25,4648,1162.00,0,0.00
124,3,66,22.00,3,1.00,19380,6460.00,3045,1015.00,0,0.00
125,2,32,16.00,6,3.00,1970,985.00,419,209.50,0,0.00
126,9,55,6.11,23,2.56,20337,2259.67,2273,252.56,0,0.00
127,7,184,26.29,13,1.86,5524,789.14,3059,437.00,252,36.00
128,5,53,10.60,27,5.40,10868,2173.60,967,193.40,55,11.00
130,3,9,3.00,3,1.00,5634,1878.00,212,70.67,378,126.00
131,1,3,3.00,3,3.00,10057,10057.00,1020,1020.00,0,0.00
132,6,141,23.50,30,5.00,20918,3486.33,7209,1201.50,0,0.00
134,1,29,29.00,4,4.00,4204,4204.00,1381,1381.00,31,31.00
135,1,20,20.00,0,0.00,3486,3486.00,132,132.00,134,134.00
136,1,0,0.00,0,0.00,450,450.00,160,160.00,135,135.00
137,1,56,56.00,14,14.00,2989,2989.00,2561,2561.00,0,0.00
138,3,36,12.00,17,5.67,15860,5286.67,1476,492.00,0,0.00
140,3,31,10.33,17,5.67,7114,2371.33,618,206.00,0,0.00
141,35,937,26.77,283,8.09,95009,2714.54,40130,1146.57,965,27.57
143,2,66,33.00,21,10.50,10541,5270.50,3120,1560.00,0,0.00
145,4,78,19.50,3,0.75,9101,2275.25,7800,1950.00,568,142.00
146,3,3,1.00,3,1.00,5958,1986.00,252,84.00,426,142.00
147,13,187,14.38,104,8.00,51623,3971.00,5614,431.85,1166,89.69
148,3,6,2.00,3,1.00,6633,2211.00,1740,580.00,0,0.00
149,6,88,14.67,35,5.83,20616,3436.00,6429,1071.50,0,0.00
150,3,38,12.67,9,3.00,12250,4083.33,2355,785.00,0,0.00
151,13,195,15.00,133,10.23,43148,3319.08,9394,722.62,1045,80.38
153,6,96,16.00,12,2.00,50412,8402.00,9628,1604.67,73,12.17
154,8,367,45.88,128,16.00,18514,2314.25,22828,2853.50,201,25.12
156,2,31,15.50,12,6.00,3739,1869.50,497,248.50,118,59.00
157,1,64,64.00,16,16.00,3437,3437.00,3375,3375.00,0,0.00
162,2,28,14.00,6,3.00,5608,2804.00,484,242.00,0,0.00
164,4,60,15.00,24,6.00,8518,2129.50,1179,294.75,106,26.50
166,7,25,3.57,15,2.14,15330,2190.00,2663,380.43,614,87.71
168,1,15,15.00,3,3.00,2834,2834.00,257,257.00,0,0.00
169,6,102,17.00,36,6.00,13753,2292.17,2006,334.33,42,7.00
170,12,150,12.50,84,7.00,71456,5954.67,5063,421.92,844,70.33
171,1,2,2.00,15,15.00,10294,10294.00,1393,1393.00,0,0.00
172,6,180,30.00,24,4.00,53025,8837.50,10737,1789.50,0,0.00
174,1,16,16.00,3,3.00,2864,2864.00,273,273.00,0,0.00
177,2,20,10.00,6,3.00,24858,12429.00,1598,799.00,336,168.00
181,3,5,1.67,16,5.33,16614,5538.00,2252,750.67,360,120.00
182,5,90,18.00,35,7.00,13268,2653.60,1492,298.40,204,40.80
184,1,13,13.00,9,9.00,2072,2072.00,161,161.00,157,157.00
188,3,6,2.00,3,1.00,7821,2607.00,384,128.00,552,184.00
190,4,75,18.75,31,7.75,9371,2342.75,1288,322.00,161,40.25
191,6,12,2.00,102,17.00,70596,11766.00,10674,1779.00,0,0.00
192,15,263,17.53,113,7.53,65915,4394.33,11518,767.87,1112,74.13
195,1,19,19.00,7,7.00,2797,2797.00,440,440.00,0,0.00
196,3,102,34.00,3,1.00,32889,10963.00,8175,2725.00,0,0.00
198,1,2,2.00,0,0.00,6704,6704.00,566,566.00,71,71.00
201,4,235,58.75,78,19.50,18944,4736.00,21654,5413.50,192,48.00
204,1,5,5.00,5,5.00,23978,23978.00,2574,2574.00,0,0.00
205,1,4,4.00,5,5.00,20931,20931.00,2353,2353.00,0,0.00
207,1,45,45.00,2,2.00,17316,17316.00,3024,3024.00,5,5.00
208,3,6,2.00,3,1.00,8815,2938.33,2488,829.33,428,142.67
209,1,14,14.00,3,3.00,19945,19945.00,1438,1438.00,200,200.00
210,3,9,3.00,3,1.00,8874,2958.00,536,178.67,618,206.00
213,1,18,18.00,9,9.00,12293,12293.00,3205,3205.00,0,0.00
215,1,19,19.00,8,8.00,2568,2568.00,343,343.00,106,106.00
217,6,90,15.00,18,3.00,125580,20930.00,9568,1594.67,1248,208.00
218,1,46,46.00,10,10.00,8313,8313.00,2020,2020.00,126,126.00
220,9,240,26.67,51,5.67,55707,6189.67,13224,1469.33,618,68.67
222,3,438,146.00,75,25.00,21588,7196.00,41148,13716.00,0,0.00
223,1,11,11.00,7,7.00,7986,7986.00,267,267.00,185,185.00
226,6,6,1.00,6,1.00,19062,3177.00,4828,804.67,666,111.00
228,3,46,15.33,27,9.00,34177,11392.33,2020,673.33,0,0.00
233,2,44,22.00,18,9.00,7653,3826.50,956,478.00,213,106.50
235,5,385,77.00,130,26.00,18894,3778.80,37540,7508.00,171,34.20
238,2,12,6.00,10,5.00,39121,19560.50,3880,1940.00,0,0.00
240,2,4,2.00,0,0.00,24122,12061.00,2844,1422.00,239,119.50
241,2,72,36.00,26,13.00,3196,1598.00,1444,722.00,20,10.00
246,4,57,14.25,4,1.00,15297,3824.25,4882,1220.50,845,211.25
247,1,66,66.00,27,27.00,6685,6685.00,3500,3500.00,228,228.00
248,3,6,2.00,3,1.00,10251,3417.00,740,246.67,732,244.00
249,9,244,27.11,92,10.22,58137,6459.67,8143,904.78,330,36.67
250,1,7,7.00,3,3.00,24162,24162.00,2472,2472.00,0,0.00
251,3,6,2.00,15,5.00,52669,17556.33,4645,1548.33,0,0.00
258,9,18,2.00,0,0.00,81615,9068.33,2229,247.67,2304,256.00
262,2,40,20.00,30,15.00,20830,10415.00,2186,1093.00,0,0.00
266,3,3,1.00,3,1.00,10818,3606.00,840,280.00,786,262.00
268,3,138,46.00,3,1.00,43681,14560.33,12442,4147.33,510,170.00
271,1,25,25.00,10,10.00,4507,4507.00,893,893.00,0,0.00
272,5,16,3.20,3,0.60,29782,5956.40,6711,1342.20,540,108.00
283,1,23,23.00,19,19.00,24660,24660.00,1843,1843.00,0,0.00
286,2,22,11.00,5,2.50,62012,31006.00,6188,3094.00,0,0.00
288,7,45,6.43,7,1.00,24692,3527.43,6857,979.57,1889,269.86
292,4,173,43.25,22,5.50,75893,18973.25,21195,5298.75,0,0.00
295,6,444,74.00,150,25.00,41970,6995.00,52896,8816.00,756,126.00
298,1,11,11.00,2,2.00,35243,35243.00,3434,3434.00,0,0.00
310,4,21,5.25,5,1.25,51741,12935.25,11844,2961.00,0,0.00
315,2,46,23.00,34,17.00,24756,12378.00,2598,1299.00,0,0.00
316,3,162,54.00,3,1.00,52226,17408.67,19564,6521.33,774,258.00
325,3,168,56.00,36,12.00,47811,15937.00,16335,5445.00,0,0.00
328,4,35,8.75,21,5.25,33832,8458.00,5442,1360.50,1293,323.25
329,1,88,88.00,19,19.00,6208,6208.00,2209,2209.00,288,288.00
332,3,12,4.00,3,1.00,14961,4987.00,9444,3148.00,0,0.00
334,37,3602,97.35,1223,33.05,377261,10196.24,535855,14482.57,335,9.05
339,1,19,19.00,13,13.00,8262,8262.00,1390,1390.00,293,293.00
340,3,174,58.00,3,1.00,59907,19969.00,26292,8764.00,0,0.00
342,1,28,28.00,10,10.00,1472,1472.00,177,177.00,341,341.00
344,1,49,49.00,0,0.00,693,693.00,381,381.00,336,336.00
346,4,18,4.50,6,1.50,64232,16058.00,15432,3858.00,0,0.00
350,5,54,10.80,30,6.00,45254,9050.80,3127,625.40,1708,341.60
357,2,70,35.00,1,0.50,11154,5577.00,748,374.00,700,350.00
364,3,186,62.00,3,1.00,60872,20290.67,26120,8706.67,894,298.00
366,3,3,1.00,3,1.00,15954,5318.00,11448,3816.00,0,0.00
370,3,9,3.00,3,1.00,15348,5116.00,1656,552.00,1104,368.00
372,3,12,4.00,3,1.00,15597,5199.00,1668,556.00,1104,368.00
379,1,54,54.00,10,10.00,1128,1128.00,159,159.00,378,378.00
381,1,41,41.00,0,0.00,7170,7170.00,1423,1423.00,380,380.00
386,3,3,1.00,3,1.00,15798,5266.00,1812,604.00,1026,342.00
388,6,204,34.00,6,1.00,85986,14331.00,47643,7940.50,0,0.00
391,14,647,46.21,263,18.79,135118,9651.29,17561,1254.36,2062,147.29
394,1,17,17.00,3,3.00,58485,58485.00,6597,6597.00,0,0.00
396,1,16,16.00,0,0.00,45582,45582.00,7211,7211.00,395,395.00
398,3,75,25.00,45,15.00,43043,14347.67,3507,1169.00,350,116.67
399,1,38,38.00,24,24.00,35662,35662.00,3796,3796.00,0,0.00
408,3,6,2.00,3,1.00,16851,5617.00,2148,716.00,1092,364.00
410,3,9,3.00,3,1.00,17060,5686.67,12652,4217.33,1132,377.33
412,3,210,70.00,3,1.00,73416,24472.00,39279,13093.00,0,0.00
418,1,21,21.00,3,3.00,40322,40322.00,4802,4802.00,27,27.00
419,2,32,16.00,0,0.00,136192,68096.00,19370,9685.00,836,418.00
430,7,38,5.43,10,1.43,102748,14678.29,24939,3562.71,1098,156.86
436,3,222,74.00,3,1.00,77919,25973.00,44190,14730.00,0,0.00
437,1,48,48.00,8,8.00,1887,1887.00,371,371.00,436,436.00
442,1,21,21.00,3,3.00,35541,35541.00,5309,5309.00,313,313.00
443,3,0,0.00,0,0.00,0,0.00,0,0.00,1326,442.00
446,3,3,1.00,3,1.00,18288,6096.00,2592,864.00,1146,382.00
448,3,6,2.00,3,1.00,19683,6561.00,17304,5768.00,0,0.00
450,1,44,44.00,10,10.00,1924,1924.00,288,288.00,449,449.00
460,4,272,68.00,30,7.50,125997,31499.25,53515,13378.75,0,0.00
468,3,6,2.00,3,1.00,20553,6851.00,18864,6288.00,0,0.00
