tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,60390,73905,1.22,60975,1.01,192937,3.19,0,0.00,0,0.00
2,6442,7191,1.12,11917,1.85,57928,8.99,33,0.01,0,0.00
3,7928,11704,1.48,9811,1.24,121570,15.33,5123,0.65,24,0.00
4,192,172,0.90,226,1.18,4024,20.96,50,0.26,12,0.06
5,1626,2716,1.67,1321,0.81,46050,28.32,3789,2.33,46,0.03
6,46,122,2.65,80,1.74,2076,45.13,420,9.13,20,0.43
7,352,1082,3.07,356,1.01,16001,45.46,4771,13.55,58,0.16
8,68,71,1.04,60,0.88,3028,44.53,52,0.76,28,0.41
9,95,285,3.00,59,0.62,6454,67.94,735,7.74,42,0.44
10,19,32,1.68,16,0.84,1816,95.58,54,2.84,27,1.42
11,69,163,2.36,102,1.48,8162,118.29,210,3.04,0,0.00
12,27,137,5.07,27,1.00,2942,108.96,965,35.74,0,0.00
13,20,94,4.70,26,1.30,3622,181.10,489,24.45,24,1.20
14,16,54,3.38,14,0.88,3560,222.50,198,12.38,18,1.12
15,25,100,4.00,28,1.12,3052,122.08,700,28.00,56,2.24
16,18,30,1.67,20,1.11,3692,205.11,150,8.33,0,0.00
17,288,912,3.17,577,2.00,72585,252.03,8750,30.38,0,0.00
18,120,148,1.23,120,1.00,21407,178.39,734,6.12,1633,13.61
19,12,82,6.83,28,2.33,3204,267.00,1020,85.00,36,3.00
20,4,26,6.50,4,1.00,1342,335.50,240,60.00,0,0.00
21,12,92,7.67,46,3.83,3690,307.50,1250,104.17,0,0.00
22,15,33,2.20,9,0.60,1516,101.07,67,4.47,84,5.60
23,37,204,5.51,57,1.54,13023,351.97,3209,86.73,0,0.00
24,46,196,4.26,46,1.00,18398,399.96,3220,70.00,0,0.00
25,12,89,7.42,34,2.83,4131,344.25,1781,148.42,48,4.00
26,8,28,3.50,8,1.00,3140,392.50,464,58.00,44,5.50
27,11,153,13.91,40,3.64,5030,457.27,2554,232.18,0,0.00
28,4,60,15.00,22,5.50,1356,339.00,1288,322.00,0,0.00
29,4,84,21.00,28,7.00,1606,401.50,2058,514.50,0,0.00
30,2,26,13.00,2,1.00,628,314.00,624,312.00,0,0.00
31,82,282,3.44,58,0.71,56341,687.09,4202,51.24,1870,22.80
32,4,38,9.50,4,1.00,2378,594.50,812,203.00,62,15.50
33,52,384,7.38,128,2.46,33682,647.73,5874,112.96,43,0.83
34,6,50,8.33,6,1.00,3984,664.00,1096,182.67,66,11.00
35,17,135,7.94,49,2.88,12708,747.53,3604,212.00,32,1.88
36,6,46,7.67,4,0.67,1906,317.67,1080,180.00,104,17.33
37,18,237,13.17,70,3.89,11919,662.17,5443,302.39,144,8.00
38,2,34,17.00,2,1.00,812,406.00,1088,544.00,0,0.00
39,4,114,28.50,38,9.50,2206,551.50,4018,1004.50,0,0.00
40,14,126,9.00,14,1.00,9816,701.14,2646,189.00,0,0.00
41,18,162,9.00,72,4.00,10910,606.11,5550,308.33,224,12.44
42,4,51,12.75,4,1.00,3237,809.25,1424,356.00,82,20.50
43,44,540,12.27,76,1.73,38790,881.59,8059,183.16,384,8.73
44,2,40,20.00,2,1.00,950,475.00,1520,760.00,0,0.00
45,6,140,23.33,46,7.67,4732,788.67,5646,941.00,38,6.33
46,6,46,7.67,6,1.00,3624,604.00,1768,294.67,84,14.00
47,26,376,14.46,72,2.77,23090,888.08,7790,299.62,92,3.54
48,2,44,22.00,2,1.00,1042,521.00,1848,924.00,0,0.00
49,6,192,32.00,48,8.00,3428,571.33,8790,1465.00,0,0.00
50,4,53,13.25,4,1.00,2354,588.50,2072,518.00,92,23.00
51,2,100,50.00,50,25.00,2278,1139.00,4876,2438.00,0,0.00
52,8,204,25.50,72,9.00,7988,998.50,8356,1044.50,0,0.00
53,3,111,37.00,52,17.33,2552,850.67,5276,1758.67,0,0.00
57,5,28,5.60,6,1.20,9709,1941.80,565,113.00,224,44.80
59,4,26,6.50,10,2.50,4722,1180.50,228,57.00,128,32.00
60,22,66,3.00,22,1.00,20306,923.00,4004,182.00,0,0.00
66,6,8,1.33,4,0.67,6054,1009.00,350,58.33,254,42.33
67,7,146,20.86,21,3.00,14013,2001.86,5265,752.14,53,7.57
