tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,1277,1612,1.26,1245,0.97,4086,3.20,0,0.00,0,0.00
2,251,278,1.11,426,1.70,2217,8.83,4,0.02,0,0.00
3,117,172,1.47,122,1.04,1688,14.43,58,0.50,0,0.00
4,5,6,1.20,8,1.60,126,25.20,0,0.00,0,0.00
5,38,96,2.53,35,0.92,1376,36.21,91,2.39,0,0.00
6,3,15,5.00,30,10.00,243,81.00,120,40.00,0,0.00
7,13,34,2.62,11,0.85,495,38.08,148,11.38,0,0.00
8,4,1,0.25,4,1.00,40,10.00,0,0.00,0,0.00
9,7,29,4.14,15,2.14,632,90.29,72,10.29,0,0.00
10,1,2,2.00,1,1.00,111,111.00,1,1.00,0,0.00
11,1,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
12,1,1,1.00,1,1.00,66,66.00,3,3.00,0,0.00
13,2,20,10.00,10,5.00,339,169.50,147,73.50,0,0.00
15,2,14,7.00,6,3.00,288,144.00,120,60.00,0,0.00
17,2,12,6.00,8,4.00,220,110.00,139,69.50,0,0.00
21,1,5,5.00,0,0.00,152,152.00,66,66.00,0,0.00
22,1,3,3.00,1,1.00,60,60.00,1,1.00,0,0.00
24,1,1,1.00,0,0.00,392,392.00,4,4.00,0,0.00
25,1,1,1.00,2,2.00,490,490.00,0,0.00,0,0.00
29,1,7,7.00,0,0.00,214,214.00,141,141.00,0,0.00
35,1,1,1.00,1,1.00,894,894.00,0,0.00,0,0.00
36,1,1,1.00,5,5.00,797,797.00,8,8.00,0,0.00
37,1,11,11.00,4,4.00,558,558.00,184,184.00,0,0.00
43,1,7,7.00,1,1.00,935,935.00,76,76.00,0,0.00
71,1,10,10.00,2,2.00,262,262.00,44,44.00,0,0.00
73,1,2,2.00,0,0.00,1724,1724.00,68,68.00,0,0.00
89,1,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
108,1,5,5.00,3,3.00,2534,2534.00,152,152.00,0,0.00
129,1,4,4.00,0,0.00,15466,15466.00,284,284.00,0,0.00
159,1,7,7.00,0,0.00,29188,29188.00,662,662.00,0,0.00
304,1,12,12.00,0,0.00,57229,57229.00,3305,3305.00,0,0.00
334,1,14,14.00,0,0.00,73695,73695.00,5043,5043.00,0,0.00
367,1,6,6.00,0,0.00,15984,15984.00,2938,2938.00,0,0.00
688,1,111,111.00,27,27.00,87328,87328.00,9454,9454.00,0,0.00
